,Algeria
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,1.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,2.0
3/3/20,2.0
3/4/20,7.0
3/5/20,0.0
3/6/20,5.0
3/7/20,0.0
3/8/20,2.0
3/9/20,1.0
3/10/20,0.0
3/11/20,0.0
3/12/20,4.0
3/13/20,2.0
3/14/20,11.0
3/15/20,11.0
3/16/20,6.0
3/17/20,6.0
3/18/20,14.0
3/19/20,13.0
3/20/20,3.0
3/21/20,49.0
3/22/20,62.0
3/23/20,29.0
3/24/20,34.0
3/25/20,38.0
3/26/20,65.0
3/27/20,42.0
3/28/20,45.0
3/29/20,57.0
3/30/20,73.0
3/31/20,132.0
4/1/20,131.0
4/2/20,139.0
4/3/20,185.0
4/4/20,80.0
4/5/20,69.0
4/6/20,103.0
4/7/20,45.0
4/8/20,104.0
4/9/20,94.0
4/10/20,95.0
4/11/20,64.0
4/12/20,89.0
4/13/20,69.0
4/14/20,87.0
4/15/20,90.0
4/16/20,108.0
4/17/20,150.0
4/18/20,116.0
4/19/20,95.0
4/20/20,89.0
4/21/20,93.0
4/22/20,99.0
4/23/20,97.0
4/24/20,120.0
4/25/20,129.0
4/26/20,126.0
4/27/20,135.0
4/28/20,132.0
4/29/20,199.0
4/30/20,158.0
5/1/20,148.0
5/2/20,141.0
5/3/20,179.0
5/4/20,174.0
5/5/20,190.0
5/6/20,159.0
5/7/20,185.0
5/8/20,187.0
5/9/20,189.0
5/10/20,165.0
5/11/20,168.0
5/12/20,176.0
5/13/20,186.0
5/14/20,189.0
5/15/20,187.0
5/16/20,192.0
5/17/20,198.0
5/18/20,182.0
5/19/20,176.0
5/20/20,165.0
5/21/20,186.0
5/22/20,190.0
5/23/20,195.0
5/24/20,193.0
5/25/20,197.0
5/26/20,194.0
5/27/20,160.0
5/28/20,140.0
5/29/20,137.0
5/30/20,133.0
5/31/20,127.0
6/1/20,119.0
6/2/20,113.0
6/3/20,107.0
6/4/20,98.0
6/5/20,104.0
6/6/20,115.0
6/7/20,104.0
6/8/20,111.0
6/9/20,117.0
6/10/20,102.0
6/11/20,105.0
6/12/20,109.0
6/13/20,112.0
6/14/20,109.0
6/15/20,112.0
6/16/20,116.0
6/17/20,121.0
6/18/20,117.0
6/19/20,119.0
6/20/20,127.0
6/21/20,140.0
6/22/20,149.0
6/23/20,156.0
6/24/20,172.0
6/25/20,197.0
6/26/20,240.0
6/27/20,283.0
6/28/20,305.0
6/29/20,298.0
6/30/20,336.0
7/1/20,365.0
7/2/20,385.0
7/3/20,413.0
7/4/20,430.0
7/5/20,441.0
7/6/20,463.0
7/7/20,475.0
7/8/20,469.0
7/9/20,460.0
7/10/20,434.0
7/11/20,470.0
7/12/20,483.0
7/13/20,494.0
7/14/20,527.0
7/15/20,554.0
7/16/20,585.0
7/17/20,593.0
7/18/20,601.0
7/19/20,535.0
7/20/20,607.0
7/21/20,587.0
7/22/20,594.0
7/23/20,612.0
7/24/20,675.0
7/25/20,605.0
7/26/20,593.0
7/27/20,616.0
7/28/20,642.0
7/29/20,614.0
7/30/20,602.0
7/31/20,563.0
8/1/20,556.0
8/2/20,515.0
8/3/20,507.0
8/4/20,532.0
8/5/20,551.0
8/6/20,571.0
8/7/20,529.0
8/8/20,538.0
8/9/20,467.0
8/10/20,552.0
8/11/20,492.0
8/12/20,495.0
8/13/20,488.0
8/14/20,477.0
8/15/20,469.0
8/16/20,450.0
8/17/20,442.0
8/18/20,419.0
8/19/20,403.0
8/20/20,411.0
8/21/20,409.0
8/22/20,401.0
8/23/20,392.0
8/24/20,398.0
8/25/20,370.0
8/26/20,391.0
8/27/20,397.0
8/28/20,387.0
8/29/20,378.0
8/30/20,365.0
8/31/20,348.0
9/1/20,339.0
9/2/20,325.0
9/3/20,311.0
9/4/20,304.0
9/5/20,298.0
9/6/20,293.0
9/7/20,289.0
9/8/20,285.0
9/9/20,278.0
9/10/20,272.0
9/11/20,264.0
9/12/20,255.0
9/13/20,247.0
9/14/20,242.0
9/15/20,238.0
9/16/20,232.0
9/17/20,228.0
9/18/20,219.0
9/19/20,210.0
9/20/20,203.0
9/21/20,197.0
9/22/20,191.0
9/23/20,186.0
9/24/20,179.0
9/25/20,175.0
9/26/20,160.0
9/27/20,153.0
9/28/20,146.0
9/29/20,155.0
9/30/20,162.0
10/1/20,160.0
10/2/20,157.0
10/3/20,148.0
10/4/20,141.0
10/5/20,134.0
10/6/20,129.0
10/7/20,121.0
10/8/20,138.0
10/9/20,146.0
10/10/20,136.0
10/11/20,132.0
10/12/20,253.0
10/13/20,74.0
10/14/20,185.0
10/15/20,193.0
10/16/20,221.0
10/17/20,205.0
10/18/20,199.0
10/19/20,214.0
10/20/20,213.0
10/21/20,252.0
10/22/20,276.0
10/23/20,273.0
10/24/20,250.0
10/25/20,263.0
10/26/20,276.0
10/27/20,287.0
10/28/20,320.0
10/29/20,306.0
10/30/20,319.0
10/31/20,291.0
11/1/20,330.0
11/2/20,302.0
11/3/20,405.0
11/4/20,548.0
11/5/20,642.0
11/6/20,631.0
11/7/20,581.0
11/8/20,670.0
11/9/20,642.0
11/10/20,753.0
11/11/20,811.0
11/12/20,851.0
11/13/20,867.0
11/14/20,844.0
11/15/20,860.0
11/16/20,910.0
11/17/20,1002.0
11/18/20,1038.0
11/19/20,1023.0
11/20/20,1103.0
11/21/20,1019.0
11/22/20,1088.0
11/23/20,1005.0
11/24/20,1133.0
11/25/20,1025.0
11/26/20,1085.0
11/27/20,1058.0
11/28/20,1044.0
11/29/20,1009.0
11/30/20,978.0
12/1/20,953.0
12/2/20,932.0
12/3/20,843.0
12/4/20,803.0
12/5/20,772.0
12/6/20,750.0
12/7/20,573.0
12/8/20,591.0
12/9/20,598.0
12/10/20,565.0
12/11/20,542.0
12/12/20,517.0
12/13/20,464.0
12/14/20,495.0
12/15/20,468.0
12/16/20,442.0
12/17/20,426.0
12/18/20,438.0
12/19/20,410.0
12/20/20,422.0
12/21/20,456.0
12/22/20,410.0
12/23/20,480.0
12/24/20,458.0
12/25/20,434.0
12/26/20,416.0
12/27/20,392.0
12/28/20,382.0
12/29/20,357.0
12/30/20,323.0
12/31/20,299.0
1/1/21,287.0
1/2/21,262.0
1/3/21,249.0
1/4/21,237.0
1/5/21,228.0
1/6/21,247.0
1/7/21,262.0
1/8/21,275.0
1/9/21,256.0
1/10/21,231.0
1/11/21,225.0
1/12/21,272.0
1/13/21,219.0
1/14/21,267.0
1/15/21,254.0
1/16/21,230.0
1/17/21,222.0
1/18/21,259.0
1/19/21,249.0
1/20/21,265.0
1/21/21,246.0
1/22/21,272.0
1/23/21,245.0
1/24/21,227.0
1/25/21,258.0
1/26/21,243.0
1/27/21,262.0
1/28/21,251.0
1/29/21,277.0
1/30/21,235.0
1/31/21,217.0
2/1/21,239.0
2/2/21,263.0
2/3/21,275.0
2/4/21,265.0
2/5/21,248.0
2/6/21,0.0
2/7/21,459.0
2/8/21,225.0
2/9/21,246.0
2/10/21,223.0
2/11/21,267.0
2/12/21,254.0
2/13/21,210.0
2/14/21,198.0
2/15/21,183.0
2/16/21,175.0
2/17/21,178.0
2/18/21,171.0
2/19/21,182.0
2/20/21,164.0
2/21/21,153.0
2/22/21,177.0
2/23/21,185.0
2/24/21,182.0
2/25/21,161.0
2/26/21,183.0
2/27/21,155.0
2/28/21,132.0
3/1/21,163.0
3/2/21,175.0
3/3/21,163.0
3/4/21,168.0
3/5/21,187.0
3/6/21,156.0
3/7/21,130.0
3/8/21,148.0
3/9/21,161.0
3/10/21,138.0
3/11/21,170.0
3/12/21,157.0
3/13/21,135.0
3/14/21,122.0
3/15/21,145.0
3/16/21,130.0
3/17/21,148.0
3/18/21,154.0
3/19/21,128.0
3/20/21,96.0
3/21/21,91.0
3/22/21,98.0
3/23/21,94.0
3/24/21,89.0
3/25/21,105.0
3/26/21,114.0
3/27/21,93.0
3/28/21,86.0
3/29/21,110.0
3/30/21,115.0
3/31/21,131.0
4/1/21,112.0
4/2/21,125.0
4/3/21,95.0
4/4/21,98.0
4/5/21,117.0
4/6/21,140.0
4/7/21,125.0
4/8/21,112.0
4/9/21,135.0
4/10/21,127.0
4/11/21,138.0
4/12/21,129.0
4/13/21,154.0
4/14/21,176.0
4/15/21,167.0
4/16/21,181.0
4/17/21,163.0
4/18/21,156.0
4/19/21,163.0
4/20/21,187.0
4/21/21,182.0
4/22/21,189.0
4/23/21,199.0
4/24/21,174.0
4/25/21,186.0
4/26/21,190.0
4/27/21,232.0
4/28/21,236.0
4/29/21,286.0
4/30/21,242.0
5/1/21,203.0
5/2/21,211.0
5/3/21,195.0
5/4/21,282.0
5/5/21,273.0
5/6/21,201.0
5/7/21,219.0
5/8/21,208.0
5/9/21,204.0
5/10/21,184.0
5/11/21,195.0
5/12/21,199.0
5/13/21,207.0
5/14/21,170.0
5/15/21,135.0
5/16/21,117.0
5/17/21,174.0
5/18/21,208.0
5/19/21,203.0
5/20/21,260.0
5/21/21,278.0
5/22/21,217.0
5/23/21,209.0
5/24/21,247.0
5/25/21,254.0
5/26/21,285.0
5/27/21,280.0
5/28/21,272.0
5/29/21,258.0
5/30/21,269.0
5/31/21,188.0
6/1/21,305.0
6/2/21,422.0
6/3/21,336.0
6/4/21,385.0
6/5/21,320.0
6/6/21,277.0
6/7/21,325.0
6/8/21,364.0
6/9/21,387.0
6/10/21,321.0
6/11/21,372.0
6/12/21,343.0
6/13/21,318.0
6/14/21,354.0
6/15/21,373.0
6/16/21,343.0
6/17/21,382.0
6/18/21,379.0
6/19/21,367.0
6/20/21,235.0
6/21/21,473.0
6/22/21,385.0
6/23/21,370.0
6/24/21,354.0
6/25/21,369.0
6/26/21,341.0
6/27/21,352.0
6/28/21,375.0
6/29/21,389.0
6/30/21,397.0
7/1/21,449.0
7/2/21,475.0
7/3/21,457.0
7/4/21,464.0
