,Armenia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,1.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,3.0
3/13/20,4.0
3/14/20,10.0
3/15/20,8.0
3/16/20,26.0
3/17/20,26.0
3/18/20,6.0
3/19/20,31.0
3/20/20,21.0
3/21/20,24.0
3/22/20,34.0
3/23/20,41.0
3/24/20,14.0
3/25/20,16.0
3/26/20,25.0
3/27/20,39.0
3/28/20,78.0
3/29/20,17.0
3/30/20,58.0
3/31/20,50.0
4/1/20,39.0
4/2/20,92.0
4/3/20,73.0
4/4/20,34.0
4/5/20,52.0
4/6/20,11.0
4/7/20,20.0
4/8/20,28.0
4/9/20,40.0
4/10/20,16.0
4/11/20,30.0
4/12/20,46.0
4/13/20,26.0
4/14/20,28.0
4/15/20,44.0
4/16/20,48.0
4/17/20,42.0
4/18/20,47.0
4/19/20,43.0
4/20/20,48.0
4/21/20,62.0
4/22/20,72.0
4/23/20,50.0
4/24/20,73.0
4/25/20,81.0
4/26/20,69.0
4/27/20,62.0
4/28/20,59.0
4/29/20,65.0
4/30/20,134.0
5/1/20,82.0
5/2/20,125.0
5/3/20,113.0
5/4/20,121.0
5/5/20,112.0
5/6/20,163.0
5/7/20,102.0
5/8/20,145.0
5/9/20,146.0
5/10/20,138.0
5/11/20,79.0
5/12/20,146.0
5/13/20,180.0
5/14/20,142.0
5/15/20,184.0
5/16/20,239.0
5/17/20,189.0
5/18/20,351.0
5/19/20,218.0
5/20/20,230.0
5/21/20,335.0
5/22/20,322.0
5/23/20,374.0
5/24/20,359.0
5/25/20,452.0
5/26/20,289.0
5/27/20,372.0
5/28/20,442.0
5/29/20,460.0
5/30/20,251.0
5/31/20,355.0
6/1/20,210.0
6/2/20,517.0
6/3/20,515.0
6/4/20,697.0
6/5/20,596.0
6/6/20,547.0
6/7/20,766.0
6/8/20,195.0
6/9/20,350.0
6/10/20,428.0
6/11/20,566.0
6/12/20,612.0
6/13/20,723.0
6/14/20,663.0
6/15/20,397.0
6/16/20,425.0
6/17/20,544.0
6/18/20,665.0
6/19/20,459.0
6/20/20,551.0
6/21/20,560.0
6/22/20,320.0
6/23/20,418.0
6/24/20,711.0
6/25/20,771.0
6/26/20,759.0
6/27/20,662.0
6/28/20,736.0
6/29/20,482.0
6/30/20,415.0
7/1/20,523.0
7/2/20,593.0
7/3/20,662.0
7/4/20,580.0
7/5/20,706.0
7/6/20,330.0
7/7/20,349.0
7/8/20,535.0
7/9/20,526.0
7/10/20,557.0
7/11/20,489.0
7/12/20,577.0
7/13/20,182.0
7/14/20,339.0
7/15/20,515.0
7/16/20,554.0
7/17/20,442.0
7/18/20,461.0
7/19/20,415.0
7/20/20,104.0
7/21/20,273.0
7/22/20,439.0
7/23/20,469.0
7/24/20,451.0
7/25/20,383.0
7/26/20,321.0
7/27/20,73.0
7/28/20,239.0
7/29/20,308.0
7/30/20,259.0
7/31/20,354.0
8/1/20,291.0
8/2/20,209.0
8/3/20,52.0
8/4/20,196.0
8/5/20,288.0
8/6/20,233.0
8/7/20,166.0
8/8/20,200.0
8/9/20,225.0
8/10/20,23.0
8/11/20,160.0
8/12/20,201.0
8/13/20,229.0
8/14/20,276.0
8/15/20,196.0
8/16/20,168.0
8/17/20,38.0
8/18/20,145.0
8/19/20,210.0
8/20/20,263.0
8/21/20,158.0
8/22/20,139.0
8/23/20,176.0
8/24/20,33.0
8/25/20,111.0
8/26/20,131.0
8/27/20,203.0
8/28/20,181.0
8/29/20,175.0
8/30/20,124.0
8/31/20,31.0
9/1/20,97.0
9/2/20,197.0
9/3/20,196.0
9/4/20,190.0
9/5/20,188.0
9/6/20,134.0
9/7/20,62.0
9/8/20,108.0
9/9/20,199.0
9/10/20,174.0
9/11/20,177.0
9/12/20,172.0
9/13/20,187.0
9/14/20,107.0
9/15/20,150.0
9/16/20,257.0
9/17/20,295.0
9/18/20,239.0
9/19/20,244.0
9/20/20,277.0
9/21/20,121.0
9/22/20,115.0
9/23/20,210.0
9/24/20,374.0
9/25/20,392.0
9/26/20,429.0
9/27/20,328.0
9/28/20,174.0
9/29/20,327.0
9/30/20,458.0
10/1/20,491.0
10/2/20,532.0
10/3/20,543.0
10/4/20,571.0
10/5/20,181.0
10/6/20,406.0
10/7/20,672.0
10/8/20,718.0
10/9/20,614.0
10/10/20,649.0
10/11/20,715.0
10/12/20,370.0
10/13/20,745.0
10/14/20,1058.0
10/15/20,1371.0
10/16/20,1465.0
10/17/20,1540.0
10/18/20,1694.0
10/19/20,766.0
10/20/20,1234.0
10/21/20,1836.0
10/22/20,2306.0
10/23/20,2474.0
10/24/20,2213.0
10/25/20,2314.0
10/26/20,973.0
10/27/20,1600.0
10/28/20,2241.0
10/29/20,2383.0
10/30/20,2398.0
10/31/20,2381.0
11/1/20,2441.0
11/2/20,1194.0
11/3/20,1328.0
11/4/20,2374.0
11/5/20,2413.0
11/6/20,2210.0
11/7/20,2476.0
11/8/20,2175.0
11/9/20,1042.0
11/10/20,1221.0
11/11/20,1861.0
11/12/20,2132.0
11/13/20,1703.0
11/14/20,1472.0
11/15/20,1482.0
11/16/20,549.0
11/17/20,984.0
11/18/20,1589.0
11/19/20,1520.0
11/20/20,1667.0
11/21/20,1193.0
11/22/20,1385.0
11/23/20,485.0
11/24/20,813.0
11/25/20,1563.0
11/26/20,1785.0
11/27/20,1476.0
11/28/20,1248.0
11/29/20,1174.0
11/30/20,356.0
12/1/20,843.0
12/2/20,1264.0
12/3/20,1277.0
12/4/20,1184.0
12/5/20,1267.0
12/6/20,978.0
12/7/20,407.0
12/8/20,584.0
12/9/20,1138.0
12/10/20,1174.0
12/11/20,1077.0
12/12/20,995.0
12/13/20,1013.0
12/14/20,357.0
12/15/20,438.0
12/16/20,1098.0
12/17/20,1174.0
12/18/20,861.0
12/19/20,920.0
12/20/20,652.0
12/21/20,240.0
12/22/20,537.0
12/23/20,838.0
12/24/20,702.0
12/25/20,621.0
12/26/20,586.0
12/27/20,485.0
12/28/20,114.0
12/29/20,348.0
12/30/20,582.0
12/31/20,531.0
1/1/21,329.0
1/2/21,60.0
1/3/21,229.0
1/4/21,193.0
1/5/21,324.0
1/6/21,309.0
1/7/21,201.0
1/8/21,361.0
1/9/21,379.0
1/10/21,337.0
1/11/21,157.0
1/12/21,355.0
1/13/21,485.0
1/14/21,448.0
1/15/21,396.0
1/16/21,263.0
1/17/21,351.0
1/18/21,90.0
1/19/21,236.0
1/20/21,309.0
1/21/21,307.0
1/22/21,183.0
1/23/21,198.0
1/24/21,127.0
1/25/21,58.0
1/26/21,138.0
1/27/21,195.0
1/28/21,242.0
1/29/21,59.0
1/30/21,173.0
1/31/21,125.0
2/1/21,62.0
2/2/21,143.0
2/3/21,190.0
2/4/21,147.0
2/5/21,158.0
2/6/21,211.0
2/7/21,151.0
2/8/21,89.0
2/9/21,123.0
2/10/21,196.0
2/11/21,180.0
2/12/21,154.0
2/13/21,192.0
2/14/21,145.0
2/15/21,88.0
2/16/21,136.0
2/17/21,206.0
2/18/21,223.0
2/19/21,191.0
2/20/21,223.0
2/21/21,168.0
2/22/21,104.0
2/23/21,166.0
2/24/21,273.0
2/25/21,282.0
2/26/21,283.0
2/27/21,283.0
2/28/21,265.0
3/1/21,158.0
3/2/21,240.0
3/3/21,360.0
3/4/21,491.0
3/5/21,442.0
3/6/21,508.0
3/7/21,422.0
3/8/21,337.0
3/9/21,182.0
3/10/21,340.0
3/11/21,748.0
3/12/21,818.0
3/13/21,795.0
3/14/21,486.0
3/15/21,317.0
3/16/21,585.0
3/17/21,854.0
3/18/21,1024.0
3/19/21,891.0
3/20/21,1071.0
3/21/21,586.0
3/22/21,506.0
3/23/21,801.0
3/24/21,1164.0
3/25/21,1257.0
3/26/21,1005.0
3/27/21,1094.0
3/28/21,777.0
3/29/21,424.0
3/30/21,750.0
3/31/21,1148.0
4/1/21,1097.0
4/2/21,1116.0
4/3/21,1192.0
4/4/21,590.0
4/5/21,479.0
4/6/21,760.0
4/7/21,1025.0
4/8/21,1231.0
4/9/21,1029.0
4/10/21,1009.0
4/11/21,650.0
4/12/21,510.0
4/13/21,726.0
4/14/21,1075.0
4/15/21,1014.0
4/16/21,961.0
4/17/21,870.0
4/18/21,547.0
4/19/21,298.0
4/20/21,667.0
4/21/21,1033.0
4/22/21,881.0
4/23/21,715.0
4/24/21,764.0
4/25/21,410.0
4/26/21,181.0
4/27/21,595.0
4/28/21,808.0
4/29/21,656.0
4/30/21,536.0
5/1/21,532.0
5/2/21,267.0
5/3/21,145.0
5/4/21,399.0
5/5/21,493.0
5/6/21,425.0
5/7/21,356.0
5/8/21,411.0
5/9/21,178.0
5/10/21,83.0
5/11/21,243.0
5/12/21,354.0
5/13/21,267.0
5/14/21,230.0
5/15/21,282.0
5/16/21,131.0
5/17/21,67.0
5/18/21,212.0
5/19/21,229.0
5/20/21,191.0
5/21/21,140.0
5/22/21,181.0
5/23/21,68.0
5/24/21,34.0
5/25/21,157.0
5/26/21,130.0
5/27/21,140.0
5/28/21,104.0
5/29/21,42.0
5/30/21,81.0
5/31/21,34.0
6/1/21,108.0
6/2/21,92.0
6/3/21,108.0
6/4/21,72.0
6/5/21,93.0
6/6/21,37.0
6/7/21,32.0
6/8/21,73.0
6/9/21,99.0
6/10/21,76.0
6/11/21,95.0
6/12/21,88.0
6/13/21,39.0
6/14/21,41.0
6/15/21,82.0
6/16/21,99.0
6/17/21,96.0
6/18/21,86.0
6/19/21,81.0
6/20/21,60.0
6/21/21,26.0
6/22/21,77.0
6/23/21,100.0
6/24/21,103.0
6/25/21,102.0
6/26/21,93.0
6/27/21,69.0
6/28/21,54.0
