,Austria
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,2.0
2/26/20,0.0
2/27/20,1.0
2/28/20,0.0
2/29/20,6.0
3/1/20,5.0
3/2/20,4.0
3/3/20,3.0
3/4/20,8.0
3/5/20,12.0
3/6/20,14.0
3/7/20,24.0
3/8/20,25.0
3/9/20,27.0
3/10/20,51.0
3/11/20,64.0
3/12/20,56.0
3/13/20,202.0
3/14/20,151.0
3/15/20,205.0
3/16/20,158.0
3/17/20,314.0
3/18/20,314.0
3/19/20,367.0
3/20/20,375.0
3/21/20,426.0
3/22/20,768.0
3/23/20,892.0
3/24/20,809.0
3/25/20,305.0
3/26/20,1321.0
3/27/20,748.0
3/28/20,614.0
3/29/20,517.0
3/30/20,830.0
3/31/20,562.0
4/1/20,531.0
4/2/20,418.0
4/3/20,395.0
4/4/20,257.0
4/5/20,270.0
4/6/20,246.0
4/7/20,342.0
4/8/20,303.0
4/9/20,302.0
4/10/20,311.0
4/11/20,251.0
4/12/20,139.0
4/13/20,96.0
4/14/20,185.0
4/15/20,110.0
4/16/20,140.0
4/17/20,119.0
4/18/20,76.0
4/19/20,78.0
4/20/20,46.0
4/21/20,78.0
4/22/20,52.0
4/23/20,77.0
4/24/20,69.0
4/25/20,77.0
4/26/20,77.0
4/27/20,49.0
4/28/20,83.0
4/29/20,45.0
4/30/20,50.0
5/1/20,79.0
5/2/20,27.0
5/3/20,39.0
5/4/20,24.0
5/5/20,29.0
5/6/20,34.0
5/7/20,68.0
5/8/20,22.0
5/9/20,59.0
5/10/20,38.0
5/11/20,11.0
5/12/20,79.0
5/13/20,36.0
5/14/20,61.0
5/15/20,51.0
5/16/20,92.0
5/17/20,41.0
5/18/20,27.0
5/19/20,52.0
5/20/20,32.0
5/21/20,51.0
5/22/20,32.0
5/23/20,50.0
5/24/20,17.0
5/25/20,36.0
5/26/20,18.0
5/27/20,34.0
5/28/20,37.0
5/29/20,27.0
5/30/20,30.0
5/31/20,46.0
6/1/20,2.0
6/2/20,26.0
6/3/20,12.0
6/4/20,34.0
6/5/20,38.0
6/6/20,55.0
6/7/20,4.0
6/8/20,66.0
6/9/20,11.0
6/10/20,26.0
6/11/20,29.0
6/12/20,30.0
6/13/20,14.0
6/14/20,31.0
6/15/20,26.0
6/16/20,54.0
6/17/20,14.0
6/18/20,20.0
6/19/20,48.0
6/20/20,52.0
6/21/20,18.0
6/22/20,39.0
6/23/20,28.0
6/24/20,41.0
6/25/20,28.0
6/26/20,45.0
6/27/20,58.0
6/28/20,74.0
6/29/20,69.0
6/30/20,43.0
7/1/20,107.0
7/2/20,68.0
7/3/20,109.0
7/4/20,115.0
7/5/20,115.0
7/6/20,85.0
7/7/20,56.0
7/8/20,92.0
7/9/20,102.0
7/10/20,94.0
7/11/20,74.0
7/12/20,114.0
7/13/20,51.0
7/14/20,73.0
7/15/20,133.0
7/16/20,116.0
7/17/20,169.0
7/18/20,134.0
7/19/20,82.0
7/20/20,88.0
7/21/20,84.0
7/22/20,102.0
7/23/20,170.0
7/24/20,115.0
7/25/20,124.0
7/26/20,134.0
7/27/20,86.0
7/28/20,119.0
7/29/20,173.0
7/30/20,105.0
7/31/20,175.0
8/1/20,82.0
8/2/20,92.0
8/3/20,81.0
8/4/20,96.0
8/5/20,85.0
8/6/20,130.0
8/7/20,141.0
8/8/20,82.0
8/9/20,114.0
8/10/20,73.0
8/11/20,139.0
8/12/20,194.0
8/13/20,155.0
8/14/20,282.0
8/15/20,303.0
8/16/20,191.0
8/17/20,164.0
8/18/20,295.0
8/19/20,255.0
8/20/20,347.0
8/21/20,331.0
8/22/20,300.0
8/23/20,191.0
8/24/20,242.0
8/25/20,211.0
8/26/20,327.0
8/27/20,328.0
8/28/20,229.0
8/29/20,395.0
8/30/20,181.0
8/31/20,272.0
9/1/20,204.0
9/2/20,327.0
9/3/20,403.0
9/4/20,357.0
9/5/20,358.0
9/6/20,184.0
9/7/20,290.0
9/8/20,520.0
9/9/20,502.0
9/10/20,664.0
9/11/20,580.0
9/12/20,869.0
9/13/20,463.0
9/14/20,382.0
9/15/20,764.0
9/16/20,768.0
9/17/20,780.0
9/18/20,808.0
9/19/20,813.0
9/20/20,621.0
9/21/20,563.0
9/22/20,645.0
9/23/20,681.0
9/24/20,832.0
9/25/20,684.0
9/26/20,714.0
9/27/20,662.0
9/28/20,556.0
9/29/20,609.0
9/30/20,772.0
10/1/20,873.0
10/2/20,688.0
10/3/20,1058.0
10/4/20,714.0
10/5/20,750.0
10/6/20,923.0
10/7/20,1029.0
10/8/20,1209.0
10/9/20,1131.0
10/10/20,1235.0
10/11/20,896.0
10/12/20,979.0
10/13/20,1028.0
10/14/20,1346.0
10/15/20,1552.0
10/16/20,1163.0
10/17/20,1747.0
10/18/20,1672.0
10/19/20,1121.0
10/20/20,1524.0
10/21/20,1958.0
10/22/20,2435.0
10/23/20,2571.0
10/24/20,3614.0
10/25/20,2782.0
10/26/20,2456.0
10/27/20,2835.0
10/28/20,3394.0
10/29/20,4453.0
10/30/20,5627.0
10/31/20,5349.0
11/1/20,4956.0
11/2/20,4135.0
11/3/20,4182.0
11/4/20,6901.0
11/5/20,7416.0
11/6/20,6464.0
11/7/20,8241.0
11/8/20,5933.0
11/9/20,5593.0
11/10/20,6120.0
11/11/20,7514.0
11/12/20,9262.0
11/13/20,9586.0
11/14/20,7063.0
11/15/20,5665.0
11/16/20,4657.0
11/17/20,5984.0
11/18/20,7091.0
11/19/20,6995.0
11/20/20,6668.0
11/21/20,6611.0
11/22/20,5226.0
11/23/20,3145.0
11/24/20,4377.0
11/25/20,5802.0
11/26/20,5526.0
11/27/20,4954.0
11/28/20,4669.0
11/29/20,4047.0
11/30/20,2748.0
12/1/20,3033.0
12/2/20,3972.0
12/3/20,3969.0
12/4/20,3815.0
12/5/20,3444.0
12/6/20,2741.0
12/7/20,2263.0
12/8/20,2377.0
12/9/20,2932.0
12/10/20,2686.0
12/11/20,2893.0
12/12/20,3241.0
12/13/20,2641.0
12/14/20,2588.0
12/15/20,2628.0
12/16/20,2664.0
12/17/20,2485.0
12/18/20,2085.0
12/19/20,2296.0
12/20/20,1645.0
12/21/20,1519.0
12/22/20,1853.0
12/23/20,2131.0
12/24/20,2847.0
12/25/20,1851.0
12/26/20,1429.0
12/27/20,1408.0
12/28/20,1592.0
12/29/20,1868.0
12/30/20,2550.0
12/31/20,2913.0
1/1/21,2096.0
1/2/21,1391.0
1/3/21,1466.0
1/4/21,1642.0
1/5/21,2311.0
1/6/21,2469.0
1/7/21,2540.0
1/8/21,2063.0
1/9/21,2278.0
1/10/21,1651.0
1/11/21,1536.0
1/12/21,1575.0
1/13/21,1917.0
1/14/21,3510.0
1/15/21,1528.0
1/16/21,1723.0
1/17/21,1267.0
1/18/21,1161.0
1/19/21,1486.0
1/20/21,1671.0
1/21/21,1702.0
1/22/21,2088.0
1/23/21,1626.0
1/24/21,1202.0
1/25/21,1009.0
1/26/21,1417.0
1/27/21,1641.0
1/28/21,1449.0
1/29/21,1500.0
1/30/21,1478.0
1/31/21,1190.0
2/1/21,1124.0
2/2/21,1241.0
2/3/21,1520.0
2/4/21,1518.0
2/5/21,1388.0
2/6/21,1333.0
2/7/21,1317.0
2/8/21,1057.0
2/9/21,1197.0
2/10/21,1469.0
2/11/21,1577.0
2/12/21,1731.0
2/13/21,1433.0
2/14/21,1184.0
2/15/21,1225.0
2/16/21,1427.0
2/17/21,1735.0
2/18/21,1967.0
2/19/21,1818.0
2/20/21,1877.0
2/21/21,1838.0
2/22/21,1270.0
2/23/21,1727.0
2/24/21,2005.0
2/25/21,2391.0
2/26/21,2093.0
2/27/21,2457.0
2/28/21,2123.0
3/1/21,1409.0
3/2/21,1920.0
3/3/21,2553.0
3/4/21,2324.0
3/5/21,2668.0
3/6/21,2557.0
3/7/21,2199.0
3/8/21,1910.0
3/9/21,2411.0
3/10/21,2528.0
3/11/21,2997.0
3/12/21,3126.0
3/13/21,3023.0
3/14/21,2503.0
3/15/21,1896.0
3/16/21,2425.0
3/17/21,3335.0
3/18/21,3357.0
3/19/21,3515.0
3/20/21,3344.0
3/21/21,2713.0
3/22/21,2412.0
3/23/21,3415.0
3/24/21,3289.0
3/25/21,3124.0
3/26/21,3895.0
3/27/21,3498.0
3/28/21,2679.0
3/29/21,3076.0
3/30/21,3001.0
3/31/21,3687.0
4/1/21,3363.0
4/2/21,3137.0
4/3/21,3283.0
4/4/21,2743.0
4/5/21,2217.0
4/6/21,1935.0
4/7/21,3101.0
4/8/21,2906.0
4/9/21,2702.0
4/10/21,3139.0
4/11/21,2252.0
4/12/21,1943.0
4/13/21,2313.0
4/14/21,2942.0
4/15/21,2678.0
4/16/21,2416.0
4/17/21,2048.0
4/18/21,2076.0
4/19/21,2117.0
4/20/21,2026.0
4/21/21,2523.0
4/22/21,2405.0
4/23/21,2329.0
4/24/21,2131.0
4/25/21,2025.0
4/26/21,1566.0
4/27/21,1625.0
4/28/21,2340.0
4/29/21,2229.0
4/30/21,2131.0
5/1/21,1615.0
5/2/21,1625.0
5/3/21,1091.0
5/4/21,1394.0
5/5/21,1644.0
5/6/21,1245.0
5/7/21,1333.0
5/8/21,1233.0
5/9/21,1026.0
5/10/21,820.0
5/11/21,870.0
5/12/21,1194.0
5/13/21,933.0
5/14/21,887.0
5/15/21,644.0
5/16/21,673.0
5/17/21,476.0
5/18/21,582.0
5/19/21,899.0
5/20/21,562.0
5/21/21,677.0
5/22/21,583.0
5/23/21,504.0
5/24/21,360.0
5/25/21,398.0
5/26/21,445.0
5/27/21,585.0
5/28/21,541.0
5/29/21,498.0
5/30/21,379.0
5/31/21,229.0
6/1/21,337.0
6/2/21,400.0
6/3/21,282.0
6/4/21,333.0
6/5/21,271.0
6/6/21,362.0
6/7/21,279.0
6/8/21,243.0
6/9/21,366.0
6/10/21,283.0
6/11/21,216.0
6/12/21,200.0
6/13/21,233.0
