,Azerbaijan
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,3.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,3.0
3/6/20,0.0
3/7/20,3.0
3/8/20,0.0
3/9/20,0.0
3/10/20,2.0
3/11/20,0.0
3/12/20,0.0
3/13/20,4.0
3/14/20,0.0
3/15/20,8.0
3/16/20,5.0
3/17/20,0.0
3/18/20,0.0
3/19/20,16.0
3/20/20,0.0
3/21/20,9.0
3/22/20,12.0
3/23/20,7.0
3/24/20,15.0
3/25/20,6.0
3/26/20,29.0
3/27/20,43.0
3/28/20,17.0
3/29/20,27.0
3/30/20,64.0
3/31/20,25.0
4/1/20,61.0
4/2/20,41.0
4/3/20,43.0
4/4/20,78.0
4/5/20,63.0
4/6/20,57.0
4/7/20,76.0
4/8/20,105.0
4/9/20,104.0
4/10/20,65.0
4/11/20,67.0
4/12/20,40.0
4/13/20,50.0
4/14/20,49.0
4/15/20,56.0
4/16/20,30.0
4/17/20,57.0
4/18/20,33.0
4/19/20,25.0
4/20/20,38.0
4/21/20,44.0
4/22/20,38.0
4/23/20,30.0
4/24/20,44.0
4/25/20,25.0
4/26/20,28.0
4/27/20,33.0
4/28/20,39.0
4/29/20,49.0
4/30/20,38.0
5/1/20,50.0
5/2/20,40.0
5/3/20,38.0
5/4/20,52.0
5/5/20,76.0
5/6/20,67.0
5/7/20,77.0
5/8/20,75.0
5/9/20,143.0
5/10/20,97.0
5/11/20,70.0
5/12/20,104.0
5/13/20,65.0
5/14/20,121.0
5/15/20,101.0
5/16/20,158.0
5/17/20,136.0
5/18/20,113.0
5/19/20,131.0
5/20/20,113.0
5/21/20,118.0
5/22/20,106.0
5/23/20,127.0
5/24/20,140.0
5/25/20,149.0
5/26/20,132.0
5/27/20,165.0
5/28/20,191.0
5/29/20,230.0
5/30/20,257.0
5/31/20,248.0
6/1/20,168.0
6/2/20,273.0
6/3/20,325.0
6/4/20,262.0
6/5/20,338.0
6/6/20,379.0
6/7/20,314.0
6/8/20,323.0
6/9/20,315.0
6/10/20,339.0
6/11/20,352.0
6/12/20,336.0
6/13/20,352.0
6/14/20,387.0
6/15/20,367.0
6/16/20,338.0
6/17/20,329.0
6/18/20,338.0
6/19/20,438.0
6/20/20,471.0
6/21/20,491.0
6/22/20,478.0
6/23/20,508.0
6/24/20,590.0
6/25/20,547.0
6/26/20,517.0
6/27/20,521.0
6/28/20,534.0
6/29/20,544.0
6/30/20,556.0
7/1/20,588.0
7/2/20,572.0
7/3/20,583.0
7/4/20,534.0
7/5/20,523.0
7/6/20,513.0
7/7/20,537.0
7/8/20,542.0
7/9/20,548.0
7/10/20,526.0
7/11/20,531.0
7/12/20,520.0
7/13/20,529.0
7/14/20,543.0
7/15/20,559.0
7/16/20,493.0
7/17/20,471.0
7/18/20,497.0
7/19/20,388.0
7/20/20,369.0
7/21/20,352.0
7/22/20,391.0
7/23/20,347.0
7/24/20,332.0
7/25/20,321.0
7/26/20,417.0
7/27/20,396.0
7/28/20,412.0
7/29/20,363.0
7/30/20,339.0
7/31/20,318.0
8/1/20,279.0
8/2/20,286.0
8/3/20,241.0
8/4/20,226.0
8/5/20,193.0
8/6/20,144.0
8/7/20,129.0
8/8/20,105.0
8/9/20,87.0
8/10/20,79.0
8/11/20,84.0
8/12/20,93.0
8/13/20,91.0
8/14/20,103.0
8/15/20,89.0
8/16/20,112.0
8/17/20,124.0
8/18/20,131.0
8/19/20,146.0
8/20/20,139.0
8/21/20,162.0
8/22/20,184.0
8/23/20,169.0
8/24/20,152.0
8/25/20,133.0
8/26/20,148.0
8/27/20,137.0
8/28/20,142.0
8/29/20,188.0
8/30/20,135.0
8/31/20,126.0
9/1/20,143.0
9/2/20,154.0
9/3/20,167.0
9/4/20,132.0
9/5/20,161.0
9/6/20,137.0
9/7/20,89.0
9/8/20,139.0
9/9/20,175.0
9/10/20,142.0
9/11/20,163.0
9/12/20,135.0
9/13/20,155.0
9/14/20,76.0
9/15/20,114.0
9/16/20,141.0
9/17/20,119.0
9/18/20,117.0
9/19/20,148.0
9/20/20,146.0
9/21/20,92.0
9/22/20,98.0
9/23/20,146.0
9/24/20,162.0
9/25/20,101.0
9/26/20,108.0
9/27/20,128.0
9/28/20,38.0
9/29/20,58.0
9/30/20,110.0
10/1/20,80.0
10/2/20,144.0
10/3/20,108.0
10/4/20,130.0
10/5/20,97.0
10/6/20,143.0
10/7/20,182.0
10/8/20,191.0
10/9/20,215.0
10/10/20,233.0
10/11/20,230.0
10/12/20,122.0
10/13/20,277.0
10/14/20,369.0
10/15/20,530.0
10/16/20,509.0
10/17/20,528.0
10/18/20,647.0
10/19/20,331.0
10/20/20,584.0
10/21/20,714.0
10/22/20,825.0
10/23/20,803.0
10/24/20,792.0
10/25/20,946.0
10/26/20,527.0
10/27/20,663.0
10/28/20,988.0
10/29/20,1015.0
10/30/20,1022.0
10/31/20,1095.0
11/1/20,1175.0
11/2/20,596.0
11/3/20,1242.0
11/4/20,1227.0
11/5/20,1364.0
11/6/20,1465.0
11/7/20,1410.0
11/8/20,1663.0
11/9/20,635.0
11/10/20,1346.0
11/11/20,1202.0
11/12/20,1622.0
11/13/20,1364.0
11/14/20,1849.0
11/15/20,2259.0
11/16/20,1395.0
11/17/20,2075.0
11/18/20,2239.0
11/19/20,2597.0
11/20/20,3169.0
11/21/20,2735.0
11/22/20,3196.0
11/23/20,2187.0
11/24/20,3646.0
11/25/20,3469.0
11/26/20,3705.0
11/27/20,3712.0
11/28/20,4212.0
11/29/20,4170.0
11/30/20,2981.0
12/1/20,4426.0
12/2/20,3942.0
12/3/20,4189.0
12/4/20,4267.0
12/5/20,4323.0
12/6/20,4356.0
12/7/20,3086.0
12/8/20,4387.0
12/9/20,4403.0
12/10/20,4219.0
12/11/20,4381.0
12/12/20,4268.0
12/13/20,4451.0
12/14/20,3112.0
12/15/20,4273.0
12/16/20,4077.0
12/17/20,4124.0
12/18/20,3962.0
12/19/20,3705.0
12/20/20,2961.0
12/21/20,1505.0
12/22/20,2284.0
12/23/20,2334.0
12/24/20,1850.0
12/25/20,1703.0
12/26/20,1428.0
12/27/20,1519.0
12/28/20,772.0
12/29/20,1101.0
12/30/20,1052.0
12/31/20,1064.0
1/1/21,341.0
1/2/21,421.0
1/3/21,803.0
1/4/21,334.0
1/5/21,802.0
1/6/21,799.0
1/7/21,685.0
1/8/21,532.0
1/9/21,633.0
1/10/21,601.0
1/11/21,176.0
1/12/21,519.0
1/13/21,474.0
1/14/21,380.0
1/15/21,349.0
1/16/21,402.0
1/17/21,322.0
1/18/21,118.0
1/19/21,305.0
1/20/21,332.0
1/21/21,218.0
1/22/21,280.0
1/23/21,162.0
1/24/21,287.0
1/25/21,57.0
1/26/21,326.0
1/27/21,226.0
1/28/21,209.0
1/29/21,142.0
1/30/21,131.0
1/31/21,153.0
2/1/21,77.0
2/2/21,159.0
2/3/21,162.0
2/4/21,152.0
2/5/21,138.0
2/6/21,115.0
2/7/21,132.0
2/8/21,44.0
2/9/21,164.0
2/10/21,147.0
2/11/21,140.0
2/12/21,191.0
2/13/21,155.0
2/14/21,128.0
2/15/21,74.0
2/16/21,140.0
2/17/21,154.0
2/18/21,145.0
2/19/21,193.0
2/20/21,144.0
2/21/21,156.0
2/22/21,72.0
2/23/21,223.0
2/24/21,220.0
2/25/21,126.0
2/26/21,219.0
2/27/21,278.0
2/28/21,270.0
3/1/21,125.0
3/2/21,352.0
3/3/21,319.0
3/4/21,314.0
3/5/21,365.0
3/6/21,353.0
3/7/21,403.0
3/8/21,195.0
3/9/21,297.0
3/10/21,515.0
3/11/21,608.0
3/12/21,576.0
3/13/21,733.0
3/14/21,603.0
3/15/21,376.0
3/16/21,980.0
3/17/21,840.0
3/18/21,933.0
3/19/21,879.0
3/20/21,1187.0
3/21/21,814.0
3/22/21,670.0
3/23/21,1333.0
3/24/21,1185.0
3/25/21,1429.0
3/26/21,1759.0
3/27/21,1690.0
3/28/21,1831.0
3/29/21,1129.0
3/30/21,2146.0
3/31/21,2237.0
4/1/21,2248.0
4/2/21,2361.0
4/3/21,1852.0
4/4/21,2561.0
4/5/21,1099.0
4/6/21,2035.0
4/7/21,2595.0
4/8/21,2717.0
4/9/21,2206.0
4/10/21,2192.0
4/11/21,2414.0
4/12/21,1151.0
4/13/21,2457.0
4/14/21,2293.0
4/15/21,2317.0
4/16/21,2163.0
4/17/21,2148.0
4/18/21,2144.0
4/19/21,995.0
4/20/21,2197.0
4/21/21,2075.0
4/22/21,2047.0
4/23/21,1809.0
4/24/21,1676.0
4/25/21,1541.0
4/26/21,806.0
4/27/21,1307.0
4/28/21,1402.0
4/29/21,1392.0
4/30/21,1196.0
5/1/21,1213.0
5/2/21,1058.0
5/3/21,418.0
5/4/21,963.0
5/5/21,1080.0
5/6/21,844.0
5/7/21,722.0
5/8/21,649.0
5/9/21,660.0
5/10/21,371.0
5/11/21,514.0
5/12/21,558.0
5/13/21,509.0
5/14/21,326.0
5/15/21,377.0
5/16/21,472.0
5/17/21,426.0
5/18/21,432.0
5/19/21,339.0
5/20/21,437.0
5/21/21,406.0
5/22/21,352.0
5/23/21,219.0
5/24/21,156.0
5/25/21,284.0
5/26/21,203.0
5/27/21,220.0
5/28/21,242.0
5/29/21,164.0
5/30/21,141.0
5/31/21,92.0
6/1/21,176.0
6/2/21,156.0
6/3/21,128.0
6/4/21,123.0
6/5/21,108.0
6/6/21,68.0
6/7/21,32.0
6/8/21,102.0
6/9/21,68.0
6/10/21,75.0
6/11/21,73.0
6/12/21,61.0
6/13/21,45.0
6/14/21,25.0
6/15/21,68.0
6/16/21,27.0
6/17/21,48.0
6/18/21,60.0
6/19/21,38.0
6/20/21,56.0
6/21/21,28.0
6/22/21,47.0
6/23/21,57.0
6/24/21,51.0
