,Bahrain
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,1.0
2/25/20,22.0
2/26/20,10.0
2/27/20,0.0
2/28/20,3.0
2/29/20,5.0
3/1/20,6.0
3/2/20,2.0
3/3/20,0.0
3/4/20,3.0
3/5/20,3.0
3/6/20,5.0
3/7/20,25.0
3/8/20,0.0
3/9/20,10.0
3/10/20,15.0
3/11/20,85.0
3/12/20,0.0
3/13/20,0.0
3/14/20,15.0
3/15/20,4.0
3/16/20,0.0
3/17/20,14.0
3/18/20,28.0
3/19/20,22.0
3/20/20,7.0
3/21/20,20.0
3/22/20,29.0
3/23/20,43.0
3/24/20,15.0
3/25/20,27.0
3/26/20,39.0
3/27/20,8.0
3/28/20,10.0
3/29/20,23.0
3/30/20,16.0
3/31/20,52.0
4/1/20,2.0
4/2/20,74.0
4/3/20,29.0
4/4/20,16.0
4/5/20,12.0
4/6/20,56.0
4/7/20,55.0
4/8/20,12.0
4/9/20,64.0
4/10/20,38.0
4/11/20,115.0
4/12/20,96.0
4/13/20,225.0
4/14/20,167.0
4/15/20,143.0
4/16/20,29.0
4/17/20,40.0
4/18/20,33.0
4/19/20,108.0
4/20/20,26.0
4/21/20,66.0
4/22/20,54.0
4/23/20,190.0
4/24/20,301.0
4/25/20,70.0
4/26/20,59.0
4/27/20,76.0
4/28/20,88.0
4/29/20,110.0
4/30/20,119.0
5/1/20,130.0
5/2/20,114.0
5/3/20,99.0
5/4/20,150.0
5/5/20,187.0
5/6/20,214.0
5/7/20,265.0
5/8/20,245.0
5/9/20,330.0
5/10/20,167.0
5/11/20,295.0
5/12/20,295.0
5/13/20,285.0
5/14/20,382.0
5/15/20,385.0
5/16/20,164.0
5/17/20,209.0
5/18/20,228.0
5/19/20,348.0
5/20/20,356.0
5/21/20,286.0
5/22/20,240.0
5/23/20,388.0
5/24/20,336.0
5/25/20,33.0
5/26/20,195.0
5/27/20,326.0
5/28/20,360.0
5/29/20,397.0
5/30/20,344.0
5/31/20,605.0
6/1/20,473.0
6/2/20,440.0
6/3/20,504.0
6/4/20,481.0
6/5/20,539.0
6/6/20,548.0
6/7/20,380.0
6/8/20,654.0
6/9/20,314.0
6/10/20,469.0
6/11/20,467.0
6/12/20,602.0
6/13/20,444.0
6/14/20,514.0
6/15/20,786.0
6/16/20,540.0
6/17/20,408.0
6/18/20,469.0
6/19/20,486.0
6/20/20,415.0
6/21/20,433.0
6/22/20,643.0
6/23/20,655.0
6/24/20,508.0
6/25/20,511.0
6/26/20,724.0
6/27/20,462.0
6/28/20,438.0
6/29/20,534.0
6/30/20,519.0
7/1/20,656.0
7/2/20,423.0
7/3/20,573.0
7/4/20,447.0
7/5/20,510.0
7/6/20,454.0
7/7/20,500.0
7/8/20,610.0
7/9/20,597.0
7/10/20,511.0
7/11/20,431.0
7/12/20,471.0
7/13/20,535.0
7/14/20,602.0
7/15/20,482.0
7/16/20,524.0
7/17/20,389.0
7/18/20,531.0
7/19/20,418.0
7/20/20,514.0
7/21/20,380.0
7/22/20,321.0
7/23/20,359.0
7/24/20,462.0
7/25/20,289.0
7/26/20,384.0
7/27/20,351.0
7/28/20,439.0
7/29/20,390.0
7/30/20,444.0
7/31/20,227.0
8/1/20,208.0
8/2/20,346.0
8/3/20,299.0
8/4/20,297.0
8/5/20,382.0
8/6/20,375.0
8/7/20,418.0
8/8/20,322.0
8/9/20,382.0
8/10/20,386.0
8/11/20,407.0
8/12/20,460.0
8/13/20,462.0
8/14/20,326.0
8/15/20,378.0
8/16/20,405.0
8/17/20,350.0
8/18/20,396.0
8/19/20,369.0
8/20/20,353.0
8/21/20,358.0
8/22/20,377.0
8/23/20,292.0
8/24/20,389.0
8/25/20,357.0
8/26/20,317.0
8/27/20,363.0
8/28/20,357.0
8/29/20,278.0
8/30/20,183.0
8/31/20,398.0
9/1/20,468.0
9/2/20,367.0
9/3/20,626.0
9/4/20,662.0
9/5/20,676.0
9/6/20,644.0
9/7/20,661.0
9/8/20,702.0
9/9/20,672.0
9/10/20,757.0
9/11/20,632.0
9/12/20,747.0
9/13/20,721.0
9/14/20,658.0
9/15/20,678.0
9/16/20,841.0
9/17/20,705.0
9/18/20,690.0
9/19/20,620.0
9/20/20,540.0
9/21/20,713.0
9/22/20,650.0
9/23/20,612.0
9/24/20,687.0
9/25/20,489.0
9/26/20,585.0
9/27/20,586.0
9/28/20,487.0
9/29/20,574.0
9/30/20,442.0
10/1/20,510.0
10/2/20,429.0
10/3/20,507.0
10/4/20,352.0
10/5/20,454.0
10/6/20,360.0
10/7/20,456.0
10/8/20,490.0
10/9/20,438.0
10/10/20,427.0
10/11/20,327.0
10/12/20,334.0
10/13/20,324.0
10/14/20,349.0
10/15/20,333.0
10/16/20,371.0
10/17/20,246.0
10/18/20,331.0
10/19/20,322.0
10/20/20,309.0
10/21/20,374.0
10/22/20,304.0
10/23/20,363.0
10/24/20,401.0
10/25/20,280.0
10/26/20,278.0
10/27/20,232.0
10/28/20,257.0
10/29/20,240.0
10/30/20,204.0
10/31/20,179.0
11/1/20,278.0
11/2/20,210.0
11/3/20,230.0
11/4/20,261.0
11/5/20,162.0
11/6/20,237.0
11/7/20,241.0
11/8/20,192.0
11/9/20,176.0
11/10/20,179.0
11/11/20,231.0
11/12/20,150.0
11/13/20,157.0
11/14/20,174.0
11/15/20,180.0
11/16/20,179.0
11/17/20,126.0
11/18/20,174.0
11/19/20,135.0
11/20/20,150.0
11/21/20,124.0
11/22/20,114.0
11/23/20,181.0
11/24/20,130.0
11/25/20,169.0
11/26/20,162.0
11/27/20,168.0
11/28/20,130.0
11/29/20,142.0
11/30/20,169.0
12/1/20,181.0
12/2/20,133.0
12/3/20,162.0
12/4/20,168.0
12/5/20,132.0
12/6/20,198.0
12/7/20,181.0
12/8/20,183.0
12/9/20,201.0
12/10/20,137.0
12/11/20,188.0
12/12/20,145.0
12/13/20,178.0
12/14/20,125.0
12/15/20,176.0
12/16/20,156.0
12/17/20,143.0
12/18/20,140.0
12/19/20,179.0
12/20/20,220.0
12/21/20,168.0
12/22/20,184.0
12/23/20,183.0
12/24/20,253.0
12/25/20,234.0
12/26/20,214.0
12/27/20,215.0
12/28/20,202.0
12/29/20,234.0
12/30/20,256.0
12/31/20,250.0
1/1/21,238.0
1/2/21,271.0
1/3/21,294.0
1/4/21,288.0
1/5/21,229.0
1/6/21,289.0
1/7/21,349.0
1/8/21,397.0
1/9/21,287.0
1/10/21,241.0
1/11/21,321.0
1/12/21,316.0
1/13/21,275.0
1/14/21,342.0
1/15/21,208.0
1/16/21,248.0
1/17/21,339.0
1/18/21,333.0
1/19/21,320.0
1/20/21,313.0
1/21/21,305.0
1/22/21,332.0
1/23/21,246.0
1/24/21,361.0
1/25/21,413.0
1/26/21,459.0
1/27/21,427.0
1/28/21,387.0
1/29/21,468.0
1/30/21,655.0
1/31/21,431.0
2/1/21,525.0
2/2/21,657.0
2/3/21,553.0
2/4/21,704.0
2/5/21,702.0
2/6/21,515.0
2/7/21,616.0
2/8/21,719.0
2/9/21,759.0
2/10/21,797.0
2/11/21,812.0
2/12/21,896.0
2/13/21,790.0
2/14/21,640.0
2/15/21,848.0
2/16/21,771.0
2/17/21,696.0
2/18/21,648.0
2/19/21,777.0
2/20/21,752.0
2/21/21,575.0
2/22/21,721.0
2/23/21,675.0
2/24/21,653.0
2/25/21,637.0
2/26/21,632.0
2/27/21,651.0
2/28/21,616.0
3/1/21,645.0
3/2/21,492.0
3/3/21,738.0
3/4/21,588.0
3/5/21,657.0
3/6/21,612.0
3/7/21,476.0
3/8/21,653.0
3/9/21,545.0
3/10/21,628.0
3/11/21,653.0
3/12/21,744.0
3/13/21,579.0
3/14/21,597.0
3/15/21,682.0
3/16/21,686.0
3/17/21,768.0
3/18/21,642.0
3/19/21,731.0
3/20/21,816.0
3/21/21,656.0
3/22/21,759.0
3/23/21,809.0
3/24/21,733.0
3/25/21,841.0
3/26/21,829.0
3/27/21,865.0
3/28/21,1027.0
3/29/21,824.0
3/30/21,905.0
3/31/21,871.0
4/1/21,935.0
4/2/21,1074.0
4/3/21,1316.0
4/4/21,1047.0
4/5/21,974.0
4/6/21,1020.0
4/7/21,1120.0
4/8/21,1143.0
4/9/21,1206.0
4/10/21,1122.0
4/11/21,1060.0
4/12/21,1267.0
4/13/21,1060.0
4/14/21,1175.0
4/15/21,970.0
4/16/21,1155.0
4/17/21,1024.0
4/18/21,997.0
4/19/21,1008.0
4/20/21,1039.0
4/21/21,1008.0
4/22/21,1036.0
4/23/21,1053.0
4/24/21,1081.0
4/25/21,1035.0
4/26/21,1206.0
4/27/21,972.0
4/28/21,1111.0
4/29/21,1093.0
4/30/21,1182.0
5/1/21,1063.0
5/2/21,1300.0
5/3/21,1165.0
5/4/21,1418.0
5/5/21,1450.0
5/6/21,1367.0
5/7/21,1706.0
5/8/21,1502.0
5/9/21,1451.0
5/10/21,1662.0
5/11/21,1732.0
5/12/21,1539.0
5/13/21,1816.0
5/14/21,1369.0
5/15/21,1619.0
5/16/21,1884.0
5/17/21,1579.0
5/18/21,1968.0
5/19/21,2354.0
5/20/21,2415.0
5/21/21,2858.0
5/22/21,2719.0
5/23/21,3177.0
5/24/21,2800.0
5/25/21,2766.0
5/26/21,2803.0
5/27/21,3052.0
5/28/21,2957.0
5/29/21,3273.0
5/30/21,2458.0
5/31/21,2375.0
6/1/21,2259.0
6/2/21,1936.0
6/3/21,1932.0
6/4/21,1492.0
6/5/21,1432.0
6/6/21,1496.0
6/7/21,1522.0
6/8/21,1279.0
6/9/21,1041.0
6/10/21,1034.0
6/11/21,967.0
6/12/21,931.0
6/13/21,879.0
6/14/21,792.0
6/15/21,811.0
6/16/21,620.0
6/17/21,547.0
6/18/21,487.0
6/19/21,439.0
6/20/21,465.0
6/21/21,403.0
6/22/21,394.0
6/23/21,418.0
6/24/21,298.0
6/25/21,288.0
6/26/21,302.0
6/27/21,252.0
6/28/21,230.0
