,Belarus
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,1.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,5.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,3.0
3/11/20,0.0
3/12/20,3.0
3/13/20,15.0
3/14/20,0.0
3/15/20,0.0
3/16/20,9.0
3/17/20,0.0
3/18/20,15.0
3/19/20,0.0
3/20/20,18.0
3/21/20,7.0
3/22/20,0.0
3/23/20,5.0
3/24/20,0.0
3/25/20,5.0
3/26/20,0.0
3/27/20,8.0
3/28/20,0.0
3/29/20,0.0
3/30/20,58.0
3/31/20,0.0
4/1/20,11.0
4/2/20,141.0
4/3/20,47.0
4/4/20,89.0
4/5/20,122.0
4/6/20,138.0
4/7/20,161.0
4/8/20,205.0
4/9/20,420.0
4/10/20,495.0
4/11/20,245.0
4/12/20,352.0
4/13/20,341.0
4/14/20,362.0
4/15/20,447.0
4/16/20,476.0
4/17/20,575.0
4/18/20,518.0
4/19/20,510.0
4/20/20,457.0
4/21/20,459.0
4/22/20,558.0
4/23/20,741.0
4/24/20,751.0
4/25/20,817.0
4/26/20,873.0
4/27/20,826.0
4/28/20,919.0
4/29/20,973.0
4/30/20,846.0
5/1/20,890.0
5/2/20,911.0
5/3/20,877.0
5/4/20,784.0
5/5/20,861.0
5/6/20,905.0
5/7/20,913.0
5/8/20,933.0
5/9/20,951.0
5/10/20,921.0
5/11/20,933.0
5/12/20,967.0
5/13/20,952.0
5/14/20,947.0
5/15/20,958.0
5/16/20,951.0
5/17/20,969.0
5/18/20,922.0
5/19/20,936.0
5/20/20,918.0
5/21/20,945.0
5/22/20,932.0
5/23/20,941.0
5/24/20,954.0
5/25/20,946.0
5/26/20,915.0
5/27/20,897.0
5/28/20,902.0
5/29/20,906.0
5/30/20,894.0
5/31/20,898.0
6/1/20,847.0
6/2/20,852.0
6/3/20,861.0
6/4/20,865.0
6/5/20,887.0
6/6/20,883.0
6/7/20,879.0
6/8/20,823.0
6/9/20,812.0
6/10/20,801.0
6/11/20,750.0
6/12/20,704.0
6/13/20,721.0
6/14/20,732.0
6/15/20,707.0
6/16/20,689.0
6/17/20,663.0
6/18/20,625.0
6/19/20,676.0
6/20/20,603.0
6/21/20,569.0
6/22/20,518.0
6/23/20,464.0
6/24/20,458.0
6/25/20,437.0
6/26/20,331.0
6/27/20,382.0
6/28/20,380.0
6/29/20,315.0
6/30/20,328.0
7/1/20,306.0
7/2/20,274.0
7/3/20,299.0
7/4/20,273.0
7/5/20,284.0
7/6/20,250.0
7/7/20,199.0
7/8/20,221.0
7/9/20,187.0
7/10/20,193.0
7/11/20,163.0
7/12/20,165.0
7/13/20,182.0
7/14/20,155.0
7/15/20,174.0
7/16/20,180.0
7/17/20,159.0
7/18/20,171.0
7/19/20,142.0
7/20/20,118.0
7/21/20,135.0
7/22/20,173.0
7/23/20,167.0
7/24/20,158.0
7/25/20,156.0
7/26/20,130.0
7/27/20,119.0
7/28/20,115.0
7/29/20,152.0
7/30/20,147.0
7/31/20,143.0
8/1/20,138.0
8/2/20,121.0
8/3/20,99.0
8/4/20,84.0
8/5/20,126.0
8/6/20,127.0
8/7/20,111.0
8/8/20,124.0
8/9/20,112.0
8/10/20,97.0
8/11/20,58.0
8/12/20,97.0
8/13/20,101.0
8/14/20,105.0
8/15/20,0.0
8/16/20,208.0
8/17/20,73.0
8/18/20,84.0
8/19/20,128.0
8/20/20,149.0
8/21/20,161.0
8/22/20,174.0
8/23/20,183.0
8/24/20,177.0
8/25/20,82.0
8/26/20,247.0
8/27/20,191.0
8/28/20,181.0
8/29/20,177.0
8/30/20,164.0
8/31/20,156.0
9/1/20,119.0
9/2/20,179.0
9/3/20,161.0
9/4/20,183.0
9/5/20,178.0
9/6/20,196.0
9/7/20,172.0
9/8/20,177.0
9/9/20,194.0
9/10/20,189.0
9/11/20,193.0
9/12/20,191.0
9/13/20,198.0
9/14/20,187.0
9/15/20,192.0
9/16/20,211.0
9/17/20,224.0
9/18/20,243.0
9/19/20,231.0
9/20/20,213.0
9/21/20,224.0
9/22/20,206.0
9/23/20,253.0
9/24/20,294.0
9/25/20,306.0
9/26/20,332.0
9/27/20,320.0
9/28/20,337.0
9/29/20,314.0
9/30/20,371.0
10/1/20,388.0
10/2/20,402.0
10/3/20,431.0
10/4/20,0.0
10/5/20,844.0
10/6/20,394.0
10/7/20,415.0
10/8/20,477.0
10/9/20,489.0
10/10/20,0.0
10/11/20,1063.0
10/12/20,464.0
10/13/20,526.0
10/14/20,597.0
10/15/20,613.0
10/16/20,658.0
10/17/20,671.0
10/18/20,635.0
10/19/20,592.0
10/20/20,619.0
10/21/20,733.0
10/22/20,738.0
10/23/20,787.0
10/24/20,811.0
10/25/20,845.0
10/26/20,884.0
10/27/20,902.0
10/28/20,936.0
10/29/20,984.0
10/30/20,970.0
10/31/20,983.0
11/1/20,977.0
11/2/20,941.0
11/3/20,929.0
11/4/20,984.0
11/5/20,982.0
11/6/20,991.0
11/7/20,997.0
11/8/20,996.0
11/9/20,983.0
11/10/20,1038.0
11/11/20,1057.0
11/12/20,1098.0
11/13/20,1167.0
11/14/20,1248.0
11/15/20,1315.0
11/16/20,1263.0
11/17/20,1251.0
11/18/20,1309.0
11/19/20,1382.0
11/20/20,1457.0
11/21/20,1588.0
11/22/20,1564.0
11/23/20,1483.0
11/24/20,1471.0
11/25/20,1496.0
11/26/20,1563.0
11/27/20,1621.0
11/28/20,1691.0
11/29/20,1684.0
11/30/20,1639.0
12/1/20,1572.0
12/2/20,1689.0
12/3/20,1701.0
12/4/20,1774.0
12/5/20,1896.0
12/6/20,1878.0
12/7/20,1796.0
12/8/20,1649.0
12/9/20,1851.0
12/10/20,1939.0
12/11/20,1967.0
12/12/20,1975.0
12/13/20,1961.0
12/14/20,1853.0
12/15/20,1911.0
12/16/20,1838.0
12/17/20,1834.0
12/18/20,1917.0
12/19/20,1931.0
12/20/20,1944.0
12/21/20,1893.0
12/22/20,1858.0
12/23/20,1922.0
12/24/20,1917.0
12/25/20,1893.0
12/26/20,1916.0
12/27/20,1825.0
12/28/20,1841.0
12/29/20,1816.0
12/30/20,1957.0
12/31/20,1923.0
1/1/21,1939.0
1/2/21,1902.0
1/3/21,1837.0
1/4/21,1869.0
1/5/21,1273.0
1/6/21,1854.0
1/7/21,1838.0
1/8/21,1805.0
1/9/21,1767.0
1/10/21,1833.0
1/11/21,1792.0
1/12/21,1731.0
1/13/21,1972.0
1/14/21,1967.0
1/15/21,1941.0
1/16/21,1933.0
1/17/21,1924.0
1/18/21,1899.0
1/19/21,1356.0
1/20/21,1778.0
1/21/21,1804.0
1/22/21,1813.0
1/23/21,1748.0
1/24/21,1752.0
1/25/21,1024.0
1/26/21,847.0
1/27/21,1651.0
1/28/21,1718.0
1/29/21,1867.0
1/30/21,1852.0
1/31/21,1766.0
2/1/21,959.0
2/2/21,699.0
2/3/21,1711.0
2/4/21,1708.0
2/5/21,1759.0
2/6/21,1787.0
2/7/21,1732.0
2/8/21,808.0
2/9/21,561.0
2/10/21,1799.0
2/11/21,1692.0
2/12/21,1733.0
2/13/21,1745.0
2/14/21,1658.0
2/15/21,1100.0
2/16/21,1134.0
2/17/21,1352.0
2/18/21,1386.0
2/19/21,1663.0
2/20/21,1668.0
2/21/21,1322.0
2/22/21,1144.0
2/23/21,972.0
2/24/21,1279.0
2/25/21,1191.0
2/26/21,1602.0
2/27/21,1459.0
2/28/21,1347.0
3/1/21,961.0
3/2/21,869.0
3/3/21,1311.0
3/4/21,1174.0
3/5/21,1482.0
3/6/21,1329.0
3/7/21,1079.0
3/8/21,930.0
3/9/21,1073.0
3/10/21,609.0
3/11/21,837.0
3/12/21,1186.0
3/13/21,1182.0
3/14/21,995.0
3/15/21,947.0
3/16/21,876.0
3/17/21,1124.0
3/18/21,1254.0
3/19/21,1414.0
3/20/21,1355.0
3/21/21,1152.0
3/22/21,983.0
3/23/21,1046.0
3/24/21,1378.0
3/25/21,1141.0
3/26/21,1425.0
3/27/21,1213.0
3/28/21,1050.0
3/29/21,918.0
3/30/21,995.0
3/31/21,1213.0
4/1/21,1236.0
4/2/21,1651.0
4/3/21,1371.0
4/4/21,1239.0
4/5/21,986.0
4/6/21,968.0
4/7/21,1278.0
4/8/21,1272.0
4/9/21,1622.0
4/10/21,1433.0
4/11/21,1175.0
4/12/21,843.0
4/13/21,754.0
4/14/21,1166.0
4/15/21,1222.0
4/16/21,1516.0
4/17/21,1384.0
4/18/21,1300.0
4/19/21,887.0
4/20/21,888.0
4/21/21,1318.0
4/22/21,1170.0
4/23/21,1735.0
4/24/21,1453.0
4/25/21,1276.0
4/26/21,896.0
4/27/21,823.0
4/28/21,1255.0
4/29/21,1309.0
4/30/21,1505.0
5/1/21,1244.0
5/2/21,1081.0
5/3/21,834.0
5/4/21,697.0
5/5/21,1138.0
5/6/21,1219.0
5/7/21,1354.0
5/8/21,1369.0
5/9/21,1214.0
5/10/21,879.0
5/11/21,742.0
5/12/21,896.0
5/13/21,837.0
5/14/21,1109.0
5/15/21,1363.0
5/16/21,1627.0
5/17/21,1191.0
5/18/21,1179.0
5/19/21,1378.0
5/20/21,1457.0
5/21/21,1756.0
5/22/21,1471.0
5/23/21,1252.0
5/24/21,953.0
5/25/21,840.0
5/26/21,1169.0
5/27/21,1216.0
5/28/21,1434.0
5/29/21,992.0
5/30/21,1178.0
5/31/21,632.0
6/1/21,636.0
6/2/21,915.0
6/3/21,879.0
6/4/21,1183.0
6/5/21,857.0
6/6/21,943.0
6/7/21,570.0
6/8/21,597.0
6/9/21,834.0
6/10/21,966.0
6/11/21,1026.0
6/12/21,895.0
6/13/21,923.0
6/14/21,697.0
6/15/21,501.0
6/16/21,887.0
6/17/21,873.0
6/18/21,764.0
