,Belgium
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,1.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,1.0
3/2/20,6.0
3/3/20,5.0
3/4/20,10.0
3/5/20,27.0
3/6/20,59.0
3/7/20,60.0
3/8/20,31.0
3/9/20,39.0
3/10/20,28.0
3/11/20,47.0
3/12/20,0.0
3/13/20,245.0
3/14/20,130.0
3/15/20,197.0
3/16/20,172.0
3/17/20,185.0
3/18/20,243.0
3/19/20,309.0
3/20/20,462.0
3/21/20,558.0
3/22/20,586.0
3/23/20,342.0
3/24/20,526.0
3/25/20,668.0
3/26/20,1298.0
3/27/20,1049.0
3/28/20,1850.0
3/29/20,1702.0
3/30/20,1063.0
3/31/20,876.0
4/1/20,1189.0
4/2/20,1384.0
4/3/20,1422.0
4/4/20,1661.0
4/5/20,1260.0
4/6/20,1123.0
4/7/20,1380.0
4/8/20,1209.0
4/9/20,1580.0
4/10/20,1684.0
4/11/20,1351.0
4/12/20,1629.0
4/13/20,942.0
4/14/20,530.0
4/15/20,2454.0
4/16/20,1236.0
4/17/20,1329.0
4/18/20,1045.0
4/19/20,1313.0
4/20/20,1487.0
4/21/20,973.0
4/22/20,933.0
4/23/20,908.0
4/24/20,1496.0
4/25/20,1032.0
4/26/20,809.0
4/27/20,553.0
4/28/20,647.0
4/29/20,525.0
4/30/20,660.0
5/1/20,513.0
5/2/20,485.0
5/3/20,389.0
5/4/20,361.0
5/5/20,242.0
5/6/20,272.0
5/7/20,639.0
5/8/20,591.0
5/9/20,585.0
5/10/20,485.0
5/11/20,368.0
5/12/20,330.0
5/13/20,202.0
5/14/20,307.0
5/15/20,356.0
5/16/20,345.0
5/17/20,291.0
5/18/20,279.0
5/19/20,232.0
5/20/20,192.0
5/21/20,252.0
5/22/20,276.0
5/23/20,299.0
5/24/20,282.0
5/25/20,250.0
5/26/20,113.0
5/27/20,137.0
5/28/20,257.0
5/29/20,212.0
5/30/20,125.0
5/31/20,195.0
6/1/20,136.0
6/2/20,98.0
6/3/20,70.0
6/4/20,82.0
6/5/20,140.0
6/6/20,165.0
6/7/20,154.0
6/8/20,122.0
6/9/20,89.0
6/10/20,132.0
6/11/20,142.0
6/12/20,108.0
6/13/20,99.0
6/14/20,111.0
6/15/20,71.0
6/16/20,55.0
6/17/20,89.0
6/18/20,104.0
6/19/20,128.0
6/20/20,74.0
6/21/20,0.0
6/22/20,0.0
6/23/20,260.0
6/24/20,88.0
6/25/20,109.0
6/26/20,99.0
6/27/20,103.0
6/28/20,86.0
6/29/20,66.0
6/30/20,66.0
7/1/20,82.0
7/2/20,89.0
7/3/20,129.0
7/4/20,111.0
7/5/20,178.0
7/6/20,42.0
7/7/20,0.0
7/8/20,65.0
7/9/20,87.0
7/10/20,147.0
7/11/20,112.0
7/12/20,238.0
7/13/20,0.0
7/14/20,74.0
7/15/20,91.0
7/16/20,366.0
7/17/20,261.0
7/18/20,207.0
7/19/20,0.0
7/20/20,388.0
7/21/20,164.0
7/22/20,369.0
7/23/20,220.0
7/24/20,352.0
7/25/20,528.0
7/26/20,299.0
7/27/20,402.0
7/28/20,234.0
7/29/20,673.0
7/30/20,671.0
7/31/20,745.0
8/1/20,651.0
8/2/20,447.0
8/3/20,465.0
8/4/20,334.0
8/5/20,510.0
8/6/20,858.0
8/7/20,768.0
8/8/20,617.0
8/9/20,751.0
8/10/20,468.0
8/11/20,388.0
8/12/20,639.0
8/13/20,544.0
8/14/20,922.0
8/15/20,756.0
8/16/20,454.0
8/17/20,211.0
8/18/20,363.0
8/19/20,582.0
8/20/20,699.0
8/21/20,716.0
8/22/20,574.0
8/23/20,468.0
8/24/20,156.0
8/25/20,355.0
8/26/20,583.0
8/27/20,470.0
8/28/20,452.0
8/29/20,647.0
8/30/20,443.0
8/31/20,194.0
9/1/20,251.0
9/2/20,424.0
9/3/20,633.0
9/4/20,630.0
9/5/20,651.0
9/6/20,542.0
9/7/20,402.0
9/8/20,372.0
9/9/20,550.0
9/10/20,877.0
9/11/20,969.0
9/12/20,941.0
9/13/20,977.0
9/14/20,851.0
9/15/20,489.0
9/16/20,1153.0
9/17/20,2028.0
9/18/20,1673.0
9/19/20,1099.0
9/20/20,1547.0
9/21/20,1097.0
9/22/20,1834.0
9/23/20,1661.0
9/24/20,1881.0
9/25/20,2208.0
9/26/20,1827.0
9/27/20,1376.0
9/28/20,1174.0
9/29/20,1762.0
9/30/20,1337.0
10/1/20,2607.0
10/2/20,3175.0
10/3/20,3389.0
10/4/20,2612.0
10/5/20,1968.0
10/6/20,2088.0
10/7/20,3577.0
10/8/20,5728.0
10/9/20,5385.0
10/10/20,7950.0
10/11/20,5327.0
10/12/20,3622.0
10/13/20,7360.0
10/14/20,8271.0
10/15/20,10448.0
10/16/20,10192.0
10/17/20,10964.0
10/18/20,9138.0
10/19/20,8227.0
10/20/20,9679.0
10/21/20,13227.0
10/22/20,16746.0
10/23/20,17568.0
10/24/20,17709.0
10/25/20,15622.0
10/26/20,12687.0
10/27/20,13571.0
10/28/20,21048.0
10/29/20,23921.0
10/30/20,20056.0
10/31/20,16915.0
11/1/20,11789.0
11/2/20,6337.0
11/3/20,5186.0
11/4/20,15672.0
11/5/20,11128.0
11/6/20,8703.0
11/7/20,6124.0
11/8/20,6621.0
11/9/20,2393.0
11/10/20,4293.0
11/11/20,7916.0
11/12/20,5002.0
11/13/20,4619.0
11/14/20,6268.0
11/15/20,4659.0
11/16/20,1932.0
11/17/20,2734.0
11/18/20,5182.0
11/19/20,4477.0
11/20/20,3416.0
11/21/20,3224.0
11/22/20,1875.0
11/23/20,1123.0
11/24/20,1901.0
11/25/20,3164.0
11/26/20,2565.0
11/27/20,3297.0
11/28/20,3619.0
11/29/20,2151.0
11/30/20,746.0
12/1/20,1867.0
12/2/20,3040.0
12/3/20,2605.0
12/4/20,2582.0
12/5/20,2503.0
12/6/20,1814.0
12/7/20,859.0
12/8/20,1957.0
12/9/20,3071.0
12/10/20,2754.0
12/11/20,0.0
12/12/20,2762.0
12/13/20,4978.0
12/14/20,1074.0
12/15/20,2211.0
12/16/20,3636.0
12/17/20,3146.0
12/18/20,2835.0
12/19/20,2721.0
12/20/20,2170.0
12/21/20,981.0
12/22/20,2198.0
12/23/20,3212.0
12/24/20,2583.0
12/25/20,2342.0
12/26/20,784.0
12/27/20,847.0
12/28/20,857.0
12/29/20,1677.0
12/30/20,2831.0
12/31/20,2254.0
1/1/21,1793.0
1/2/21,880.0
1/3/21,842.0
1/4/21,876.0
1/5/21,1848.0
1/6/21,2997.0
1/7/21,2923.0
1/8/21,2048.0
1/9/21,1991.0
1/10/21,1569.0
1/11/21,960.0
1/12/21,2099.0
1/13/21,2927.0
1/14/21,2637.0
1/15/21,2203.0
1/16/21,2120.0
1/17/21,1630.0
1/18/21,932.0
1/19/21,1479.0
1/20/21,3006.0
1/21/21,2571.0
1/22/21,2444.0
1/23/21,2583.0
1/24/21,1812.0
1/25/21,1192.0
1/26/21,1784.0
1/27/21,3020.0
1/28/21,2775.0
1/29/21,2683.0
1/30/21,2717.0
1/31/21,2316.0
2/1/21,1264.0
2/2/21,1854.0
2/3/21,3124.0
2/4/21,2452.0
2/5/21,2585.0
2/6/21,2438.0
2/7/21,1740.0
2/8/21,873.0
2/9/21,1851.0
2/10/21,2617.0
2/11/21,2149.0
2/12/21,2120.0
2/13/21,1895.0
2/14/21,1516.0
2/15/21,857.0
2/16/21,1717.0
2/17/21,2677.0
2/18/21,2420.0
2/19/21,3437.0
2/20/21,2640.0
2/21/21,2094.0
2/22/21,1121.0
2/23/21,2102.0
2/24/21,3113.0
2/25/21,3076.0
2/26/21,2769.0
2/27/21,2760.0
2/28/21,2097.0
3/1/21,783.0
3/2/21,2050.0
3/3/21,3264.0
3/4/21,2643.0
3/5/21,2759.0
3/6/21,2799.0
3/7/21,2082.0
3/8/21,1117.0
3/9/21,2163.0
3/10/21,3434.0
3/11/21,3503.0
3/12/21,3615.0
3/13/21,3598.0
3/14/21,2962.0
3/15/21,1578.0
3/16/21,3165.0
3/17/21,5116.0
3/18/21,4659.0
3/19/21,5140.0
3/20/21,0.0
3/21/21,9065.0
3/22/21,2232.0
3/23/21,3537.0
3/24/21,6315.0
3/25/21,5518.0
3/26/21,6123.0
3/27/21,5332.0
3/28/21,4694.0
3/29/21,2179.0
3/30/21,3906.0
3/31/21,5611.0
4/1/21,5467.0
4/2/21,4665.0
4/3/21,4889.0
4/4/21,3522.0
4/5/21,1968.0
4/6/21,1709.0
4/7/21,3539.0
4/8/21,4845.0
4/9/21,4860.0
4/10/21,4570.0
4/11/21,2989.0
4/12/21,1753.0
4/13/21,3374.0
4/14/21,4713.0
4/15/21,3993.0
4/16/21,3904.0
4/17/21,3787.0
4/18/21,2996.0
4/19/21,1630.0
4/20/21,3430.0
4/21/21,5113.0
4/22/21,4357.0
4/23/21,3581.0
4/24/21,3934.0
4/25/21,2377.0
4/26/21,1670.0
4/27/21,2946.0
4/28/21,3925.0
4/29/21,3663.0
4/30/21,3607.0
5/1/21,3205.0
5/2/21,2128.0
5/3/21,1334.0
5/4/21,2731.0
5/5/21,4119.0
5/6/21,3518.0
5/7/21,3723.0
5/8/21,3364.0
5/9/21,2258.0
5/10/21,1267.0
5/11/21,2456.0
5/12/21,3251.0
5/13/21,2890.0
5/14/21,1631.0
5/15/21,1967.0
5/16/21,1852.0
5/17/21,972.0
5/18/21,1819.0
5/19/21,3800.0
5/20/21,3192.0
5/21/21,2906.0
5/22/21,2516.0
5/23/21,1753.0
5/24/21,941.0
5/25/21,855.0
5/26/21,1975.0
5/27/21,2891.0
5/28/21,2360.0
5/29/21,1860.0
5/30/21,1437.0
5/31/21,801.0
6/1/21,1498.0
6/2/21,1859.0
6/3/21,1599.0
6/4/21,1449.0
6/5/21,1468.0
6/6/21,928.0
6/7/21,469.0
6/8/21,904.0
