,Bosnia and Herzegovina
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,2.0
3/6/20,0.0
3/7/20,1.0
3/8/20,0.0
3/9/20,0.0
3/10/20,2.0
3/11/20,2.0
3/12/20,4.0
3/13/20,2.0
3/14/20,5.0
3/15/20,6.0
3/16/20,1.0
3/17/20,1.0
3/18/20,12.0
3/19/20,25.0
3/20/20,26.0
3/21/20,4.0
3/22/20,33.0
3/23/20,10.0
3/24/20,30.0
3/25/20,10.0
3/26/20,15.0
3/27/20,46.0
3/28/20,21.0
3/29/20,65.0
3/30/20,45.0
3/31/20,52.0
4/1/20,39.0
4/2/20,74.0
4/3/20,46.0
4/4/20,45.0
4/5/20,30.0
4/6/20,20.0
4/7/20,90.0
4/8/20,40.0
4/9/20,54.0
4/10/20,43.0
4/11/20,45.0
4/12/20,63.0
4/13/20,28.0
4/14/20,46.0
4/15/20,27.0
4/16/20,57.0
4/17/20,47.0
4/18/20,54.0
4/19/20,17.0
4/20/20,24.0
4/21/20,33.0
4/22/20,26.0
4/23/20,45.0
4/24/20,8.0
4/25/20,65.0
4/26/20,30.0
4/27/20,49.0
4/28/20,20.0
4/29/20,92.0
4/30/20,80.0
5/1/20,24.0
5/2/20,58.0
5/3/20,18.0
5/4/20,69.0
5/5/20,20.0
5/6/20,41.0
5/7/20,40.0
5/8/20,43.0
5/9/20,20.0
5/10/20,27.0
5/11/20,24.0
5/12/20,17.0
5/13/20,23.0
5/14/20,37.0
5/15/20,18.0
5/16/20,31.0
5/17/20,23.0
5/18/20,14.0
5/19/20,17.0
5/20/20,17.0
5/21/20,12.0
5/22/20,22.0
5/23/20,19.0
5/24/20,10.0
5/25/20,5.0
5/26/20,10.0
5/27/20,19.0
5/28/20,27.0
5/29/20,23.0
5/30/20,9.0
5/31/20,16.0
6/1/20,14.0
6/2/20,11.0
6/3/20,16.0
6/4/20,43.0
6/5/20,12.0
6/6/20,0.0
6/7/20,0.0
6/8/20,98.0
6/9/20,24.0
6/10/20,47.0
6/11/20,57.0
6/12/20,61.0
6/13/20,0.0
6/14/20,0.0
6/15/20,147.0
6/16/20,45.0
6/17/20,56.0
6/18/20,33.0
6/19/20,99.0
6/20/20,0.0
6/21/20,0.0
6/22/20,252.0
6/23/20,63.0
6/24/20,88.0
6/25/20,120.0
6/26/20,139.0
6/27/20,0.0
6/28/20,0.0
6/29/20,390.0
6/30/20,128.0
7/1/20,153.0
7/2/20,182.0
7/3/20,174.0
7/4/20,0.0
7/5/20,0.0
7/6/20,496.0
7/7/20,163.0
7/8/20,248.0
7/9/20,217.0
7/10/20,316.0
7/11/20,317.0
7/12/20,158.0
7/13/20,104.0
7/14/20,0.0
7/15/20,430.0
7/16/20,270.0
7/17/20,227.0
7/18/20,253.0
7/19/20,179.0
7/20/20,139.0
7/21/20,308.0
7/22/20,328.0
7/23/20,347.0
7/24/20,305.0
7/25/20,0.0
7/26/20,0.0
7/27/20,731.0
7/28/20,268.0
7/29/20,361.0
7/30/20,317.0
7/31/20,432.0
8/1/20,0.0
8/2/20,420.0
8/3/20,166.0
8/4/20,394.0
8/5/20,282.0
8/6/20,258.0
8/7/20,291.0
8/8/20,0.0
8/9/20,0.0
8/10/20,811.0
8/11/20,210.0
8/12/20,253.0
8/13/20,223.0
8/14/20,351.0
8/15/20,266.0
8/16/20,0.0
8/17/20,310.0
8/18/20,240.0
8/19/20,340.0
8/20/20,338.0
8/21/20,367.0
8/22/20,319.0
8/23/20,0.0
8/24/20,314.0
8/25/20,297.0
8/26/20,283.0
8/27/20,311.0
8/28/20,294.0
8/29/20,336.0
8/30/20,243.0
8/31/20,171.0
9/1/20,270.0
9/2/20,283.0
9/3/20,287.0
9/4/20,338.0
9/5/20,297.0
9/6/20,121.0
9/7/20,100.0
9/8/20,301.0
9/9/20,297.0
9/10/20,286.0
9/11/20,290.0
9/12/20,304.0
9/13/20,327.0
9/14/20,170.0
9/15/20,294.0
9/16/20,282.0
9/17/20,394.0
9/18/20,292.0
9/19/20,320.0
9/20/20,211.0
9/21/20,93.0
9/22/20,216.0
9/23/20,344.0
9/24/20,235.0
9/25/20,248.0
9/26/20,233.0
9/27/20,123.0
9/28/20,81.0
9/29/20,225.0
9/30/20,243.0
10/1/20,280.0
10/2/20,226.0
10/3/20,0.0
10/4/20,379.0
10/5/20,95.0
10/6/20,261.0
10/7/20,365.0
10/8/20,453.0
10/9/20,389.0
10/10/20,428.0
10/11/20,302.0
10/12/20,190.0
10/13/20,336.0
10/14/20,482.0
10/15/20,569.0
10/16/20,621.0
10/17/20,716.0
10/18/20,551.0
10/19/20,549.0
10/20/20,728.0
10/21/20,926.0
10/22/20,999.0
10/23/20,1179.0
10/24/20,1265.0
10/25/20,1135.0
10/26/20,703.0
10/27/20,1555.0
10/28/20,1586.0
10/29/20,1902.0
10/30/20,1498.0
10/31/20,1953.0
11/1/20,1415.0
11/2/20,764.0
11/3/20,1553.0
11/4/20,1776.0
11/5/20,1908.0
11/6/20,1921.0
11/7/20,1785.0
11/8/20,1211.0
11/9/20,996.0
11/10/20,1605.0
11/11/20,1541.0
11/12/20,1728.0
11/13/20,1332.0
11/14/20,1275.0
11/15/20,1056.0
11/16/20,733.0
11/17/20,1255.0
11/18/20,1633.0
11/19/20,1180.0
11/20/20,1237.0
11/21/20,1315.0
11/22/20,697.0
11/23/20,547.0
11/24/20,1186.0
11/25/20,1589.0
11/26/20,924.0
11/27/20,1179.0
11/28/20,1279.0
11/29/20,664.0
11/30/20,527.0
12/1/20,1184.0
12/2/20,1293.0
12/3/20,1161.0
12/4/20,1254.0
12/5/20,975.0
12/6/20,739.0
12/7/20,437.0
12/8/20,1077.0
12/9/20,1296.0
12/10/20,1286.0
12/11/20,940.0
12/12/20,763.0
12/13/20,811.0
12/14/20,344.0
12/15/20,869.0
12/16/20,902.0
12/17/20,855.0
12/18/20,794.0
12/19/20,643.0
12/20/20,0.0
12/21/20,698.0
12/22/20,764.0
12/23/20,584.0
12/24/20,728.0
12/25/20,593.0
12/26/20,439.0
12/27/20,361.0
12/28/20,220.0
12/29/20,543.0
12/30/20,531.0
12/31/20,0.0
1/1/21,1158.0
1/2/21,0.0
1/3/21,502.0
1/4/21,0.0
1/5/21,747.0
1/6/21,0.0
1/7/21,0.0
1/8/21,1528.0
1/9/21,459.0
1/10/21,254.0
1/11/21,0.0
1/12/21,567.0
1/13/21,468.0
1/14/21,343.0
1/15/21,0.0
1/16/21,0.0
1/17/21,0.0
1/18/21,1072.0
1/19/21,300.0
1/20/21,334.0
1/21/21,489.0
1/22/21,214.0
1/23/21,0.0
1/24/21,0.0
1/25/21,723.0
1/26/21,389.0
1/27/21,332.0
1/28/21,330.0
1/29/21,303.0
1/30/21,0.0
1/31/21,0.0
2/1/21,702.0
2/2/21,262.0
2/3/21,367.0
2/4/21,0.0
2/5/21,606.0
2/6/21,0.0
2/7/21,0.0
2/8/21,667.0
2/9/21,342.0
2/10/21,253.0
2/11/21,427.0
2/12/21,279.0
2/13/21,0.0
2/14/21,0.0
2/15/21,737.0
2/16/21,274.0
2/17/21,368.0
2/18/21,354.0
2/19/21,402.0
2/20/21,0.0
2/21/21,0.0
2/22/21,1124.0
2/23/21,515.0
2/24/21,577.0
2/25/21,757.0
2/26/21,469.0
2/27/21,0.0
2/28/21,0.0
3/1/21,0.0
3/2/21,2109.0
3/3/21,894.0
3/4/21,910.0
3/5/21,621.0
3/6/21,0.0
3/7/21,0.0
3/8/21,1778.0
3/9/21,1251.0
3/10/21,1110.0
3/11/21,1338.0
3/12/21,1170.0
3/13/21,0.0
3/14/21,0.0
3/15/21,2671.0
3/16/21,1606.0
3/17/21,1726.0
3/18/21,1728.0
3/19/21,1446.0
3/20/21,0.0
3/21/21,0.0
3/22/21,3290.0
3/23/21,1719.0
3/24/21,1852.0
3/25/21,1965.0
3/26/21,1869.0
3/27/21,0.0
3/28/21,0.0
3/29/21,3755.0
3/30/21,1867.0
3/31/21,1972.0
4/1/21,1698.0
4/2/21,2154.0
4/3/21,0.0
4/4/21,0.0
4/5/21,2935.0
4/6/21,1093.0
4/7/21,1742.0
4/8/21,1583.0
4/9/21,1096.0
4/10/21,0.0
4/11/21,0.0
4/12/21,2771.0
4/13/21,0.0
4/14/21,1674.0
4/15/21,1343.0
4/16/21,1279.0
4/17/21,0.0
4/18/21,0.0
4/19/21,2160.0
4/20/21,722.0
4/21/21,1239.0
4/22/21,1256.0
4/23/21,362.0
4/24/21,0.0
4/25/21,0.0
4/26/21,1238.0
4/27/21,761.0
4/28/21,646.0
4/29/21,488.0
4/30/21,595.0
5/1/21,0.0
5/2/21,0.0
5/3/21,0.0
5/4/21,1002.0
5/5/21,419.0
5/6/21,471.0
5/7/21,340.0
5/8/21,0.0
5/9/21,0.0
5/10/21,524.0
5/11/21,295.0
5/12/21,284.0
5/13/21,207.0
5/14/21,140.0
5/15/21,0.0
5/16/21,0.0
5/17/21,347.0
5/18/21,185.0
5/19/21,172.0
5/20/21,171.0
5/21/21,132.0
5/22/21,0.0
5/23/21,0.0
5/24/21,241.0
5/25/21,122.0
5/26/21,145.0
5/27/21,104.0
5/28/21,77.0
5/29/21,0.0
5/30/21,0.0
5/31/21,173.0
6/1/21,81.0
6/2/21,79.0
6/3/21,80.0
6/4/21,52.0
6/5/21,0.0
6/6/21,0.0
6/7/21,106.0
6/8/21,45.0
6/9/21,57.0
6/10/21,55.0
6/11/21,30.0
6/12/21,0.0
6/13/21,0.0
6/14/21,71.0
6/15/21,29.0
6/16/21,33.0
6/17/21,61.0
6/18/21,23.0
6/19/21,0.0
6/20/21,0.0
6/21/21,46.0
6/22/21,26.0
6/23/21,24.0
6/24/21,26.0
6/25/21,9.0
6/26/21,0.0
6/27/21,0.0
