,Bulgaria
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,4.0
3/9/20,0.0
3/10/20,0.0
3/11/20,3.0
3/12/20,0.0
3/13/20,16.0
3/14/20,18.0
3/15/20,10.0
3/16/20,1.0
3/17/20,15.0
3/18/20,25.0
3/19/20,2.0
3/20/20,33.0
3/21/20,36.0
3/22/20,24.0
3/23/20,14.0
3/24/20,17.0
3/25/20,24.0
3/26/20,22.0
3/27/20,29.0
3/28/20,38.0
3/29/20,15.0
3/30/20,13.0
3/31/20,40.0
4/1/20,23.0
4/2/20,35.0
4/3/20,28.0
4/4/20,18.0
4/5/20,28.0
4/6/20,18.0
4/7/20,28.0
4/8/20,16.0
4/9/20,25.0
4/10/20,17.0
4/11/20,26.0
4/12/20,14.0
4/13/20,10.0
4/14/20,28.0
4/15/20,34.0
4/16/20,53.0
4/17/20,46.0
4/18/20,32.0
4/19/20,16.0
4/20/20,35.0
4/21/20,46.0
4/22/20,49.0
4/23/20,73.0
4/24/20,137.0
4/25/20,13.0
4/26/20,53.0
4/27/20,63.0
4/28/20,36.0
4/29/20,48.0
4/30/20,59.0
5/1/20,49.0
5/2/20,39.0
5/3/20,24.0
5/4/20,34.0
5/5/20,52.0
5/6/20,74.0
5/7/20,51.0
5/8/20,43.0
5/9/20,49.0
5/10/20,44.0
5/11/20,25.0
5/12/20,33.0
5/13/20,46.0
5/14/20,31.0
5/15/20,38.0
5/16/20,37.0
5/17/20,36.0
5/18/20,24.0
5/19/20,24.0
5/20/20,33.0
5/21/20,39.0
5/22/20,41.0
5/23/20,36.0
5/24/20,19.0
5/25/20,6.0
5/26/20,10.0
5/27/20,17.0
5/28/20,17.0
5/29/20,8.0
5/30/20,14.0
5/31/20,14.0
6/1/20,6.0
6/2/20,19.0
6/3/20,22.0
6/4/20,25.0
6/5/20,42.0
6/6/20,84.0
6/7/20,16.0
6/8/20,83.0
6/9/20,79.0
6/10/20,104.0
6/11/20,93.0
6/12/20,105.0
6/13/20,75.0
6/14/20,24.0
6/15/20,51.0
6/16/20,112.0
6/17/20,89.0
6/18/20,132.0
6/19/20,81.0
6/20/20,117.0
6/21/20,33.0
6/22/20,79.0
6/23/20,130.0
6/24/20,128.0
6/25/20,166.0
6/26/20,105.0
6/27/20,112.0
6/28/20,66.0
6/29/20,140.0
6/30/20,158.0
7/1/20,165.0
7/2/20,161.0
7/3/20,182.0
7/4/20,180.0
7/5/20,63.0
7/6/20,174.0
7/7/20,188.0
7/8/20,240.0
7/9/20,330.0
7/10/20,292.0
7/11/20,211.0
7/12/20,77.0
7/13/20,159.0
7/14/20,234.0
7/15/20,232.0
7/16/20,267.0
7/17/20,298.0
7/18/20,196.0
7/19/20,95.0
7/20/20,196.0
7/21/20,325.0
7/22/20,330.0
7/23/20,269.0
7/24/20,270.0
7/25/20,189.0
7/26/20,115.0
7/27/20,194.0
7/28/20,250.0
7/29/20,284.0
7/30/20,265.0
7/31/20,270.0
8/1/20,146.0
8/2/20,119.0
8/3/20,204.0
8/4/20,255.0
8/5/20,303.0
8/6/20,297.0
8/7/20,195.0
8/8/20,134.0
8/9/20,53.0
8/10/20,116.0
8/11/20,210.0
8/12/20,171.0
8/13/20,0.0
8/14/20,350.0
8/15/20,90.0
8/16/20,32.0
8/17/20,135.0
8/18/20,169.0
8/19/20,151.0
8/20/20,142.0
8/21/20,169.0
8/22/20,0.0
8/23/20,156.0
8/24/20,99.0
8/25/20,203.0
8/26/20,162.0
8/27/20,157.0
8/28/20,157.0
8/29/20,99.0
8/30/20,26.0
8/31/20,76.0
9/1/20,188.0
9/2/20,163.0
9/3/20,158.0
9/4/20,179.0
9/5/20,96.0
9/6/20,39.0
9/7/20,57.0
9/8/20,167.0
9/9/20,122.0
9/10/20,163.0
9/11/20,201.0
9/12/20,92.0
9/13/20,27.0
9/14/20,143.0
9/15/20,155.0
9/16/20,174.0
9/17/20,154.0
9/18/20,189.0
9/19/20,86.0
9/20/20,44.0
9/21/20,151.0
9/22/20,109.0
9/23/20,160.0
9/24/20,290.0
9/25/20,255.0
9/26/20,169.0
9/27/20,58.0
9/28/20,216.0
9/29/20,276.0
9/30/20,286.0
10/1/20,0.0
10/2/20,503.0
10/3/20,182.0
10/4/20,69.0
10/5/20,283.0
10/6/20,436.0
10/7/20,437.0
10/8/20,516.0
10/9/20,612.0
10/10/20,448.0
10/11/20,83.0
10/12/20,587.0
10/13/20,785.0
10/14/20,819.0
10/15/20,914.0
10/16/20,998.0
10/17/20,603.0
10/18/20,395.0
10/19/20,1024.0
10/20/20,1336.0
10/21/20,1472.0
10/22/20,1595.0
10/23/20,1589.0
10/24/20,1043.0
10/25/20,327.0
10/26/20,2243.0
10/27/20,2569.0
10/28/20,2760.0
10/29/20,2689.0
10/30/20,2891.0
10/31/20,1803.0
11/1/20,1225.0
11/2/20,2427.0
11/3/20,4041.0
11/4/20,4054.0
11/5/20,3754.0
11/6/20,3839.0
11/7/20,2301.0
11/8/20,675.0
11/9/20,3816.0
11/10/20,4390.0
11/11/20,3945.0
11/12/20,3414.0
11/13/20,4212.0
11/14/20,2498.0
11/15/20,816.0
11/16/20,3519.0
11/17/20,4828.0
11/18/20,3938.0
11/19/20,3899.0
11/20/20,3983.0
11/21/20,2279.0
11/22/20,1123.0
11/23/20,3146.0
11/24/20,4382.0
11/25/20,3712.0
11/26/20,3568.0
11/27/20,3327.0
11/28/20,1792.0
11/29/20,739.0
11/30/20,2814.0
12/1/20,3475.0
12/2/20,3138.0
12/3/20,3280.0
12/4/20,3614.0
12/5/20,2037.0
12/6/20,577.0
12/7/20,2764.0
12/8/20,3980.0
12/9/20,3328.0
12/10/20,3075.0
12/11/20,3097.0
12/12/20,1287.0
12/13/20,497.0
12/14/20,2095.0
12/15/20,2743.0
12/16/20,1959.0
12/17/20,2042.0
12/18/20,1739.0
12/19/20,1002.0
12/20/20,166.0
12/21/20,1277.0
12/22/20,1799.0
12/23/20,1615.0
12/24/20,772.0
12/25/20,257.0
12/26/20,469.0
12/27/20,332.0
12/28/20,337.0
12/29/20,1438.0
12/30/20,1729.0
12/31/20,1046.0
1/1/21,274.0
1/2/21,340.0
1/3/21,171.0
1/4/21,1029.0
1/5/21,1310.0
1/6/21,1002.0
1/7/21,867.0
1/8/21,753.0
1/9/21,394.0
1/10/21,105.0
1/11/21,620.0
1/12/21,750.0
1/13/21,535.0
1/14/21,535.0
1/15/21,552.0
1/16/21,233.0
1/17/21,77.0
1/18/21,570.0
1/19/21,544.0
1/20/21,482.0
1/21/21,455.0
1/22/21,566.0
1/23/21,266.0
1/24/21,121.0
1/25/21,772.0
1/26/21,827.0
1/27/21,598.0
1/28/21,560.0
1/29/21,695.0
1/30/21,349.0
1/31/21,130.0
2/1/21,832.0
2/2/21,967.0
2/3/21,719.0
2/4/21,883.0
2/5/21,910.0
2/6/21,493.0
2/7/21,182.0
2/8/21,1115.0
2/9/21,1212.0
2/10/21,913.0
2/11/21,1070.0
2/12/21,966.0
2/13/21,506.0
2/14/21,163.0
2/15/21,1068.0
2/16/21,1349.0
2/17/21,1246.0
2/18/21,1086.0
2/19/21,1463.0
2/20/21,548.0
2/21/21,227.0
2/22/21,1925.0
2/23/21,1800.0
2/24/21,1733.0
2/25/21,1822.0
2/26/21,1681.0
2/27/21,1079.0
2/28/21,332.0
3/1/21,2588.0
3/2/21,2403.0
3/3/21,1154.0
3/4/21,2198.0
3/5/21,3004.0
3/6/21,1426.0
3/7/21,497.0
3/8/21,2995.0
3/9/21,3502.0
3/10/21,2774.0
3/11/21,3121.0
3/12/21,3159.0
3/13/21,2019.0
3/14/21,679.0
3/15/21,4637.0
3/16/21,4374.0
3/17/21,4201.0
3/18/21,4008.0
3/19/21,4162.0
3/20/21,2541.0
3/21/21,943.0
3/22/21,4467.0
3/23/21,4851.0
3/24/21,4375.0
3/25/21,3988.0
3/26/21,4129.0
3/27/21,2537.0
3/28/21,983.0
3/29/21,4497.0
3/30/21,5176.0
3/31/21,4207.0
4/1/21,3694.0
4/2/21,4013.0
4/3/21,1919.0
4/4/21,740.0
4/5/21,3860.0
4/6/21,0.0
4/7/21,7560.0
4/8/21,2957.0
4/9/21,2803.0
4/10/21,1352.0
4/11/21,462.0
4/12/21,3122.0
4/13/21,2944.0
4/14/21,2517.0
4/15/21,2185.0
4/16/21,2126.0
4/17/21,1076.0
4/18/21,418.0
4/19/21,2434.0
4/20/21,2096.0
4/21/21,2002.0
4/22/21,0.0
4/23/21,3389.0
4/24/21,798.0
4/25/21,400.0
4/26/21,1759.0
4/27/21,1850.0
4/28/21,1382.0
4/29/21,1237.0
4/30/21,652.0
5/1/21,466.0
5/2/21,348.0
5/3/21,631.0
5/4/21,367.0
5/5/21,1635.0
5/6/21,545.0
5/7/21,1123.0
5/8/21,466.0
5/9/21,241.0
5/10/21,1078.0
5/11/21,877.0
5/12/21,657.0
5/13/21,506.0
5/14/21,518.0
5/15/21,203.0
5/16/21,151.0
5/17/21,677.0
5/18/21,457.0
5/19/21,361.0
5/20/21,368.0
5/21/21,362.0
5/22/21,148.0
5/23/21,81.0
5/24/21,81.0
5/25/21,406.0
5/26/21,393.0
5/27/21,293.0
5/28/21,287.0
5/29/21,115.0
5/30/21,53.0
5/31/21,303.0
6/1/21,236.0
6/2/21,197.0
6/3/21,170.0
6/4/21,157.0
6/5/21,89.0
6/6/21,47.0
6/7/21,208.0
6/8/21,178.0
6/9/21,131.0
6/10/21,100.0
6/11/21,123.0
6/12/21,81.0
6/13/21,42.0
6/14/21,157.0
6/15/21,161.0
6/16/21,95.0
6/17/21,110.0
6/18/21,105.0
6/19/21,41.0
6/20/21,27.0
6/21/21,120.0
6/22/21,94.0
