,Chile
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,2.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,7.0
3/2/20,0.0
3/3/20,1.0
3/4/20,0.0
3/5/20,3.0
3/6/20,0.0
3/7/20,0.0
3/8/20,7.0
3/9/20,0.0
3/10/20,5.0
3/11/20,10.0
3/12/20,0.0
3/13/20,20.0
3/14/20,33.0
3/15/20,13.0
3/16/20,81.0
3/17/20,46.0
3/18/20,37.0
3/19/20,0.0
3/20/20,196.0
3/21/20,131.0
3/22/20,95.0
3/23/20,114.0
3/24/20,176.0
3/25/20,220.0
3/26/20,164.0
3/27/20,304.0
3/28/20,350.0
3/29/20,230.0
3/30/20,310.0
3/31/20,289.0
4/1/20,293.0
4/2/20,373.0
4/3/20,333.0
4/4/20,512.0
4/5/20,310.0
4/6/20,344.0
4/7/20,301.0
4/8/20,430.0
4/9/20,426.0
4/10/20,529.0
4/11/20,671.0
4/12/20,286.0
4/13/20,312.0
4/14/20,392.0
4/15/20,356.0
4/16/20,534.0
4/17/20,445.0
4/18/20,907.0
4/19/20,358.0
4/20/20,419.0
4/21/20,325.0
4/22/20,464.0
4/23/20,516.0
4/24/20,494.0
4/25/20,1363.0
4/26/20,473.0
4/27/20,482.0
4/28/20,552.0
4/29/20,520.0
4/30/20,1138.0
5/1/20,985.0
5/2/20,2526.0
5/3/20,1228.0
5/4/20,980.0
5/5/20,1373.0
5/6/20,1032.0
5/7/20,1533.0
5/8/20,1391.0
5/9/20,3458.0
5/10/20,1647.0
5/11/20,1197.0
5/12/20,1658.0
5/13/20,2660.0
5/14/20,2659.0
5/15/20,2502.0
5/16/20,5485.0
5/17/20,2353.0
5/18/20,2278.0
5/19/20,3520.0
5/20/20,4038.0
5/21/20,3964.0
5/22/20,4276.0
5/23/20,9842.0
5/24/20,3709.0
5/25/20,4895.0
5/26/20,3964.0
5/27/20,4328.0
5/28/20,4654.0
5/29/20,3695.0
5/30/20,13188.0
5/31/20,4830.0
6/1/20,5470.0
6/2/20,3528.0
6/3/20,4942.0
6/4/20,4664.0
6/5/20,4207.0
6/6/20,13990.0
6/7/20,6405.0
6/8/20,4696.0
6/9/20,3913.0
6/10/20,5697.0
6/11/20,5636.0
6/12/20,6754.0
6/13/20,8182.0
6/14/20,6938.0
6/15/20,5143.0
6/16/20,5013.0
6/17/20,1900.0
6/18/20,4475.0
6/19/20,6290.0
6/20/20,5355.0
6/21/20,5607.0
6/22/20,4608.0
6/23/20,3804.0
6/24/20,3649.0
6/25/20,4648.0
6/26/20,4296.0
6/27/20,4406.0
6/28/20,4216.0
6/29/20,4017.0
6/30/20,3394.0
7/1/20,2650.0
7/2/20,2498.0
7/3/20,3548.0
7/4/20,3758.0
7/5/20,3685.0
7/6/20,3025.0
7/7/20,2462.0
7/8/20,2064.0
7/9/20,3133.0
7/10/20,3058.0
7/11/20,2755.0
7/12/20,3012.0
7/13/20,2616.0
7/14/20,1836.0
7/15/20,1712.0
7/16/20,2493.0
7/17/20,2741.0
7/18/20,2407.0
7/19/20,2084.0
7/20/20,2099.0
7/21/20,1654.0
7/22/20,1719.0
7/23/20,2357.0
7/24/20,2545.0
7/25/20,2288.0
7/26/20,2198.0
7/27/20,2133.0
7/28/20,1877.0
7/29/20,1775.0
7/30/20,1961.0
7/31/20,2131.0
8/1/20,1991.0
8/2/20,2073.0
8/3/20,1762.0
8/4/20,1469.0
8/5/20,1761.0
8/6/20,1948.0
8/7/20,2154.0
8/8/20,2198.0
8/9/20,2033.0
8/10/20,1988.0
8/11/20,1572.0
8/12/20,1552.0
8/13/20,1866.0
8/14/20,2077.0
8/15/20,1791.0
8/16/20,2044.0
8/17/20,1556.0
8/18/20,1353.0
8/19/20,1182.0
8/20/20,1812.0
8/21/20,1920.0
8/22/20,1939.0
8/23/20,1957.0
8/24/20,1903.0
8/25/20,1417.0
8/26/20,1380.0
8/27/20,1737.0
8/28/20,1870.0
8/29/20,2037.0
8/30/20,1965.0
8/31/20,1752.0
9/1/20,1419.0
9/2/20,1594.0
9/3/20,1762.0
9/4/20,1968.0
9/5/20,1965.0
9/6/20,2076.0
9/7/20,1764.0
9/8/20,1267.0
9/9/20,1486.0
9/10/20,1642.0
9/11/20,1866.0
9/12/20,2131.0
9/13/20,2082.0
9/14/20,1685.0
9/15/20,1550.0
9/16/20,1304.0
9/17/20,1863.0
9/18/20,1677.0
9/19/20,1847.0
9/20/20,1600.0
9/21/20,1194.0
9/22/20,1055.0
9/23/20,1380.0
9/24/20,1731.0
9/25/20,2234.0
9/26/20,2111.0
9/27/20,1922.0
9/28/20,1770.0
9/29/20,1629.0
9/30/20,1691.0
10/1/20,1759.0
10/2/20,1840.0
10/3/20,1881.0
10/4/20,1708.0
10/5/20,1567.0
10/6/20,1560.0
10/7/20,1134.0
10/8/20,1576.0
10/9/20,1753.0
10/10/20,1826.0
10/11/20,1776.0
10/12/20,1461.0
10/13/20,1448.0
10/14/20,1092.0
10/15/20,1124.0
10/16/20,1694.0
10/17/20,1813.0
10/18/20,1757.0
10/19/20,1545.0
10/20/20,1173.0
10/21/20,1159.0
10/22/20,1494.0
10/23/20,1775.0
10/24/20,1636.0
10/25/20,1521.0
10/26/20,1535.0
10/27/20,927.0
10/28/20,1005.0
10/29/20,1520.0
10/30/20,1521.0
10/31/20,1685.0
11/1/20,1608.0
11/2/20,1276.0
11/3/20,1062.0
11/4/20,840.0
11/5/20,1540.0
11/6/20,1808.0
11/7/20,1587.0
11/8/20,1581.0
11/9/20,1321.0
11/10/20,1028.0
11/11/20,897.0
11/12/20,1634.0
11/13/20,1592.0
11/14/20,1646.0
11/15/20,1597.0
11/16/20,1331.0
11/17/20,1006.0
11/18/20,948.0
11/19/20,1454.0
11/20/20,1573.0
11/21/20,1558.0
11/22/20,1497.0
11/23/20,1440.0
11/24/20,1007.0
11/25/20,1005.0
11/26/20,1570.0
11/27/20,1581.0
11/28/20,1698.0
11/29/20,1489.0
11/30/20,1313.0
12/1/20,1121.0
12/2/20,1034.0
12/3/20,1508.0
12/4/20,1729.0
12/5/20,1533.0
12/6/20,1714.0
12/7/20,1760.0
12/8/20,1392.0
12/9/20,1244.0
12/10/20,1662.0
12/11/20,1534.0
12/12/20,1807.0
12/13/20,2138.0
12/14/20,1911.0
12/15/20,1499.0
12/16/20,1402.0
12/17/20,2001.0
12/18/20,2403.0
12/19/20,2220.0
12/20/20,2191.0
12/21/20,2447.0
12/22/20,1196.0
12/23/20,1725.0
12/24/20,3238.0
12/25/20,1679.0
12/26/20,2563.0
12/27/20,1711.0
12/28/20,1923.0
12/29/20,1958.0
12/30/20,2964.0
12/31/20,2023.0
1/1/21,3591.0
1/2/21,3338.0
1/3/21,2289.0
1/4/21,2450.0
1/5/21,2460.0
1/6/21,2382.0
1/7/21,3693.0
1/8/21,4205.0
1/9/21,4361.0
1/10/21,4181.0
1/11/21,3969.0
1/12/21,3243.0
1/13/21,3390.0
1/14/21,4187.0
1/15/21,4468.0
1/16/21,4313.0
1/17/21,4339.0
1/18/21,3918.0
1/19/21,3401.0
1/20/21,3589.0
1/21/21,4367.0
1/22/21,4959.0
1/23/21,4581.0
1/24/21,4463.0
1/25/21,4068.0
1/26/21,3322.0
1/27/21,3388.0
1/28/21,4255.0
1/29/21,4606.0
1/30/21,4151.0
1/31/21,4209.0
2/1/21,3779.0
2/2/21,3147.0
2/3/21,2610.0
2/4/21,3592.0
2/5/21,3782.0
2/6/21,4063.0
2/7/21,3804.0
2/8/21,3464.0
2/9/21,2839.0
2/10/21,2387.0
2/11/21,3731.0
2/12/21,4164.0
2/13/21,3925.0
2/14/21,3813.0
2/15/21,3332.0
2/16/21,2498.0
2/17/21,2275.0
2/18/21,3828.0
2/19/21,3797.0
2/20/21,3906.0
2/21/21,3615.0
2/22/21,3549.0
2/23/21,2308.0
2/24/21,2555.0
2/25/21,4472.0
2/26/21,4585.0
2/27/21,4489.0
2/28/21,3207.0
3/1/21,5145.0
3/2/21,2742.0
3/3/21,3040.0
3/4/21,4567.0
3/5/21,5331.0
3/6/21,5033.0
3/7/21,5302.0
3/8/21,4748.0
3/9/21,3531.0
3/10/21,3885.0
3/11/21,5563.0
3/12/21,5973.0
3/13/21,5894.0
3/14/21,5731.0
3/15/21,5121.0
3/16/21,4551.0
3/17/21,3430.0
3/18/21,7257.0
3/19/21,6584.0
3/20/21,7036.0
3/21/21,6850.0
3/22/21,6155.0
3/23/21,4864.0
3/24/21,4825.0
3/25/21,7060.0
3/26/21,7478.0
3/27/21,7592.0
3/28/21,7330.0
3/29/21,7241.0
3/30/21,5008.0
3/31/21,6046.0
4/1/21,7868.0
4/2/21,8079.0
4/3/21,7993.0
4/4/21,7307.0
4/5/21,5827.0
4/6/21,5168.0
4/7/21,5242.0
4/8/21,8248.0
4/9/21,9151.0
4/10/21,8101.0
4/11/21,7977.0
4/12/21,6421.0
4/13/21,5790.0
4/14/21,5557.0
4/15/21,7431.0
4/16/21,7613.0
4/17/21,8037.0
4/18/21,7370.0
4/19/21,6622.0
4/20/21,4849.0
4/21/21,5214.0
4/22/21,6917.0
4/23/21,7582.0
4/24/21,6909.0
4/25/21,6725.0
4/26/21,6078.0
4/27/21,4158.0
4/28/21,4499.0
4/29/21,6720.0
4/30/21,7254.0
5/1/21,5510.0
5/2/21,7165.0
5/3/21,4895.0
5/4/21,3249.0
5/5/21,3885.0
5/6/21,6299.0
5/7/21,6530.0
5/8/21,6198.0
5/9/21,5493.0
5/10/21,5339.0
5/11/21,3738.0
5/12/21,3902.0
5/13/21,6153.0
5/14/21,6915.0
5/15/21,6736.0
5/16/21,6296.0
5/17/21,5548.0
5/18/21,3766.0
5/19/21,4767.0
5/20/21,7682.0
5/21/21,7602.0
5/22/21,7500.0
5/23/21,6505.0
5/24/21,5343.0
5/25/21,4160.0
5/26/21,5197.0
5/27/21,8105.0
