,Colombia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,2.0
3/11/20,6.0
3/12/20,0.0
3/13/20,4.0
3/14/20,9.0
3/15/20,12.0
3/16/20,23.0
3/17/20,18.0
3/18/20,27.0
3/19/20,6.0
3/20/20,50.0
3/21/20,38.0
3/22/20,35.0
3/23/20,46.0
3/24/20,101.0
3/25/20,92.0
3/26/20,21.0
3/27/20,48.0
3/28/20,69.0
3/29/20,94.0
3/30/20,96.0
3/31/20,108.0
4/1/20,159.0
4/2/20,96.0
4/3/20,106.0
4/4/20,139.0
4/5/20,79.0
4/6/20,94.0
4/7/20,201.0
4/8/20,274.0
4/9/20,169.0
4/10/20,250.0
4/11/20,236.0
4/12/20,67.0
4/13/20,76.0
4/14/20,127.0
4/15/20,126.0
4/16/20,128.0
4/17/20,206.0
4/18/20,182.0
4/19/20,171.0
4/20/20,185.0
4/21/20,172.0
4/22/20,207.0
4/23/20,205.0
4/24/20,320.0
4/25/20,261.0
4/26/20,237.0
4/27/20,218.0
4/28/20,352.0
4/29/20,258.0
4/30/20,300.0
5/1/20,499.0
5/2/20,279.0
5/3/20,383.0
5/4/20,305.0
5/5/20,640.0
5/6/20,346.0
5/7/20,497.0
5/8/20,595.0
5/9/20,444.0
5/10/20,568.0
5/11/20,550.0
5/12/20,659.0
5/13/20,658.0
5/14/20,680.0
5/15/20,606.0
5/16/20,723.0
5/17/20,635.0
5/18/20,721.0
5/19/20,640.0
5/20/20,752.0
5/21/20,643.0
5/22/20,801.0
5/23/20,1046.0
5/24/20,998.0
5/25/20,806.0
5/26/20,1022.0
5/27/20,1101.0
5/28/20,1262.0
5/29/20,1322.0
5/30/20,1548.0
5/31/20,1147.0
6/1/20,1110.0
6/2/20,1340.0
6/3/20,1521.0
6/4/20,1766.0
6/5/20,1515.0
6/6/20,1392.0
6/7/20,1209.0
6/8/20,1483.0
6/9/20,1359.0
6/10/20,1604.0
6/11/20,1530.0
6/12/20,1646.0
6/13/20,1888.0
6/14/20,2193.0
6/15/20,2124.0
6/16/20,1868.0
6/17/20,2115.0
6/18/20,3171.0
6/19/20,3059.0
6/20/20,2357.0
6/21/20,3019.0
6/22/20,2531.0
6/23/20,2389.0
6/24/20,3541.0
6/25/20,3486.0
6/26/20,3843.0
6/27/20,4149.0
6/28/20,3178.0
6/29/20,3274.0
6/30/20,2803.0
7/1/20,4163.0
7/2/20,4101.0
7/3/20,3395.0
7/4/20,3884.0
7/5/20,3721.0
7/6/20,3171.0
7/7/20,4213.0
7/8/20,4144.0
7/9/20,5335.0
7/10/20,6803.0
7/11/20,4856.0
7/12/20,4813.0
7/13/20,3832.0
7/14/20,5621.0
7/15/20,5271.0
7/16/20,8037.0
7/17/20,8934.0
7/18/20,8560.0
7/19/20,6578.0
7/20/20,6727.0
7/21/20,7033.0
7/22/20,7390.0
7/23/20,7945.0
7/24/20,7168.0
7/25/20,7254.0
7/26/20,8181.0
7/27/20,8125.0
7/28/20,10284.0
7/29/20,8670.0
7/30/20,9965.0
7/31/20,9488.0
8/1/20,10673.0
8/2/20,11470.0
8/3/20,10199.0
8/4/20,7129.0
8/5/20,10735.0
8/6/20,11996.0
8/7/20,9494.0
8/8/20,9666.0
8/9/20,10611.0
8/10/20,10142.0
8/11/20,12830.0
8/12/20,12066.0
8/13/20,11286.0
8/14/20,11306.0
8/15/20,11578.0
8/16/20,11643.0
8/17/20,8328.0
8/18/20,12462.0
8/19/20,13056.0
8/20/20,11541.0
8/21/20,8419.0
8/22/20,10965.0
8/23/20,8036.0
8/24/20,10549.0
8/25/20,10425.0
8/26/20,10130.0
8/27/20,9752.0
8/28/20,8497.0
8/29/20,9392.0
8/30/20,8020.0
8/31/20,7190.0
9/1/20,8932.0
9/2/20,9295.0
9/3/20,8253.0
9/4/20,8489.0
9/5/20,8393.0
9/6/20,8065.0
9/7/20,5327.0
9/8/20,7665.0
9/9/20,7338.0
9/10/20,7813.0
9/11/20,7424.0
9/12/20,6876.0
9/13/20,7355.0
9/14/20,5573.0
9/15/20,6698.0
9/16/20,7787.0
9/17/20,7568.0
9/18/20,6526.0
9/19/20,7927.0
9/20/20,6678.0
9/21/20,5359.0
9/22/20,7102.0
9/23/20,6731.0
9/24/20,6555.0
9/25/20,7494.0
9/26/20,7721.0
9/27/20,7018.0
9/28/20,5147.0
9/29/20,5839.0
9/30/20,5637.0
10/1/20,5660.0
10/2/20,6193.0
10/3/20,6615.0
10/4/20,6905.0
10/5/20,7106.0
10/6/20,7650.0
10/7/20,7876.0
10/8/20,8495.0
10/9/20,8121.0
10/10/20,8447.0
10/11/20,8569.0
10/12/20,7768.0
10/13/20,5014.0
10/14/20,6061.0
10/15/20,6823.0
10/16/20,8372.0
10/17/20,7017.0
10/18/20,7201.0
10/19/20,6311.0
10/20/20,8256.0
10/21/20,7561.0
10/22/20,8673.0
10/23/20,8569.0
10/24/20,8769.0
10/25/20,8174.0
10/26/20,9167.0
10/27/20,8166.0
10/28/20,8717.0
10/29/20,11187.0
10/30/20,10029.0
10/31/20,11033.0
11/1/20,9137.0
11/2/20,9935.0
11/3/20,6136.0
11/4/20,8694.0
11/5/20,9891.0
11/6/20,9756.0
11/7/20,8714.0
11/8/20,7440.0
11/9/20,5177.0
11/10/20,6292.0
11/11/20,9970.0
11/12/20,8686.0
11/13/20,8685.0
11/14/20,8937.0
11/15/20,7112.0
11/16/20,6471.0
11/17/20,5911.0
11/18/20,6875.0
11/19/20,7487.0
11/20/20,7954.0
11/21/20,7049.0
11/22/20,7924.0
11/23/20,6562.0
11/24/20,7515.0
11/25/20,8497.0
11/26/20,9496.0
11/27/20,10023.0
11/28/20,9103.0
11/29/20,8763.0
11/30/20,8430.0
12/1/20,7986.0
12/2/20,9297.0
12/3/20,9233.0
12/4/20,9285.0
12/5/20,9642.0
12/6/20,8854.0
12/7/20,5997.0
12/8/20,7510.0
12/9/20,7523.0
12/10/20,7778.0
12/11/20,8998.0
12/12/20,8163.0
12/13/20,8702.0
12/14/20,8742.0
12/15/20,10130.0
12/16/20,11953.0
12/17/20,12196.0
12/18/20,13277.0
12/19/20,13990.0
12/20/20,11160.0
12/21/20,10845.0
12/22/20,12526.0
12/23/20,14233.0
12/24/20,14940.0
12/25/20,14941.0
12/26/20,10196.0
12/27/20,9594.0
12/28/20,9310.0
12/29/20,11015.0
12/30/20,11639.0
12/31/20,16314.0
1/1/21,12105.0
1/2/21,11528.0
1/3/21,9412.0
1/4/21,10311.0
1/5/21,16835.0
1/6/21,16805.0
1/7/21,17576.0
1/8/21,18221.0
1/9/21,15795.0
1/10/21,15537.0
1/11/21,15003.0
1/12/21,14179.0
1/13/21,15898.0
1/14/21,17121.0
1/15/21,21078.0
1/16/21,20855.0
1/17/21,17379.0
1/18/21,14719.0
1/19/21,15939.0
1/20/21,17908.0
1/21/21,15366.0
1/22/21,15073.0
1/23/21,15551.0
1/24/21,12516.0
1/25/21,12261.0
1/26/21,13606.0
1/27/21,13953.0
1/28/21,12270.0
1/29/21,10058.0
1/30/21,9173.0
1/31/21,8078.0
2/1/21,9622.0
2/2/21,10091.0
2/3/21,11025.0
2/4/21,9790.0
2/5/21,7248.0
2/6/21,8547.0
2/7/21,6009.0
2/8/21,4246.0
2/9/21,5442.0
2/10/21,6443.0
2/11/21,6294.0
2/12/21,5528.0
2/13/21,4947.0
2/14/21,4923.0
2/15/21,3510.0
2/16/21,4049.0
2/17/21,5103.0
2/18/21,4824.0
2/19/21,4476.0
2/20/21,5017.0
2/21/21,4244.0
2/22/21,3401.0
2/23/21,3926.0
2/24/21,3953.0
2/25/21,3683.0
2/26/21,3567.0
2/27/21,3343.0
2/28/21,3555.0
3/1/21,3570.0
3/2/21,4339.0
3/3/21,3047.0
3/4/21,3565.0
3/5/21,3371.0
3/6/21,3663.0
3/7/21,3411.0
3/8/21,2205.0
3/9/21,3511.0
3/10/21,3588.0
3/11/21,4579.0
3/12/21,4078.0
3/13/21,4465.0
3/14/21,4062.0
3/15/21,2740.0
3/16/21,3716.0
3/17/21,4554.0
3/18/21,5139.0
3/19/21,5133.0
3/20/21,6761.0
3/21/21,6043.0
3/22/21,5048.0
3/23/21,4946.0
3/24/21,5986.0
3/25/21,6732.0
3/26/21,7395.0
3/27/21,8254.0
3/28/21,7139.0
3/29/21,7049.0
3/30/21,7952.0
3/31/21,8646.0
4/1/21,11449.0
4/2/21,10222.0
4/3/21,9149.0
4/4/21,9022.0
4/5/21,10190.0
4/6/21,11827.0
4/7/21,11381.0
4/8/21,12464.0
4/9/21,12125.0
4/10/21,14509.0
4/11/21,17483.0
4/12/21,16739.0
4/13/21,16377.0
4/14/21,16487.0
4/15/21,16918.0
4/16/21,16703.0
4/17/21,16654.0
4/18/21,16871.0
4/19/21,14189.0
4/20/21,16965.0
4/21/21,17212.0
4/22/21,19306.0
4/23/21,19925.0
4/24/21,16730.0
4/25/21,17190.0
4/26/21,12839.0
4/27/21,17578.0
4/28/21,19745.0
4/29/21,17308.0
4/30/21,17790.0
5/1/21,18022.0
5/2/21,15909.0
5/3/21,11599.0
5/4/21,14551.0
5/5/21,14806.0
5/6/21,16490.0
5/7/21,17525.0
5/8/21,16910.0
5/9/21,17222.0
5/10/21,12543.0
5/11/21,16425.0
5/12/21,16993.0
5/13/21,19160.0
5/14/21,16581.0
5/15/21,18873.0
5/16/21,15093.0
5/17/21,12984.0
5/18/21,13137.0
5/19/21,16579.0
5/20/21,16086.0
5/21/21,14838.0
5/22/21,18737.0
5/23/21,21669.0
5/24/21,16977.0
5/25/21,21181.0
5/26/21,23487.0
5/27/21,25092.0
5/28/21,23374.0
5/29/21,20494.0
