,Costa Rica
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,0.0
3/8/20,4.0
3/9/20,4.0
3/10/20,0.0
3/11/20,4.0
3/12/20,9.0
3/13/20,1.0
3/14/20,3.0
3/15/20,1.0
3/16/20,8.0
3/17/20,6.0
3/18/20,9.0
3/19/20,19.0
3/20/20,20.0
3/21/20,28.0
3/22/20,17.0
3/23/20,24.0
3/24/20,19.0
3/25/20,24.0
3/26/20,30.0
3/27/20,32.0
3/28/20,32.0
3/29/20,19.0
3/30/20,16.0
3/31/20,17.0
4/1/20,28.0
4/2/20,21.0
4/3/20,20.0
4/4/20,19.0
4/5/20,19.0
4/6/20,13.0
4/7/20,16.0
4/8/20,19.0
4/9/20,37.0
4/10/20,19.0
4/11/20,19.0
4/12/20,18.0
4/13/20,17.0
4/14/20,6.0
4/15/20,8.0
4/16/20,16.0
4/17/20,7.0
4/18/20,6.0
4/19/20,5.0
4/20/20,2.0
4/21/20,7.0
4/22/20,12.0
4/23/20,5.0
4/24/20,1.0
4/25/20,6.0
4/26/20,2.0
4/27/20,2.0
4/28/20,8.0
4/29/20,8.0
4/30/20,6.0
5/1/20,6.0
5/2/20,8.0
5/3/20,6.0
5/4/20,3.0
5/5/20,13.0
5/6/20,6.0
5/7/20,4.0
5/8/20,8.0
5/9/20,7.0
5/10/20,12.0
5/11/20,9.0
5/12/20,3.0
5/13/20,11.0
5/14/20,15.0
5/15/20,13.0
5/16/20,10.0
5/17/20,10.0
5/18/20,3.0
5/19/20,16.0
5/20/20,15.0
5/21/20,6.0
5/22/20,8.0
5/23/20,7.0
5/24/20,12.0
5/25/20,21.0
5/26/20,5.0
5/27/20,28.0
5/28/20,16.0
5/29/20,22.0
5/30/20,25.0
5/31/20,9.0
6/1/20,28.0
6/2/20,21.0
6/3/20,52.0
6/4/20,37.0
6/5/20,34.0
6/6/20,35.0
6/7/20,55.0
6/8/20,24.0
6/9/20,33.0
6/10/20,86.0
6/11/20,77.0
6/12/20,74.0
6/13/20,50.0
6/14/20,53.0
6/15/20,29.0
6/16/20,52.0
6/17/20,75.0
6/18/20,68.0
6/19/20,119.0
6/20/20,69.0
6/21/20,86.0
6/22/20,64.0
6/23/20,91.0
6/24/20,147.0
6/25/20,169.0
6/26/20,152.0
6/27/20,143.0
6/28/20,151.0
6/29/20,139.0
6/30/20,190.0
7/1/20,294.0
7/2/20,270.0
7/3/20,288.0
7/4/20,310.0
7/5/20,375.0
7/6/20,245.0
7/7/20,245.0
7/8/20,350.0
7/9/20,649.0
7/10/20,360.0
7/11/20,386.0
7/12/20,365.0
7/13/20,440.0
7/14/20,446.0
7/15/20,504.0
7/16/20,560.0
7/17/20,423.0
7/18/20,582.0
7/19/20,563.0
7/20/20,420.0
7/21/20,277.0
7/22/20,550.0
7/23/20,768.0
7/24/20,540.0
7/25/20,931.0
7/26/20,629.0
7/27/20,612.0
7/28/20,503.0
7/29/20,456.0
7/30/20,490.0
7/31/20,530.0
8/1/20,367.0
8/2/20,788.0
8/3/20,427.0
8/4/20,435.0
8/5/20,580.0
8/6/20,653.0
8/7/20,1011.0
8/8/20,721.0
8/9/20,484.0
8/10/20,586.0
8/11/20,636.0
8/12/20,549.0
8/13/20,1072.0
8/14/20,802.0
8/15/20,806.0
8/16/20,728.0
8/17/20,619.0
8/18/20,559.0
8/19/20,766.0
8/20/20,666.0
8/21/20,1059.0
8/22/20,950.0
8/23/20,736.0
8/24/20,643.0
8/25/20,842.0
8/26/20,1002.0
8/27/20,985.0
8/28/20,1193.0
8/29/20,1214.0
8/30/20,0.0
8/31/20,1588.0
9/1/20,897.0
9/2/20,1121.0
9/3/20,1153.0
9/4/20,1222.0
9/5/20,1240.0
9/6/20,0.0
9/7/20,1860.0
9/8/20,1117.0
9/9/20,1327.0
9/10/20,1325.0
9/11/20,1420.0
9/12/20,1485.0
9/13/20,0.0
9/14/20,1907.0
9/15/20,776.0
9/16/20,1379.0
9/17/20,1302.0
9/18/20,1556.0
9/19/20,1338.0
9/20/20,0.0
9/21/20,1890.0
9/22/20,1087.0
9/23/20,1370.0
9/24/20,1400.0
9/25/20,1357.0
9/26/20,1233.0
9/27/20,0.0
9/28/20,1665.0
9/29/20,890.0
9/30/20,1156.0
10/1/20,1068.0
10/2/20,1001.0
10/3/20,1353.0
10/4/20,0.0
10/5/20,1947.0
10/6/20,1013.0
10/7/20,1355.0
10/8/20,1331.0
10/9/20,1225.0
10/10/20,1386.0
10/11/20,0.0
10/12/20,1784.0
10/13/20,1015.0
10/14/20,1542.0
10/15/20,1372.0
10/16/20,1196.0
10/17/20,1166.0
10/18/20,0.0
10/19/20,1561.0
10/20/20,847.0
10/21/20,1503.0
10/22/20,1191.0
10/23/20,1210.0
10/24/20,1262.0
10/25/20,0.0
10/26/20,1372.0
10/27/20,862.0
10/28/20,1231.0
10/29/20,1017.0
10/30/20,1296.0
10/31/20,1105.0
11/1/20,0.0
11/2/20,1286.0
11/3/20,863.0
11/4/20,1141.0
11/5/20,1106.0
11/6/20,1050.0
11/7/20,946.0
11/8/20,0.0
11/9/20,1224.0
11/10/20,979.0
11/11/20,1202.0
11/12/20,1171.0
11/13/20,1184.0
11/14/20,1100.0
11/15/20,0.0
11/16/20,1369.0
11/17/20,998.0
11/18/20,1422.0
11/19/20,1219.0
11/20/20,1187.0
11/21/20,0.0
11/22/20,0.0
11/23/20,2877.0
11/24/20,895.0
11/25/20,1330.0
11/26/20,1222.0
11/27/20,1351.0
11/28/20,0.0
11/29/20,0.0
11/30/20,2545.0
12/1/20,534.0
12/2/20,1168.0
12/3/20,1165.0
12/4/20,1180.0
12/5/20,0.0
12/6/20,0.0
12/7/20,2736.0
12/8/20,1009.0
12/9/20,1258.0
12/10/20,1127.0
12/11/20,1132.0
12/12/20,0.0
12/13/20,0.0
12/14/20,2222.0
12/15/20,927.0
12/16/20,1167.0
12/17/20,1125.0
12/18/20,1084.0
12/19/20,0.0
12/20/20,0.0
12/21/20,2421.0
12/22/20,911.0
12/23/20,1138.0
12/24/20,1048.0
12/25/20,0.0
12/26/20,0.0
12/27/20,0.0
12/28/20,2772.0
12/29/20,1037.0
12/30/20,1315.0
12/31/20,1207.0
1/1/21,0.0
1/2/21,0.0
1/3/21,0.0
1/4/21,3115.0
1/5/21,1155.0
1/6/21,1447.0
1/7/21,1369.0
1/8/21,1207.0
1/9/21,0.0
1/10/21,0.0
1/11/21,2447.0
1/12/21,1032.0
1/13/21,1063.0
1/14/21,1086.0
1/15/21,945.0
1/16/21,0.0
1/17/21,0.0
1/18/21,1829.0
1/19/21,861.0
1/20/21,835.0
1/21/21,765.0
1/22/21,831.0
1/23/21,0.0
1/24/21,0.0
1/25/21,1437.0
1/26/21,600.0
1/27/21,721.0
1/28/21,571.0
1/29/21,639.0
1/30/21,0.0
1/31/21,0.0
2/1/21,1293.0
2/2/21,440.0
2/3/21,528.0
2/4/21,455.0
2/5/21,446.0
2/6/21,0.0
2/7/21,0.0
2/8/21,997.0
2/9/21,417.0
2/10/21,486.0
2/11/21,418.0
2/12/21,431.0
2/13/21,0.0
2/14/21,0.0
2/15/21,837.0
2/16/21,430.0
2/17/21,434.0
2/18/21,353.0
2/19/21,437.0
2/20/21,0.0
2/21/21,0.0
2/22/21,996.0
2/23/21,423.0
2/24/21,399.0
2/25/21,418.0
2/26/21,427.0
2/27/21,0.0
2/28/21,0.0
3/1/21,745.0
3/2/21,428.0
3/3/21,376.0
3/4/21,403.0
3/5/21,347.0
3/6/21,0.0
3/7/21,0.0
3/8/21,0.0
3/9/21,1192.0
3/10/21,0.0
3/11/21,0.0
3/12/21,1261.0
3/13/21,0.0
3/14/21,0.0
3/15/21,0.0
3/16/21,1354.0
3/17/21,0.0
3/18/21,0.0
3/19/21,1456.0
3/20/21,0.0
3/21/21,0.0
3/22/21,0.0
3/23/21,1535.0
3/24/21,0.0
3/25/21,0.0
3/26/21,1740.0
3/27/21,0.0
3/28/21,0.0
3/29/21,0.0
3/30/21,1586.0
3/31/21,0.0
4/1/21,0.0
4/2/21,0.0
4/3/21,0.0
4/4/21,0.0
4/5/21,0.0
4/6/21,3082.0
4/7/21,0.0
4/8/21,0.0
4/9/21,2698.0
4/10/21,0.0
4/11/21,0.0
4/12/21,0.0
4/13/21,2799.0
4/14/21,0.0
4/15/21,2190.0
4/16/21,1044.0
4/17/21,0.0
4/18/21,0.0
4/19/21,2260.0
4/20/21,1130.0
4/21/21,1531.0
4/22/21,1776.0
4/23/21,1656.0
4/24/21,1830.0
4/25/21,0.0
4/26/21,2480.0
4/27/21,1927.0
4/28/21,2434.0
4/29/21,2781.0
4/30/21,2609.0
5/1/21,0.0
5/2/21,0.0
5/3/21,5685.0
5/4/21,1304.0
5/5/21,2555.0
5/6/21,2559.0
5/7/21,2392.0
5/8/21,0.0
5/9/21,0.0
5/10/21,5992.0
5/11/21,2236.0
5/12/21,3173.0
5/13/21,3039.0
5/14/21,2815.0
5/15/21,0.0
5/16/21,0.0
5/17/21,5885.0
5/18/21,2294.0
5/19/21,2900.0
5/20/21,2812.0
5/21/21,2587.0
5/22/21,0.0
5/23/21,0.0
5/24/21,5310.0
5/25/21,2370.0
5/26/21,2587.0
5/27/21,2436.0
5/28/21,2180.0
5/29/21,0.0
5/30/21,0.0
5/31/21,4884.0
6/1/21,2293.0
6/2/21,2319.0
6/3/21,2181.0
6/4/21,2200.0
6/5/21,0.0
6/6/21,0.0
6/7/21,3941.0
6/8/21,1900.0
6/9/21,2187.0
6/10/21,2041.0
6/11/21,1852.0
6/12/21,0.0
6/13/21,0.0
6/14/21,3704.0
6/15/21,1708.0
6/16/21,1845.0
6/17/21,1869.0
6/18/21,1604.0
6/19/21,0.0
