,Czechia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,3.0
3/2/20,0.0
3/3/20,2.0
3/4/20,3.0
3/5/20,4.0
3/6/20,6.0
3/7/20,1.0
3/8/20,12.0
3/9/20,0.0
3/10/20,10.0
3/11/20,50.0
3/12/20,3.0
3/13/20,47.0
3/14/20,48.0
3/15/20,64.0
3/16/20,45.0
3/17/20,98.0
3/18/20,68.0
3/19/20,230.0
3/20/20,139.0
3/21/20,162.0
3/22/20,125.0
3/23/20,116.0
3/24/20,158.0
3/25/20,260.0
3/26/20,271.0
3/27/20,354.0
3/28/20,352.0
3/29/20,186.0
3/30/20,184.0
3/31/20,307.0
4/1/20,200.0
4/2/20,350.0
4/3/20,233.0
4/4/20,381.0
4/5/20,115.0
4/6/20,235.0
4/7/20,195.0
4/8/20,295.0
4/9/20,257.0
4/10/20,163.0
4/11/20,99.0
4/12/20,160.0
4/13/20,68.0
4/14/20,52.0
4/15/20,105.0
4/16/20,217.0
4/17/20,116.0
4/18/20,57.0
4/19/20,140.0
4/20/20,154.0
4/21/20,133.0
4/22/20,99.0
4/23/20,55.0
4/24/20,86.0
4/25/20,79.0
4/26/20,52.0
4/27/20,41.0
4/28/20,59.0
4/29/20,75.0
4/30/20,103.0
5/1/20,55.0
5/2/20,18.0
5/3/20,26.0
5/4/20,38.0
5/5/20,77.0
5/6/20,78.0
5/7/20,57.0
5/8/20,46.0
5/9/20,18.0
5/10/20,28.0
5/11/20,53.0
5/12/20,45.0
5/13/20,48.0
5/14/20,82.0
5/15/20,55.0
5/16/20,49.0
5/17/20,20.0
5/18/20,111.0
5/19/20,61.0
5/20/20,74.0
5/21/20,33.0
5/22/20,59.0
5/23/20,77.0
5/24/20,65.0
5/25/20,47.0
5/26/20,48.0
5/27/20,36.0
5/28/20,54.0
5/29/20,56.0
5/30/20,34.0
5/31/20,38.0
6/1/20,34.0
6/2/20,62.0
6/3/20,74.0
6/4/20,56.0
6/5/20,35.0
6/6/20,38.0
6/7/20,61.0
6/8/20,69.0
6/9/20,54.0
6/10/20,73.0
6/11/20,31.0
6/12/20,83.0
6/13/20,53.0
6/14/20,33.0
6/15/20,40.0
6/16/20,47.0
6/17/20,51.0
6/18/20,118.0
6/19/20,126.0
6/20/20,42.0
6/21/20,50.0
6/22/20,25.0
6/23/20,127.0
6/24/20,127.0
6/25/20,93.0
6/26/20,168.0
6/27/20,260.0
6/28/20,305.0
6/29/20,202.0
6/30/20,149.0
7/1/20,92.0
7/2/20,132.0
7/3/20,141.0
7/4/20,121.0
7/5/20,75.0
7/6/20,51.0
7/7/20,119.0
7/8/20,129.0
7/9/20,105.0
7/10/20,82.0
7/11/20,114.0
7/12/20,59.0
7/13/20,64.0
7/14/20,103.0
7/15/20,134.0
7/16/20,137.0
7/17/20,130.0
7/18/20,113.0
7/19/20,90.0
7/20/20,153.0
7/21/20,226.0
7/22/20,246.0
7/23/20,230.0
7/24/20,281.0
7/25/20,131.0
7/26/20,112.0
7/27/20,192.0
7/28/20,283.0
7/29/20,294.0
7/30/20,278.0
7/31/20,203.0
8/1/20,125.0
8/2/20,101.0
8/3/20,208.0
8/4/20,278.0
8/5/20,243.0
8/6/20,202.0
8/7/20,329.0
8/8/20,175.0
8/9/20,118.0
8/10/20,141.0
8/11/20,289.0
8/12/20,292.0
8/13/20,326.0
8/14/20,292.0
8/15/20,198.0
8/16/20,121.0
8/17/20,190.0
8/18/20,281.0
8/19/20,315.0
8/20/20,247.0
8/21/20,506.0
8/22/20,239.0
8/23/20,133.0
8/24/20,258.0
8/25/20,367.0
8/26/20,403.0
8/27/20,218.0
8/28/20,608.0
8/29/20,317.0
8/30/20,273.0
8/31/20,251.0
9/1/20,499.0
9/2/20,656.0
9/3/20,679.0
9/4/20,797.0
9/5/20,503.0
9/6/20,404.0
9/7/20,560.0
9/8/20,1161.0
9/9/20,1159.0
9/10/20,1377.0
9/11/20,1447.0
9/12/20,1541.0
9/13/20,787.0
9/14/20,1034.0
9/15/20,1674.0
9/16/20,2136.0
9/17/20,3123.0
9/18/20,2107.0
9/19/20,2044.0
9/20/20,984.0
9/21/20,1474.0
9/22/20,2394.0
9/23/20,2306.0
9/24/20,2910.0
9/25/20,2944.0
9/26/20,1976.0
9/27/20,1303.0
9/28/20,1286.0
9/29/20,1960.0
9/30/20,2920.0
10/1/20,3492.0
10/2/20,3796.0
10/3/20,2554.0
10/4/20,1841.0
10/5/20,3120.0
10/6/20,4456.0
10/7/20,5338.0
10/8/20,5397.0
10/9/20,8617.0
10/10/20,4631.0
10/11/20,3105.0
10/12/20,4311.0
10/13/20,8326.0
10/14/20,9543.0
10/15/20,9720.0
10/16/20,11102.0
10/17/20,8715.0
10/18/20,5058.0
10/19/20,8077.0
10/20/20,11984.0
10/21/20,14969.0
10/22/20,14150.0
10/23/20,15258.0
10/24/20,12474.0
10/25/20,7300.0
10/26/20,10273.0
10/27/20,15663.0
10/28/20,12980.0
10/29/20,13055.0
10/30/20,13605.0
10/31/20,11429.0
11/1/20,6542.0
11/2/20,9252.0
11/3/20,12089.0
11/4/20,15731.0
11/5/20,13229.0
11/6/20,11552.0
11/7/20,7723.0
11/8/20,3608.0
11/9/20,2353.0
11/10/20,12699.0
11/11/20,8925.0
11/12/20,7870.0
11/13/20,7355.0
11/14/20,4199.0
11/15/20,1887.0
11/16/20,5407.0
11/17/20,4246.0
11/18/20,5515.0
11/19/20,6471.0
11/20/20,5808.0
11/21/20,3187.0
11/22/20,1513.0
11/23/20,4375.0
11/24/20,5896.0
11/25/20,2681.0
11/26/20,6305.0
11/27/20,4464.0
11/28/20,2665.0
11/29/20,1074.0
11/30/20,3575.0
12/1/20,5176.0
12/2/20,4568.0
12/3/20,4621.0
12/4/20,4743.0
12/5/20,1773.0
12/6/20,2654.0
12/7/20,0.0
12/8/20,4237.0
12/9/20,5857.0
12/10/20,6406.0
12/11/20,5872.0
12/12/20,6217.0
12/13/20,3657.0
12/14/20,2000.0
12/15/20,5172.0
12/16/20,7897.0
12/17/20,8256.0
12/18/20,7602.0
12/19/20,8830.0
12/20/20,5304.0
12/21/20,3383.0
12/22/20,7891.0
12/23/20,10898.0
12/24/20,14149.0
12/25/20,4402.0
12/26/20,2706.0
12/27/20,3030.0
12/28/20,3741.0
12/29/20,10862.0
12/30/20,16420.0
12/31/20,17039.0
1/1/21,13361.0
1/2/21,3447.0
1/3/21,5012.0
1/4/21,6233.0
1/5/21,12921.0
1/6/21,17332.0
1/7/21,17773.0
1/8/21,14861.0
1/9/21,13115.0
1/10/21,8449.0
1/11/21,4289.0
1/12/21,9345.0
1/13/21,10801.0
1/14/21,10922.0
1/15/21,8083.0
1/16/21,9301.0
1/17/21,5253.0
1/18/21,2693.0
1/19/21,7651.0
1/20/21,9628.0
1/21/21,8228.0
1/22/21,7488.0
1/23/21,8514.0
1/24/21,4256.0
1/25/21,2387.0
1/26/21,6942.0
1/27/21,9209.0
1/28/21,8505.0
1/29/21,7982.0
1/30/21,8072.0
1/31/21,4060.0
2/1/21,2555.0
2/2/21,7185.0
2/3/21,9143.0
2/4/21,9695.0
2/5/21,8125.0
2/6/21,8635.0
2/7/21,4863.0
2/8/21,2430.0
2/9/21,7727.0
2/10/21,10283.0
2/11/21,9537.0
2/12/21,9014.0
2/13/21,8883.0
2/14/21,5160.0
2/15/21,2851.0
2/16/21,8794.0
2/17/21,12668.0
2/18/21,10930.0
2/19/21,11705.0
2/20/21,11364.0
2/21/21,6838.0
2/22/21,4021.0
2/23/21,11311.0
2/24/21,15861.0
2/25/21,13816.0
2/26/21,14612.0
2/27/21,14815.0
2/28/21,7885.0
3/1/21,4571.0
3/2/21,12191.0
3/3/21,16816.0
3/4/21,15230.0
3/5/21,14714.0
3/6/21,13162.0
3/7/21,9167.0
3/8/21,3960.0
3/9/21,10524.0
3/10/21,15380.0
3/11/21,14529.0
3/12/21,11274.0
3/13/21,15110.0
3/14/21,6970.0
3/15/21,3342.0
3/16/21,10542.0
3/17/21,14029.0
3/18/21,12028.0
3/19/21,10677.0
3/20/21,9710.0
3/21/21,10141.0
3/22/21,-2214.0
3/23/21,8205.0
3/24/21,10972.0
3/25/21,8851.0
3/26/21,7946.0
3/27/21,7714.0
3/28/21,4008.0
3/29/21,1743.0
3/30/21,6896.0
3/31/21,8664.0
4/1/21,7285.0
4/2/21,6248.0
4/3/21,3869.0
4/4/21,2162.0
4/5/21,1924.0
4/6/21,1425.0
4/7/21,5532.0
4/8/21,7071.0
4/9/21,5305.0
4/10/21,4819.0
4/11/21,2217.0
4/12/21,995.0
4/13/21,3853.0
4/14/21,5087.0
4/15/21,3723.0
4/16/21,3256.0
4/17/21,3238.0
4/18/21,1540.0
4/19/21,830.0
4/20/21,3319.0
4/21/21,3831.0
4/22/21,2971.0
4/23/21,2629.0
4/24/21,2607.0
4/25/21,1315.0
4/26/21,823.0
4/27/21,2571.0
4/28/21,3256.0
4/29/21,2503.0
4/30/21,2222.0
5/1/21,2174.0
5/2/21,1182.0
5/3/21,505.0
5/4/21,2217.0
5/5/21,2412.0
5/6/21,1872.0
5/7/21,1576.0
5/8/21,1639.0
5/9/21,726.0
5/10/21,387.0
5/11/21,1533.0
5/12/21,1686.0
5/13/21,1280.0
5/14/21,1231.0
5/15/21,1060.0
5/16/21,602.0
5/17/21,259.0
5/18/21,1120.0
5/19/21,1195.0
5/20/21,788.0
5/21/21,672.0
5/22/21,684.0
5/23/21,335.0
5/24/21,199.0
5/25/21,686.0
5/26/21,655.0
5/27/21,547.0
5/28/21,501.0
5/29/21,454.0
5/30/21,224.0
5/31/21,113.0
6/1/21,508.0
6/2/21,476.0
6/3/21,352.0
6/4/21,432.0
6/5/21,323.0
6/6/21,154.0
6/7/21,90.0
6/8/21,391.0
6/9/21,384.0
6/10/21,267.0
6/11/21,190.0
