,Denmark
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,1.0
2/28/20,0.0
2/29/20,2.0
3/1/20,1.0
3/2/20,0.0
3/3/20,2.0
3/4/20,4.0
3/5/20,0.0
3/6/20,13.0
3/7/20,0.0
3/8/20,12.0
3/9/20,55.0
3/10/20,172.0
3/11/20,180.0
3/12/20,173.0
3/13/20,186.0
3/14/20,26.0
3/15/20,37.0
3/16/20,50.0
3/17/20,63.0
3/18/20,80.0
3/19/20,94.0
3/20/20,104.0
3/21/20,71.0
3/22/20,69.0
3/23/20,55.0
3/24/20,141.0
3/25/20,133.0
3/26/20,153.0
3/27/20,169.0
3/28/20,155.0
3/29/20,194.0
3/30/20,182.0
3/31/20,283.0
4/1/20,247.0
4/2/20,279.0
4/3/20,371.0
4/4/20,320.0
4/5/20,292.0
4/6/20,312.0
4/7/20,390.0
4/8/20,331.0
4/9/20,233.0
4/10/20,184.0
4/11/20,177.0
4/12/20,178.0
4/13/20,144.0
4/14/20,193.0
4/15/20,170.0
4/16/20,198.0
4/17/20,194.0
4/18/20,169.0
4/19/20,142.0
4/20/20,131.0
4/21/20,180.0
4/22/20,217.0
4/23/20,161.0
4/24/20,137.0
4/25/20,235.0
4/26/20,130.0
4/27/20,123.0
4/28/20,153.0
4/29/20,157.0
4/30/20,150.0
5/1/20,153.0
5/2/20,96.0
5/3/20,116.0
5/4/20,147.0
5/5/20,151.0
5/6/20,117.0
5/7/20,145.0
5/8/20,135.0
5/9/20,101.0
5/10/20,110.0
5/11/20,84.0
5/12/20,78.0
5/13/20,76.0
5/14/20,46.0
5/15/20,78.0
5/16/20,67.0
5/17/20,69.0
5/18/20,41.0
5/19/20,76.0
5/20/20,73.0
5/21/20,65.0
5/22/20,48.0
5/23/20,59.0
5/24/20,71.0
5/25/20,27.0
5/26/20,41.0
5/27/20,52.0
5/28/20,32.0
5/29/20,81.0
5/30/20,40.0
5/31/20,36.0
6/1/20,30.0
6/2/20,35.0
6/3/20,37.0
6/4/20,40.0
6/5/20,64.0
6/6/20,49.0
6/7/20,24.0
6/8/20,14.0
6/9/20,39.0
6/10/20,15.0
6/11/20,19.0
6/12/20,64.0
6/13/20,40.0
6/14/20,54.0
6/15/20,24.0
6/16/20,33.0
6/17/20,44.0
6/18/20,50.0
6/19/20,47.0
6/20/20,0.0
6/21/20,0.0
6/22/20,136.0
6/23/20,34.0
6/24/20,54.0
6/25/20,21.0
6/26/20,39.0
6/27/20,0.0
6/28/20,0.0
6/29/20,76.0
6/30/20,17.0
7/1/20,26.0
7/2/20,21.0
7/3/20,17.0
7/4/20,0.0
7/5/20,0.0
7/6/20,46.0
7/7/20,10.0
7/8/20,12.0
7/9/20,16.0
7/10/20,30.0
7/11/20,0.0
7/12/20,0.0
7/13/20,91.0
7/14/20,24.0
7/15/20,31.0
7/16/20,32.0
7/17/20,49.0
7/18/20,0.0
7/19/20,0.0
7/20/20,89.0
7/21/20,40.0
7/22/20,48.0
7/23/20,40.0
7/24/20,48.0
7/25/20,0.0
7/26/20,0.0
7/27/20,109.0
7/28/20,30.0
7/29/20,57.0
7/30/20,91.0
7/31/20,64.0
8/1/20,0.0
8/2/20,0.0
8/3/20,207.0
8/4/20,77.0
8/5/20,112.0
8/6/20,121.0
8/7/20,136.0
8/8/20,0.0
8/9/20,0.0
8/10/20,373.0
8/11/20,144.0
8/12/20,111.0
8/13/20,144.0
8/14/20,165.0
8/15/20,104.0
8/16/20,134.0
8/17/20,123.0
8/18/20,115.0
8/19/20,85.0
8/20/20,116.0
8/21/20,71.0
8/22/20,112.0
8/23/20,78.0
8/24/20,80.0
8/25/20,83.0
8/26/20,57.0
8/27/20,90.0
8/28/20,73.0
8/29/20,79.0
8/30/20,112.0
8/31/20,94.0
9/1/20,99.0
9/2/20,111.0
9/3/20,179.0
9/4/20,173.0
9/5/20,189.0
9/6/20,147.0
9/7/20,230.0
9/8/20,243.0
9/9/20,251.0
9/10/20,317.0
9/11/20,292.0
9/12/20,341.0
9/13/20,333.0
9/14/20,347.0
9/15/20,334.0
9/16/20,0.0
9/17/20,822.0
9/18/20,454.0
9/19/20,589.0
9/20/20,469.0
9/21/20,418.0
9/22/20,476.0
9/23/20,558.0
9/24/20,559.0
9/25/20,678.0
9/26/20,619.0
9/27/20,424.0
9/28/20,435.0
9/29/20,392.0
9/30/20,534.0
10/1/20,398.0
10/2/20,536.0
10/3/20,370.0
10/4/20,378.0
10/5/20,377.0
10/6/20,322.0
10/7/20,331.0
10/8/20,446.0
10/9/20,482.0
10/10/20,444.0
10/11/20,340.0
10/12/20,389.0
10/13/20,290.0
10/14/20,492.0
10/15/20,430.0
10/16/20,418.0
10/17/20,500.0
10/18/20,451.0
10/19/20,452.0
10/20/20,529.0
10/21/20,630.0
10/22/20,760.0
10/23/20,859.0
10/24/20,789.0
10/25/20,945.0
10/26/20,1056.0
10/27/20,745.0
10/28/20,1017.0
10/29/20,860.0
10/30/20,1191.0
10/31/20,1126.0
11/1/20,948.0
11/2/20,942.0
11/3/20,1353.0
11/4/20,936.0
11/5/20,1223.0
11/6/20,1427.0
11/7/20,1050.0
11/8/20,891.0
11/9/20,771.0
11/10/20,1066.0
11/11/20,994.0
11/12/20,1011.0
11/13/20,1037.0
11/14/20,1078.0
11/15/20,1058.0
11/16/20,1195.0
11/17/20,1220.0
11/18/20,1257.0
11/19/20,1297.0
11/20/20,1257.0
11/21/20,1273.0
11/22/20,850.0
11/23/20,1169.0
11/24/20,1367.0
11/25/20,1183.0
11/26/20,1191.0
11/27/20,1323.0
11/28/20,1636.0
11/29/20,998.0
11/30/20,1129.0
12/1/20,1468.0
12/2/20,1586.0
12/3/20,1605.0
12/4/20,1603.0
12/5/20,2115.0
12/6/20,1745.0
12/7/20,2046.0
12/8/20,2150.0
12/9/20,2558.0
12/10/20,3132.0
12/11/20,3075.0
12/12/20,3552.0
12/13/20,2642.0
12/14/20,3337.0
12/15/20,2992.0
12/16/20,3692.0
12/17/20,4034.0
12/18/20,4508.0
12/19/20,3285.0
12/20/20,2828.0
12/21/20,3198.0
12/22/20,2543.0
12/23/20,3297.0
12/24/20,2869.0
12/25/20,2992.0
12/26/20,1834.0
12/27/20,2180.0
12/28/20,2479.0
12/29/20,2621.0
12/30/20,2783.0
12/31/20,2249.0
1/1/21,2451.0
1/2/21,1611.0
1/3/21,1170.0
1/4/21,2076.0
1/5/21,1992.0
1/6/21,2216.0
1/7/21,1842.0
1/8/21,1660.0
1/9/21,1743.0
1/10/21,1246.0
1/11/21,1239.0
1/12/21,1076.0
1/13/21,1358.0
1/14/21,0.0
1/15/21,2161.0
1/16/21,879.0
1/17/21,889.0
1/18/21,807.0
1/19/21,724.0
1/20/21,886.0
1/21/21,760.0
1/22/21,773.0
1/23/21,879.0
1/24/21,754.0
1/25/21,625.0
1/26/21,652.0
1/27/21,592.0
1/28/21,668.0
1/29/21,456.0
1/30/21,431.0
1/31/21,377.0
2/1/21,488.0
2/2/21,397.0
2/3/21,425.0
2/4/21,553.0
2/5/21,438.0
2/6/21,413.0
2/7/21,435.0
2/8/21,430.0
2/9/21,366.0
2/10/21,470.0
2/11/21,478.0
2/12/21,428.0
2/13/21,274.0
2/14/21,295.0
2/15/21,437.0
2/16/21,384.0
2/17/21,414.0
2/18/21,468.0
2/19/21,552.0
2/20/21,464.0
2/21/21,496.0
2/22/21,450.0
2/23/21,529.0
2/24/21,523.0
2/25/21,603.0
2/26/21,530.0
2/27/21,520.0
2/28/21,463.0
3/1/21,497.0
3/2/21,532.0
3/3/21,574.0
3/4/21,520.0
3/5/21,614.0
3/6/21,394.0
3/7/21,513.0
3/8/21,425.0
3/9/21,527.0
3/10/21,2007.0
3/11/21,862.0
3/12/21,645.0
3/13/21,613.0
3/14/21,541.0
3/15/21,612.0
3/16/21,771.0
3/17/21,787.0
3/18/21,786.0
3/19/21,843.0
3/20/21,590.0
3/21/21,657.0
3/22/21,1272.0
3/23/21,254.0
3/24/21,-2001.0
3/25/21,814.0
3/26/21,789.0
3/27/21,416.0
3/28/21,964.0
3/29/21,679.0
3/30/21,1210.0
3/31/21,701.0
4/1/21,662.0
4/2/21,708.0
4/3/21,745.0
4/4/21,600.0
4/5/21,479.0
4/6/21,520.0
4/7/21,614.0
4/8/21,717.0
4/9/21,698.0
4/10/21,755.0
4/11/21,691.0
4/12/21,514.0
4/13/21,563.0
4/14/21,663.0
4/15/21,798.0
4/16/21,677.0
4/17/21,724.0
4/18/21,902.0
4/19/21,741.0
4/20/21,691.0
4/21/21,803.0
4/22/21,893.0
4/23/21,702.0
4/24/21,547.0
4/25/21,612.0
4/26/21,704.0
4/27/21,624.0
4/28/21,835.0
4/29/21,769.0
4/30/21,0.0
5/1/21,1491.0
5/2/21,867.0
5/3/21,761.0
5/4/21,809.0
5/5/21,0.0
5/6/21,2000.0
5/7/21,1023.0
5/8/21,677.0
5/9/21,874.0
5/10/21,932.0
5/11/21,925.0
5/12/21,1246.0
5/13/21,1355.0
5/14/21,951.0
5/15/21,1074.0
5/16/21,964.0
5/17/21,836.0
5/18/21,916.0
5/19/21,1088.0
5/20/21,1214.0
5/21/21,1351.0
5/22/21,751.0
5/23/21,835.0
5/24/21,919.0
5/25/21,794.0
5/26/21,1073.0
5/27/21,1119.0
5/28/21,997.0
5/29/21,1038.0
5/30/21,949.0
5/31/21,844.0
6/1/21,908.0
6/2/21,954.0
6/3/21,1028.0
6/4/21,927.0
6/5/21,592.0
6/6/21,853.0
6/7/21,459.0
6/8/21,377.0
6/9/21,904.0
6/10/21,475.0
6/11/21,418.0
6/12/21,437.0
6/13/21,315.0
6/14/21,237.0
6/15/21,222.0
6/16/21,353.0
6/17/21,331.0
6/18/21,203.0
6/19/21,243.0
6/20/21,189.0
6/21/21,149.0
6/22/21,155.0
6/23/21,223.0
6/24/21,173.0
6/25/21,222.0
6/26/21,195.0
