,Dominican Republic
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,1.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,0.0
3/8/20,3.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,6.0
3/15/20,0.0
3/16/20,0.0
3/17/20,10.0
3/18/20,0.0
3/19/20,13.0
3/20/20,38.0
3/21/20,40.0
3/22/20,90.0
3/23/20,43.0
3/24/20,67.0
3/25/20,80.0
3/26/20,96.0
3/27/20,93.0
3/28/20,138.0
3/29/20,140.0
3/30/20,42.0
3/31/20,208.0
4/1/20,175.0
4/2/20,96.0
4/3/20,108.0
4/4/20,0.0
4/5/20,257.0
4/6/20,83.0
4/7/20,128.0
4/8/20,155.0
4/9/20,238.0
4/10/20,271.0
4/11/20,139.0
4/12/20,208.0
4/13/20,200.0
4/14/20,119.0
4/15/20,328.0
4/16/20,141.0
4/17/20,371.0
4/18/20,209.0
4/19/20,345.0
4/20/20,284.0
4/21/20,80.0
4/22/20,256.0
4/23/20,243.0
4/24/20,206.0
4/25/20,177.0
4/26/20,209.0
4/27/20,158.0
4/28/20,123.0
4/29/20,236.0
4/30/20,320.0
5/1/20,316.0
5/2/20,290.0
5/3/20,376.0
5/4/20,281.0
5/5/20,245.0
5/6/20,327.0
5/7/20,288.0
5/8/20,281.0
5/9/20,506.0
5/10/20,465.0
5/11/20,287.0
5/12/20,266.0
5/13/20,296.0
5/14/20,124.0
5/15/20,419.0
5/16/20,371.0
5/17/20,204.0
5/18/20,411.0
5/19/20,498.0
5/20/20,254.0
5/21/20,180.0
5/22/20,332.0
5/23/20,433.0
5/24/20,379.0
5/25/20,272.0
5/26/20,191.0
5/27/20,459.0
5/28/20,345.0
5/29/20,463.0
5/30/20,377.0
5/31/20,377.0
6/1/20,287.0
6/2/20,180.0
6/3/20,288.0
6/4/20,279.0
6/5/20,389.0
6/6/20,487.0
6/7/20,405.0
6/8/20,526.0
6/9/20,289.0
6/10/20,393.0
6/11/20,629.0
6/12/20,571.0
6/13/20,564.0
6/14/20,390.0
6/15/20,309.0
6/16/20,415.0
6/17/20,419.0
6/18/20,540.0
6/19/20,423.0
6/20/20,710.0
6/21/20,899.0
6/22/20,693.0
6/23/20,566.0
6/24/20,695.0
6/25/20,510.0
6/26/20,623.0
6/27/20,855.0
6/28/20,754.0
6/29/20,443.0
6/30/20,752.0
7/1/20,819.0
7/2/20,810.0
7/3/20,951.0
7/4/20,1036.0
7/5/20,1241.0
7/6/20,703.0
7/7/20,302.0
7/8/20,1158.0
7/9/20,1202.0
7/10/20,1125.0
7/11/20,1199.0
7/12/20,1418.0
7/13/20,974.0
7/14/20,799.0
7/15/20,1366.0
7/16/20,1072.0
7/17/20,1370.0
7/18/20,1406.0
7/19/20,1336.0
7/20/20,1101.0
7/21/20,841.0
7/22/20,1246.0
7/23/20,1572.0
7/24/20,1462.0
7/25/20,1819.0
7/26/20,2012.0
7/27/20,1248.0
7/28/20,534.0
7/29/20,1492.0
7/30/20,1733.0
7/31/20,1734.0
8/1/20,1766.0
8/2/20,828.0
8/3/20,874.0
8/4/20,1178.0
8/5/20,1365.0
8/6/20,876.0
8/7/20,1173.0
8/8/20,1069.0
8/9/20,954.0
8/10/20,767.0
8/11/20,595.0
8/12/20,1130.0
8/13/20,910.0
8/14/20,1354.0
8/15/20,1057.0
8/16/20,764.0
8/17/20,428.0
8/18/20,386.0
8/19/20,1004.0
8/20/20,883.0
8/21/20,857.0
8/22/20,694.0
8/23/20,600.0
8/24/20,447.0
8/25/20,609.0
8/26/20,340.0
8/27/20,407.0
8/28/20,426.0
8/29/20,342.0
8/30/20,509.0
8/31/20,474.0
9/1/20,264.0
9/2/20,648.0
9/3/20,1002.0
9/4/20,0.0
9/5/20,2147.0
9/6/20,557.0
9/7/20,565.0
9/8/20,233.0
9/9/20,806.0
9/10/20,779.0
9/11/20,516.0
9/12/20,860.0
9/13/20,568.0
9/14/20,450.0
9/15/20,693.0
9/16/20,718.0
9/17/20,615.0
9/18/20,596.0
9/19/20,968.0
9/20/20,589.0
9/21/20,494.0
9/22/20,486.0
9/23/20,468.0
9/24/20,385.0
9/25/20,475.0
9/26/20,360.0
9/27/20,429.0
9/28/20,280.0
9/29/20,234.0
9/30/20,309.0
10/1/20,519.0
10/2/20,622.0
10/3/20,576.0
10/4/20,554.0
10/5/20,574.0
10/6/20,317.0
10/7/20,777.0
10/8/20,724.0
10/9/20,585.0
10/10/20,557.0
10/11/20,463.0
10/12/20,366.0
10/13/20,165.0
10/14/20,654.0
10/15/20,404.0
10/16/20,384.0
10/17/20,475.0
10/18/20,422.0
10/19/20,320.0
10/20/20,306.0
10/21/20,425.0
10/22/20,475.0
10/23/20,0.0
10/24/20,1145.0
10/25/20,509.0
10/26/20,316.0
10/27/20,165.0
10/28/20,562.0
10/29/20,343.0
10/30/20,419.0
10/31/20,686.0
11/1/20,314.0
11/2/20,259.0
11/3/20,257.0
11/4/20,430.0
11/5/20,546.0
11/6/20,476.0
11/7/20,345.0
11/8/20,537.0
11/9/20,421.0
11/10/20,528.0
11/11/20,134.0
11/12/20,371.0
11/13/20,918.0
11/14/20,671.0
11/15/20,499.0
11/16/20,479.0
11/17/20,494.0
11/18/20,460.0
11/19/20,1026.0
11/20/20,601.0
11/21/20,986.0
11/22/20,640.0
11/23/20,419.0
11/24/20,282.0
11/25/20,285.0
11/26/20,1526.0
11/27/20,855.0
11/28/20,876.0
11/29/20,820.0
11/30/20,515.0
12/1/20,314.0
12/2/20,895.0
12/3/20,812.0
12/4/20,671.0
12/5/20,975.0
12/6/20,798.0
12/7/20,685.0
12/8/20,492.0
12/9/20,531.0
12/10/20,1560.0
12/11/20,731.0
12/12/20,1133.0
12/13/20,1107.0
12/14/20,492.0
12/15/20,613.0
12/16/20,788.0
12/17/20,720.0
12/18/20,624.0
12/19/20,1135.0
12/20/20,1322.0
12/21/20,666.0
12/22/20,878.0
12/23/20,566.0
12/24/20,1158.0
12/25/20,1381.0
12/26/20,905.0
12/27/20,824.0
12/28/20,641.0
12/29/20,860.0
12/30/20,1314.0
12/31/20,1206.0
1/1/21,1433.0
1/2/21,747.0
1/3/21,366.0
1/4/21,2043.0
1/5/21,475.0
1/6/21,529.0
1/7/21,1115.0
1/8/21,1045.0
1/9/21,2106.0
1/10/21,1459.0
1/11/21,1179.0
1/12/21,1506.0
1/13/21,1595.0
1/14/21,1104.0
1/15/21,1482.0
1/16/21,2370.0
1/17/21,1779.0
1/18/21,1848.0
1/19/21,1625.0
1/20/21,1532.0
1/21/21,1549.0
1/22/21,1473.0
1/23/21,1362.0
1/24/21,1439.0
1/25/21,1216.0
1/26/21,1143.0
1/27/21,1150.0
1/28/21,1155.0
1/29/21,1802.0
1/30/21,2141.0
1/31/21,1507.0
2/1/21,1026.0
2/2/21,834.0
2/3/21,1357.0
2/4/21,1671.0
2/5/21,1478.0
2/6/21,1722.0
2/7/21,1250.0
2/8/21,721.0
2/9/21,419.0
2/10/21,934.0
2/11/21,1242.0
2/12/21,1050.0
2/13/21,1131.0
2/14/21,873.0
2/15/21,795.0
2/16/21,532.0
2/17/21,642.0
2/18/21,1043.0
2/19/21,818.0
2/20/21,904.0
2/21/21,960.0
2/22/21,420.0
2/23/21,328.0
2/24/21,673.0
2/25/21,746.0
2/26/21,576.0
2/27/21,804.0
2/28/21,608.0
3/1/21,381.0
3/2/21,203.0
3/3/21,572.0
3/4/21,619.0
3/5/21,695.0
3/6/21,573.0
3/7/21,587.0
3/8/21,279.0
3/9/21,252.0
3/10/21,390.0
3/11/21,755.0
3/12/21,529.0
3/13/21,164.0
3/14/21,429.0
3/15/21,254.0
3/16/21,495.0
3/17/21,570.0
3/18/21,615.0
3/19/21,523.0
3/20/21,487.0
3/21/21,474.0
3/22/21,313.0
3/23/21,401.0
3/24/21,402.0
3/25/21,389.0
3/26/21,364.0
3/27/21,250.0
3/28/21,401.0
3/29/21,199.0
3/30/21,202.0
3/31/21,343.0
4/1/21,469.0
4/2/21,585.0
4/3/21,355.0
4/4/21,159.0
4/5/21,140.0
4/6/21,168.0
4/7/21,334.0
4/8/21,1094.0
4/9/21,532.0
4/10/21,623.0
4/11/21,512.0
4/12/21,341.0
4/13/21,598.0
4/14/21,623.0
4/15/21,379.0
4/16/21,494.0
4/17/21,494.0
4/18/21,502.0
4/19/21,402.0
4/20/21,317.0
4/21/21,556.0
4/22/21,531.0
4/23/21,535.0
4/24/21,474.0
4/25/21,919.0
4/26/21,540.0
4/27/21,78.0
4/28/21,338.0
4/29/21,395.0
4/30/21,347.0
5/1/21,300.0
5/2/21,594.0
5/3/21,226.0
5/4/21,389.0
5/5/21,491.0
5/6/21,623.0
5/7/21,774.0
5/8/21,642.0
5/9/21,948.0
5/10/21,560.0
5/11/21,701.0
5/12/21,688.0
5/13/21,822.0
5/14/21,1059.0
5/15/21,894.0
5/16/21,916.0
5/17/21,731.0
5/18/21,630.0
5/19/21,1016.0
5/20/21,1429.0
5/21/21,636.0
5/22/21,1055.0
5/23/21,1044.0
5/24/21,838.0
5/25/21,644.0
5/26/21,1058.0
5/27/21,1765.0
5/28/21,1254.0
5/29/21,1238.0
5/30/21,1384.0
5/31/21,876.0
6/1/21,1235.0
6/2/21,1659.0
6/3/21,1439.0
6/4/21,1295.0
6/5/21,1267.0
6/6/21,1397.0
6/7/21,906.0
6/8/21,1004.0
6/9/21,1440.0
6/10/21,1141.0
6/11/21,1129.0
6/12/21,1149.0
6/13/21,803.0
6/14/21,827.0
6/15/21,914.0
6/16/21,1442.0
6/17/21,982.0
6/18/21,1216.0
6/19/21,1784.0
6/20/21,972.0
6/21/21,858.0
6/22/21,723.0
6/23/21,886.0
6/24/21,882.0
