,Ecuador
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,6.0
3/2/20,0.0
3/3/20,1.0
3/4/20,3.0
3/5/20,3.0
3/6/20,0.0
3/7/20,0.0
3/8/20,1.0
3/9/20,1.0
3/10/20,0.0
3/11/20,2.0
3/12/20,0.0
3/13/20,0.0
3/14/20,11.0
3/15/20,0.0
3/16/20,9.0
3/17/20,21.0
3/18/20,53.0
3/19/20,88.0
3/20/20,168.0
3/21/20,139.0
3/22/20,283.0
3/23/20,192.0
3/24/20,101.0
3/25/20,91.0
3/26/20,230.0
3/27/20,192.0
3/28/20,228.0
3/29/20,101.0
3/30/20,38.0
3/31/20,278.0
4/1/20,508.0
4/2/20,415.0
4/3/20,205.0
4/4/20,97.0
4/5/20,181.0
4/6/20,101.0
4/7/20,0.0
4/8/20,703.0
4/9/20,515.0
4/10/20,2196.0
4/11/20,96.0
4/12/20,209.0
4/13/20,63.0
4/14/20,74.0
4/15/20,255.0
4/16/20,367.0
4/17/20,225.0
4/18/20,572.0
4/19/20,446.0
4/20/20,660.0
4/21/20,270.0
4/22/20,452.0
4/23/20,333.0
4/24/20,11536.0
4/25/20,0.0
4/26/20,0.0
4/27/20,521.0
4/28/20,1018.0
4/29/20,417.0
4/30/20,259.0
5/1/20,1402.0
5/2/20,1128.0
5/3/20,2074.0
5/4/20,2343.0
5/5/20,0.0
5/6/20,0.0
5/7/20,-1583.0
5/8/20,-1480.0
5/9/20,253.0
5/10/20,488.0
5/11/20,-50.0
5/12/20,910.0
5/13/20,67.0
5/14/20,16.0
5/15/20,965.0
5/16/20,1296.0
5/17/20,419.0
5/18/20,400.0
5/19/20,569.0
5/20/20,703.0
5/21/20,452.0
5/22/20,522.0
5/23/20,430.0
5/24/20,498.0
5/25/20,599.0
5/26/20,0.0
5/27/20,748.0
5/28/20,368.0
5/29/20,100.0
5/30/20,0.0
5/31/20,527.0
6/1/20,0.0
6/2/20,1316.0
6/3/20,552.0
6/4/20,0.0
6/5/20,609.0
6/6/20,1153.0
6/7/20,392.0
6/8/20,258.0
6/9/20,539.0
6/10/20,523.0
6/11/20,0.0
6/12/20,1338.0
6/13/20,578.0
6/14/20,395.0
6/15/20,571.0
6/16/20,621.0
6/17/20,547.0
6/18/20,607.0
6/19/20,634.0
6/20/20,0.0
6/21/20,909.0
6/22/20,0.0
6/23/20,1003.0
6/24/20,0.0
6/25/20,1513.0
6/26/20,700.0
6/27/20,718.0
6/28/20,681.0
6/29/20,410.0
6/30/20,767.0
7/1/20,1825.0
7/2/20,1211.0
7/3/20,1189.0
7/4/20,878.0
7/5/20,423.0
7/6/20,422.0
7/7/20,865.0
7/8/20,0.0
7/9/20,976.0
7/10/20,797.0
7/11/20,2191.0
7/12/20,661.0
7/13/20,589.0
7/14/20,1111.0
7/15/20,759.0
7/16/20,1036.0
7/17/20,1079.0
7/18/20,938.0
7/19/20,631.0
7/20/20,607.0
7/21/20,1597.0
7/22/20,1040.0
7/23/20,891.0
7/24/20,901.0
7/25/20,987.0
7/26/20,658.0
7/27/20,467.0
7/28/20,1118.0
7/29/20,914.0
7/30/20,1177.0
7/31/20,985.0
8/1/20,877.0
8/2/20,0.0
8/3/20,809.0
8/4/20,922.0
8/5/20,903.0
8/6/20,1671.0
8/7/20,1432.0
8/8/20,1603.0
8/9/20,887.0
8/10/20,242.0
8/11/20,862.0
8/12/20,1547.0
8/13/20,1233.0
8/14/20,1066.0
8/15/20,1279.0
8/16/20,854.0
8/17/20,209.0
8/18/20,1190.0
8/19/20,1534.0
8/20/20,1033.0
8/21/20,973.0
8/22/20,608.0
8/23/20,680.0
8/24/20,520.0
8/25/20,741.0
8/26/20,1519.0
8/27/20,670.0
8/28/20,922.0
8/29/20,765.0
8/30/20,742.0
8/31/20,119.0
9/1/20,542.0
9/2/20,1148.0
9/3/20,903.0
9/4/20,815.0
9/5/20,870.0
9/6/20,0.0
9/7/20,-7953.0
9/8/20,665.0
9/9/20,1409.0
9/10/20,1040.0
9/11/20,1526.0
9/12/20,1719.0
9/13/20,2143.0
9/14/20,317.0
9/15/20,642.0
9/16/20,1972.0
9/17/20,732.0
9/18/20,1872.0
9/19/20,1491.0
9/20/20,799.0
9/21/20,292.0
9/22/20,932.0
9/23/20,2249.0
9/24/20,1254.0
9/25/20,1329.0
9/26/20,1506.0
9/27/20,766.0
9/28/20,218.0
9/29/20,784.0
9/30/20,1298.0
10/1/20,1537.0
10/2/20,950.0
10/3/20,817.0
10/4/20,683.0
10/5/20,305.0
10/6/20,717.0
10/7/20,1475.0
10/8/20,1514.0
10/9/20,803.0
10/10/20,980.0
10/11/20,205.0
10/12/20,282.0
10/13/20,856.0
10/14/20,912.0
10/15/20,1277.0
10/16/20,1299.0
10/17/20,763.0
10/18/20,867.0
10/19/20,134.0
10/20/20,692.0
10/21/20,1510.0
10/22/20,826.0
10/23/20,1819.0
10/24/20,1344.0
10/25/20,2021.0
10/26/20,543.0
10/27/20,1014.0
10/28/20,1716.0
10/29/20,1394.0
10/30/20,845.0
10/31/20,1045.0
11/1/20,1002.0
11/2/20,368.0
11/3/20,548.0
11/4/20,1323.0
11/5/20,350.0
11/6/20,725.0
11/7/20,978.0
11/8/20,1421.0
11/9/20,362.0
11/10/20,442.0
11/11/20,919.0
11/12/20,883.0
11/13/20,1161.0
11/14/20,953.0
11/15/20,668.0
11/16/20,381.0
11/17/20,428.0
11/18/20,1146.0
11/19/20,996.0
11/20/20,594.0
11/21/20,1036.0
11/22/20,767.0
11/23/20,301.0
11/24/20,492.0
11/25/20,794.0
11/26/20,908.0
11/27/20,1396.0
11/28/20,1375.0
11/29/20,1208.0
11/30/20,568.0
12/1/20,988.0
12/2/20,1203.0
12/3/20,1008.0
12/4/20,598.0
12/5/20,909.0
12/6/20,607.0
12/7/20,246.0
12/8/20,508.0
12/9/20,476.0
12/10/20,1151.0
12/11/20,386.0
12/12/20,759.0
12/13/20,586.0
12/14/20,70.0
12/15/20,176.0
12/16/20,1105.0
12/17/20,788.0
12/18/20,754.0
12/19/20,917.0
12/20/20,337.0
12/21/20,72.0
12/22/20,35.0
12/23/20,720.0
12/24/20,926.0
12/25/20,818.0
12/26/20,446.0
12/27/20,81.0
12/28/20,403.0
12/29/20,568.0
12/30/20,1186.0
12/31/20,1000.0
1/1/21,866.0
1/2/21,1135.0
1/3/21,101.0
1/4/21,466.0
1/5/21,1003.0
1/6/21,1294.0
1/7/21,1008.0
1/8/21,763.0
1/9/21,1201.0
1/10/21,721.0
1/11/21,436.0
1/12/21,1061.0
1/13/21,1748.0
1/14/21,1687.0
1/15/21,864.0
1/16/21,3942.0
1/17/21,674.0
1/18/21,162.0
1/19/21,924.0
1/20/21,1747.0
1/21/21,1874.0
1/22/21,969.0
1/23/21,1074.0
1/24/21,3060.0
1/25/21,275.0
1/26/21,579.0
1/27/21,1389.0
1/28/21,2465.0
1/29/21,687.0
1/30/21,3092.0
1/31/21,1049.0
2/1/21,158.0
2/2/21,293.0
2/3/21,1111.0
2/4/21,949.0
2/5/21,2073.0
2/6/21,1703.0
2/7/21,1167.0
2/8/21,325.0
2/9/21,1176.0
2/10/21,293.0
2/11/21,2137.0
2/12/21,1304.0
2/13/21,2010.0
2/14/21,1696.0
2/15/21,478.0
2/16/21,372.0
2/17/21,146.0
2/18/21,1641.0
2/19/21,1416.0
2/20/21,1821.0
2/21/21,1576.0
2/22/21,295.0
2/23/21,812.0
2/24/21,2999.0
2/25/21,2390.0
2/26/21,1430.0
2/27/21,1748.0
2/28/21,1808.0
3/1/21,212.0
3/2/21,358.0
3/3/21,2747.0
3/4/21,263.0
3/5/21,1335.0
3/6/21,1873.0
3/7/21,1560.0
3/8/21,115.0
3/9/21,496.0
3/10/21,1727.0
3/11/21,1116.0
3/12/21,1259.0
3/13/21,1450.0
3/14/21,1555.0
3/15/21,277.0
3/16/21,356.0
3/17/21,2744.0
3/18/21,1831.0
3/19/21,2214.0
3/20/21,1225.0
3/21/21,1730.0
3/22/21,253.0
3/23/21,719.0
3/24/21,3237.0
3/25/21,1849.0
3/26/21,2795.0
3/27/21,1248.0
3/28/21,1783.0
3/29/21,642.0
3/30/21,2201.0
3/31/21,1430.0
4/1/21,1633.0
4/2/21,1650.0
4/3/21,1137.0
4/4/21,2506.0
4/5/21,1096.0
4/6/21,925.0
4/7/21,1902.0
4/8/21,2015.0
4/9/21,1059.0
4/10/21,2199.0
4/11/21,1940.0
4/12/21,253.0
4/13/21,519.0
4/14/21,2950.0
4/15/21,4892.0
4/16/21,533.0
4/17/21,2193.0
4/18/21,2389.0
4/19/21,17.0
4/20/21,591.0
4/21/21,1689.0
4/22/21,2550.0
4/23/21,5913.0
4/24/21,1448.0
4/25/21,608.0
4/26/21,1413.0
4/27/21,554.0
4/28/21,2333.0
4/29/21,3027.0
4/30/21,1173.0
5/1/21,2727.0
5/2/21,2710.0
5/3/21,747.0
5/4/21,3196.0
5/5/21,1806.0
5/6/21,2279.0
5/7/21,1561.0
5/8/21,2033.0
5/9/21,1375.0
5/10/21,1764.0
5/11/21,535.0
5/12/21,2037.0
5/13/21,1151.0
5/14/21,1219.0
5/15/21,2518.0
5/16/21,609.0
5/17/21,741.0
5/18/21,596.0
5/19/21,1441.0
5/20/21,2348.0
5/21/21,1366.0
5/22/21,1219.0
5/23/21,1011.0
5/24/21,347.0
5/25/21,969.0
5/26/21,1064.0
5/27/21,1098.0
5/28/21,836.0
5/29/21,1576.0
5/30/21,1100.0
5/31/21,196.0
6/1/21,1653.0
6/2/21,1175.0
6/3/21,952.0
6/4/21,922.0
6/5/21,690.0
6/6/21,924.0
6/7/21,386.0
6/8/21,246.0
6/9/21,885.0
6/10/21,2153.0
6/11/21,1098.0
6/12/21,987.0
6/13/21,826.0
6/14/21,205.0
6/15/21,235.0
6/16/21,1806.0
