,Egypt
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,1.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,1.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,1.0
3/6/20,12.0
3/7/20,0.0
3/8/20,34.0
3/9/20,6.0
3/10/20,4.0
3/11/20,1.0
3/12/20,7.0
3/13/20,13.0
3/14/20,29.0
3/15/20,1.0
3/16/20,40.0
3/17/20,46.0
3/18/20,0.0
3/19/20,60.0
3/20/20,29.0
3/21/20,9.0
3/22/20,33.0
3/23/20,39.0
3/24/20,36.0
3/25/20,54.0
3/26/20,39.0
3/27/20,41.0
3/28/20,40.0
3/29/20,33.0
3/30/20,47.0
3/31/20,54.0
4/1/20,69.0
4/2/20,86.0
4/3/20,120.0
4/4/20,85.0
4/5/20,103.0
4/6/20,149.0
4/7/20,128.0
4/8/20,110.0
4/9/20,139.0
4/10/20,95.0
4/11/20,145.0
4/12/20,126.0
4/13/20,125.0
4/14/20,160.0
4/15/20,155.0
4/16/20,168.0
4/17/20,171.0
4/18/20,188.0
4/19/20,112.0
4/20/20,189.0
4/21/20,157.0
4/22/20,169.0
4/23/20,232.0
4/24/20,201.0
4/25/20,227.0
4/26/20,215.0
4/27/20,248.0
4/28/20,260.0
4/29/20,226.0
4/30/20,269.0
5/1/20,358.0
5/2/20,298.0
5/3/20,272.0
5/4/20,348.0
5/5/20,388.0
5/6/20,387.0
5/7/20,393.0
5/8/20,495.0
5/9/20,488.0
5/10/20,436.0
5/11/20,346.0
5/12/20,347.0
5/13/20,338.0
5/14/20,398.0
5/15/20,399.0
5/16/20,491.0
5/17/20,510.0
5/18/20,535.0
5/19/20,720.0
5/20/20,745.0
5/21/20,774.0
5/22/20,783.0
5/23/20,727.0
5/24/20,752.0
5/25/20,702.0
5/26/20,789.0
5/27/20,910.0
5/28/20,1127.0
5/29/20,1289.0
5/30/20,1367.0
5/31/20,1536.0
6/1/20,1399.0
6/2/20,1152.0
6/3/20,1079.0
6/4/20,1152.0
6/5/20,1348.0
6/6/20,1497.0
6/7/20,1467.0
6/8/20,1365.0
6/9/20,1385.0
6/10/20,1455.0
6/11/20,1442.0
6/12/20,1577.0
6/13/20,1677.0
6/14/20,1618.0
6/15/20,1691.0
6/16/20,1567.0
6/17/20,1363.0
6/18/20,1218.0
6/19/20,1774.0
6/20/20,1547.0
6/21/20,1475.0
6/22/20,1576.0
6/23/20,1332.0
6/24/20,1420.0
6/25/20,1569.0
6/26/20,1625.0
6/27/20,1168.0
6/28/20,1265.0
6/29/20,1566.0
6/30/20,1557.0
7/1/20,1503.0
7/2/20,1485.0
7/3/20,1412.0
7/4/20,1324.0
7/5/20,1218.0
7/6/20,969.0
7/7/20,1057.0
7/8/20,1025.0
7/9/20,950.0
7/10/20,981.0
7/11/20,923.0
7/12/20,912.0
7/13/20,931.0
7/14/20,929.0
7/15/20,913.0
7/16/20,928.0
7/17/20,703.0
7/18/20,698.0
7/19/20,603.0
7/20/20,627.0
7/21/20,676.0
7/22/20,667.0
7/23/20,668.0
7/24/20,659.0
7/25/20,511.0
7/26/20,479.0
7/27/20,420.0
7/28/20,465.0
7/29/20,409.0
7/30/20,401.0
7/31/20,321.0
8/1/20,238.0
8/2/20,167.0
8/3/20,157.0
8/4/20,112.0
8/5/20,123.0
8/6/20,131.0
8/7/20,141.0
8/8/20,167.0
8/9/20,178.0
8/10/20,174.0
8/11/20,168.0
8/12/20,129.0
8/13/20,145.0
8/14/20,112.0
8/15/20,116.0
8/16/20,139.0
8/17/20,115.0
8/18/20,163.0
8/19/20,161.0
8/20/20,111.0
8/21/20,123.0
8/22/20,89.0
8/23/20,103.0
8/24/20,138.0
8/25/20,141.0
8/26/20,206.0
8/27/20,237.0
8/28/20,223.0
8/29/20,212.0
8/30/20,230.0
8/31/20,212.0
9/1/20,176.0
9/2/20,165.0
9/3/20,145.0
9/4/20,157.0
9/5/20,130.0
9/6/20,151.0
9/7/20,178.0
9/8/20,187.0
9/9/20,175.0
9/10/20,154.0
9/11/20,151.0
9/12/20,148.0
9/13/20,153.0
9/14/20,168.0
9/15/20,163.0
9/16/20,160.0
9/17/20,141.0
9/18/20,131.0
9/19/20,128.0
9/20/20,115.0
9/21/20,126.0
9/22/20,113.0
9/23/20,121.0
9/24/20,138.0
9/25/20,112.0
9/26/20,111.0
9/27/20,104.0
9/28/20,115.0
9/29/20,124.0
9/30/20,119.0
10/1/20,119.0
10/2/20,149.0
10/3/20,109.0
10/4/20,108.0
10/5/20,98.0
10/6/20,121.0
10/7/20,133.0
10/8/20,121.0
10/9/20,106.0
10/10/20,125.0
10/11/20,129.0
10/12/20,132.0
10/13/20,139.0
10/14/20,128.0
10/15/20,118.0
10/16/20,126.0
10/17/20,138.0
10/18/20,127.0
10/19/20,123.0
10/20/20,158.0
10/21/20,178.0
10/22/20,177.0
10/23/20,170.0
10/24/20,167.0
10/25/20,143.0
10/26/20,167.0
10/27/20,170.0
10/28/20,153.0
10/29/20,179.0
10/30/20,167.0
10/31/20,179.0
11/1/20,181.0
11/2/20,189.0
11/3/20,197.0
11/4/20,207.0
11/5/20,201.0
11/6/20,224.0
11/7/20,208.0
11/8/20,239.0
11/9/20,221.0
11/10/20,232.0
11/11/20,227.0
11/12/20,214.0
11/13/20,224.0
11/14/20,228.0
11/15/20,220.0
11/16/20,242.0
11/17/20,275.0
11/18/20,329.0
11/19/20,342.0
11/20/20,363.0
11/21/20,358.0
11/22/20,351.0
11/23/20,354.0
11/24/20,361.0
11/25/20,365.0
11/26/20,368.0
11/27/20,357.0
11/28/20,351.0
11/29/20,358.0
11/30/20,370.0
12/1/20,392.0
12/2/20,421.0
12/3/20,432.0
12/4/20,427.0
12/5/20,431.0
12/6/20,418.0
12/7/20,415.0
12/8/20,434.0
12/9/20,421.0
12/10/20,445.0
12/11/20,464.0
12/12/20,478.0
12/13/20,486.0
12/14/20,511.0
12/15/20,523.0
12/16/20,544.0
12/17/20,548.0
12/18/20,579.0
12/19/20,611.0
12/20/20,664.0
12/21/20,718.0
12/22/20,788.0
12/23/20,911.0
12/24/20,1021.0
12/25/20,1133.0
12/26/20,1189.0
12/27/20,1226.0
12/28/20,1359.0
12/29/20,1333.0
12/30/20,1411.0
12/31/20,1418.0
1/1/21,1409.0
1/2/21,1407.0
1/3/21,1309.0
1/4/21,1277.0
1/5/21,1119.0
1/6/21,1007.0
1/7/21,1219.0
1/8/21,1001.0
1/9/21,989.0
1/10/21,993.0
1/11/21,961.0
1/12/21,970.0
1/13/21,996.0
1/14/21,1022.0
1/15/21,879.0
1/16/21,887.0
1/17/21,890.0
1/18/21,878.0
1/19/21,899.0
1/20/21,789.0
1/21/21,752.0
1/22/21,748.0
1/23/21,680.0
1/24/21,674.0
1/25/21,669.0
1/26/21,643.0
1/27/21,632.0
1/28/21,521.0
1/29/21,589.0
1/30/21,547.0
1/31/21,533.0
2/1/21,541.0
2/2/21,521.0
2/3/21,512.0
2/4/21,532.0
2/5/21,540.0
2/6/21,509.0
2/7/21,534.0
2/8/21,567.0
2/9/21,573.0
2/10/21,610.0
2/11/21,603.0
2/12/21,609.0
2/13/21,600.0
2/14/21,611.0
2/15/21,613.0
2/16/21,633.0
2/17/21,618.0
2/18/21,656.0
2/19/21,610.0
2/20/21,600.0
2/21/21,608.0
2/22/21,623.0
2/23/21,633.0
2/24/21,644.0
2/25/21,589.0
2/26/21,601.0
2/27/21,588.0
2/28/21,595.0
3/1/21,586.0
3/2/21,581.0
3/3/21,577.0
3/4/21,587.0
3/5/21,579.0
3/6/21,588.0
3/7/21,581.0
3/8/21,591.0
3/9/21,622.0
3/10/21,645.0
3/11/21,639.0
3/12/21,639.0
3/13/21,641.0
3/14/21,644.0
3/15/21,631.0
3/16/21,640.0
3/17/21,645.0
3/18/21,642.0
3/19/21,645.0
3/20/21,644.0
3/21/21,647.0
3/22/21,643.0
3/23/21,648.0
3/24/21,641.0
3/25/21,661.0
3/26/21,670.0
3/27/21,683.0
3/28/21,686.0
3/29/21,689.0
3/30/21,693.0
3/31/21,699.0
4/1/21,712.0
4/2/21,703.0
4/3/21,710.0
4/4/21,709.0
4/5/21,767.0
4/6/21,778.0
4/7/21,783.0
4/8/21,789.0
4/9/21,794.0
4/10/21,801.0
4/11/21,812.0
4/12/21,818.0
4/13/21,823.0
4/14/21,831.0
4/15/21,837.0
4/16/21,841.0
4/17/21,845.0
4/18/21,850.0
4/19/21,852.0
4/20/21,855.0
4/21/21,861.0
4/22/21,872.0
4/23/21,884.0
4/24/21,912.0
4/25/21,953.0
4/26/21,991.0
4/27/21,1003.0
4/28/21,1011.0
4/29/21,1003.0
4/30/21,1021.0
5/1/21,1032.0
5/2/21,1051.0
5/3/21,1078.0
5/4/21,1090.0
5/5/21,1102.0
5/6/21,1110.0
5/7/21,1125.0
5/8/21,1132.0
5/9/21,1138.0
5/10/21,1150.0
5/11/21,1180.0
5/12/21,1187.0
5/13/21,1193.0
5/14/21,1197.0
5/15/21,1203.0
5/16/21,1201.0
5/17/21,1188.0
5/18/21,1169.0
5/19/21,1160.0
5/20/21,1153.0
5/21/21,1148.0
5/22/21,1151.0
5/23/21,1145.0
5/24/21,1149.0
5/25/21,1140.0
5/26/21,1151.0
5/27/21,1132.0
5/28/21,1133.0
5/29/21,1119.0
5/30/21,1007.0
5/31/21,984.0
6/1/21,956.0
6/2/21,951.0
6/3/21,932.0
6/4/21,861.0
6/5/21,821.0
6/6/21,801.0
6/7/21,782.0
6/8/21,773.0
6/9/21,765.0
6/10/21,755.0
6/11/21,733.0
6/12/21,711.0
6/13/21,691.0
6/14/21,613.0
6/15/21,609.0
6/16/21,606.0
6/17/21,591.0
6/18/21,589.0
6/19/21,566.0
6/20/21,532.0
6/21/21,509.0
6/22/21,498.0
6/23/21,466.0
6/24/21,423.0
6/25/21,412.0
6/26/21,409.0
