,Ethiopia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,1.0
3/14/20,0.0
3/15/20,0.0
3/16/20,4.0
3/17/20,0.0
3/18/20,1.0
3/19/20,0.0
3/20/20,3.0
3/21/20,0.0
3/22/20,2.0
3/23/20,0.0
3/24/20,1.0
3/25/20,0.0
3/26/20,0.0
3/27/20,4.0
3/28/20,0.0
3/29/20,5.0
3/30/20,2.0
3/31/20,3.0
4/1/20,3.0
4/2/20,0.0
4/3/20,6.0
4/4/20,3.0
4/5/20,5.0
4/6/20,1.0
4/7/20,8.0
4/8/20,3.0
4/9/20,1.0
4/10/20,9.0
4/11/20,4.0
4/12/20,2.0
4/13/20,3.0
4/14/20,8.0
4/15/20,3.0
4/16/20,7.0
4/17/20,4.0
4/18/20,9.0
4/19/20,3.0
4/20/20,3.0
4/21/20,3.0
4/22/20,2.0
4/23/20,0.0
4/24/20,1.0
4/25/20,5.0
4/26/20,1.0
4/27/20,1.0
4/28/20,2.0
4/29/20,4.0
4/30/20,1.0
5/1/20,2.0
5/2/20,0.0
5/3/20,2.0
5/4/20,5.0
5/5/20,5.0
5/6/20,17.0
5/7/20,29.0
5/8/20,3.0
5/9/20,16.0
5/10/20,29.0
5/11/20,11.0
5/12/20,11.0
5/13/20,2.0
5/14/20,9.0
5/15/20,15.0
5/16/20,19.0
5/17/20,11.0
5/18/20,35.0
5/19/20,13.0
5/20/20,24.0
5/21/20,10.0
5/22/20,34.0
5/23/20,61.0
5/24/20,88.0
5/25/20,73.0
5/26/20,46.0
5/27/20,30.0
5/28/20,100.0
5/29/20,137.0
5/30/20,95.0
5/31/20,109.0
6/1/20,85.0
6/2/20,87.0
6/3/20,142.0
6/4/20,150.0
6/5/20,169.0
6/6/20,129.0
6/7/20,86.0
6/8/20,136.0
6/9/20,180.0
6/10/20,170.0
6/11/20,164.0
6/12/20,245.0
6/13/20,251.0
6/14/20,179.0
6/15/20,176.0
6/16/20,109.0
6/17/20,129.0
6/18/20,195.0
6/19/20,116.0
6/20/20,399.0
6/21/20,63.0
6/22/20,131.0
6/23/20,185.0
6/24/20,186.0
6/25/20,141.0
6/26/20,250.0
6/27/20,145.0
6/28/20,119.0
6/29/20,157.0
6/30/20,0.0
7/1/20,0.0
7/2/20,0.0
7/3/20,0.0
7/4/20,0.0
7/5/20,0.0
7/6/20,0.0
7/7/20,0.0
7/8/20,928.0
7/9/20,199.0
7/10/20,147.0
7/11/20,282.0
7/12/20,158.0
7/13/20,206.0
7/14/20,203.0
7/15/20,212.0
7/16/20,294.0
7/17/20,328.0
7/18/20,344.0
7/19/20,356.0
7/20/20,704.0
7/21/20,865.0
7/22/20,452.0
7/23/20,409.0
7/24/20,760.0
7/25/20,555.0
7/26/20,720.0
7/27/20,579.0
7/28/20,653.0
7/29/20,610.0
7/30/20,805.0
7/31/20,915.0
8/1/20,469.0
8/2/20,707.0
8/3/20,583.0
8/4/20,588.0
8/5/20,459.0
8/6/20,564.0
8/7/20,552.0
8/8/20,801.0
8/9/20,565.0
8/10/20,773.0
8/11/20,584.0
8/12/20,943.0
8/13/20,1086.0
8/14/20,1038.0
8/15/20,1652.0
8/16/20,982.0
8/17/20,1460.0
8/18/20,1386.0
8/19/20,1336.0
8/20/20,1778.0
8/21/20,1829.0
8/22/20,1368.0
8/23/20,1638.0
8/24/20,1472.0
8/25/20,1545.0
8/26/20,1533.0
8/27/20,1186.0
8/28/20,1733.0
8/29/20,1514.0
8/30/20,1468.0
8/31/20,1009.0
9/1/20,1173.0
9/2/20,1105.0
9/3/20,804.0
9/4/20,1303.0
9/5/20,950.0
9/6/20,1206.0
9/7/20,976.0
9/8/20,1136.0
9/9/20,916.0
9/10/20,878.0
9/11/20,789.0
9/12/20,521.0
9/13/20,413.0
9/14/20,485.0
9/15/20,700.0
9/16/20,738.0
9/17/20,689.0
9/18/20,602.0
9/19/20,616.0
9/20/20,689.0
9/21/20,889.0
9/22/20,713.0
9/23/20,661.0
9/24/20,604.0
9/25/20,486.0
9/26/20,527.0
9/27/20,632.0
9/28/20,612.0
9/29/20,640.0
9/30/20,784.0
10/1/20,730.0
10/2/20,890.0
10/3/20,872.0
10/4/20,959.0
10/5/20,618.0
10/6/20,566.0
10/7/20,892.0
10/8/20,902.0
10/9/20,865.0
10/10/20,767.0
10/11/20,866.0
10/12/20,841.0
10/13/20,582.0
10/14/20,712.0
10/15/20,739.0
10/16/20,665.0
10/17/20,600.0
10/18/20,703.0
10/19/20,723.0
10/20/20,630.0
10/21/20,628.0
10/22/20,575.0
10/23/20,536.0
10/24/20,629.0
10/25/20,485.0
10/26/20,364.0
10/27/20,511.0
10/28/20,602.0
10/29/20,481.0
10/30/20,488.0
10/31/20,380.0
11/1/20,414.0
11/2/20,359.0
11/3/20,560.0
11/4/20,379.0
11/5/20,510.0
11/6/20,355.0
11/7/20,455.0
11/8/20,474.0
11/9/20,307.0
11/10/20,345.0
11/11/20,400.0
11/12/20,521.0
11/13/20,509.0
11/14/20,564.0
11/15/20,399.0
11/16/20,336.0
11/17/20,339.0
11/18/20,533.0
11/19/20,499.0
11/20/20,452.0
11/21/20,473.0
11/22/20,433.0
11/23/20,418.0
11/24/20,388.0
11/25/20,518.0
11/26/20,560.0
11/27/20,769.0
11/28/20,492.0
11/29/20,604.0
11/30/20,540.0
12/1/20,480.0
12/2/20,430.0
12/3/20,595.0
12/4/20,512.0
12/5/20,649.0
12/6/20,555.0
12/7/20,440.0
12/8/20,531.0
12/9/20,568.0
12/10/20,526.0
12/11/20,422.0
12/12/20,515.0
12/13/20,472.0
12/14/20,473.0
12/15/20,300.0
12/16/20,464.0
12/17/20,475.0
12/18/20,544.0
12/19/20,469.0
12/20/20,457.0
12/21/20,397.0
12/22/20,290.0
12/23/20,351.0
12/24/20,410.0
12/25/20,481.0
12/26/20,533.0
12/27/20,451.0
12/28/20,281.0
12/29/20,243.0
12/30/20,468.0
12/31/20,408.0
1/1/21,388.0
1/2/21,397.0
1/3/21,573.0
1/4/21,297.0
1/5/21,322.0
1/6/21,545.0
1/7/21,441.0
1/8/21,345.0
1/9/21,220.0
1/10/21,524.0
1/11/21,300.0
1/12/21,376.0
1/13/21,463.0
1/14/21,467.0
1/15/21,404.0
1/16/21,446.0
1/17/21,423.0
1/18/21,351.0
1/19/21,181.0
1/20/21,307.0
1/21/21,292.0
1/22/21,555.0
1/23/21,417.0
1/24/21,469.0
1/25/21,365.0
1/26/21,437.0
1/27/21,476.0
1/28/21,549.0
1/29/21,771.0
1/30/21,656.0
1/31/21,629.0
2/1/21,734.0
2/2/21,477.0
2/3/21,547.0
2/4/21,749.0
2/5/21,726.0
2/6/21,570.0
2/7/21,885.0
2/8/21,656.0
2/9/21,572.0
2/10/21,683.0
2/11/21,613.0
2/12/21,686.0
2/13/21,156.0
2/14/21,1388.0
2/15/21,733.0
2/16/21,665.0
2/17/21,818.0
2/18/21,871.0
2/19/21,837.0
2/20/21,841.0
2/21/21,949.0
2/22/21,735.0
2/23/21,716.0
2/24/21,977.0
2/25/21,878.0
2/26/21,935.0
2/27/21,1006.0
2/28/21,1019.0
3/1/21,900.0
3/2/21,841.0
3/3/21,1161.0
3/4/21,980.0
3/5/21,1119.0
3/6/21,956.0
3/7/21,1109.0
3/8/21,995.0
3/9/21,1202.0
3/10/21,1543.0
3/11/21,1332.0
3/12/21,1361.0
3/13/21,1483.0
3/14/21,1413.0
3/15/21,1151.0
3/16/21,1490.0
3/17/21,1704.0
3/18/21,2057.0
3/19/21,1994.0
3/20/21,1778.0
3/21/21,1724.0
3/22/21,1537.0
3/23/21,1692.0
3/24/21,1981.0
3/25/21,1949.0
3/26/21,2097.0
3/27/21,2173.0
3/28/21,1769.0
3/29/21,1982.0
3/30/21,1976.0
3/31/21,2068.0
4/1/21,2372.0
4/2/21,2353.0
4/3/21,1997.0
4/4/21,1878.0
4/5/21,2138.0
4/6/21,2054.0
4/7/21,2163.0
4/8/21,2121.0
4/9/21,1851.0
4/10/21,1739.0
4/11/21,1741.0
4/12/21,1948.0
4/13/21,1568.0
4/14/21,1893.0
4/15/21,2149.0
4/16/21,1973.0
4/17/21,1709.0
4/18/21,1792.0
4/19/21,1603.0
4/20/21,1524.0
4/21/21,1329.0
4/22/21,1505.0
4/23/21,1303.0
4/24/21,1663.0
4/25/21,1324.0
4/26/21,841.0
4/27/21,924.0
4/28/21,1244.0
4/29/21,1130.0
4/30/21,1024.0
5/1/21,620.0
5/2/21,322.0
5/3/21,429.0
5/4/21,541.0
5/5/21,785.0
5/6/21,663.0
5/7/21,778.0
5/8/21,637.0
5/9/21,485.0
5/10/21,418.0
5/11/21,552.0
5/12/21,695.0
5/13/21,593.0
5/14/21,453.0
5/15/21,419.0
5/16/21,432.0
5/17/21,382.0
5/18/21,454.0
5/19/21,497.0
5/20/21,438.0
5/21/21,485.0
5/22/21,381.0
5/23/21,293.0
5/24/21,306.0
5/25/21,282.0
5/26/21,398.0
5/27/21,347.0
5/28/21,417.0
5/29/21,256.0
5/30/21,145.0
5/31/21,196.0
6/1/21,249.0
6/2/21,246.0
6/3/21,249.0
6/4/21,347.0
6/5/21,173.0
6/6/21,109.0
6/7/21,110.0
6/8/21,151.0
6/9/21,223.0
6/10/21,280.0
6/11/21,214.0
6/12/21,136.0
6/13/21,159.0
6/14/21,159.0
6/15/21,134.0
6/16/21,121.0
6/17/21,174.0
6/18/21,124.0
6/19/21,137.0
6/20/21,158.0
6/21/21,124.0
6/22/21,73.0
6/23/21,111.0
6/24/21,99.0
6/25/21,168.0
6/26/21,112.0
6/27/21,54.0
