,Germany
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,1.0
1/28/20,3.0
1/29/20,0.0
1/30/20,0.0
1/31/20,1.0
2/1/20,3.0
2/2/20,2.0
2/3/20,2.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,1.0
2/8/20,0.0
2/9/20,1.0
2/10/20,0.0
2/11/20,2.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,1.0
2/26/20,10.0
2/27/20,19.0
2/28/20,2.0
2/29/20,31.0
3/1/20,51.0
3/2/20,29.0
3/3/20,37.0
3/4/20,66.0
3/5/20,220.0
3/6/20,188.0
3/7/20,129.0
3/8/20,241.0
3/9/20,136.0
3/10/20,281.0
3/11/20,451.0
3/12/20,170.0
3/13/20,1597.0
3/14/20,910.0
3/15/20,1210.0
3/16/20,1477.0
3/17/20,1985.0
3/18/20,3070.0
3/19/20,2993.0
3/20/20,4528.0
3/21/20,2365.0
3/22/20,2660.0
3/23/20,4183.0
3/24/20,3930.0
3/25/20,4337.0
3/26/20,6615.0
3/27/20,6933.0
3/28/20,6824.0
3/29/20,4400.0
3/30/20,4790.0
3/31/20,4923.0
4/1/20,6064.0
4/2/20,6922.0
4/3/20,6365.0
4/4/20,4933.0
4/5/20,4031.0
4/6/20,3251.0
4/7/20,4289.0
4/8/20,5633.0
4/9/20,4885.0
4/10/20,3990.0
4/11/20,2737.0
4/12/20,2946.0
4/13/20,2218.0
4/14/20,1287.0
4/15/20,3394.0
4/16/20,2945.0
4/17/20,3699.0
4/18/20,1945.0
4/19/20,1842.0
4/20/20,1881.0
4/21/20,1226.0
4/22/20,2357.0
4/23/20,2481.0
4/24/20,1870.0
4/25/20,1514.0
4/26/20,1257.0
4/27/20,988.0
4/28/20,1154.0
4/29/20,1627.0
4/30/20,1470.0
5/1/20,1068.0
5/2/20,890.0
5/3/20,697.0
5/4/20,488.0
5/5/20,855.0
5/6/20,1155.0
5/7/20,1268.0
5/8/20,1158.0
5/9/20,736.0
5/10/20,555.0
5/11/20,697.0
5/12/20,595.0
5/13/20,927.0
5/14/20,380.0
5/15/20,755.0
5/16/20,519.0
5/17/20,617.0
5/18/20,182.0
5/19/20,1227.0
5/20/20,695.0
5/21/20,548.0
5/22/20,689.0
5/23/20,276.0
5/24/20,342.0
5/25/20,272.0
5/26/20,600.0
5/27/20,324.0
5/28/20,672.0
5/29/20,726.0
5/30/20,267.0
5/31/20,221.0
6/1/20,184.0
6/2/20,285.0
6/3/20,242.0
6/4/20,351.0
6/5/20,452.0
6/6/20,526.0
6/7/20,300.0
6/8/20,359.0
6/9/20,397.0
6/10/20,16.0
6/11/20,169.0
6/12/20,535.0
6/13/20,41.0
6/14/20,251.0
6/15/20,164.0
6/16/20,570.0
6/17/20,352.0
6/18/20,1213.0
6/19/20,482.0
6/20/20,371.0
6/21/20,602.0
6/22/20,496.0
6/23/20,712.0
6/24/20,391.0
6/25/20,500.0
6/26/20,665.0
6/27/20,422.0
6/28/20,235.0
6/29/20,349.0
6/30/20,376.0
7/1/20,475.0
7/2/20,477.0
7/3/20,410.0
7/4/20,418.0
7/5/20,325.0
7/6/20,541.0
7/7/20,279.0
7/8/20,356.0
7/9/20,302.0
7/10/20,331.0
7/11/20,377.0
7/12/20,210.0
7/13/20,261.0
7/14/20,276.0
7/15/20,434.0
7/16/20,560.0
7/17/20,595.0
7/18/20,381.0
7/19/20,309.0
7/20/20,590.0
7/21/20,392.0
7/22/20,559.0
7/23/20,605.0
7/24/20,742.0
7/25/20,655.0
7/26/20,389.0
7/27/20,445.0
7/28/20,595.0
7/29/20,839.0
7/30/20,989.0
7/31/20,864.0
8/1/20,606.0
8/2/20,215.0
8/3/20,891.0
8/4/20,717.0
8/5/20,1285.0
8/6/20,926.0
8/7/20,1157.0
8/8/20,707.0
8/9/20,385.0
8/10/20,1220.0
8/11/20,1032.0
8/12/20,1319.0
8/13/20,1422.0
8/14/20,1510.0
8/15/20,697.0
8/16/20,519.0
8/17/20,1693.0
8/18/20,1420.0
8/19/20,1586.0
8/20/20,1586.0
8/21/20,1737.0
8/22/20,832.0
8/23/20,633.0
8/24/20,1628.0
8/25/20,1461.0
8/26/20,1427.0
8/27/20,1561.0
8/28/20,1555.0
8/29/20,709.0
8/30/20,470.0
8/31/20,1497.0
9/1/20,1213.0
9/2/20,1396.0
9/3/20,1429.0
9/4/20,1443.0
9/5/20,775.0
9/6/20,670.0
9/7/20,1898.0
9/8/20,1331.0
9/9/20,1476.0
9/10/20,1716.0
9/11/20,1586.0
9/12/20,1082.0
9/13/20,920.0
9/14/20,1485.0
9/15/20,1792.0
9/16/20,1855.0
9/17/20,2179.0
9/18/20,2199.0
9/19/20,1685.0
9/20/20,1033.0
9/21/20,1595.0
9/22/20,1852.0
9/23/20,1613.0
9/24/20,2321.0
9/25/20,2366.0
9/26/20,1314.0
9/27/20,1313.0
9/28/20,2292.0
9/29/20,1840.0
9/30/20,2442.0
10/1/20,2626.0
10/2/20,2835.0
10/3/20,1653.0
10/4/20,1546.0
10/5/20,3100.0
10/6/20,2454.0
10/7/20,4010.0
10/8/20,4804.0
10/9/20,4554.0
10/10/20,2968.0
10/11/20,2846.0
10/12/20,6541.0
10/13/20,4464.0
10/14/20,7173.0
10/15/20,7620.0
10/16/20,7695.0
10/17/20,4862.0
10/18/20,4007.0
10/19/20,8397.0
10/20/20,8523.0
10/21/20,12331.0
10/22/20,5952.0
10/23/20,13476.0
10/24/20,10458.0
10/25/20,9890.0
10/26/20,12560.0
10/27/20,13161.0
10/28/20,16202.0
10/29/20,18733.0
10/30/20,19382.0
10/31/20,14054.0
11/1/20,12556.0
11/2/20,25252.0
11/3/20,7533.0
11/4/20,31480.0
11/5/20,22561.0
11/6/20,22820.0
11/7/20,14122.0
11/8/20,14510.0
11/9/20,6522.0
11/10/20,26547.0
11/11/20,22401.0
11/12/20,24738.0
11/13/20,22261.0
11/14/20,14640.0
11/15/20,3213.0
11/16/20,14580.0
11/17/20,26231.0
11/18/20,23727.0
11/19/20,24041.0
11/20/20,22593.0
11/21/20,13872.0
11/22/20,4377.0
11/23/20,14455.0
11/24/20,16370.0
11/25/20,32687.0
11/26/20,21951.0
11/27/20,20819.0
11/28/20,13845.0
11/29/20,3197.0
11/30/20,14221.0
12/1/20,24766.0
12/2/20,23275.0
12/3/20,23591.0
12/4/20,15970.0
12/5/20,26126.0
12/6/20,10910.0
12/7/20,5456.0
12/8/20,29263.0
12/9/20,25089.0
12/10/20,32734.0
12/11/20,27217.0
12/12/20,21792.0
12/13/20,14709.0
12/14/20,6451.0
12/15/20,33825.0
12/16/20,32744.0
12/17/20,30179.0
12/18/20,32830.0
12/19/20,21679.0
12/20/20,6444.0
12/21/20,19256.0
12/22/20,36153.0
12/23/20,33758.0
12/24/20,26467.0
12/25/20,2140.0
12/26/20,13504.0
12/27/20,12399.0
12/28/20,14004.0
12/29/20,19112.0
12/30/20,31941.0
12/31/20,23233.0
1/1/21,15575.0
1/2/21,11036.0
1/3/21,10356.0
1/4/21,12320.0
1/5/21,18349.0
1/6/21,26663.0
1/7/21,45333.0
1/8/21,19077.0
1/9/21,22824.0
1/10/21,948.0
1/11/21,11706.0
1/12/21,27210.0
1/13/21,25566.0
1/14/21,21343.0
1/15/21,8593.0
1/16/21,14817.0
1/17/21,11484.0
1/18/21,9253.0
1/19/21,12233.0
1/20/21,29003.0
1/21/21,8277.0
1/22/21,16366.0
1/23/21,12430.0
1/24/21,10078.0
1/25/21,6887.0
1/26/21,9387.0
1/27/21,15636.0
1/28/21,14883.0
1/29/21,12831.0
1/30/21,17518.0
1/31/21,748.0
2/1/21,6668.0
2/2/21,7690.0
2/3/21,12487.0
2/4/21,13032.0
2/5/21,10835.0
2/6/21,8632.0
2/7/21,6670.0
2/8/21,4650.0
2/9/21,5728.0
2/10/21,9246.0
2/11/21,9928.0
2/12/21,9197.0
2/13/21,6484.0
2/14/21,4838.0
2/15/21,5132.0
2/16/21,5890.0
2/17/21,9598.0
2/18/21,9845.0
2/19/21,9050.0
2/20/21,7162.0
2/21/21,6094.0
2/22/21,4984.0
2/23/21,5764.0
2/24/21,10774.0
2/25/21,11032.0
2/26/21,9437.0
2/27/21,7671.0
2/28/21,6118.0
3/1/21,5274.0
3/2/21,6492.0
3/3/21,10852.0
3/4/21,11393.0
3/5/21,9581.0
3/6/21,8264.0
3/7/21,6504.0
3/8/21,5129.0
3/9/21,6834.0
3/10/21,21163.0
3/11/21,4745.0
3/12/21,12770.0
3/13/21,10568.0
3/14/21,8978.0
3/15/21,6543.0
3/16/21,9673.0
3/17/21,17850.0
3/18/21,17052.0
3/19/21,16147.0
3/20/21,13685.0
3/21/21,10209.0
3/22/21,8261.0
3/23/21,20969.0
3/24/21,23757.0
3/25/21,21620.0
3/26/21,20689.0
3/27/21,17628.0
3/28/21,1727.0
3/29/21,10297.0
3/30/21,23681.0
3/31/21,25014.0
4/1/21,22679.0
4/2/21,16033.0
4/3/21,3673.0
4/4/21,10300.0
4/5/21,5980.0
4/6/21,7593.0
4/7/21,30377.0
4/8/21,26510.0
4/9/21,23935.0
4/10/21,18728.0
4/11/21,2706.0
4/12/21,12446.0
4/13/21,29421.0
4/14/21,31117.0
4/15/21,25110.0
4/16/21,23856.0
4/17/21,20197.0
4/18/21,1217.0
4/19/21,11615.0
4/20/21,31397.0
4/21/21,24354.0
4/22/21,31721.0
4/23/21,22262.0
4/24/21,14422.0
4/25/21,15399.0
4/26/21,5961.0
4/27/21,25911.0
4/28/21,28263.0
4/29/21,24212.0
4/30/21,14326.0
5/1/21,18535.0
5/2/21,8776.0
5/3/21,5510.0
5/4/21,24111.0
5/5/21,22458.0
5/6/21,17917.0
5/7/21,15090.0
5/8/21,13125.0
5/9/21,0.0
5/10/21,7321.0
5/11/21,19696.0
5/12/21,6590.0
5/13/21,13631.0
5/14/21,10377.0
5/15/21,7370.0
5/16/21,7067.0
5/17/21,5381.0
5/18/21,7576.0
5/19/21,11881.0
5/20/21,10727.0
5/21/21,8096.0
5/22/21,6419.0
5/23/21,4643.0
5/24/21,2328.0
5/25/21,2578.0
5/26/21,4473.0
5/27/21,6949.0
5/28/21,6169.0
5/29/21,4513.0
5/30/21,3043.0
5/31/21,2206.0
6/1/21,2987.0
