,Ghana
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,3.0
3/15/20,3.0
3/16/20,0.0
3/17/20,1.0
3/18/20,0.0
3/19/20,4.0
3/20/20,5.0
3/21/20,3.0
3/22/20,4.0
3/23/20,4.0
3/24/20,26.0
3/25/20,40.0
3/26/20,39.0
3/27/20,5.0
3/28/20,4.0
3/29/20,11.0
3/30/20,0.0
3/31/20,9.0
4/1/20,34.0
4/2/20,9.0
4/3/20,1.0
4/4/20,0.0
4/5/20,9.0
4/6/20,0.0
4/7/20,73.0
4/8/20,26.0
4/9/20,65.0
4/10/20,0.0
4/11/20,30.0
4/12/20,158.0
4/13/20,0.0
4/14/20,70.0
4/15/20,0.0
4/16/20,5.0
4/17/20,0.0
4/18/20,193.0
4/19/20,208.0
4/20/20,0.0
4/21/20,0.0
4/22/20,112.0
4/23/20,0.0
4/24/20,125.0
4/25/20,0.0
4/26/20,271.0
4/27/20,0.0
4/28/20,121.0
4/29/20,0.0
4/30/20,403.0
5/1/20,0.0
5/2/20,95.0
5/3/20,0.0
5/4/20,550.0
5/5/20,0.0
5/6/20,372.0
5/7/20,0.0
5/8/20,921.0
5/9/20,251.0
5/10/20,0.0
5/11/20,437.0
5/12/20,427.0
5/13/20,281.0
5/14/20,122.0
5/15/20,108.0
5/16/20,97.0
5/17/20,0.0
5/18/20,0.0
5/19/20,361.0
5/20/20,173.0
5/21/20,0.0
5/22/20,217.0
5/23/20,131.0
5/24/20,66.0
5/25/20,125.0
5/26/20,309.0
5/27/20,186.0
5/28/20,0.0
5/29/20,313.0
5/30/20,152.0
5/31/20,302.0
6/1/20,0.0
6/2/20,227.0
6/3/20,251.0
6/4/20,337.0
6/5/20,283.0
6/6/20,294.0
6/7/20,176.0
6/8/20,272.0
6/9/20,291.0
6/10/20,0.0
6/11/20,157.0
6/12/20,498.0
6/13/20,262.0
6/14/20,846.0
6/15/20,0.0
6/16/20,229.0
6/17/20,397.0
6/18/20,339.0
6/19/20,274.0
6/20/20,514.0
6/21/20,437.0
6/22/20,0.0
6/23/20,414.0
6/24/20,445.0
6/25/20,460.0
6/26/20,361.0
6/27/20,597.0
6/28/20,311.0
6/29/20,609.0
6/30/20,390.0
7/1/20,393.0
7/2/20,0.0
7/3/20,1254.0
7/4/20,0.0
7/5/20,697.0
7/6/20,992.0
7/7/20,891.0
7/8/20,854.0
7/9/20,641.0
7/10/20,371.0
7/11/20,414.0
7/12/20,270.0
7/13/20,470.0
7/14/20,0.0
7/15/20,442.0
7/16/20,695.0
7/17/20,447.0
7/18/20,488.0
7/19/20,607.0
7/20/20,763.0
7/21/20,559.0
7/22/20,683.0
7/23/20,0.0
7/24/20,1385.0
7/25/20,794.0
7/26/20,1118.0
7/27/20,655.0
7/28/20,782.0
7/29/20,736.0
7/30/20,0.0
7/31/20,359.0
8/1/20,1513.0
8/2/20,0.0
8/3/20,798.0
8/4/20,0.0
8/5/20,1263.0
8/6/20,567.0
8/7/20,455.0
8/8/20,436.0
8/9/20,470.0
8/10/20,209.0
8/11/20,192.0
8/12/20,168.0
8/13/20,153.0
8/14/20,122.0
8/15/20,363.0
8/16/20,322.0
8/17/20,121.0
8/18/20,340.0
8/19/20,101.0
8/20/20,166.0
8/21/20,65.0
8/22/20,0.0
8/23/20,180.0
8/24/20,117.0
8/25/20,95.0
8/26/20,52.0
8/27/20,72.0
8/28/20,108.0
8/29/20,169.0
8/30/20,87.0
8/31/20,93.0
9/1/20,162.0
9/2/20,198.0
9/3/20,55.0
9/4/20,64.0
9/5/20,0.0
9/6/20,0.0
9/7/20,92.0
9/8/20,143.0
9/9/20,301.0
9/10/20,0.0
9/11/20,75.0
9/12/20,46.0
9/13/20,0.0
9/14/20,167.0
9/15/20,54.0
9/16/20,0.0
9/17/20,59.0
9/18/20,46.0
9/19/20,117.0
9/20/20,127.0
9/21/20,58.0
9/22/20,0.0
9/23/20,91.0
9/24/20,69.0
9/25/20,0.0
9/26/20,0.0
9/27/20,165.0
9/28/20,57.0
9/29/20,38.0
9/30/20,144.0
10/1/20,30.0
10/2/20,38.0
10/3/20,109.0
10/4/20,26.0
10/5/20,0.0
10/6/20,0.0
10/7/20,0.0
10/8/20,118.0
10/9/20,40.0
10/10/20,18.0
10/11/20,0.0
10/12/20,25.0
10/13/20,96.0
10/14/20,0.0
10/15/20,47.0
10/16/20,0.0
10/17/20,59.0
10/18/20,78.0
10/19/20,62.0
10/20/20,89.0
10/21/20,0.0
10/22/20,77.0
10/23/20,63.0
10/24/20,89.0
10/25/20,0.0
10/26/20,85.0
10/27/20,0.0
10/28/20,0.0
10/29/20,280.0
10/30/20,0.0
10/31/20,0.0
11/1/20,69.0
11/2/20,76.0
11/3/20,0.0
11/4/20,443.0
11/5/20,145.0
11/6/20,0.0
11/7/20,116.0
11/8/20,198.0
11/9/20,100.0
11/10/20,100.0
11/11/20,0.0
11/12/20,655.0
11/13/20,61.0
11/14/20,0.0
11/15/20,105.0
11/16/20,253.0
11/17/20,0.0
11/18/20,81.0
11/19/20,174.0
11/20/20,0.0
11/21/20,86.0
11/22/20,157.0
11/23/20,67.0
11/24/20,243.0
11/25/20,41.0
11/26/20,0.0
11/27/20,0.0
11/28/20,154.0
11/29/20,190.0
11/30/20,98.0
12/1/20,0.0
12/2/20,0.0
12/3/20,0.0
12/4/20,429.0
12/5/20,0.0
12/6/20,178.0
12/7/20,0.0
12/8/20,226.0
12/9/20,122.0
12/10/20,116.0
12/11/20,0.0
12/12/20,195.0
12/13/20,0.0
12/14/20,81.0
12/15/20,256.0
12/16/20,116.0
12/17/20,167.0
12/18/20,100.0
12/19/20,0.0
12/20/20,0.0
12/21/20,301.0
12/22/20,0.0
12/23/20,89.0
12/24/20,0.0
12/25/20,0.0
12/26/20,243.0
12/27/20,115.0
12/28/20,102.0
12/29/20,178.0
12/30/20,90.0
12/31/20,0.0
1/1/21,159.0
1/2/21,134.0
1/3/21,104.0
1/4/21,0.0
1/5/21,0.0
1/6/21,0.0
1/7/21,293.0
1/8/21,0.0
1/9/21,311.0
1/10/21,0.0
1/11/21,458.0
1/12/21,191.0
1/13/21,560.0
1/14/21,0.0
1/15/21,0.0
1/16/21,0.0
1/17/21,733.0
1/18/21,351.0
1/19/21,366.0
1/20/21,0.0
1/21/21,1049.0
1/22/21,0.0
1/23/21,635.0
1/24/21,679.0
1/25/21,1341.0
1/26/21,0.0
1/27/21,616.0
1/28/21,1132.0
1/29/21,0.0
1/30/21,1544.0
1/31/21,1583.0
2/1/21,0.0
2/2/21,772.0
2/3/21,777.0
2/4/21,696.0
2/5/21,791.0
2/6/21,0.0
2/7/21,722.0
2/8/21,1560.0
2/9/21,675.0
2/10/21,0.0
2/11/21,554.0
2/12/21,790.0
2/13/21,1489.0
2/14/21,0.0
2/15/21,656.0
2/16/21,554.0
2/17/21,1225.0
2/18/21,418.0
2/19/21,476.0
2/20/21,490.0
2/21/21,598.0
2/22/21,506.0
2/23/21,0.0
2/24/21,486.0
2/25/21,428.0
2/26/21,913.0
2/27/21,0.0
2/28/21,1437.0
3/1/21,0.0
3/2/21,0.0
3/3/21,326.0
3/4/21,890.0
3/5/21,0.0
3/6/21,853.0
3/7/21,373.0
3/8/21,0.0
3/9/21,272.0
3/10/21,0.0
3/11/21,0.0
3/12/21,0.0
3/13/21,743.0
3/14/21,282.0
3/15/21,223.0
3/16/21,243.0
3/17/21,193.0
3/18/21,0.0
3/19/21,587.0
3/20/21,268.0
3/21/21,406.0
3/22/21,0.0
3/23/21,211.0
3/24/21,0.0
3/25/21,106.0
3/26/21,288.0
3/27/21,0.0
3/28/21,0.0
3/29/21,0.0
3/30/21,0.0
3/31/21,296.0
4/1/21,0.0
4/2/21,91.0
4/3/21,0.0
4/4/21,108.0
4/5/21,118.0
4/6/21,46.0
4/7/21,63.0
4/8/21,100.0
4/9/21,0.0
4/10/21,151.0
4/11/21,0.0
4/12/21,0.0
4/13/21,150.0
4/14/21,67.0
4/15/21,68.0
4/16/21,0.0
4/17/21,118.0
4/18/21,46.0
4/19/21,0.0
4/20/21,0.0
4/21/21,74.0
4/22/21,145.0
4/23/21,0.0
4/24/21,0.0
4/25/21,238.0
4/26/21,87.0
4/27/21,211.0
4/28/21,49.0
4/29/21,49.0
4/30/21,0.0
5/1/21,39.0
5/2/21,0.0
5/3/21,82.0
5/4/21,57.0
5/5/21,88.0
5/6/21,0.0
5/7/21,28.0
5/8/21,0.0
5/9/21,95.0
5/10/21,60.0
5/11/21,0.0
5/12/21,114.0
5/13/21,34.0
5/14/21,84.0
5/15/21,0.0
5/16/21,0.0
5/17/21,90.0
5/18/21,57.0
5/19/21,66.0
5/20/21,0.0
5/21/21,65.0
5/22/21,62.0
5/23/21,37.0
5/24/21,24.0
5/25/21,67.0
5/26/21,0.0
5/27/21,12.0
5/28/21,52.0
5/29/21,0.0
5/30/21,123.0
5/31/21,0.0
6/1/21,113.0
6/2/21,0.0
6/3/21,0.0
6/4/21,177.0
6/5/21,0.0
6/6/21,40.0
6/7/21,0.0
6/8/21,0.0
6/9/21,141.0
6/10/21,0.0
6/11/21,75.0
6/12/21,49.0
6/13/21,0.0
6/14/21,0.0
6/15/21,206.0
6/16/21,125.0
6/17/21,0.0
6/18/21,89.0
6/19/21,0.0
6/20/21,0.0
6/21/21,146.0
6/22/21,177.0
6/23/21,0.0
6/24/21,23.0
6/25/21,0.0
6/26/21,0.0
6/27/21,110.0
6/28/21,107.0
6/29/21,166.0
6/30/21,272.0
7/1/21,0.0
7/2/21,0.0
7/3/21,153.0
7/4/21,250.0
