,Guatemala
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,1.0
3/15/20,0.0
3/16/20,1.0
3/17/20,4.0
3/18/20,0.0
3/19/20,3.0
3/20/20,3.0
3/21/20,5.0
3/22/20,2.0
3/23/20,1.0
3/24/20,1.0
3/25/20,3.0
3/26/20,1.0
3/27/20,3.0
3/28/20,6.0
3/29/20,0.0
3/30/20,2.0
3/31/20,2.0
4/1/20,1.0
4/2/20,8.0
4/3/20,3.0
4/4/20,11.0
4/5/20,0.0
4/6/20,9.0
4/7/20,7.0
4/8/20,10.0
4/9/20,8.0
4/10/20,31.0
4/11/20,11.0
4/12/20,18.0
4/13/20,1.0
4/14/20,11.0
4/15/20,13.0
4/16/20,16.0
4/17/20,18.0
4/18/20,21.0
4/19/20,22.0
4/20/20,32.0
4/21/20,5.0
4/22/20,22.0
4/23/20,68.0
4/24/20,46.0
4/25/20,43.0
4/26/20,27.0
4/27/20,30.0
4/28/20,0.0
4/29/20,27.0
4/30/20,42.0
5/1/20,45.0
5/2/20,44.0
5/3/20,15.0
5/4/20,27.0
5/5/20,33.0
5/6/20,35.0
5/7/20,34.0
5/8/20,68.0
5/9/20,67.0
5/10/20,85.0
5/11/20,62.0
5/12/20,85.0
5/13/20,143.0
5/14/20,176.0
5/15/20,125.0
5/16/20,120.0
5/17/20,0.0
5/18/20,149.0
5/19/20,221.0
5/20/20,132.0
5/21/20,247.0
5/22/20,231.0
5/23/20,311.0
5/24/20,370.0
5/25/20,336.0
5/26/20,194.0
5/27/20,191.0
5/28/20,203.0
5/29/20,259.0
5/30/20,132.0
5/31/20,348.0
6/1/20,249.0
6/2/20,250.0
6/3/20,174.0
6/4/20,394.0
6/5/20,331.0
6/6/20,307.0
6/7/20,263.0
6/8/20,447.0
6/9/20,364.0
6/10/20,355.0
6/11/20,340.0
6/12/20,421.0
6/13/20,509.0
6/14/20,354.0
6/15/20,427.0
6/16/20,434.0
6/17/20,545.0
6/18/20,617.0
6/19/20,641.0
6/20/20,246.0
6/21/20,390.0
6/22/20,624.0
6/23/20,771.0
6/24/20,279.0
6/25/20,800.0
6/26/20,209.0
6/27/20,569.0
6/28/20,533.0
6/29/20,479.0
6/30/20,687.0
7/1/20,915.0
7/2/20,1061.0
7/3/20,1221.0
7/4/20,1208.0
7/5/20,747.0
7/6/20,724.0
7/7/20,815.0
7/8/20,624.0
7/9/20,1247.0
7/10/20,961.0
7/11/20,979.0
7/12/20,757.0
7/13/20,387.0
7/14/20,1130.0
7/15/20,1202.0
7/16/20,865.0
7/17/20,870.0
7/18/20,4233.0
7/19/20,635.0
7/20/20,362.0
7/21/20,1190.0
7/22/20,906.0
7/23/20,1057.0
7/24/20,1091.0
7/25/20,1209.0
7/26/20,561.0
7/27/20,256.0
7/28/20,1142.0
7/29/20,1154.0
7/30/20,1221.0
7/31/20,963.0
8/1/20,1190.0
8/2/20,327.0
8/3/20,236.0
8/4/20,823.0
8/5/20,1144.0
8/6/20,830.0
8/7/20,931.0
8/8/20,919.0
8/9/20,416.0
8/10/20,382.0
8/11/20,979.0
8/12/20,1123.0
8/13/20,1195.0
8/14/20,1144.0
8/15/20,885.0
8/16/20,249.0
8/17/20,382.0
8/18/20,903.0
8/19/20,1034.0
8/20/20,1102.0
8/21/20,958.0
8/22/20,915.0
8/23/20,332.0
8/24/20,345.0
8/25/20,1118.0
8/26/20,1063.0
8/27/20,1142.0
8/28/20,1065.0
8/29/20,758.0
8/30/20,233.0
8/31/20,162.0
9/1/20,819.0
9/2/20,751.0
9/3/20,714.0
9/4/20,682.0
9/5/20,441.0
9/6/20,202.0
9/7/20,145.0
9/8/20,893.0
9/9/20,901.0
9/10/20,684.0
9/11/20,703.0
9/12/20,649.0
9/13/20,251.0
9/14/20,263.0
9/15/20,512.0
9/16/20,240.0
9/17/20,740.0
9/18/20,680.0
9/19/20,808.0
9/20/20,292.0
9/21/20,237.0
9/22/20,942.0
9/23/20,819.0
9/24/20,491.0
9/25/20,945.0
9/26/20,824.0
9/27/20,390.0
9/28/20,171.0
9/29/20,705.0
9/30/20,778.0
10/1/20,663.0
10/2/20,681.0
10/3/20,658.0
10/4/20,215.0
10/5/20,219.0
10/6/20,688.0
10/7/20,834.0
10/8/20,776.0
10/9/20,455.0
10/10/20,609.0
10/11/20,171.0
10/12/20,111.0
10/13/20,554.0
10/14/20,714.0
10/15/20,671.0
10/16/20,666.0
10/17/20,597.0
10/18/20,332.0
10/19/20,239.0
10/20/20,620.0
10/21/20,196.0
10/22/20,757.0
10/23/20,730.0
10/24/20,730.0
10/25/20,155.0
10/26/20,107.0
10/27/20,677.0
10/28/20,749.0
10/29/20,470.0
10/30/20,549.0
10/31/20,600.0
11/1/20,165.0
11/2/20,0.0
11/3/20,379.0
11/4/20,664.0
11/5/20,702.0
11/6/20,653.0
11/7/20,548.0
11/8/20,212.0
11/9/20,98.0
11/10/20,769.0
11/11/20,682.0
11/12/20,732.0
11/13/20,580.0
11/14/20,596.0
11/15/20,166.0
11/16/20,147.0
11/17/20,698.0
11/18/20,651.0
11/19/20,685.0
11/20/20,691.0
11/21/20,660.0
11/22/20,212.0
11/23/20,93.0
11/24/20,627.0
11/25/20,640.0
11/26/20,696.0
11/27/20,447.0
11/28/20,666.0
11/29/20,173.0
11/30/20,91.0
12/1/20,712.0
12/2/20,686.0
12/3/20,593.0
12/4/20,752.0
12/5/20,547.0
12/6/20,198.0
12/7/20,124.0
12/8/20,799.0
12/9/20,654.0
12/10/20,659.0
12/11/20,755.0
12/12/20,558.0
12/13/20,183.0
12/14/20,123.0
12/15/20,677.0
12/16/20,746.0
12/17/20,607.0
12/18/20,627.0
12/19/20,533.0
12/20/20,170.0
12/21/20,102.0
12/22/20,734.0
12/23/20,655.0
12/24/20,638.0
12/25/20,186.0
12/26/20,91.0
12/27/20,138.0
12/28/20,132.0
12/29/20,846.0
12/30/20,879.0
12/31/20,846.0
1/1/21,224.0
1/2/21,80.0
1/3/21,159.0
1/4/21,181.0
1/5/21,763.0
1/6/21,783.0
1/7/21,872.0
1/8/21,990.0
1/9/21,1063.0
1/10/21,116.0
1/11/21,0.0
1/12/21,1739.0
1/13/21,1004.0
1/14/21,951.0
1/15/21,623.0
1/16/21,1038.0
1/17/21,290.0
1/18/21,258.0
1/19/21,1131.0
1/20/21,1047.0
1/21/21,1071.0
1/22/21,561.0
1/23/21,934.0
1/24/21,322.0
1/25/21,218.0
1/26/21,1029.0
1/27/21,1038.0
1/28/21,1098.0
1/29/21,741.0
1/30/21,782.0
1/31/21,386.0
2/1/21,128.0
2/2/21,667.0
2/3/21,667.0
2/4/21,699.0
2/5/21,630.0
2/6/21,642.0
2/7/21,200.0
2/8/21,110.0
2/9/21,746.0
2/10/21,753.0
2/11/21,786.0
2/12/21,751.0
2/13/21,788.0
2/14/21,208.0
2/15/21,104.0
2/16/21,720.0
2/17/21,777.0
2/18/21,730.0
2/19/21,665.0
2/20/21,656.0
2/21/21,239.0
2/22/21,119.0
2/23/21,783.0
2/24/21,692.0
2/25/21,378.0
2/26/21,672.0
2/27/21,521.0
2/28/21,207.0
3/1/21,111.0
3/2/21,758.0
3/3/21,839.0
3/4/21,626.0
3/5/21,840.0
3/6/21,621.0
3/7/21,223.0
3/8/21,210.0
3/9/21,793.0
3/10/21,830.0
3/11/21,750.0
3/12/21,831.0
3/13/21,705.0
3/14/21,202.0
3/15/21,133.0
3/16/21,971.0
3/17/21,949.0
3/18/21,898.0
3/19/21,908.0
3/20/21,919.0
3/21/21,252.0
3/22/21,208.0
3/23/21,948.0
3/24/21,1141.0
3/25/21,999.0
3/26/21,926.0
3/27/21,917.0
3/28/21,327.0
3/29/21,179.0
3/30/21,278.0
3/31/21,0.0
4/1/21,922.0
4/2/21,280.0
4/3/21,203.0
4/4/21,232.0
4/5/21,209.0
4/6/21,1340.0
4/7/21,1354.0
4/8/21,1590.0
4/9/21,1331.0
4/10/21,1345.0
4/11/21,431.0
4/12/21,238.0
4/13/21,2013.0
4/14/21,1805.0
4/15/21,1567.0
4/16/21,1973.0
4/17/21,1640.0
4/18/21,427.0
4/19/21,315.0
4/20/21,1651.0
4/21/21,1629.0
4/22/21,1816.0
4/23/21,1644.0
4/24/21,1518.0
4/25/21,391.0
4/26/21,241.0
4/27/21,1086.0
4/28/21,1596.0
4/29/21,1626.0
4/30/21,1424.0
5/1/21,806.0
5/2/21,207.0
5/3/21,187.0
5/4/21,1224.0
5/5/21,1194.0
5/6/21,1150.0
5/7/21,1257.0
5/8/21,1187.0
5/9/21,215.0
5/10/21,206.0
5/11/21,962.0
5/12/21,1416.0
5/13/21,1105.0
5/14/21,1383.0
5/15/21,947.0
5/16/21,252.0
5/17/21,159.0
5/18/21,1256.0
5/19/21,1049.0
5/20/21,1414.0
5/21/21,909.0
5/22/21,950.0
5/23/21,348.0
5/24/21,190.0
5/25/21,1180.0
5/26/21,1472.0
5/27/21,1040.0
5/28/21,1593.0
5/29/21,908.0
5/30/21,388.0
5/31/21,192.0
6/1/21,1416.0
6/2/21,1334.0
6/3/21,1466.0
6/4/21,1321.0
6/5/21,1438.0
6/6/21,566.0
6/7/21,297.0
6/8/21,1581.0
6/9/21,1826.0
6/10/21,1785.0
6/11/21,1861.0
6/12/21,1823.0
6/13/21,572.0
6/14/21,287.0
6/15/21,1740.0
6/16/21,1472.0
6/17/21,1725.0
6/18/21,1482.0
6/19/21,1538.0
6/20/21,560.0
6/21/21,347.0
6/22/21,1859.0
6/23/21,2028.0
6/24/21,1967.0
6/25/21,2279.0
6/26/21,1865.0
