,Honduras
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,2.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,1.0
3/16/20,3.0
3/17/20,2.0
3/18/20,1.0
3/19/20,3.0
3/20/20,12.0
3/21/20,0.0
3/22/20,2.0
3/23/20,4.0
3/24/20,0.0
3/25/20,6.0
3/26/20,16.0
3/27/20,16.0
3/28/20,27.0
3/29/20,15.0
3/30/20,29.0
3/31/20,2.0
4/1/20,31.0
4/2/20,47.0
4/3/20,3.0
4/4/20,42.0
4/5/20,4.0
4/6/20,30.0
4/7/20,7.0
4/8/20,7.0
4/9/20,31.0
4/10/20,39.0
4/11/20,10.0
4/12/20,1.0
4/13/20,4.0
4/14/20,10.0
4/15/20,12.0
4/16/20,7.0
4/17/20,16.0
4/18/20,15.0
4/19/20,15.0
4/20/20,5.0
4/21/20,17.0
4/22/20,16.0
4/23/20,9.0
4/24/20,72.0
4/25/20,36.0
4/26/20,0.0
4/27/20,34.0
4/28/20,41.0
4/29/20,36.0
4/30/20,33.0
5/1/20,33.0
5/2/20,206.0
5/3/20,45.0
5/4/20,123.0
5/5/20,92.0
5/6/20,191.0
5/7/20,224.0
5/8/20,86.0
5/9/20,59.0
5/10/20,142.0
5/11/20,128.0
5/12/20,-20.0
5/13/20,175.0
5/14/20,63.0
5/15/20,142.0
5/16/20,105.0
5/17/20,81.0
5/18/20,152.0
5/19/20,157.0
5/20/20,0.0
5/21/20,249.0
5/22/20,273.0
5/23/20,0.0
5/24/20,473.0
5/25/20,239.0
5/26/20,212.0
5/27/20,239.0
5/28/20,112.0
5/29/20,0.0
5/30/20,342.0
5/31/20,108.0
6/1/20,160.0
6/2/20,165.0
6/3/20,163.0
6/4/20,190.0
6/5/20,91.0
6/6/20,184.0
6/7/20,172.0
6/8/20,123.0
6/9/20,485.0
6/10/20,425.0
6/11/20,309.0
6/12/20,463.0
6/13/20,323.0
6/14/20,403.0
6/15/20,320.0
6/16/20,478.0
6/17/20,643.0
6/18/20,440.0
6/19/20,519.0
6/20/20,1048.0
6/21/20,463.0
6/22/20,587.0
6/23/20,587.0
6/24/20,628.0
6/25/20,795.0
6/26/20,628.0
6/27/20,1013.0
6/28/20,1075.0
6/29/20,736.0
6/30/20,740.0
7/1/20,704.0
7/2/20,858.0
7/3/20,996.0
7/4/20,805.0
7/5/20,1022.0
7/6/20,722.0
7/7/20,763.0
7/8/20,550.0
7/9/20,406.0
7/10/20,669.0
7/11/20,530.0
7/12/20,507.0
7/13/20,489.0
7/14/20,527.0
7/15/20,930.0
7/16/20,831.0
7/17/20,878.0
7/18/20,1048.0
7/19/20,1042.0
7/20/20,776.0
7/21/20,734.0
7/22/20,757.0
7/23/20,800.0
7/24/20,657.0
7/25/20,879.0
7/26/20,838.0
7/27/20,465.0
7/28/20,719.0
7/29/20,484.0
7/30/20,482.0
7/31/20,588.0
8/1/20,671.0
8/2/20,512.0
8/3/20,597.0
8/4/20,505.0
8/5/20,799.0
8/6/20,657.0
8/7/20,610.0
8/8/20,608.0
8/9/20,481.0
8/10/20,418.0
8/11/20,531.0
8/12/20,254.0
8/13/20,385.0
8/14/20,425.0
8/15/20,512.0
8/16/20,523.0
8/17/20,493.0
8/18/20,675.0
8/19/20,628.0
8/20/20,521.0
8/21/20,562.0
8/22/20,602.0
8/23/20,528.0
8/24/20,968.0
8/25/20,398.0
8/26/20,772.0
8/27/20,1020.0
8/28/20,1141.0
8/29/20,835.0
8/30/20,529.0
8/31/20,840.0
9/1/20,755.0
9/2/20,757.0
9/3/20,632.0
9/4/20,640.0
9/5/20,554.0
9/6/20,412.0
9/7/20,50.0
9/8/20,404.0
9/9/20,379.0
9/10/20,205.0
9/11/20,247.0
9/12/20,1087.0
9/13/20,653.0
9/14/20,831.0
9/15/20,0.0
9/16/20,1040.0
9/17/20,460.0
9/18/20,491.0
9/19/20,532.0
9/20/20,473.0
9/21/20,459.0
9/22/20,231.0
9/23/20,369.0
9/24/20,518.0
9/25/20,647.0
9/26/20,708.0
9/27/20,0.0
9/28/20,989.0
9/29/20,561.0
9/30/20,802.0
10/1/20,698.0
10/2/20,671.0
10/3/20,519.0
10/4/20,841.0
10/5/20,391.0
10/6/20,642.0
10/7/20,354.0
10/8/20,656.0
10/9/20,880.0
10/10/20,594.0
10/11/20,935.0
10/12/20,332.0
10/13/20,439.0
10/14/20,606.0
10/15/20,631.0
10/16/20,602.0
10/17/20,903.0
10/18/20,831.0
10/19/20,956.0
10/20/20,851.0
10/21/20,846.0
10/22/20,431.0
10/23/20,0.0
10/24/20,1215.0
10/25/20,490.0
10/26/20,752.0
10/27/20,657.0
10/28/20,576.0
10/29/20,951.0
10/30/20,738.0
10/31/20,0.0
11/1/20,1324.0
11/2/20,193.0
11/3/20,283.0
11/4/20,436.0
11/5/20,223.0
11/6/20,229.0
11/7/20,465.0
11/8/20,0.0
11/9/20,532.0
11/10/20,231.0
11/11/20,365.0
11/12/20,299.0
11/13/20,611.0
11/14/20,476.0
11/15/20,547.0
11/16/20,137.0
11/17/20,249.0
11/18/20,0.0
11/19/20,0.0
11/20/20,63.0
11/21/20,884.0
11/22/20,0.0
11/23/20,776.0
11/24/20,0.0
11/25/20,905.0
11/26/20,565.0
11/27/20,453.0
11/28/20,379.0
11/29/20,375.0
11/30/20,365.0
12/1/20,0.0
12/2/20,891.0
12/3/20,616.0
12/4/20,0.0
12/5/20,200.0
12/6/20,1063.0
12/7/20,0.0
12/8/20,684.0
12/9/20,1085.0
12/10/20,415.0
12/11/20,501.0
12/12/20,335.0
12/13/20,316.0
12/14/20,283.0
12/15/20,301.0
12/16/20,374.0
12/17/20,157.0
12/18/20,738.0
12/19/20,0.0
12/20/20,810.0
12/21/20,168.0
12/22/20,398.0
12/23/20,448.0
12/24/20,0.0
12/25/20,623.0
12/26/20,438.0
12/27/20,0.0
12/28/20,616.0
12/29/20,1199.0
12/30/20,0.0
12/31/20,915.0
1/1/21,1147.0
1/2/21,170.0
1/3/21,225.0
1/4/21,29.0
1/5/21,424.0
1/6/21,1077.0
1/7/21,219.0
1/8/21,439.0
1/9/21,1386.0
1/10/21,1002.0
1/11/21,756.0
1/12/21,1104.0
1/13/21,1204.0
1/14/21,954.0
1/15/21,449.0
1/16/21,1095.0
1/17/21,604.0
1/18/21,827.0
1/19/21,1130.0
1/20/21,830.0
1/21/21,1146.0
1/22/21,1138.0
1/23/21,1056.0
1/24/21,691.0
1/25/21,1055.0
1/26/21,896.0
1/27/21,1127.0
1/28/21,985.0
1/29/21,1118.0
1/30/21,990.0
1/31/21,743.0
2/1/21,0.0
2/2/21,1108.0
2/3/21,2152.0
2/4/21,1122.0
2/5/21,1028.0
2/6/21,652.0
2/7/21,663.0
2/8/21,1167.0
2/9/21,871.0
2/10/21,862.0
2/11/21,887.0
2/12/21,669.0
2/13/21,764.0
2/14/21,383.0
2/15/21,812.0
2/16/21,744.0
2/17/21,857.0
2/18/21,721.0
2/19/21,772.0
2/20/21,418.0
2/21/21,600.0
2/22/21,642.0
2/23/21,810.0
2/24/21,947.0
2/25/21,749.0
2/26/21,668.0
2/27/21,843.0
2/28/21,550.0
3/1/21,681.0
3/2/21,773.0
3/3/21,342.0
3/4/21,477.0
3/5/21,0.0
3/6/21,443.0
3/7/21,709.0
3/8/21,514.0
3/9/21,265.0
3/10/21,934.0
3/11/21,985.0
3/12/21,741.0
3/13/21,664.0
3/14/21,445.0
3/15/21,648.0
3/16/21,590.0
3/17/21,756.0
3/18/21,525.0
3/19/21,561.0
3/20/21,574.0
3/21/21,478.0
3/22/21,871.0
3/23/21,751.0
3/24/21,790.0
3/25/21,663.0
3/26/21,853.0
3/27/21,678.0
3/28/21,445.0
3/29/21,515.0
3/30/21,539.0
3/31/21,529.0
4/1/21,683.0
4/2/21,0.0
4/3/21,416.0
4/4/21,489.0
4/5/21,505.0
4/6/21,1277.0
4/7/21,616.0
4/8/21,754.0
4/9/21,765.0
4/10/21,977.0
4/11/21,255.0
4/12/21,306.0
4/13/21,618.0
4/14/21,1510.0
4/15/21,761.0
4/16/21,707.0
4/17/21,577.0
4/18/21,676.0
4/19/21,742.0
4/20/21,736.0
4/21/21,0.0
4/22/21,2415.0
4/23/21,868.0
4/24/21,0.0
4/25/21,1211.0
4/26/21,0.0
4/27/21,413.0
4/28/21,1036.0
4/29/21,2720.0
4/30/21,1257.0
5/1/21,834.0
5/2/21,0.0
5/3/21,1308.0
5/4/21,1358.0
5/5/21,1131.0
5/6/21,631.0
5/7/21,735.0
5/8/21,958.0
5/9/21,0.0
5/10/21,897.0
5/11/21,1933.0
5/12/21,874.0
5/13/21,0.0
5/14/21,930.0
5/15/21,2042.0
5/16/21,755.0
5/17/21,797.0
5/18/21,771.0
5/19/21,924.0
5/20/21,1100.0
5/21/21,1249.0
5/22/21,581.0
5/23/21,531.0
5/24/21,444.0
5/25/21,800.0
5/26/21,1007.0
5/27/21,676.0
5/28/21,852.0
5/29/21,501.0
5/30/21,0.0
5/31/21,1275.0
6/1/21,593.0
6/2/21,608.0
6/3/21,954.0
6/4/21,657.0
6/5/21,535.0
6/6/21,252.0
6/7/21,551.0
6/8/21,419.0
6/9/21,671.0
6/10/21,828.0
6/11/21,1400.0
6/12/21,1379.0
6/13/21,654.0
6/14/21,387.0
6/15/21,1003.0
6/16/21,813.0
6/17/21,0.0
6/18/21,1218.0
6/19/21,1979.0
6/20/21,747.0
6/21/21,319.0
6/22/21,923.0
6/23/21,546.0
6/24/21,1155.0
6/25/21,1531.0
6/26/21,1279.0
6/27/21,0.0
6/28/21,703.0
6/29/21,1738.0
