,Indonesia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,2.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,2.0
3/7/20,0.0
3/8/20,2.0
3/9/20,13.0
3/10/20,8.0
3/11/20,7.0
3/12/20,0.0
3/13/20,35.0
3/14/20,27.0
3/15/20,21.0
3/16/20,17.0
3/17/20,38.0
3/18/20,55.0
3/19/20,84.0
3/20/20,58.0
3/21/20,81.0
3/22/20,64.0
3/23/20,65.0
3/24/20,107.0
3/25/20,104.0
3/26/20,103.0
3/27/20,153.0
3/28/20,109.0
3/29/20,130.0
3/30/20,129.0
3/31/20,114.0
4/1/20,149.0
4/2/20,113.0
4/3/20,196.0
4/4/20,106.0
4/5/20,181.0
4/6/20,218.0
4/7/20,247.0
4/8/20,218.0
4/9/20,337.0
4/10/20,219.0
4/11/20,330.0
4/12/20,399.0
4/13/20,316.0
4/14/20,282.0
4/15/20,297.0
4/16/20,380.0
4/17/20,407.0
4/18/20,325.0
4/19/20,327.0
4/20/20,185.0
4/21/20,375.0
4/22/20,283.0
4/23/20,357.0
4/24/20,436.0
4/25/20,396.0
4/26/20,275.0
4/27/20,214.0
4/28/20,415.0
4/29/20,260.0
4/30/20,347.0
5/1/20,433.0
5/2/20,292.0
5/3/20,349.0
5/4/20,395.0
5/5/20,484.0
5/6/20,367.0
5/7/20,338.0
5/8/20,336.0
5/9/20,533.0
5/10/20,387.0
5/11/20,233.0
5/12/20,484.0
5/13/20,689.0
5/14/20,568.0
5/15/20,490.0
5/16/20,529.0
5/17/20,489.0
5/18/20,496.0
5/19/20,486.0
5/20/20,693.0
5/21/20,973.0
5/22/20,634.0
5/23/20,949.0
5/24/20,526.0
5/25/20,479.0
5/26/20,415.0
5/27/20,686.0
5/28/20,687.0
5/29/20,678.0
5/30/20,557.0
5/31/20,700.0
6/1/20,467.0
6/2/20,609.0
6/3/20,684.0
6/4/20,585.0
6/5/20,703.0
6/6/20,993.0
6/7/20,672.0
6/8/20,847.0
6/9/20,1043.0
6/10/20,1240.0
6/11/20,979.0
6/12/20,1111.0
6/13/20,1014.0
6/14/20,857.0
6/15/20,1017.0
6/16/20,1106.0
6/17/20,1031.0
6/18/20,1331.0
6/19/20,1041.0
6/20/20,1226.0
6/21/20,862.0
6/22/20,954.0
6/23/20,1051.0
6/24/20,1113.0
6/25/20,1178.0
6/26/20,1240.0
6/27/20,1385.0
6/28/20,1198.0
6/29/20,1082.0
6/30/20,1293.0
7/1/20,1385.0
7/2/20,1624.0
7/3/20,1301.0
7/4/20,1447.0
7/5/20,1607.0
7/6/20,1209.0
7/7/20,1268.0
7/8/20,1853.0
7/9/20,2657.0
7/10/20,1611.0
7/11/20,1671.0
7/12/20,1681.0
7/13/20,1282.0
7/14/20,1591.0
7/15/20,1522.0
7/16/20,1574.0
7/17/20,1462.0
7/18/20,1752.0
7/19/20,1639.0
7/20/20,1693.0
7/21/20,1655.0
7/22/20,1882.0
7/23/20,1906.0
7/24/20,1761.0
7/25/20,1868.0
7/26/20,1492.0
7/27/20,1525.0
7/28/20,1748.0
7/29/20,2381.0
7/30/20,1904.0
7/31/20,2040.0
8/1/20,1560.0
8/2/20,1519.0
8/3/20,1679.0
8/4/20,1922.0
8/5/20,1815.0
8/6/20,1882.0
8/7/20,2473.0
8/8/20,2277.0
8/9/20,1893.0
8/10/20,1687.0
8/11/20,1693.0
8/12/20,1942.0
8/13/20,2098.0
8/14/20,2307.0
8/15/20,2345.0
8/16/20,2081.0
8/17/20,1821.0
8/18/20,1673.0
8/19/20,1902.0
8/20/20,2266.0
8/21/20,2197.0
8/22/20,2090.0
8/23/20,2037.0
8/24/20,1877.0
8/25/20,2447.0
8/26/20,2306.0
8/27/20,2719.0
8/28/20,3003.0
8/29/20,3308.0
8/30/20,2858.0
8/31/20,2743.0
9/1/20,2775.0
9/2/20,3075.0
9/3/20,3622.0
9/4/20,3269.0
9/5/20,3128.0
9/6/20,3444.0
9/7/20,2880.0
9/8/20,3046.0
9/9/20,3307.0
9/10/20,3861.0
9/11/20,3737.0
9/12/20,3806.0
9/13/20,3636.0
9/14/20,3141.0
9/15/20,3507.0
9/16/20,3963.0
9/17/20,3635.0
9/18/20,3891.0
9/19/20,4168.0
9/20/20,3989.0
9/21/20,4176.0
9/22/20,4071.0
9/23/20,4465.0
9/24/20,4634.0
9/25/20,4823.0
9/26/20,4494.0
9/27/20,3874.0
9/28/20,3509.0
9/29/20,4002.0
9/30/20,4284.0
10/1/20,4174.0
10/2/20,4317.0
10/3/20,4007.0
10/4/20,3992.0
10/5/20,3622.0
10/6/20,4056.0
10/7/20,4538.0
10/8/20,4850.0
10/9/20,4094.0
10/10/20,4294.0
10/11/20,4497.0
10/12/20,3267.0
10/13/20,3906.0
10/14/20,4127.0
10/15/20,4411.0
10/16/20,4301.0
10/17/20,4301.0
10/18/20,4105.0
10/19/20,3373.0
10/20/20,3602.0
10/21/20,4267.0
10/22/20,4432.0
10/23/20,4369.0
10/24/20,4070.0
10/25/20,3732.0
10/26/20,3222.0
10/27/20,3520.0
10/28/20,4029.0
10/29/20,3565.0
10/30/20,2897.0
10/31/20,3143.0
11/1/20,2696.0
11/2/20,2618.0
11/3/20,2973.0
11/4/20,3356.0
11/5/20,4065.0
11/6/20,3778.0
11/7/20,4262.0
11/8/20,3880.0
11/9/20,2853.0
11/10/20,3779.0
11/11/20,3770.0
11/12/20,4173.0
11/13/20,5444.0
11/14/20,5272.0
11/15/20,4106.0
11/16/20,3535.0
11/17/20,3807.0
11/18/20,4265.0
11/19/20,4798.0
11/20/20,4792.0
11/21/20,4998.0
11/22/20,4360.0
11/23/20,4442.0
11/24/20,4192.0
11/25/20,5534.0
11/26/20,4917.0
11/27/20,5828.0
11/28/20,5418.0
11/29/20,6267.0
11/30/20,4617.0
12/1/20,5092.0
12/2/20,5533.0
12/3/20,8369.0
12/4/20,5803.0
12/5/20,6027.0
12/6/20,6089.0
12/7/20,5754.0
12/8/20,5292.0
12/9/20,6058.0
12/10/20,6033.0
12/11/20,6310.0
12/12/20,6388.0
12/13/20,6189.0
12/14/20,5489.0
12/15/20,6120.0
12/16/20,6725.0
12/17/20,7354.0
12/18/20,6689.0
12/19/20,7751.0
12/20/20,6982.0
12/21/20,6848.0
12/22/20,6347.0
12/23/20,7514.0
12/24/20,7199.0
12/25/20,7259.0
12/26/20,6740.0
12/27/20,6528.0
12/28/20,5854.0
12/29/20,7903.0
12/30/20,8002.0
12/31/20,8074.0
1/1/21,8072.0
1/2/21,7203.0
1/3/21,6877.0
1/4/21,6753.0
1/5/21,7445.0
1/6/21,8854.0
1/7/21,9321.0
1/8/21,10617.0
1/9/21,10046.0
1/10/21,9640.0
1/11/21,8692.0
1/12/21,10047.0
1/13/21,11278.0
1/14/21,11557.0
1/15/21,12818.0
1/16/21,14224.0
1/17/21,11287.0
1/18/21,9086.0
1/19/21,10365.0
1/20/21,12568.0
1/21/21,11703.0
1/22/21,13632.0
1/23/21,12191.0
1/24/21,11788.0
1/25/21,9994.0
1/26/21,13094.0
1/27/21,11948.0
1/28/21,13695.0
1/29/21,13802.0
1/30/21,14518.0
1/31/21,12001.0
2/1/21,10994.0
2/2/21,10379.0
2/3/21,11984.0
2/4/21,11434.0
2/5/21,11749.0
2/6/21,12156.0
2/7/21,10827.0
2/8/21,8242.0
2/9/21,8700.0
2/10/21,8776.0
2/11/21,8435.0
2/12/21,9869.0
2/13/21,8844.0
2/14/21,6765.0
2/15/21,6462.0
2/16/21,10029.0
2/17/21,9687.0
2/18/21,9039.0
2/19/21,10614.0
2/20/21,8054.0
2/21/21,7300.0
2/22/21,10180.0
2/23/21,9775.0
2/24/21,7533.0
2/25/21,8493.0
2/26/21,8232.0
2/27/21,6208.0
2/28/21,5560.0
3/1/21,6680.0
3/2/21,5712.0
3/3/21,6808.0
3/4/21,7264.0
3/5/21,6971.0
3/6/21,5767.0
3/7/21,5826.0
3/8/21,6894.0
3/9/21,6389.0
3/10/21,5633.0
3/11/21,5144.0
3/12/21,6412.0
3/13/21,4607.0
3/14/21,4714.0
3/15/21,5589.0
3/16/21,5414.0
3/17/21,6825.0
3/18/21,6570.0
3/19/21,6279.0
3/20/21,5656.0
3/21/21,4396.0
3/22/21,5744.0
3/23/21,5297.0
3/24/21,5227.0
3/25/21,6107.0
3/26/21,4982.0
3/27/21,4461.0
3/28/21,4083.0
3/29/21,5008.0
3/30/21,4682.0
3/31/21,5937.0
4/1/21,6142.0
4/2/21,5325.0
4/3/21,4345.0
4/4/21,6731.0
4/5/21,3712.0
4/6/21,4549.0
4/7/21,4860.0
4/8/21,5504.0
4/9/21,5265.0
4/10/21,4723.0
4/11/21,4127.0
4/12/21,4829.0
4/13/21,5702.0
4/14/21,5656.0
4/15/21,6177.0
4/16/21,5363.0
4/17/21,5041.0
4/18/21,4585.0
4/19/21,4952.0
4/20/21,5549.0
4/21/21,5720.0
4/22/21,6243.0
4/23/21,5436.0
4/24/21,4544.0
4/25/21,4402.0
4/26/21,5944.0
4/27/21,4656.0
4/28/21,5241.0
4/29/21,5833.0
4/30/21,5500.0
5/1/21,4512.0
5/2/21,4394.0
5/3/21,4730.0
5/4/21,4369.0
5/5/21,5285.0
5/6/21,5647.0
5/7/21,6327.0
5/8/21,6130.0
5/9/21,3922.0
5/10/21,4891.0
5/11/21,5021.0
5/12/21,4608.0
5/13/21,3448.0
5/14/21,2633.0
5/15/21,2385.0
5/16/21,3080.0
5/17/21,4295.0
5/18/21,4185.0
5/19/21,4871.0
5/20/21,5797.0
5/21/21,5746.0
5/22/21,5296.0
5/23/21,5280.0
5/24/21,5907.0
5/25/21,5060.0
5/26/21,5034.0
5/27/21,6278.0
5/28/21,5862.0
5/29/21,6565.0
5/30/21,6115.0
5/31/21,5662.0
