,Iraq
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,1.0
2/25/20,0.0
2/26/20,4.0
2/27/20,2.0
2/28/20,0.0
2/29/20,6.0
3/1/20,6.0
3/2/20,7.0
3/3/20,6.0
3/4/20,3.0
3/5/20,0.0
3/6/20,5.0
3/7/20,14.0
3/8/20,6.0
3/9/20,0.0
3/10/20,11.0
3/11/20,0.0
3/12/20,0.0
3/13/20,30.0
3/14/20,9.0
3/15/20,6.0
3/16/20,8.0
3/17/20,30.0
3/18/20,10.0
3/19/20,28.0
3/20/20,16.0
3/21/20,6.0
3/22/20,19.0
3/23/20,33.0
3/24/20,50.0
3/25/20,30.0
3/26/20,36.0
3/27/20,76.0
3/28/20,48.0
3/29/20,41.0
3/30/20,83.0
3/31/20,64.0
4/1/20,34.0
4/2/20,44.0
4/3/20,48.0
4/4/20,58.0
4/5/20,83.0
4/6/20,70.0
4/7/20,91.0
4/8/20,80.0
4/9/20,30.0
4/10/20,47.0
4/11/20,39.0
4/12/20,34.0
4/13/20,26.0
4/14/20,22.0
4/15/20,15.0
4/16/20,19.0
4/17/20,48.0
4/18/20,31.0
4/19/20,26.0
4/20/20,35.0
4/21/20,28.0
4/22/20,29.0
4/23/20,46.0
4/24/20,31.0
4/25/20,55.0
4/26/20,57.0
4/27/20,27.0
4/28/20,81.0
4/29/20,75.0
4/30/20,82.0
5/1/20,68.0
5/2/20,66.0
5/3/20,77.0
5/4/20,50.0
5/5/20,85.0
5/6/20,49.0
5/7/20,63.0
5/8/20,60.0
5/9/20,76.0
5/10/20,88.0
5/11/20,51.0
5/12/20,95.0
5/13/20,119.0
5/14/20,111.0
5/15/20,50.0
5/16/20,67.0
5/17/20,144.0
5/18/20,150.0
5/19/20,57.0
5/20/20,113.0
5/21/20,153.0
5/22/20,87.0
5/23/20,308.0
5/24/20,197.0
5/25/20,163.0
5/26/20,216.0
5/27/20,287.0
5/28/20,322.0
5/29/20,416.0
5/30/20,306.0
5/31/20,260.0
6/1/20,429.0
6/2/20,519.0
6/3/20,781.0
6/4/20,672.0
6/5/20,1006.0
6/6/20,1252.0
6/7/20,1268.0
6/8/20,1115.0
6/9/20,787.0
6/10/20,1146.0
6/11/20,1261.0
6/12/20,1095.0
6/13/20,1180.0
6/14/20,1259.0
6/15/20,1106.0
6/16/20,1385.0
6/17/20,1554.0
6/18/20,1463.0
6/19/20,1635.0
6/20/20,1870.0
6/21/20,1646.0
6/22/20,1808.0
6/23/20,1826.0
6/24/20,2200.0
6/25/20,2437.0
6/26/20,2054.0
6/27/20,2069.0
6/28/20,2140.0
6/29/20,1749.0
6/30/20,1958.0
7/1/20,2415.0
7/2/20,2184.0
7/3/20,2312.0
7/4/20,2334.0
7/5/20,2125.0
7/6/20,1796.0
7/7/20,2426.0
7/8/20,2741.0
7/9/20,2170.0
7/10/20,2848.0
7/11/20,2734.0
7/12/20,2312.0
7/13/20,2229.0
7/14/20,2022.0
7/15/20,2110.0
7/16/20,2281.0
7/17/20,2023.0
7/18/20,2049.0
7/19/20,2310.0
7/20/20,2163.0
7/21/20,2466.0
7/22/20,2706.0
7/23/20,2361.0
7/24/20,2485.0
7/25/20,2862.0
7/26/20,2459.0
7/27/20,2553.0
7/28/20,2747.0
7/29/20,2968.0
7/30/20,2963.0
7/31/20,3346.0
8/1/20,2095.0
8/2/20,2447.0
8/3/20,2735.0
8/4/20,2836.0
8/5/20,2834.0
8/6/20,3047.0
8/7/20,3461.0
8/8/20,3325.0
8/9/20,2726.0
8/10/20,3484.0
8/11/20,3396.0
8/12/20,3441.0
8/13/20,3841.0
8/14/20,4013.0
8/15/20,4293.0
8/16/20,4348.0
8/17/20,3202.0
8/18/20,4576.0
8/19/20,4093.0
8/20/20,3995.0
8/21/20,4288.0
8/22/20,3965.0
8/23/20,3291.0
8/24/20,3644.0
8/25/20,3962.0
8/26/20,3837.0
8/27/20,3651.0
8/28/20,4177.0
8/29/20,3834.0
8/30/20,3731.0
8/31/20,3757.0
9/1/20,3404.0
9/2/20,3946.0
9/3/20,4755.0
9/4/20,5036.0
9/5/20,4644.0
9/6/20,3651.0
9/7/20,4314.0
9/8/20,4894.0
9/9/20,4243.0
9/10/20,4597.0
9/11/20,4254.0
9/12/20,4106.0
9/13/20,3531.0
9/14/20,4169.0
9/15/20,4224.0
9/16/20,4357.0
9/17/20,4326.0
9/18/20,4305.0
9/19/20,3907.0
9/20/20,3438.0
9/21/20,3821.0
9/22/20,4724.0
9/23/20,5055.0
9/24/20,4471.0
9/25/20,4593.0
9/26/20,4270.0
9/27/20,3481.0
9/28/20,4116.0
9/29/20,4724.0
9/30/20,4691.0
10/1/20,4493.0
10/2/20,4785.0
10/3/20,3672.0
10/4/20,3210.0
10/5/20,3808.0
10/6/20,4172.0
10/7/20,3923.0
10/8/20,3522.0
10/9/20,3214.0
10/10/20,2344.0
10/11/20,2206.0
10/12/20,3107.0
10/13/20,3921.0
10/14/20,3857.0
10/15/20,3587.0
10/16/20,3501.0
10/17/20,3221.0
10/18/20,3110.0
10/19/20,4044.0
10/20/20,3920.0
10/21/20,3667.0
10/22/20,3899.0
10/23/20,3785.0
10/24/20,3204.0
10/25/20,2554.0
10/26/20,3691.0
10/27/20,4510.0
10/28/20,4043.0
10/29/20,3804.0
10/30/20,2878.0
10/31/20,1997.0
11/1/20,2658.0
11/2/20,3413.0
11/3/20,3595.0
11/4/20,3574.0
11/5/20,3701.0
11/6/20,3568.0
11/7/20,2880.0
11/8/20,2530.0
11/9/20,3184.0
11/10/20,3577.0
11/11/20,3198.0
11/12/20,3298.0
11/13/20,2690.0
11/14/20,2419.0
11/15/20,2237.0
11/16/20,2390.0
11/17/20,2961.0
11/18/20,2349.0
11/19/20,2374.0
11/20/20,2543.0
11/21/20,1786.0
11/22/20,1766.0
11/23/20,2136.0
11/24/20,2292.0
11/25/20,2438.0
11/26/20,2483.0
11/27/20,2545.0
11/28/20,1606.0
11/29/20,1614.0
11/30/20,2114.0
12/1/20,2218.0
12/2/20,1961.0
12/3/20,2039.0
12/4/20,1855.0
12/5/20,1898.0
12/6/20,1680.0
12/7/20,1815.0
12/8/20,2123.0
12/9/20,1735.0
12/10/20,1380.0
12/11/20,1347.0
12/12/20,1022.0
12/13/20,1012.0
12/14/20,1338.0
12/15/20,1391.0
12/16/20,1553.0
12/17/20,1533.0
12/18/20,1362.0
12/19/20,1307.0
12/20/20,1027.0
12/21/20,1200.0
12/22/20,1158.0
12/23/20,1173.0
12/24/20,1127.0
12/25/20,1140.0
12/26/20,836.0
12/27/20,818.0
12/28/20,931.0
12/29/20,1013.0
12/30/20,901.0
12/31/20,849.0
1/1/21,902.0
1/2/21,840.0
1/3/21,741.0
1/4/21,595.0
1/5/21,757.0
1/6/21,839.0
1/7/21,790.0
1/8/21,669.0
1/9/21,907.0
1/10/21,607.0
1/11/21,801.0
1/12/21,810.0
1/13/21,867.0
1/14/21,770.0
1/15/21,805.0
1/16/21,596.0
1/17/21,645.0
1/18/21,797.0
1/19/21,823.0
1/20/21,746.0
1/21/21,809.0
1/22/21,685.0
1/23/21,778.0
1/24/21,893.0
1/25/21,813.0
1/26/21,804.0
1/27/21,879.0
1/28/21,943.0
1/29/21,945.0
1/30/21,775.0
1/31/21,714.0
2/1/21,984.0
2/2/21,1135.0
2/3/21,1317.0
2/4/21,1150.0
2/5/21,1534.0
2/6/21,1660.0
2/7/21,1134.0
2/8/21,1713.0
2/9/21,1994.0
2/10/21,2282.0
2/11/21,2369.0
2/12/21,2530.0
2/13/21,2190.0
2/14/21,2224.0
2/15/21,2798.0
2/16/21,3332.0
2/17/21,3575.0
2/18/21,3896.0
2/19/21,4024.0
2/20/21,3273.0
2/21/21,3187.0
2/22/21,3864.0
2/23/21,4181.0
2/24/21,4306.0
2/25/21,4074.0
2/26/21,4336.0
2/27/21,3543.0
2/28/21,3248.0
3/1/21,3599.0
3/2/21,4690.0
3/3/21,5173.0
3/4/21,5043.0
3/5/21,5127.0
3/6/21,4068.0
3/7/21,3359.0
3/8/21,4468.0
3/9/21,4610.0
3/10/21,4846.0
3/11/21,5170.0
3/12/21,4622.0
3/13/21,4054.0
3/14/21,3866.0
3/15/21,4901.0
3/16/21,5267.0
3/17/21,5663.0
3/18/21,5443.0
3/19/21,5258.0
3/20/21,4674.0
3/21/21,4502.0
3/22/21,4655.0
3/23/21,4494.0
3/24/21,6051.0
3/25/21,6513.0
3/26/21,6490.0
3/27/21,5062.0
3/28/21,5271.0
3/29/21,5837.0
3/30/21,5995.0
3/31/21,6664.0
4/1/21,6015.0
4/2/21,5882.0
4/3/21,5379.0
4/4/21,5368.0
4/5/21,6423.0
4/6/21,7300.0
4/7/21,8331.0
4/8/21,7817.0
4/9/21,7937.0
4/10/21,6779.0
4/11/21,6791.0
4/12/21,7953.0
4/13/21,8179.0
4/14/21,7972.0
4/15/21,7810.0
4/16/21,7575.0
4/17/21,6552.0
4/18/21,6188.0
4/19/21,7775.0
4/20/21,8208.0
4/21/21,8696.0
4/22/21,8450.0
4/23/21,8017.0
4/24/21,6967.0
4/25/21,6034.0
4/26/21,6536.0
4/27/21,7152.0
4/28/21,6858.0
4/29/21,6926.0
4/30/21,6405.0
5/1/21,5167.0
5/2/21,4564.0
5/3/21,5068.0
5/4/21,6143.0
5/5/21,5813.0
5/6/21,6233.0
5/7/21,5763.0
5/8/21,4608.0
5/9/21,4167.0
5/10/21,4902.0
5/11/21,5287.0
5/12/21,4666.0
5/13/21,4512.0
5/14/21,2767.0
5/15/21,2058.0
5/16/21,2456.0
5/17/21,3552.0
5/18/21,4023.0
5/19/21,4609.0
5/20/21,4580.0
5/21/21,4357.0
5/22/21,3655.0
5/23/21,3791.0
5/24/21,4102.0
5/25/21,4938.0
5/26/21,4718.0
5/27/21,4611.0
5/28/21,4042.0
5/29/21,3257.0
5/30/21,3474.0
5/31/21,4270.0
6/1/21,4170.0
6/2/21,4583.0
