,Ireland
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,1.0
3/1/20,0.0
3/2/20,0.0
3/3/20,1.0
3/4/20,4.0
3/5/20,0.0
3/6/20,12.0
3/7/20,0.0
3/8/20,1.0
3/9/20,2.0
3/10/20,13.0
3/11/20,9.0
3/12/20,0.0
3/13/20,47.0
3/14/20,39.0
3/15/20,0.0
3/16/20,40.0
3/17/20,54.0
3/18/20,69.0
3/19/20,265.0
3/20/20,126.0
3/21/20,102.0
3/22/20,121.0
3/23/20,219.0
3/24/20,204.0
3/25/20,235.0
3/26/20,255.0
3/27/20,302.0
3/28/20,294.0
3/29/20,200.0
3/30/20,295.0
3/31/20,325.0
4/1/20,212.0
4/2/20,402.0
4/3/20,424.0
4/4/20,331.0
4/5/20,390.0
4/6/20,370.0
4/7/20,345.0
4/8/20,365.0
4/9/20,500.0
4/10/20,1515.0
4/11/20,839.0
4/12/20,727.0
4/13/20,992.0
4/14/20,832.0
4/15/20,1068.0
4/16/20,724.0
4/17/20,709.0
4/18/20,778.0
4/19/20,493.0
4/20/20,401.0
4/21/20,388.0
4/22/20,631.0
4/23/20,936.0
4/24/20,577.0
4/25/20,377.0
4/26/20,701.0
4/27/20,386.0
4/28/20,229.0
4/29/20,376.0
4/30/20,359.0
5/1/20,221.0
5/2/20,343.0
5/3/20,330.0
5/4/20,266.0
5/5/20,211.0
5/6/20,265.0
5/7/20,137.0
5/8/20,156.0
5/9/20,219.0
5/10/20,236.0
5/11/20,139.0
5/12/20,107.0
5/13/20,159.0
5/14/20,426.0
5/15/20,129.0
5/16/20,92.0
5/17/20,64.0
5/18/20,88.0
5/19/20,51.0
5/20/20,64.0
5/21/20,76.0
5/22/20,115.0
5/23/20,76.0
5/24/20,57.0
5/25/20,59.0
5/26/20,37.0
5/27/20,68.0
5/28/20,38.0
5/29/20,35.0
5/30/20,53.0
5/31/20,61.0
6/1/20,72.0
6/2/20,4.0
6/3/20,45.0
6/4/20,31.0
6/5/20,21.0
6/6/20,20.0
6/7/20,18.0
6/8/20,6.0
6/9/20,8.0
6/10/20,16.0
6/11/20,7.0
6/12/20,12.0
6/13/20,45.0
6/14/20,8.0
6/15/20,18.0
6/16/20,13.0
6/17/20,7.0
6/18/20,14.0
6/19/20,13.0
6/20/20,6.0
6/21/20,5.0
6/22/20,4.0
6/23/20,8.0
6/24/20,5.0
6/25/20,9.0
6/26/20,9.0
6/27/20,23.0
6/28/20,2.0
6/29/20,23.0
6/30/20,11.0
7/1/20,4.0
7/2/20,12.0
7/3/20,9.0
7/4/20,11.0
7/5/20,18.0
7/6/20,4.0
7/7/20,7.0
7/8/20,4.0
7/9/20,23.0
7/10/20,24.0
7/11/20,22.0
7/12/20,17.0
7/13/20,10.0
7/14/20,32.0
7/15/20,13.0
7/16/20,15.0
7/17/20,32.0
7/18/20,20.0
7/19/20,10.0
7/20/20,6.0
7/21/20,36.0
7/22/20,17.0
7/23/20,7.0
7/24/20,19.0
7/25/20,24.0
7/26/20,12.0
7/27/20,11.0
7/28/20,37.0
7/29/20,13.0
7/30/20,85.0
7/31/20,38.0
8/1/20,44.0
8/2/20,53.0
8/3/20,46.0
8/4/20,45.0
8/5/20,50.0
8/6/20,69.0
8/7/20,98.0
8/8/20,174.0
8/9/20,68.0
8/10/20,56.0
8/11/20,33.0
8/12/20,37.0
8/13/20,91.0
8/14/20,66.0
8/15/20,196.0
8/16/20,66.0
8/17/20,56.0
8/18/20,186.0
8/19/20,48.0
8/20/20,129.0
8/21/20,79.0
8/22/20,153.0
8/23/20,61.0
8/24/20,147.0
8/25/20,85.0
8/26/20,162.0
8/27/20,90.0
8/28/20,125.0
8/29/20,142.0
8/30/20,40.0
8/31/20,51.0
9/1/20,214.0
9/2/20,89.0
9/3/20,92.0
9/4/20,97.0
9/5/20,231.0
9/6/20,138.0
9/7/20,102.0
9/8/20,306.0
9/9/20,84.0
9/10/20,196.0
9/11/20,211.0
9/12/20,159.0
9/13/20,255.0
9/14/20,207.0
9/15/20,357.0
9/16/20,250.0
9/17/20,224.0
9/18/20,248.0
9/19/20,267.0
9/20/20,395.0
9/21/20,188.0
9/22/20,323.0
9/23/20,231.0
9/24/20,319.0
9/25/20,321.0
9/26/20,245.0
9/27/20,430.0
9/28/20,387.0
9/29/20,363.0
9/30/20,415.0
10/1/20,442.0
10/2/20,466.0
10/3/20,605.0
10/4/20,364.0
10/5/20,517.0
10/6/20,424.0
10/7/20,611.0
10/8/20,502.0
10/9/20,617.0
10/10/20,1011.0
10/11/20,814.0
10/12/20,823.0
10/13/20,808.0
10/14/20,1084.0
10/15/20,1186.0
10/16/20,998.0
10/17/20,1251.0
10/18/20,1284.0
10/19/20,1031.0
10/20/20,1263.0
10/21/20,1166.0
10/22/20,1054.0
10/23/20,785.0
10/24/20,847.0
10/25/20,1020.0
10/26/20,939.0
10/27/20,700.0
10/28/20,667.0
10/29/20,863.0
10/30/20,762.0
10/31/20,397.0
11/1/20,546.0
11/2/20,748.0
11/3/20,298.0
11/4/20,435.0
11/5/20,563.0
11/6/20,492.0
11/7/20,317.0
11/8/20,539.0
11/9/20,265.0
11/10/20,230.0
11/11/20,358.0
11/12/20,385.0
11/13/20,467.0
11/14/20,427.0
11/15/20,377.0
11/16/20,453.0
11/17/20,330.0
11/18/20,372.0
11/19/20,415.0
11/20/20,329.0
11/21/20,341.0
11/22/20,318.0
11/23/20,250.0
11/24/20,219.0
11/25/20,257.0
11/26/20,307.0
11/27/20,205.0
11/28/20,243.0
11/29/20,299.0
11/30/20,303.0
12/1/20,254.0
12/2/20,268.0
12/3/20,162.0
12/4/20,263.0
12/5/20,457.0
12/6/20,298.0
12/7/20,222.0
12/8/20,214.0
12/9/20,218.0
12/10/20,303.0
12/11/20,304.0
12/12/20,249.0
12/13/20,429.0
12/14/20,264.0
12/15/20,327.0
12/16/20,421.0
12/17/20,481.0
12/18/20,576.0
12/19/20,522.0
12/20/20,766.0
12/21/20,725.0
12/22/20,961.0
12/23/20,927.0
12/24/20,918.0
12/25/20,1025.0
12/26/20,1296.0
12/27/20,735.0
12/28/20,765.0
12/29/20,1545.0
12/30/20,1718.0
12/31/20,1622.0
1/1/21,1753.0
1/2/21,3394.0
1/3/21,4961.0
1/4/21,6110.0
1/5/21,5325.0
1/6/21,7832.0
1/7/21,6503.0
1/8/21,8227.0
1/9/21,4843.0
1/10/21,6886.0
1/11/21,4926.0
1/12/21,3052.0
1/13/21,3553.0
1/14/21,3913.0
1/15/21,3491.0
1/16/21,3232.0
1/17/21,2946.0
1/18/21,2117.0
1/19/21,1996.0
1/20/21,2485.0
1/21/21,2598.0
1/22/21,2357.0
1/23/21,1905.0
1/24/21,1370.0
1/25/21,1369.0
1/26/21,928.0
1/27/21,1331.0
1/28/21,1463.0
1/29/21,1247.0
1/30/21,1411.0
1/31/21,1244.0
2/1/21,1006.0
2/2/21,871.0
2/3/21,1006.0
2/4/21,1314.0
2/5/21,1019.0
2/6/21,785.0
2/7/21,1020.0
2/8/21,829.0
2/9/21,543.0
2/10/21,999.0
2/11/21,862.0
2/12/21,919.0
2/13/21,1076.0
2/14/21,786.0
2/15/21,820.0
2/16/21,711.0
2/17/21,638.0
2/18/21,896.0
2/19/21,753.0
2/20/21,978.0
2/21/21,679.0
2/22/21,686.0
2/23/21,557.0
2/24/21,540.0
2/25/21,638.0
2/26/21,773.0
2/27/21,729.0
2/28/21,612.0
3/1/21,681.0
3/2/21,357.0
3/3/21,559.0
3/4/21,460.0
3/5/21,520.0
3/6/21,530.0
3/7/21,520.0
3/8/21,432.0
3/9/21,306.0
3/10/21,631.0
3/11/21,591.0
3/12/21,641.0
3/13/21,538.0
3/14/21,383.0
3/15/21,575.0
3/16/21,347.0
3/17/21,552.0
3/18/21,581.0
3/19/21,510.0
3/20/21,525.0
3/21/21,768.0
3/22/21,520.0
3/23/21,365.0
3/24/21,680.0
3/25/21,594.0
3/26/21,569.0
3/27/21,610.0
3/28/21,604.0
3/29/21,537.0
3/30/21,366.0
3/31/21,410.0
4/1/21,746.0
4/2/21,587.0
4/3/21,508.0
4/4/21,453.0
4/5/21,318.0
4/6/21,441.0
4/7/21,418.0
4/8/21,398.0
4/9/21,469.0
4/10/21,451.0
4/11/21,302.0
4/12/21,385.0
4/13/21,354.0
4/14/21,421.0
4/15/21,297.0
4/16/21,417.0
4/17/21,419.0
4/18/21,270.0
4/19/21,403.0
4/20/21,386.0
4/21/21,398.0
4/22/21,615.0
4/23/21,433.0
4/24/21,461.0
4/25/21,429.0
4/26/21,436.0
4/27/21,420.0
4/28/21,368.0
4/29/21,469.0
4/30/21,544.0
5/1/21,567.0
5/2/21,401.0
5/3/21,452.0
5/4/21,382.0
5/5/21,415.0
5/6/21,387.0
5/7/21,430.0
5/8/21,399.0
5/9/21,506.0
5/10/21,380.0
5/11/21,378.0
5/12/21,446.0
5/13/21,437.0
5/14/21,420.0
5/15/21,461.0
5/16/21,375.0
5/17/21,379.0
5/18/21,365.0
5/19/21,526.0
5/20/21,470.0
5/21/21,533.0
5/22/21,384.0
5/23/21,447.0
5/24/21,349.0
5/25/21,353.0
5/26/21,445.0
5/27/21,432.0
5/28/21,461.0
5/29/21,456.0
5/30/21,367.0
5/31/21,370.0
6/1/21,337.0
6/2/21,407.0
6/3/21,465.0
6/4/21,517.0
6/5/21,416.0
6/6/21,313.0
6/7/21,377.0
6/8/21,239.0
6/9/21,227.0
6/10/21,398.0
6/11/21,319.0
6/12/21,431.0
6/13/21,315.0
6/14/21,202.0
6/15/21,283.0
6/16/21,287.0
6/17/21,373.0
6/18/21,302.0
6/19/21,393.0
6/20/21,393.0
6/21/21,284.0
6/22/21,174.0
6/23/21,298.0
6/24/21,304.0
6/25/21,380.0
6/26/21,443.0
6/27/21,340.0
6/28/21,329.0
6/29/21,342.0
6/30/21,-23.0
