,Kazakhstan
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,4.0
3/14/20,2.0
3/15/20,3.0
3/16/20,1.0
3/17/20,23.0
3/18/20,2.0
3/19/20,9.0
3/20/20,5.0
3/21/20,4.0
3/22/20,8.0
3/23/20,1.0
3/24/20,10.0
3/25/20,9.0
3/26/20,30.0
3/27/20,39.0
3/28/20,78.0
3/29/20,56.0
3/30/20,18.0
3/31/20,41.0
4/1/20,37.0
4/2/20,55.0
4/3/20,29.0
4/4/20,67.0
4/5/20,53.0
4/6/20,78.0
4/7/20,35.0
4/8/20,30.0
4/9/20,54.0
4/10/20,31.0
4/11/20,53.0
4/12/20,86.0
4/13/20,140.0
4/14/20,141.0
4/15/20,63.0
4/16/20,107.0
4/17/20,144.0
4/18/20,69.0
4/19/20,61.0
4/20/20,176.0
4/21/20,143.0
4/22/20,140.0
4/23/20,154.0
4/24/20,193.0
4/25/20,119.0
4/26/20,116.0
4/27/20,118.0
4/28/20,192.0
4/29/20,111.0
4/30/20,264.0
5/1/20,195.0
5/2/20,260.0
5/3/20,63.0
5/4/20,129.0
5/5/20,156.0
5/6/20,217.0
5/7/20,156.0
5/8/20,256.0
5/9/20,141.0
5/10/20,115.0
5/11/20,117.0
5/12/20,72.0
5/13/20,138.0
5/14/20,154.0
5/15/20,118.0
5/16/20,161.0
5/17/20,307.0
5/18/20,594.0
5/19/20,0.0
5/20/20,218.0
5/21/20,265.0
5/22/20,685.0
5/23/20,0.0
5/24/20,612.0
5/25/20,438.0
5/26/20,0.0
5/27/20,335.0
5/28/20,272.0
5/29/20,356.0
5/30/20,450.0
5/31/20,476.0
6/1/20,450.0
6/2/20,263.0
6/3/20,496.0
6/4/20,0.0
6/5/20,245.0
6/6/20,199.0
6/7/20,183.0
6/8/20,165.0
6/9/20,215.0
6/10/20,245.0
6/11/20,553.0
6/12/20,0.0
6/13/20,366.0
6/14/20,258.0
6/15/20,696.0
6/16/20,350.0
6/17/20,335.0
6/18/20,0.0
6/19/20,902.0
6/20/20,446.0
6/21/20,507.0
6/22/20,499.0
6/23/20,534.0
6/24/20,520.0
6/25/20,465.0
6/26/20,569.0
6/27/20,0.0
6/28/20,1008.0
6/29/20,492.0
6/30/20,489.0
7/1/20,18757.0
7/2/20,1509.0
7/3/20,3145.0
7/4/20,1452.0
7/5/20,1403.0
7/6/20,1109.0
7/7/20,1376.0
7/8/20,0.0
7/9/20,3688.0
7/10/20,1708.0
7/11/20,1798.0
7/12/20,0.0
7/13/20,3502.0
7/14/20,1759.0
7/15/20,1674.0
7/16/20,1707.0
7/17/20,1808.0
7/18/20,0.0
7/19/20,3135.0
7/20/20,1630.0
7/21/20,1685.0
7/22/20,0.0
7/23/20,3333.0
7/24/20,1740.0
7/25/20,1494.0
7/26/20,1402.0
7/27/20,1526.0
7/28/20,1544.0
7/29/20,1472.0
7/30/20,1414.0
7/31/20,1289.0
8/1/20,0.0
8/2/20,6407.0
8/3/20,1867.0
8/4/20,1434.0
8/5/20,2861.0
8/6/20,2590.0
8/7/20,2404.0
8/8/20,2009.0
8/9/20,1883.0
8/10/20,900.0
8/11/20,779.0
8/12/20,2114.0
8/13/20,1489.0
8/14/20,1410.0
8/15/20,1267.0
8/16/20,1380.0
8/17/20,478.0
8/18/20,334.0
8/19/20,1352.0
8/20/20,1031.0
8/21/20,979.0
8/22/20,908.0
8/23/20,960.0
8/24/20,259.0
8/25/20,0.0
8/26/20,0.0
8/27/20,202.0
8/28/20,954.0
8/29/20,1422.0
8/30/20,633.0
8/31/20,0.0
9/1/20,923.0
9/2/20,99.0
9/3/20,659.0
9/4/20,570.0
9/5/20,104.0
9/6/20,896.0
9/7/20,199.0
9/8/20,80.0
9/9/20,523.0
9/10/20,433.0
9/11/20,430.0
9/12/20,375.0
9/13/20,420.0
9/14/20,129.0
9/15/20,73.0
9/16/20,472.0
9/17/20,335.0
9/18/20,320.0
9/19/20,300.0
9/20/20,335.0
9/21/20,107.0
9/22/20,87.0
9/23/20,440.0
9/24/20,307.0
9/25/20,292.0
9/26/20,301.0
9/27/20,293.0
9/28/20,90.0
9/29/20,68.0
9/30/20,374.0
10/1/20,251.0
10/2/20,298.0
10/3/20,228.0
10/4/20,264.0
10/5/20,96.0
10/6/20,60.0
10/7/20,335.0
10/8/20,358.0
10/9/20,348.0
10/10/20,335.0
10/11/20,352.0
10/12/20,108.0
10/13/20,74.0
10/14/20,404.0
10/15/20,110.0
10/16/20,433.0
10/17/20,258.0
10/18/20,301.0
10/19/20,153.0
10/20/20,130.0
10/21/20,363.0
10/22/20,322.0
10/23/20,365.0
10/24/20,329.0
10/25/20,315.0
10/26/20,166.0
10/27/20,152.0
10/28/20,422.0
10/29/20,442.0
10/30/20,587.0
10/31/20,633.0
11/1/20,681.0
11/2/20,483.0
11/3/20,458.0
11/4/20,701.0
11/5/20,703.0
11/6/20,822.0
11/7/20,774.0
11/8/20,899.0
11/9/20,656.0
11/10/20,575.0
11/11/20,810.0
11/12/20,775.0
11/13/20,817.0
11/14/20,903.0
11/15/20,856.0
11/16/20,1238.0
11/17/20,705.0
11/18/20,1030.0
11/19/20,993.0
11/20/20,980.0
11/21/20,910.0
11/22/20,873.0
11/23/20,44.0
11/24/20,1418.0
11/25/20,1024.0
11/26/20,981.0
11/27/20,987.0
11/28/20,1010.0
11/29/20,958.0
11/30/20,800.0
12/1/20,1002.0
12/2/20,777.0
12/3/20,1044.0
12/4/20,992.0
12/5/20,966.0
12/6/20,745.0
12/7/20,688.0
12/8/20,944.0
12/9/20,936.0
12/10/20,973.0
12/11/20,927.0
12/12/20,956.0
12/13/20,764.0
12/14/20,683.0
12/15/20,930.0
12/16/20,947.0
12/17/20,714.0
12/18/20,741.0
12/19/20,677.0
12/20/20,681.0
12/21/20,929.0
12/22/20,924.0
12/23/20,754.0
12/24/20,736.0
12/25/20,1223.0
12/26/20,926.0
12/27/20,760.0
12/28/20,757.0
12/29/20,896.0
12/30/20,888.0
12/31/20,753.0
1/1/21,864.0
1/2/21,820.0
1/3/21,683.0
1/4/21,730.0
1/5/21,771.0
1/6/21,869.0
1/7/21,907.0
1/8/21,843.0
1/9/21,913.0
1/10/21,773.0
1/11/21,717.0
1/12/21,890.0
1/13/21,925.0
1/14/21,911.0
1/15/21,1043.0
1/16/21,1072.0
1/17/21,1020.0
1/18/21,1017.0
1/19/21,1252.0
1/20/21,1311.0
1/21/21,1526.0
1/22/21,1648.0
1/23/21,1694.0
1/24/21,1496.0
1/25/21,1274.0
1/26/21,1527.0
1/27/21,1496.0
1/28/21,1528.0
1/29/21,1440.0
1/30/21,1413.0
1/31/21,1275.0
2/1/21,1185.0
2/2/21,1335.0
2/3/21,1362.0
2/4/21,1257.0
2/5/21,0.0
2/6/21,2421.0
2/7/21,1024.0
2/8/21,923.0
2/9/21,1123.0
2/10/21,1059.0
2/11/21,1033.0
2/12/21,996.0
2/13/21,837.0
2/14/21,868.0
2/15/21,692.0
2/16/21,862.0
2/17/21,930.0
2/18/21,961.0
2/19/21,872.0
2/20/21,804.0
2/21/21,712.0
2/22/21,700.0
2/23/21,809.0
2/24/21,869.0
2/25/21,906.0
2/26/21,860.0
2/27/21,849.0
2/28/21,622.0
3/1/21,681.0
3/2/21,782.0
3/3/21,850.0
3/4/21,901.0
3/5/21,874.0
3/6/21,854.0
3/7/21,670.0
3/8/21,575.0
3/9/21,697.0
3/10/21,800.0
3/11/21,964.0
3/12/21,1002.0
3/13/21,1104.0
3/14/21,1072.0
3/15/21,961.0
3/16/21,1161.0
3/17/21,1243.0
3/18/21,1314.0
3/19/21,1356.0
3/20/21,1222.0
3/21/21,1229.0
3/22/21,1111.0
3/23/21,1103.0
3/24/21,1111.0
3/25/21,1121.0
3/26/21,1629.0
3/27/21,1690.0
3/28/21,1514.0
3/29/21,1455.0
3/30/21,1745.0
3/31/21,1966.0
4/1/21,2154.0
4/2/21,2192.0
4/3/21,2104.0
4/4/21,1938.0
4/5/21,1816.0
4/6/21,2080.0
4/7/21,2802.0
4/8/21,2544.0
4/9/21,2835.0
4/10/21,2944.0
4/11/21,2326.0
4/12/21,2027.0
4/13/21,2359.0
4/14/21,2726.0
4/15/21,2727.0
4/16/21,2822.0
4/17/21,2896.0
4/18/21,2835.0
4/19/21,2541.0
4/20/21,2831.0
4/21/21,3016.0
4/22/21,3001.0
4/23/21,2930.0
4/24/21,2916.0
4/25/21,2741.0
4/26/21,2296.0
4/27/21,2838.0
4/28/21,2995.0
4/29/21,2958.0
4/30/21,2877.0
5/1/21,2902.0
5/2/21,2637.0
5/3/21,2086.0
5/4/21,2327.0
5/5/21,2620.0
5/6/21,2941.0
5/7/21,2587.0
5/8/21,2491.0
5/9/21,2142.0
5/10/21,23.0
5/11/21,3597.0
5/12/21,2456.0
5/13/21,2676.0
5/14/21,2635.0
5/15/21,2577.0
5/16/21,2089.0
5/17/21,20.0
5/18/21,3856.0
5/19/21,2662.0
5/20/21,2267.0
5/21/21,2267.0
5/22/21,2476.0
5/23/21,1847.0
5/24/21,1568.0
5/25/21,1860.0
5/26/21,1956.0
5/27/21,1827.0
5/28/21,1688.0
5/29/21,96.0
5/30/21,3059.0
5/31/21,1161.0
6/1/21,1442.0
6/2/21,1385.0
6/3/21,1513.0
6/4/21,1303.0
6/5/21,1280.0
6/6/21,1010.0
6/7/21,773.0
6/8/21,1119.0
6/9/21,1215.0
6/10/21,1190.0
6/11/21,1181.0
6/12/21,1058.0
6/13/21,70.0
6/14/21,1738.0
6/15/21,1128.0
6/16/21,1145.0
6/17/21,1310.0
6/18/21,0.0
