,Kenya
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,1.0
3/14/20,0.0
3/15/20,2.0
3/16/20,0.0
3/17/20,0.0
3/18/20,0.0
3/19/20,4.0
3/20/20,0.0
3/21/20,0.0
3/22/20,8.0
3/23/20,1.0
3/24/20,9.0
3/25/20,3.0
3/26/20,3.0
3/27/20,0.0
3/28/20,7.0
3/29/20,4.0
3/30/20,8.0
3/31/20,9.0
4/1/20,22.0
4/2/20,29.0
4/3/20,12.0
4/4/20,4.0
4/5/20,16.0
4/6/20,16.0
4/7/20,14.0
4/8/20,7.0
4/9/20,5.0
4/10/20,5.0
4/11/20,2.0
4/12/20,6.0
4/13/20,11.0
4/14/20,8.0
4/15/20,9.0
4/16/20,9.0
4/17/20,12.0
4/18/20,16.0
4/19/20,8.0
4/20/20,11.0
4/21/20,15.0
4/22/20,7.0
4/23/20,17.0
4/24/20,16.0
4/25/20,7.0
4/26/20,12.0
4/27/20,8.0
4/28/20,11.0
4/29/20,10.0
4/30/20,12.0
5/1/20,15.0
5/2/20,24.0
5/3/20,30.0
5/4/20,25.0
5/5/20,45.0
5/6/20,47.0
5/7/20,25.0
5/8/20,14.0
5/9/20,28.0
5/10/20,23.0
5/11/20,28.0
5/12/20,15.0
5/13/20,22.0
5/14/20,21.0
5/15/20,23.0
5/16/20,49.0
5/17/20,57.0
5/18/20,25.0
5/19/20,51.0
5/20/20,66.0
5/21/20,80.0
5/22/20,52.0
5/23/20,31.0
5/24/20,22.0
5/25/20,72.0
5/26/20,62.0
5/27/20,123.0
5/28/20,147.0
5/29/20,127.0
5/30/20,143.0
5/31/20,74.0
6/1/20,59.0
6/2/20,72.0
6/3/20,123.0
6/4/20,124.0
6/5/20,134.0
6/6/20,126.0
6/7/20,167.0
6/8/20,105.0
6/9/20,117.0
6/10/20,105.0
6/11/20,121.0
6/12/20,90.0
6/13/20,152.0
6/14/20,137.0
6/15/20,133.0
6/16/20,133.0
6/17/20,184.0
6/18/20,213.0
6/19/20,117.0
6/20/20,104.0
6/21/20,260.0
6/22/20,59.0
6/23/20,155.0
6/24/20,254.0
6/25/20,178.0
6/26/20,149.0
6/27/20,278.0
6/28/20,259.0
6/29/20,120.0
6/30/20,176.0
7/1/20,307.0
7/2/20,268.0
7/3/20,247.0
7/4/20,389.0
7/5/20,309.0
7/6/20,181.0
7/7/20,183.0
7/8/20,278.0
7/9/20,447.0
7/10/20,473.0
7/11/20,278.0
7/12/20,379.0
7/13/20,189.0
7/14/20,497.0
7/15/20,461.0
7/16/20,421.0
7/17/20,389.0
7/18/20,688.0
7/19/20,603.0
7/20/20,418.0
7/21/20,397.0
7/22/20,637.0
7/23/20,796.0
7/24/20,667.0
7/25/20,375.0
7/26/20,960.0
7/27/20,372.0
7/28/20,606.0
7/29/20,544.0
7/30/20,788.0
7/31/20,723.0
8/1/20,727.0
8/2/20,690.0
8/3/20,544.0
8/4/20,605.0
8/5/20,671.0
8/6/20,538.0
8/7/20,727.0
8/8/20,699.0
8/9/20,599.0
8/10/20,492.0
8/11/20,497.0
8/12/20,679.0
8/13/20,650.0
8/14/20,580.0
8/15/20,515.0
8/16/20,271.0
8/17/20,245.0
8/18/20,271.0
8/19/20,379.0
8/20/20,426.0
8/21/20,322.0
8/22/20,355.0
8/23/20,246.0
8/24/20,193.0
8/25/20,246.0
8/26/20,213.0
8/27/20,373.0
8/28/20,241.0
8/29/20,164.0
8/30/20,263.0
8/31/20,144.0
9/1/20,114.0
9/2/20,178.0
9/3/20,212.0
9/4/20,179.0
9/5/20,136.0
9/6/20,83.0
9/7/20,102.0
9/8/20,151.0
9/9/20,104.0
9/10/20,143.0
9/11/20,190.0
9/12/20,176.0
9/13/20,188.0
9/14/20,48.0
9/15/20,96.0
9/16/20,0.0
9/17/20,275.0
9/18/20,148.0
9/19/20,105.0
9/20/20,152.0
9/21/20,98.0
9/22/20,139.0
9/23/20,130.0
9/24/20,141.0
9/25/20,218.0
9/26/20,164.0
9/27/20,244.0
9/28/20,53.0
9/29/20,210.0
9/30/20,151.0
10/1/20,184.0
10/2/20,210.0
10/3/20,261.0
10/4/20,243.0
10/5/20,22.0
10/6/20,137.0
10/7/20,321.0
10/8/20,271.0
10/9/20,442.0
10/10/20,538.0
10/11/20,388.0
10/12/20,73.0
10/13/20,318.0
10/14/20,604.0
10/15/20,602.0
10/16/20,437.0
10/17/20,616.0
10/18/20,685.0
10/19/20,195.0
10/20/20,571.0
10/21/20,497.0
10/22/20,1068.0
10/23/20,631.0
10/24/20,947.0
10/25/20,931.0
10/26/20,276.0
10/27/20,836.0
10/28/20,1018.0
10/29/20,761.0
10/30/20,1185.0
10/31/20,1395.0
11/1/20,685.0
11/2/20,724.0
11/3/20,492.0
11/4/20,1494.0
11/5/20,1008.0
11/6/20,1109.0
11/7/20,1065.0
11/8/20,719.0
11/9/20,756.0
11/10/20,1344.0
11/11/20,1216.0
11/12/20,919.0
11/13/20,1470.0
11/14/20,1080.0
11/15/20,972.0
11/16/20,559.0
11/17/20,925.0
11/18/20,957.0
11/19/20,1459.0
11/20/20,1048.0
11/21/20,1211.0
11/22/20,968.0
11/23/20,413.0
11/24/20,727.0
11/25/20,810.0
11/26/20,780.0
11/27/20,1554.0
11/28/20,949.0
11/29/20,711.0
11/30/20,302.0
12/1/20,551.0
12/2/20,961.0
12/3/20,1253.0
12/4/20,866.0
12/5/20,735.0
12/6/20,396.0
12/7/20,199.0
12/8/20,521.0
12/9/20,561.0
12/10/20,644.0
12/11/20,673.0
12/12/20,548.0
12/13/20,366.0
12/14/20,163.0
12/15/20,404.0
12/16/20,394.0
12/17/20,552.0
12/18/20,356.0
12/19/20,390.0
12/20/20,349.0
12/21/20,114.0
12/22/20,154.0
12/23/20,427.0
12/24/20,236.0
12/25/20,282.0
12/26/20,130.0
12/27/20,80.0
12/28/20,69.0
12/29/20,147.0
12/30/20,112.0
12/31/20,207.0
1/1/21,156.0
1/2/21,64.0
1/3/21,124.0
1/4/21,106.0
1/5/21,219.0
1/6/21,271.0
1/7/21,335.0
1/8/21,221.0
1/9/21,230.0
1/10/21,87.0
1/11/21,63.0
1/12/21,98.0
1/13/21,123.0
1/14/21,138.0
1/15/21,166.0
1/16/21,223.0
1/17/21,80.0
1/18/21,65.0
1/19/21,81.0
1/20/21,136.0
1/21/21,186.0
1/22/21,139.0
1/23/21,129.0
1/24/21,85.0
1/25/21,69.0
1/26/21,141.0
1/27/21,130.0
1/28/21,99.0
1/29/21,141.0
1/30/21,112.0
1/31/21,98.0
2/1/21,83.0
2/2/21,153.0
2/3/21,150.0
2/4/21,180.0
2/5/21,195.0
2/6/21,156.0
2/7/21,129.0
2/8/21,125.0
2/9/21,104.0
2/10/21,173.0
2/11/21,132.0
2/12/21,260.0
2/13/21,179.0
2/14/21,75.0
2/15/21,147.0
2/16/21,174.0
2/17/21,144.0
2/18/21,283.0
2/19/21,226.0
2/20/21,152.0
2/21/21,208.0
2/22/21,105.0
2/23/21,194.0
2/24/21,280.0
2/25/21,277.0
2/26/21,410.0
2/27/21,181.0
2/28/21,325.0
3/1/21,152.0
3/2/21,345.0
3/3/21,331.0
3/4/21,528.0
3/5/21,400.0
3/6/21,633.0
3/7/21,465.0
3/8/21,337.0
3/9/21,479.0
3/10/21,713.0
3/11/21,829.0
3/12/21,750.0
3/13/21,870.0
3/14/21,431.0
3/15/21,731.0
3/16/21,1064.0
3/17/21,1279.0
3/18/21,1225.0
3/19/21,1354.0
3/20/21,1274.0
3/21/21,747.0
3/22/21,1130.0
3/23/21,1127.0
3/24/21,1540.0
3/25/21,1463.0
3/26/21,2008.0
3/27/21,1152.0
3/28/21,884.0
3/29/21,902.0
3/30/21,1530.0
3/31/21,1412.0
4/1/21,984.0
4/2/21,1851.0
4/3/21,1184.0
4/4/21,911.0
4/5/21,460.0
4/6/21,394.0
4/7/21,1523.0
4/8/21,1698.0
4/9/21,1091.0
4/10/21,1030.0
4/11/21,486.0
4/12/21,486.0
4/13/21,991.0
4/14/21,981.0
4/15/21,1091.0
4/16/21,1041.0
4/17/21,1027.0
4/18/21,366.0
4/19/21,241.0
4/20/21,629.0
4/21/21,965.0
4/22/21,904.0
4/23/21,773.0
4/24/21,1153.0
4/25/21,469.0
4/26/21,194.0
4/27/21,511.0
4/28/21,834.0
4/29/21,495.0
4/30/21,497.0
5/1/21,735.0
5/2/21,369.0
5/3/21,137.0
5/4/21,345.0
5/5/21,489.0
5/6/21,705.0
5/7/21,568.0
5/8/21,572.0
5/9/21,316.0
5/10/21,66.0
5/11/21,356.0
5/12/21,410.0
5/13/21,334.0
5/14/21,392.0
5/15/21,267.0
5/16/21,86.0
5/17/21,72.0
5/18/21,469.0
5/19/21,376.0
5/20/21,494.0
5/21/21,659.0
5/22/21,573.0
5/23/21,324.0
5/24/21,111.0
5/25/21,382.0
5/26/21,431.0
5/27/21,341.0
5/28/21,344.0
5/29/21,444.0
5/30/21,162.0
5/31/21,88.0
6/1/21,349.0
6/2/21,142.0
6/3/21,432.0
6/4/21,284.0
6/5/21,383.0
6/6/21,166.0
6/7/21,148.0
6/8/21,433.0
6/9/21,589.0
6/10/21,624.0
6/11/21,488.0
6/12/21,403.0
6/13/21,161.0
6/14/21,344.0
6/15/21,456.0
6/16/21,485.0
6/17/21,660.0
6/18/21,796.0
6/19/21,714.0
6/20/21,283.0
6/21/21,218.0
6/22/21,583.0
6/23/21,622.0
6/24/21,741.0
6/25/21,646.0
6/26/21,508.0
6/27/21,204.0
6/28/21,287.0
6/29/21,719.0
6/30/21,558.0
7/1/21,376.0
