,Kuwait
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,1.0
2/25/20,10.0
2/26/20,15.0
2/27/20,17.0
2/28/20,2.0
2/29/20,0.0
3/1/20,0.0
3/2/20,11.0
3/3/20,0.0
3/4/20,0.0
3/5/20,2.0
3/6/20,0.0
3/7/20,3.0
3/8/20,3.0
3/9/20,0.0
3/10/20,5.0
3/11/20,3.0
3/12/20,8.0
3/13/20,0.0
3/14/20,24.0
3/15/20,8.0
3/16/20,11.0
3/17/20,7.0
3/18/20,12.0
3/19/20,6.0
3/20/20,11.0
3/21/20,17.0
3/22/20,12.0
3/23/20,1.0
3/24/20,2.0
3/25/20,4.0
3/26/20,13.0
3/27/20,17.0
3/28/20,10.0
3/29/20,20.0
3/30/20,11.0
3/31/20,23.0
4/1/20,28.0
4/2/20,25.0
4/3/20,75.0
4/4/20,62.0
4/5/20,77.0
4/6/20,109.0
4/7/20,78.0
4/8/20,112.0
4/9/20,55.0
4/10/20,83.0
4/11/20,161.0
4/12/20,80.0
4/13/20,66.0
4/14/20,55.0
4/15/20,50.0
4/16/20,119.0
4/17/20,134.0
4/18/20,93.0
4/19/20,164.0
4/20/20,80.0
4/21/20,85.0
4/22/20,168.0
4/23/20,151.0
4/24/20,215.0
4/25/20,278.0
4/26/20,183.0
4/27/20,213.0
4/28/20,152.0
4/29/20,300.0
4/30/20,284.0
5/1/20,353.0
5/2/20,242.0
5/3/20,364.0
5/4/20,295.0
5/5/20,526.0
5/6/20,485.0
5/7/20,278.0
5/8/20,641.0
5/9/20,415.0
5/10/20,1065.0
5/11/20,598.0
5/12/20,991.0
5/13/20,751.0
5/14/20,947.0
5/15/20,885.0
5/16/20,942.0
5/17/20,1048.0
5/18/20,841.0
5/19/20,1073.0
5/20/20,804.0
5/21/20,1041.0
5/22/20,955.0
5/23/20,900.0
5/24/20,838.0
5/25/20,665.0
5/26/20,608.0
5/27/20,692.0
5/28/20,845.0
5/29/20,1072.0
5/30/20,1008.0
5/31/20,851.0
6/1/20,719.0
6/2/20,887.0
6/3/20,710.0
6/4/20,562.0
6/5/20,723.0
6/6/20,487.0
6/7/20,717.0
6/8/20,662.0
6/9/20,630.0
6/10/20,683.0
6/11/20,609.0
6/12/20,520.0
6/13/20,514.0
6/14/20,454.0
6/15/20,511.0
6/16/20,527.0
6/17/20,575.0
6/18/20,541.0
6/19/20,604.0
6/20/20,467.0
6/21/20,505.0
6/22/20,641.0
6/23/20,742.0
6/24/20,846.0
6/25/20,909.0
6/26/20,915.0
6/27/20,688.0
6/28/20,551.0
6/29/20,582.0
6/30/20,671.0
7/1/20,745.0
7/2/20,919.0
7/3/20,813.0
7/4/20,631.0
7/5/20,638.0
7/6/20,703.0
7/7/20,601.0
7/8/20,762.0
7/9/20,833.0
7/10/20,740.0
7/11/20,478.0
7/12/20,836.0
7/13/20,614.0
7/14/20,666.0
7/15/20,703.0
7/16/20,791.0
7/17/20,553.0
7/18/20,683.0
7/19/20,300.0
7/20/20,559.0
7/21/20,671.0
7/22/20,751.0
7/23/20,687.0
7/24/20,753.0
7/25/20,684.0
7/26/20,464.0
7/27/20,606.0
7/28/20,770.0
7/29/20,754.0
7/30/20,626.0
7/31/20,428.0
8/1/20,491.0
8/2/20,463.0
8/3/20,388.0
8/4/20,475.0
8/5/20,651.0
8/6/20,620.0
8/7/20,682.0
8/8/20,472.0
8/9/20,514.0
8/10/20,687.0
8/11/20,668.0
8/12/20,717.0
8/13/20,701.0
8/14/20,699.0
8/15/20,512.0
8/16/20,508.0
8/17/20,622.0
8/18/20,643.0
8/19/20,675.0
8/20/20,622.0
8/21/20,502.0
8/22/20,688.0
8/23/20,571.0
8/24/20,432.0
8/25/20,613.0
8/26/20,698.0
8/27/20,674.0
8/28/20,633.0
8/29/20,646.0
8/30/20,412.0
8/31/20,473.0
9/1/20,702.0
9/2/20,667.0
9/3/20,900.0
9/4/20,865.0
9/5/20,720.0
9/6/20,619.0
9/7/20,805.0
9/8/20,857.0
9/9/20,838.0
9/10/20,740.0
9/11/20,653.0
9/12/20,736.0
9/13/20,553.0
9/14/20,708.0
9/15/20,829.0
9/16/20,698.0
9/17/20,825.0
9/18/20,704.0
9/19/20,521.0
9/20/20,385.0
9/21/20,530.0
9/22/20,719.0
9/23/20,616.0
9/24/20,552.0
9/25/20,590.0
9/26/20,758.0
9/27/20,345.0
9/28/20,437.0
9/29/20,587.0
9/30/20,614.0
10/1/20,494.0
10/2/20,411.0
10/3/20,371.0
10/4/20,567.0
10/5/20,567.0
10/6/20,676.0
10/7/20,475.0
10/8/20,698.0
10/9/20,635.0
10/10/20,492.0
10/11/20,548.0
10/12/20,777.0
10/13/20,844.0
10/14/20,532.0
10/15/20,746.0
10/16/20,729.0
10/17/20,739.0
10/18/20,663.0
10/19/20,686.0
10/20/20,886.0
10/21/20,813.0
10/22/20,889.0
10/23/20,812.0
10/24/20,695.0
10/25/20,708.0
10/26/20,682.0
10/27/20,775.0
10/28/20,814.0
10/29/20,760.0
10/30/20,671.0
10/31/20,589.0
11/1/20,608.0
11/2/20,759.0
11/3/20,787.0
11/4/20,763.0
11/5/20,795.0
11/6/20,825.0
11/7/20,742.0
11/8/20,538.0
11/9/20,735.0
11/10/20,903.0
11/11/20,778.0
11/12/20,773.0
11/13/20,718.0
11/14/20,691.0
11/15/20,499.0
11/16/20,489.0
11/17/20,556.0
11/18/20,452.0
11/19/20,485.0
11/20/20,486.0
11/21/20,426.0
11/22/20,322.0
11/23/20,337.0
11/24/20,402.0
11/25/20,422.0
11/26/20,330.0
11/27/20,329.0
11/28/20,319.0
11/29/20,231.0
11/30/20,209.0
12/1/20,357.0
12/2/20,268.0
12/3/20,314.0
12/4/20,343.0
12/5/20,247.0
12/6/20,205.0
12/7/20,230.0
12/8/20,301.0
12/9/20,304.0
12/10/20,291.0
12/11/20,294.0
12/12/20,255.0
12/13/20,174.0
12/14/20,231.0
12/15/20,261.0
12/16/20,261.0
12/17/20,221.0
12/18/20,339.0
12/19/20,244.0
12/20/20,204.0
12/21/20,230.0
12/22/20,298.0
12/23/20,266.0
12/24/20,244.0
12/25/20,260.0
12/26/20,172.0
12/27/20,204.0
12/28/20,204.0
12/29/20,236.0
12/30/20,205.0
12/31/20,286.0
1/1/21,285.0
1/2/21,205.0
1/3/21,269.0
1/4/21,372.0
1/5/21,312.0
1/6/21,411.0
1/7/21,540.0
1/8/21,495.0
1/9/21,427.0
1/10/21,414.0
1/11/21,527.0
1/12/21,494.0
1/13/21,539.0
1/14/21,560.0
1/15/21,530.0
1/16/21,435.0
1/17/21,378.0
1/18/21,467.0
1/19/21,578.0
1/20/21,442.0
1/21/21,570.0
1/22/21,533.0
1/23/21,534.0
1/24/21,384.0
1/25/21,492.0
1/26/21,505.0
1/27/21,580.0
1/28/21,588.0
1/29/21,658.0
1/30/21,514.0
1/31/21,635.0
2/1/21,586.0
2/2/21,811.0
2/3/21,756.0
2/4/21,840.0
2/5/21,940.0
2/6/21,846.0
2/7/21,962.0
2/8/21,996.0
2/9/21,1002.0
2/10/21,987.0
2/11/21,1048.0
2/12/21,1021.0
2/13/21,851.0
2/14/21,798.0
2/15/21,823.0
2/16/21,964.0
2/17/21,1017.0
2/18/21,979.0
2/19/21,976.0
2/20/21,862.0
2/21/21,768.0
2/22/21,899.0
2/23/21,1015.0
2/24/21,1001.0
2/25/21,1019.0
2/26/21,1022.0
2/27/21,844.0
2/28/21,962.0
3/1/21,1179.0
3/2/21,1341.0
3/3/21,1409.0
3/4/21,1716.0
3/5/21,1613.0
3/6/21,1318.0
3/7/21,1144.0
3/8/21,1326.0
3/9/21,1157.0
3/10/21,1333.0
3/11/21,1505.0
3/12/21,1356.0
3/13/21,1211.0
3/14/21,1063.0
3/15/21,1332.0
3/16/21,1314.0
3/17/21,1504.0
3/18/21,1394.0
3/19/21,1519.0
3/20/21,1347.0
3/21/21,1192.0
3/22/21,1330.0
3/23/21,1288.0
3/24/21,1299.0
3/25/21,1390.0
3/26/21,1548.0
3/27/21,1198.0
3/28/21,1121.0
3/29/21,1251.0
3/30/21,1271.0
3/31/21,1282.0
4/1/21,1418.0
4/2/21,1233.0
4/3/21,1235.0
4/4/21,1203.0
4/5/21,1357.0
4/6/21,1403.0
4/7/21,1517.0
4/8/21,1379.0
4/9/21,1477.0
4/10/21,1379.0
4/11/21,1390.0
4/12/21,1635.0
4/13/21,1544.0
4/14/21,1402.0
4/15/21,1391.0
4/16/21,1406.0
4/17/21,1388.0
4/18/21,1127.0
4/19/21,1510.0
4/20/21,1371.0
4/21/21,1439.0
4/22/21,1459.0
4/23/21,1432.0
4/24/21,1206.0
4/25/21,1545.0
4/26/21,1286.0
4/27/21,1446.0
4/28/21,1464.0
4/29/21,1417.0
4/30/21,1429.0
5/1/21,1279.0
5/2/21,1316.0
5/3/21,1246.0
5/4/21,1253.0
5/5/21,1451.0
5/6/21,1236.0
5/7/21,1209.0
5/8/21,1095.0
5/9/21,992.0
5/10/21,978.0
5/11/21,1153.0
5/12/21,985.0
5/13/21,1059.0
5/14/21,763.0
5/15/21,795.0
5/16/21,828.0
5/17/21,861.0
5/18/21,1084.0
5/19/21,1119.0
5/20/21,1168.0
5/21/21,1345.0
5/22/21,1017.0
5/23/21,992.0
5/24/21,1240.0
5/25/21,1408.0
5/26/21,1176.0
5/27/21,1160.0
5/28/21,1384.0
5/29/21,1134.0
5/30/21,1095.0
5/31/21,1410.0
6/1/21,1279.0
6/2/21,1345.0
6/3/21,1443.0
6/4/21,1280.0
6/5/21,1331.0
6/6/21,1297.0
6/7/21,1479.0
6/8/21,1581.0
6/9/21,1391.0
6/10/21,1709.0
6/11/21,1657.0
6/12/21,1437.0
6/13/21,1512.0
6/14/21,1563.0
6/15/21,1487.0
6/16/21,1557.0
6/17/21,1646.0
6/18/21,1658.0
6/19/21,1497.0
6/20/21,1661.0
6/21/21,1935.0
6/22/21,1962.0
6/23/21,1870.0
