,Kyrgyzstan
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,0.0
3/16/20,0.0
3/17/20,0.0
3/18/20,3.0
3/19/20,0.0
3/20/20,3.0
3/21/20,8.0
3/22/20,0.0
3/23/20,2.0
3/24/20,26.0
3/25/20,2.0
3/26/20,0.0
3/27/20,14.0
3/28/20,0.0
3/29/20,26.0
3/30/20,10.0
3/31/20,13.0
4/1/20,4.0
4/2/20,5.0
4/3/20,14.0
4/4/20,14.0
4/5/20,3.0
4/6/20,69.0
4/7/20,12.0
4/8/20,42.0
4/9/20,10.0
4/10/20,18.0
4/11/20,41.0
4/12/20,38.0
4/13/20,42.0
4/14/20,11.0
4/15/20,19.0
4/16/20,17.0
4/17/20,23.0
4/18/20,17.0
4/19/20,48.0
4/20/20,14.0
4/21/20,22.0
4/22/20,22.0
4/23/20,19.0
4/24/20,34.0
4/25/20,0.0
4/26/20,17.0
4/27/20,13.0
4/28/20,13.0
4/29/20,21.0
4/30/20,17.0
5/1/20,10.0
5/2/20,13.0
5/3/20,26.0
5/4/20,35.0
5/5/20,13.0
5/6/20,28.0
5/7/20,24.0
5/8/20,11.0
5/9/20,25.0
5/10/20,71.0
5/11/20,14.0
5/12/20,21.0
5/13/20,7.0
5/14/20,38.0
5/15/20,29.0
5/16/20,6.0
5/17/20,21.0
5/18/20,78.0
5/19/20,27.0
5/20/20,27.0
5/21/20,43.0
5/22/20,37.0
5/23/20,15.0
5/24/20,38.0
5/25/20,30.0
5/26/20,35.0
5/27/20,52.0
5/28/20,74.0
5/29/20,68.0
5/30/20,60.0
5/31/20,26.0
6/1/20,69.0
6/2/20,28.0
6/3/20,26.0
6/4/20,28.0
6/5/20,37.0
6/6/20,38.0
6/7/20,33.0
6/8/20,25.0
6/9/20,23.0
6/10/20,38.0
6/11/20,73.0
6/12/20,0.0
6/13/20,41.0
6/14/20,78.0
6/15/20,187.0
6/16/20,90.0
6/17/20,95.0
6/18/20,0.0
6/19/20,132.0
6/20/20,192.0
6/21/20,375.0
6/22/20,0.0
6/23/20,370.0
6/24/20,228.0
6/25/20,250.0
6/26/20,242.0
6/27/20,67.0
6/28/20,504.0
6/29/20,279.0
6/30/20,210.0
7/1/20,755.0
7/2/20,506.0
7/3/20,111.0
7/4/20,216.0
7/5/20,283.0
7/6/20,764.0
7/7/20,138.0
7/8/20,568.0
7/9/20,511.0
7/10/20,552.0
7/11/20,500.0
7/12/20,707.0
7/13/20,327.0
7/14/20,0.0
7/15/20,838.0
7/16/20,216.0
7/17/20,603.0
7/18/20,11505.0
7/19/20,2537.0
7/20/20,0.0
7/21/20,1108.0
7/22/20,729.0
7/23/20,2267.0
7/24/20,0.0
7/25/20,877.0
7/26/20,689.0
7/27/20,483.0
7/28/20,548.0
7/29/20,748.0
7/30/20,631.0
7/31/20,582.0
8/1/20,494.0
8/2/20,420.0
8/3/20,410.0
8/4/20,412.0
8/5/20,569.0
8/6/20,549.0
8/7/20,503.0
8/8/20,409.0
8/9/20,348.0
8/10/20,166.0
8/11/20,370.0
8/12/20,304.0
8/13/20,310.0
8/14/20,304.0
8/15/20,272.0
8/16/20,211.0
8/17/20,135.0
8/18/20,155.0
8/19/20,179.0
8/20/20,182.0
8/21/20,196.0
8/22/20,186.0
8/23/20,134.0
8/24/20,103.0
8/25/20,119.0
8/26/20,113.0
8/27/20,101.0
8/28/20,128.0
8/29/20,125.0
8/30/20,108.0
8/31/20,78.0
9/1/20,60.0
9/2/20,78.0
9/3/20,99.0
9/4/20,64.0
9/5/20,94.0
9/6/20,110.0
9/7/20,55.0
9/8/20,29.0
9/9/20,126.0
9/10/20,71.0
9/11/20,77.0
9/12/20,67.0
9/13/20,53.0
9/14/20,47.0
9/15/20,71.0
9/16/20,73.0
9/17/20,81.0
9/18/20,91.0
9/19/20,91.0
9/20/20,0.0
9/21/20,136.0
9/22/20,71.0
9/23/20,88.0
9/24/20,127.0
9/25/20,175.0
9/26/20,158.0
9/27/20,161.0
9/28/20,104.0
9/29/20,167.0
9/30/20,147.0
10/1/20,172.0
10/2/20,215.0
10/3/20,128.0
10/4/20,244.0
10/5/20,207.0
10/6/20,164.0
10/7/20,298.0
10/8/20,245.0
10/9/20,275.0
10/10/20,307.0
10/11/20,306.0
10/12/20,298.0
10/13/20,343.0
10/14/20,330.0
10/15/20,388.0
10/16/20,431.0
10/17/20,470.0
10/18/20,554.0
10/19/20,482.0
10/20/20,384.0
10/21/20,549.0
10/22/20,547.0
10/23/20,582.0
10/24/20,556.0
10/25/20,606.0
10/26/20,420.0
10/27/20,568.0
10/28/20,538.0
10/29/20,522.0
10/30/20,596.0
10/31/20,484.0
11/1/20,0.0
11/2/20,1001.0
11/3/20,895.0
11/4/20,535.0
11/5/20,0.0
11/6/20,439.0
11/7/20,556.0
11/8/20,515.0
11/9/20,571.0
11/10/20,970.0
11/11/20,0.0
11/12/20,527.0
11/13/20,567.0
11/14/20,499.0
11/15/20,1030.0
11/16/20,0.0
11/17/20,486.0
11/18/20,425.0
11/19/20,422.0
11/20/20,386.0
11/21/20,447.0
11/22/20,432.0
11/23/20,304.0
11/24/20,481.0
11/25/20,805.0
11/26/20,377.0
11/27/20,0.0
11/28/20,423.0
11/29/20,836.0
11/30/20,371.0
12/1/20,0.0
12/2/20,335.0
12/3/20,420.0
12/4/20,440.0
12/5/20,401.0
12/6/20,621.0
12/7/20,0.0
12/8/20,295.0
12/9/20,322.0
12/10/20,379.0
12/11/20,668.0
12/12/20,0.0
12/13/20,297.0
12/14/20,318.0
12/15/20,477.0
12/16/20,0.0
12/17/20,264.0
12/18/20,264.0
12/19/20,232.0
12/20/20,343.0
12/21/20,0.0
12/22/20,175.0
12/23/20,230.0
12/24/20,186.0
12/25/20,180.0
12/26/20,157.0
12/27/20,191.0
12/28/20,162.0
12/29/20,119.0
12/30/20,189.0
12/31/20,191.0
1/1/21,122.0
1/2/21,58.0
1/3/21,174.0
1/4/21,0.0
1/5/21,124.0
1/6/21,144.0
1/7/21,170.0
1/8/21,165.0
1/9/21,147.0
1/10/21,135.0
1/11/21,107.0
1/12/21,207.0
1/13/21,0.0
1/14/21,136.0
1/15/21,263.0
1/16/21,123.0
1/17/21,69.0
1/18/21,0.0
1/19/21,252.0
1/20/21,0.0
1/21/21,155.0
1/22/21,211.0
1/23/21,0.0
1/24/21,104.0
1/25/21,168.0
1/26/21,107.0
1/27/21,128.0
1/28/21,0.0
1/29/21,74.0
1/30/21,152.0
1/31/21,59.0
2/1/21,0.0
2/2/21,58.0
2/3/21,186.0
2/4/21,88.0
2/5/21,0.0
2/6/21,72.0
2/7/21,79.0
2/8/21,42.0
2/9/21,58.0
2/10/21,82.0
2/11/21,75.0
2/12/21,70.0
2/13/21,43.0
2/14/21,34.0
2/15/21,41.0
2/16/21,48.0
2/17/21,125.0
2/18/21,0.0
2/19/21,142.0
2/20/21,0.0
2/21/21,98.0
2/22/21,0.0
2/23/21,72.0
2/24/21,24.0
2/25/21,66.0
2/26/21,51.0
2/27/21,43.0
2/28/21,66.0
3/1/21,57.0
3/2/21,48.0
3/3/21,54.0
3/4/21,0.0
3/5/21,41.0
3/6/21,55.0
3/7/21,44.0
3/8/21,33.0
3/9/21,57.0
3/10/21,0.0
3/11/21,115.0
3/12/21,63.0
3/13/21,0.0
3/14/21,32.0
3/15/21,67.0
3/16/21,128.0
3/17/21,98.0
3/18/21,0.0
3/19/21,96.0
3/20/21,150.0
3/21/21,0.0
3/22/21,73.0
3/23/21,190.0
3/24/21,106.0
3/25/21,0.0
3/26/21,100.0
3/27/21,88.0
3/28/21,146.0
3/29/21,71.0
3/30/21,113.0
3/31/21,262.0
4/1/21,0.0
4/2/21,162.0
4/3/21,142.0
4/4/21,172.0
4/5/21,139.0
4/6/21,124.0
4/7/21,161.0
4/8/21,222.0
4/9/21,151.0
4/10/21,208.0
4/11/21,208.0
4/12/21,145.0
4/13/21,227.0
4/14/21,240.0
4/15/21,305.0
4/16/21,230.0
4/17/21,265.0
4/18/21,244.0
4/19/21,212.0
4/20/21,225.0
4/21/21,306.0
4/22/21,380.0
4/23/21,272.0
4/24/21,325.0
4/25/21,228.0
4/26/21,199.0
4/27/21,247.0
4/28/21,322.0
4/29/21,345.0
4/30/21,331.0
5/1/21,477.0
5/2/21,308.0
5/3/21,277.0
5/4/21,224.0
5/5/21,397.0
5/6/21,320.0
5/7/21,385.0
5/8/21,416.0
5/9/21,321.0
5/10/21,254.0
5/11/21,379.0
5/12/21,283.0
5/13/21,329.0
5/14/21,200.0
5/15/21,404.0
5/16/21,224.0
5/17/21,259.0
5/18/21,234.0
5/19/21,253.0
5/20/21,361.0
5/21/21,298.0
5/22/21,308.0
5/23/21,325.0
5/24/21,191.0
5/25/21,298.0
5/26/21,207.0
5/27/21,376.0
5/28/21,283.0
5/29/21,356.0
5/30/21,333.0
5/31/21,174.0
6/1/21,382.0
6/2/21,358.0
6/3/21,371.0
6/4/21,383.0
6/5/21,413.0
6/6/21,337.0
6/7/21,362.0
6/8/21,379.0
6/9/21,459.0
6/10/21,494.0
6/11/21,526.0
6/12/21,619.0
6/13/21,558.0
6/14/21,459.0
6/15/21,514.0
6/16/21,647.0
6/17/21,787.0
6/18/21,653.0
6/19/21,870.0
6/20/21,730.0
6/21/21,585.0
6/22/21,931.0
6/23/21,738.0
6/24/21,822.0
6/25/21,875.0
6/26/21,892.0
6/27/21,992.0
6/28/21,1081.0
6/29/21,1092.0
6/30/21,1965.0
7/1/21,1392.0
7/2/21,1485.0
7/3/21,1352.0
