,Lithuania
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,1.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,2.0
3/12/20,0.0
3/13/20,1.0
3/14/20,2.0
3/15/20,3.0
3/16/20,3.0
3/17/20,7.0
3/18/20,8.0
3/19/20,9.0
3/20/20,11.0
3/21/20,22.0
3/22/20,42.0
3/23/20,17.0
3/24/20,38.0
3/25/20,42.0
3/26/20,55.0
3/27/20,29.0
3/28/20,47.0
3/29/20,39.0
3/30/20,46.0
3/31/20,44.0
4/1/20,44.0
4/2/20,67.0
4/3/20,52.0
4/4/20,52.0
4/5/20,33.0
4/6/20,34.0
4/7/20,33.0
4/8/20,38.0
4/9/20,37.0
4/10/20,38.0
4/11/20,30.0
4/12/20,26.0
4/13/20,18.0
4/14/20,7.0
4/15/20,18.0
4/16/20,27.0
4/17/20,28.0
4/18/20,41.0
4/19/20,62.0
4/20/20,20.0
4/21/20,53.0
4/22/20,24.0
4/23/20,22.0
4/24/20,19.0
4/25/20,10.0
4/26/20,15.0
4/27/20,12.0
4/28/20,9.0
4/29/20,27.0
4/30/20,11.0
5/1/20,14.0
5/2/20,5.0
5/3/20,5.0
5/4/20,8.0
5/5/20,3.0
5/6/20,6.0
5/7/20,5.0
5/8/20,9.0
5/9/20,29.0
5/10/20,12.0
5/11/20,8.0
5/12/20,9.0
5/13/20,14.0
5/14/20,9.0
5/15/20,10.0
5/16/20,15.0
5/17/20,9.0
5/18/20,6.0
5/19/20,8.0
5/20/20,21.0
5/21/20,12.0
5/22/20,6.0
5/23/20,14.0
5/24/20,6.0
5/25/20,10.0
5/26/20,4.0
5/27/20,8.0
5/28/20,9.0
5/29/20,5.0
5/30/20,8.0
5/31/20,5.0
6/1/20,4.0
6/2/20,5.0
6/3/20,3.0
6/4/20,5.0
6/5/20,5.0
6/6/20,11.0
6/7/20,9.0
6/8/20,7.0
6/9/20,6.0
6/10/20,6.0
6/11/20,19.0
6/12/20,4.0
6/13/20,7.0
6/14/20,5.0
6/15/20,5.0
6/16/20,3.0
6/17/20,2.0
6/18/20,6.0
6/19/20,8.0
6/20/20,3.0
6/21/20,3.0
6/22/20,3.0
6/23/20,2.0
6/24/20,1.0
6/25/20,2.0
6/26/20,2.0
6/27/20,5.0
6/28/20,2.0
6/29/20,1.0
6/30/20,1.0
7/1/20,1.0
7/2/20,7.0
7/3/20,3.0
7/4/20,3.0
7/5/20,5.0
7/6/20,5.0
7/7/20,3.0
7/8/20,10.0
7/9/20,3.0
7/10/20,4.0
7/11/20,4.0
7/12/20,4.0
7/13/20,5.0
7/14/20,1.0
7/15/20,21.0
7/16/20,6.0
7/17/20,6.0
7/18/20,7.0
7/19/20,18.0
7/20/20,14.0
7/21/20,2.0
7/22/20,2.0
7/23/20,10.0
7/24/20,26.0
7/25/20,14.0
7/26/20,7.0
7/27/20,11.0
7/28/20,8.0
7/29/20,15.0
7/30/20,19.0
7/31/20,13.0
8/1/20,18.0
8/2/20,17.0
8/3/20,10.0
8/4/20,17.0
8/5/20,10.0
8/6/20,24.0
8/7/20,24.0
8/8/20,36.0
8/9/20,22.0
8/10/20,12.0
8/11/20,18.0
8/12/20,26.0
8/13/20,21.0
8/14/20,22.0
8/15/20,33.0
8/16/20,30.0
8/17/20,21.0
8/18/20,37.0
8/19/20,22.0
8/20/20,32.0
8/21/20,37.0
8/22/20,30.0
8/23/20,41.0
8/24/20,38.0
8/25/20,21.0
8/26/20,32.0
8/27/20,36.0
8/28/20,48.0
8/29/20,29.0
8/30/20,35.0
8/31/20,32.0
9/1/20,23.0
9/2/20,29.0
9/3/20,20.0
9/4/20,26.0
9/5/20,36.0
9/6/20,43.0
9/7/20,17.0
9/8/20,32.0
9/9/20,32.0
9/10/20,36.0
9/11/20,44.0
9/12/20,53.0
9/13/20,39.0
9/14/20,51.0
9/15/20,11.0
9/16/20,45.0
9/17/20,62.0
9/18/20,61.0
9/19/20,99.0
9/20/20,80.0
9/21/20,70.0
9/22/20,45.0
9/23/20,73.0
9/24/20,138.0
9/25/20,114.0
9/26/20,111.0
9/27/20,91.0
9/28/20,104.0
9/29/20,88.0
9/30/20,115.0
10/1/20,91.0
10/2/20,171.0
10/3/20,125.0
10/4/20,105.0
10/5/20,99.0
10/6/20,80.0
10/7/20,115.0
10/8/20,142.0
10/9/20,133.0
10/10/20,204.0
10/11/20,160.0
10/12/20,126.0
10/13/20,118.0
10/14/20,137.0
10/15/20,255.0
10/16/20,281.0
10/17/20,228.0
10/18/20,253.0
10/19/20,207.0
10/20/20,203.0
10/21/20,313.0
10/22/20,427.0
10/23/20,445.0
10/24/20,480.0
10/25/20,597.0
10/26/20,765.0
10/27/20,423.0
10/28/20,771.0
10/29/20,948.0
10/30/20,725.0
10/31/20,1000.0
11/1/20,883.0
11/2/20,834.0
11/3/20,893.0
11/4/20,653.0
11/5/20,992.0
11/6/20,1650.0
11/7/20,1940.0
11/8/20,1976.0
11/9/20,1038.0
11/10/20,1108.0
11/11/20,1433.0
11/12/20,1554.0
11/13/20,2057.0
11/14/20,1525.0
11/15/20,1377.0
11/16/20,1148.0
11/17/20,966.0
11/18/20,1941.0
11/19/20,1669.0
11/20/20,2269.0
11/21/20,1978.0
11/22/20,2309.0
11/23/20,1189.0
11/24/20,1171.0
11/25/20,2288.0
11/26/20,2099.0
11/27/20,2330.0
11/28/20,2126.0
11/29/20,1965.0
11/30/20,1135.0
12/1/20,1200.0
12/2/20,2110.0
12/3/20,2460.0
12/4/20,2519.0
12/5/20,2863.0
12/6/20,2217.0
12/7/20,1391.0
12/8/20,1405.0
12/9/20,3139.0
12/10/20,3344.0
12/11/20,3107.0
12/12/20,3346.0
12/13/20,2843.0
12/14/20,1923.0
12/15/20,1516.0
12/16/20,3479.0
12/17/20,3225.0
12/18/20,3247.0
12/19/20,3344.0
12/20/20,2923.0
12/21/20,2135.0
12/22/20,2039.0
12/23/20,3804.0
12/24/20,3966.0
12/25/20,2691.0
12/26/20,2367.0
12/27/20,1687.0
12/28/20,1794.0
12/29/20,2108.0
12/30/20,3984.0
12/31/20,2468.0
1/1/21,3475.0
1/2/21,1507.0
1/3/21,1265.0
1/4/21,1377.0
1/5/21,1641.0
1/6/21,2787.0
1/7/21,2409.0
1/8/21,2058.0
1/9/21,1764.0
1/10/21,1503.0
1/11/21,774.0
1/12/21,1012.0
1/13/21,1764.0
1/14/21,1445.0
1/15/21,1224.0
1/16/21,1234.0
1/17/21,842.0
1/18/21,477.0
1/19/21,867.0
1/20/21,1232.0
1/21/21,1277.0
1/22/21,1033.0
1/23/21,1007.0
1/24/21,773.0
1/25/21,541.0
1/26/21,691.0
1/27/21,1283.0
1/28/21,943.0
1/29/21,859.0
1/30/21,721.0
1/31/21,803.0
2/1/21,355.0
2/2/21,546.0
2/3/21,764.0
2/4/21,740.0
2/5/21,653.0
2/6/21,677.0
2/7/21,492.0
2/8/21,269.0
2/9/21,382.0
2/10/21,570.0
2/11/21,1067.0
2/12/21,607.0
2/13/21,576.0
2/14/21,483.0
2/15/21,213.0
2/16/21,327.0
2/17/21,557.0
2/18/21,372.0
2/19/21,793.0
2/20/21,576.0
2/21/21,489.0
2/22/21,282.0
2/23/21,500.0
2/24/21,648.0
2/25/21,568.0
2/26/21,641.0
2/27/21,653.0
2/28/21,1802.0
3/1/21,253.0
3/2/21,427.0
3/3/21,526.0
3/4/21,547.0
3/5/21,437.0
3/6/21,464.0
3/7/21,415.0
3/8/21,216.0
3/9/21,470.0
3/10/21,486.0
3/11/21,606.0
3/12/21,364.0
3/13/21,598.0
3/14/21,431.0
3/15/21,259.0
3/16/21,646.0
3/17/21,599.0
3/18/21,580.0
3/19/21,579.0
3/20/21,602.0
3/21/21,361.0
3/22/21,329.0
3/23/21,862.0
3/24/21,809.0
3/25/21,793.0
3/26/21,872.0
3/27/21,771.0
3/28/21,494.0
3/29/21,424.0
3/30/21,851.0
3/31/21,903.0
4/1/21,886.0
4/2/21,860.0
4/3/21,1013.0
4/4/21,729.0
4/5/21,605.0
4/6/21,688.0
4/7/21,1120.0
4/8/21,1107.0
4/9/21,1182.0
4/10/21,999.0
4/11/21,865.0
4/12/21,610.0
4/13/21,1106.0
4/14/21,1371.0
4/15/21,1202.0
4/16/21,1139.0
4/17/21,1228.0
4/18/21,802.0
4/19/21,601.0
4/20/21,1151.0
4/21/21,1150.0
4/22/21,1417.0
4/23/21,1313.0
4/24/21,1259.0
4/25/21,775.0
4/26/21,575.0
4/27/21,1054.0
4/28/21,1629.0
4/29/21,1341.0
4/30/21,1373.0
5/1/21,1386.0
5/2/21,1025.0
5/3/21,657.0
5/4/21,1113.0
5/5/21,1249.0
5/6/21,1392.0
5/7/21,1293.0
5/8/21,1522.0
5/9/21,921.0
5/10/21,796.0
5/11/21,1239.0
5/12/21,1266.0
5/13/21,1207.0
5/14/21,1140.0
5/15/21,1249.0
5/16/21,812.0
5/17/21,527.0
5/18/21,732.0
5/19/21,974.0
5/20/21,915.0
5/21/21,679.0
5/22/21,1013.0
5/23/21,473.0
5/24/21,281.0
5/25/21,552.0
5/26/21,549.0
5/27/21,595.0
5/28/21,520.0
5/29/21,520.0
5/30/21,333.0
5/31/21,184.0
6/1/21,393.0
6/2/21,422.0
6/3/21,347.0
6/4/21,370.0
6/5/21,341.0
6/6/21,197.0
6/7/21,90.0
6/8/21,216.0
6/9/21,243.0
6/10/21,220.0
6/11/21,157.0
6/12/21,244.0
6/13/21,123.0
6/14/21,66.0
6/15/21,130.0
6/16/21,130.0
6/17/21,105.0
6/18/21,77.0
6/19/21,74.0
6/20/21,51.0
6/21/21,28.0
6/22/21,59.0
6/23/21,60.0
6/24/21,64.0
