,Luxembourg
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,1.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,0.0
3/8/20,1.0
3/9/20,0.0
3/10/20,2.0
3/11/20,2.0
3/12/20,12.0
3/13/20,15.0
3/14/20,17.0
3/15/20,8.0
3/16/20,18.0
3/17/20,63.0
3/18/20,63.0
3/19/20,132.0
3/20/20,149.0
3/21/20,186.0
3/22/20,128.0
3/23/20,77.0
3/24/20,224.0
3/25/20,234.0
3/26/20,120.0
3/27/20,152.0
3/28/20,226.0
3/29/20,119.0
3/30/20,38.0
3/31/20,190.0
4/1/20,141.0
4/2/20,168.0
4/3/20,125.0
4/4/20,117.0
4/5/20,75.0
4/6/20,39.0
4/7/20,127.0
4/8/20,64.0
4/9/20,81.0
4/10/20,108.0
4/11/20,47.0
4/12/20,11.0
4/13/20,11.0
4/14/20,15.0
4/15/20,66.0
4/16/20,71.0
4/17/20,36.0
4/18/20,57.0
4/19/20,13.0
4/20/20,8.0
4/21/20,60.0
4/22/20,36.0
4/23/20,11.0
4/24/20,30.0
4/25/20,16.0
4/26/20,12.0
4/27/20,6.0
4/28/20,12.0
4/29/20,28.0
4/30/20,15.0
5/1/20,18.0
5/2/20,10.0
5/3/20,12.0
5/4/20,4.0
5/5/20,12.0
5/6/20,11.0
5/7/20,8.0
5/8/20,12.0
5/9/20,6.0
5/10/20,9.0
5/11/20,2.0
5/12/20,6.0
5/13/20,10.0
5/14/20,11.0
5/15/20,8.0
5/16/20,7.0
5/17/20,15.0
5/18/20,2.0
5/19/20,11.0
5/20/20,13.0
5/21/20,9.0
5/22/20,1.0
5/23/20,9.0
5/24/20,2.0
5/25/20,1.0
5/26/20,2.0
5/27/20,6.0
5/28/20,7.0
5/29/20,4.0
5/30/20,4.0
5/31/20,2.0
6/1/20,1.0
6/2/20,1.0
6/3/20,4.0
6/4/20,3.0
6/5/20,5.0
6/6/20,3.0
6/7/20,4.0
6/8/20,1.0
6/9/20,6.0
6/10/20,3.0
6/11/20,3.0
6/12/20,3.0
6/13/20,8.0
6/14/20,7.0
6/15/20,2.0
6/16/20,3.0
6/17/20,10.0
6/18/20,6.0
6/19/20,8.0
6/20/20,6.0
6/21/20,15.0
6/22/20,1.0
6/23/20,12.0
6/24/20,7.0
6/25/20,11.0
6/26/20,22.0
6/27/20,44.0
6/28/20,25.0
6/29/20,14.0
6/30/20,43.0
7/1/20,46.0
7/2/20,50.0
7/3/20,52.0
7/4/20,29.0
7/5/20,46.0
7/6/20,20.0
7/7/20,61.0
7/8/20,47.0
7/9/20,69.0
7/10/20,58.0
7/11/20,65.0
7/12/20,83.0
7/13/20,31.0
7/14/20,100.0
7/15/20,66.0
7/16/20,163.0
7/17/20,124.0
7/18/20,74.0
7/19/20,122.0
7/20/20,34.0
7/21/20,86.0
7/22/20,129.0
7/23/20,98.0
7/24/20,104.0
7/25/20,133.0
7/26/20,83.0
7/27/20,49.0
7/28/20,54.0
7/29/20,158.0
7/30/20,83.0
7/31/20,79.0
8/1/20,98.0
8/2/20,62.0
8/3/20,9.0
8/4/20,53.0
8/5/20,90.0
8/6/20,66.0
8/7/20,40.0
8/8/20,56.0
8/9/20,36.0
8/10/20,11.0
8/11/20,26.0
8/12/20,58.0
8/13/20,68.0
8/14/20,37.0
8/15/20,34.0
8/16/20,19.0
8/17/20,11.0
8/18/20,30.0
8/19/20,67.0
8/20/20,71.0
8/21/20,67.0
8/22/20,58.0
8/23/20,13.0
8/24/20,19.0
8/25/20,44.0
8/26/20,90.0
8/27/20,0.0
8/28/20,-1348.0
8/29/20,45.0
8/30/20,0.0
8/31/20,0.0
9/1/20,0.0
9/2/20,120.0
9/3/20,66.0
9/4/20,43.0
9/5/20,42.0
9/6/20,54.0
9/7/20,10.0
9/8/20,14.0
9/9/20,49.0
9/10/20,65.0
9/11/20,0.0
9/12/20,71.0
9/13/20,0.0
9/14/20,85.0
9/15/20,40.0
9/16/20,110.0
9/17/20,147.0
9/18/20,177.0
9/19/20,0.0
9/20/20,0.0
9/21/20,198.0
9/22/20,100.0
9/23/20,74.0
9/24/20,68.0
9/25/20,75.0
9/26/20,0.0
9/27/20,0.0
9/28/20,143.0
9/29/20,55.0
9/30/20,78.0
10/1/20,86.0
10/2/20,114.0
10/3/20,0.0
10/4/20,0.0
10/5/20,216.0
10/6/20,54.0
10/7/20,140.0
10/8/20,100.0
10/9/20,141.0
10/10/20,154.0
10/11/20,208.0
10/12/20,9.0
10/13/20,109.0
10/14/20,190.0
10/15/20,214.0
10/16/20,227.0
10/17/20,0.0
10/18/20,417.0
10/19/20,122.0
10/20/20,231.0
10/21/20,430.0
10/22/20,662.0
10/23/20,518.0
10/24/20,0.0
10/25/20,0.0
10/26/20,1548.0
10/27/20,485.0
10/28/20,775.0
10/29/20,697.0
10/30/20,778.0
10/31/20,0.0
11/1/20,0.0
11/2/20,1967.0
11/3/20,533.0
11/4/20,710.0
11/5/20,803.0
11/6/20,659.0
11/7/20,0.0
11/8/20,0.0
11/9/20,1421.0
11/10/20,483.0
11/11/20,0.0
11/12/20,1508.0
11/13/20,713.0
11/14/20,0.0
11/15/20,0.0
11/16/20,1325.0
11/17/20,425.0
11/18/20,892.0
11/19/20,670.0
11/20/20,519.0
11/21/20,0.0
11/22/20,0.0
11/23/20,1349.0
11/24/20,373.0
11/25/20,616.0
11/26/20,773.0
11/27/20,536.0
11/28/20,0.0
11/29/20,0.0
11/30/20,1269.0
12/1/20,451.0
12/2/20,673.0
12/3/20,627.0
12/4/20,588.0
12/5/20,0.0
12/6/20,0.0
12/7/20,1459.0
12/8/20,0.0
12/9/20,0.0
12/10/20,1561.0
12/11/20,718.0
12/12/20,0.0
12/13/20,0.0
12/14/20,1145.0
12/15/20,350.0
12/16/20,595.0
12/17/20,434.0
12/18/20,449.0
12/19/20,0.0
12/20/20,0.0
12/21/20,854.0
12/22/20,227.0
12/23/20,400.0
12/24/20,0.0
12/25/20,0.0
12/26/20,0.0
12/27/20,0.0
12/28/20,640.0
12/29/20,239.0
12/30/20,327.0
12/31/20,0.0
1/1/21,0.0
1/2/21,0.0
1/3/21,0.0
1/4/21,571.0
1/5/21,163.0
1/6/21,281.0
1/7/21,162.0
1/8/21,152.0
1/9/21,0.0
1/10/21,0.0
1/11/21,283.0
1/12/21,154.0
1/13/21,191.0
1/14/21,114.0
1/15/21,144.0
1/16/21,0.0
1/17/21,0.0
1/18/21,260.0
1/19/21,85.0
1/20/21,229.0
1/21/21,115.0
1/22/21,119.0
1/23/21,0.0
1/24/21,0.0
1/25/21,295.0
1/26/21,119.0
1/27/21,237.0
1/28/21,139.0
1/29/21,160.0
1/30/21,0.0
1/31/21,0.0
2/1/21,345.0
2/2/21,190.0
2/3/21,205.0
2/4/21,202.0
2/5/21,182.0
2/6/21,0.0
2/7/21,0.0
2/8/21,367.0
2/9/21,143.0
2/10/21,225.0
2/11/21,145.0
2/12/21,147.0
2/13/21,0.0
2/14/21,0.0
2/15/21,384.0
2/16/21,139.0
2/17/21,267.0
2/18/21,233.0
2/19/21,220.0
2/20/21,0.0
2/21/21,0.0
2/22/21,390.0
2/23/21,182.0
2/24/21,324.0
2/25/21,193.0
2/26/21,239.0
2/27/21,0.0
2/28/21,0.0
3/1/21,370.0
3/2/21,152.0
3/3/21,270.0
3/4/21,208.0
3/5/21,186.0
3/6/21,0.0
3/7/21,0.0
3/8/21,381.0
3/9/21,145.0
3/10/21,234.0
3/11/21,265.0
3/12/21,182.0
3/13/21,0.0
3/14/21,0.0
3/15/21,423.0
3/16/21,185.0
3/17/21,297.0
3/18/21,266.0
3/19/21,281.0
3/20/21,0.0
3/21/21,0.0
3/22/21,542.0
3/23/21,165.0
3/24/21,245.0
3/25/21,298.0
3/26/21,260.0
3/27/21,0.0
3/28/21,0.0
3/29/21,608.0
3/30/21,182.0
3/31/21,387.0
4/1/21,239.0
4/2/21,224.0
4/3/21,0.0
4/4/21,0.0
4/5/21,0.0
4/6/21,520.0
4/7/21,168.0
4/8/21,387.0
4/9/21,287.0
4/10/21,0.0
4/11/21,0.0
4/12/21,413.0
4/13/21,182.0
4/14/21,272.0
4/15/21,215.0
4/16/21,197.0
4/17/21,0.0
4/18/21,0.0
4/19/21,398.0
4/20/21,175.0
4/21/21,285.0
4/22/21,209.0
4/23/21,194.0
4/24/21,0.0
4/25/21,0.0
4/26/21,367.0
4/27/21,220.0
4/28/21,232.0
4/29/21,219.0
4/30/21,160.0
5/1/21,0.0
5/2/21,0.0
5/3/21,290.0
5/4/21,147.0
5/5/21,208.0
5/6/21,170.0
5/7/21,133.0
5/8/21,0.0
5/9/21,0.0
5/10/21,278.0
5/11/21,121.0
5/12/21,196.0
5/13/21,0.0
5/14/21,174.0
5/15/21,0.0
5/16/21,0.0
5/17/21,268.0
5/18/21,49.0
5/19/21,159.0
5/20/21,67.0
5/21/21,80.0
5/22/21,0.0
5/23/21,0.0
5/24/21,0.0
5/25/21,34.0
5/26/21,90.0
5/27/21,80.0
5/28/21,81.0
5/29/21,0.0
5/30/21,0.0
5/31/21,102.0
6/1/21,51.0
6/2/21,44.0
6/3/21,61.0
6/4/21,94.0
6/5/21,0.0
6/6/21,0.0
6/7/21,74.0
6/8/21,35.0
6/9/21,52.0
6/10/21,40.0
6/11/21,23.0
6/12/21,0.0
6/13/21,0.0
6/14/21,39.0
6/15/21,21.0
6/16/21,19.0
6/17/21,18.0
6/18/21,13.0
6/19/21,0.0
6/20/21,0.0
6/21/21,19.0
6/22/21,12.0
6/23/21,0.0
6/24/21,39.0
6/25/21,14.0
6/26/21,0.0
6/27/21,0.0
6/28/21,42.0
6/29/21,53.0
6/30/21,92.0
7/1/21,108.0
7/2/21,136.0
7/3/21,0.0
7/4/21,0.0
