,Maldives
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,4.0
3/9/20,0.0
3/10/20,2.0
3/11/20,2.0
3/12/20,0.0
3/13/20,1.0
3/14/20,1.0
3/15/20,3.0
3/16/20,0.0
3/17/20,0.0
3/18/20,0.0
3/19/20,0.0
3/20/20,0.0
3/21/20,0.0
3/22/20,0.0
3/23/20,0.0
3/24/20,0.0
3/25/20,0.0
3/26/20,0.0
3/27/20,3.0
3/28/20,0.0
3/29/20,1.0
3/30/20,0.0
3/31/20,1.0
4/1/20,1.0
4/2/20,0.0
4/3/20,0.0
4/4/20,0.0
4/5/20,0.0
4/6/20,0.0
4/7/20,0.0
4/8/20,0.0
4/9/20,0.0
4/10/20,0.0
4/11/20,0.0
4/12/20,1.0
4/13/20,0.0
4/14/20,0.0
4/15/20,2.0
4/16/20,3.0
4/17/20,3.0
4/18/20,7.0
4/19/20,17.0
4/20/20,17.0
4/21/20,14.0
4/22/20,3.0
4/23/20,22.0
4/24/20,21.0
4/25/20,48.0
4/26/20,37.0
4/27/20,12.0
4/28/20,24.0
4/29/20,28.0
4/30/20,190.0
5/1/20,23.0
5/2/20,28.0
5/3/20,8.0
5/4/20,14.0
5/5/20,32.0
5/6/20,44.0
5/7/20,31.0
5/8/20,96.0
5/9/20,46.0
5/10/20,45.0
5/11/20,62.0
5/12/20,7.0
5/13/20,51.0
5/14/20,27.0
5/15/20,49.0
5/16/20,47.0
5/17/20,16.0
5/18/20,12.0
5/19/20,37.0
5/20/20,43.0
5/21/20,30.0
5/22/20,58.0
5/23/20,39.0
5/24/20,58.0
5/25/20,24.0
5/26/20,43.0
5/27/20,19.0
5/28/20,56.0
5/29/20,78.0
5/30/20,81.0
5/31/20,101.0
6/1/20,56.0
6/2/20,12.0
6/3/20,9.0
6/4/20,22.0
6/5/20,11.0
6/6/20,18.0
6/7/20,2.0
6/8/20,13.0
6/9/20,26.0
6/10/20,20.0
6/11/20,14.0
6/12/20,27.0
6/13/20,10.0
6/14/20,22.0
6/15/20,30.0
6/16/20,29.0
6/17/20,26.0
6/18/20,17.0
6/19/20,13.0
6/20/20,37.0
6/21/20,16.0
6/22/20,14.0
6/23/20,21.0
6/24/20,23.0
6/25/20,16.0
6/26/20,6.0
6/27/20,22.0
6/28/20,19.0
6/29/20,13.0
6/30/20,24.0
7/1/20,21.0
7/2/20,18.0
7/3/20,10.0
7/4/20,25.0
7/5/20,33.0
7/6/20,23.0
7/7/20,10.0
7/8/20,16.0
7/9/20,36.0
7/10/20,64.0
7/11/20,47.0
7/12/20,67.0
7/13/20,31.0
7/14/20,39.0
7/15/20,30.0
7/16/20,68.0
7/17/20,14.0
7/18/20,17.0
7/19/20,36.0
7/20/20,33.0
7/21/20,45.0
7/22/20,59.0
7/23/20,17.0
7/24/20,55.0
7/25/20,77.0
7/26/20,50.0
7/27/20,67.0
7/28/20,137.0
7/29/20,61.0
7/30/20,152.0
7/31/20,74.0
8/1/20,156.0
8/2/20,215.0
8/3/20,129.0
8/4/20,153.0
8/5/20,148.0
8/6/20,86.0
8/7/20,89.0
8/8/20,129.0
8/9/20,143.0
8/10/20,116.0
8/11/20,66.0
8/12/20,143.0
8/13/20,128.0
8/14/20,78.0
8/15/20,107.0
8/16/20,106.0
8/17/20,124.0
8/18/20,170.0
8/19/20,146.0
8/20/20,145.0
8/21/20,194.0
8/22/20,96.0
8/23/20,119.0
8/24/20,133.0
8/25/20,135.0
8/26/20,178.0
8/27/20,104.0
8/28/20,140.0
8/29/20,109.0
8/30/20,89.0
8/31/20,137.0
9/1/20,199.0
9/2/20,137.0
9/3/20,141.0
9/4/20,80.0
9/5/20,125.0
9/6/20,98.0
9/7/20,83.0
9/8/20,74.0
9/9/20,93.0
9/10/20,66.0
9/11/20,90.0
9/12/20,62.0
9/13/20,121.0
9/14/20,70.0
9/15/20,85.0
9/16/20,99.0
9/17/20,67.0
9/18/20,74.0
9/19/20,81.0
9/20/20,75.0
9/21/20,46.0
9/22/20,48.0
9/23/20,67.0
9/24/20,54.0
9/25/20,75.0
9/26/20,31.0
9/27/20,53.0
9/28/20,59.0
9/29/20,37.0
9/30/20,97.0
10/1/20,63.0
10/2/20,44.0
10/3/20,67.0
10/4/20,65.0
10/5/20,37.0
10/6/20,54.0
10/7/20,35.0
10/8/20,86.0
10/9/20,66.0
10/10/20,51.0
10/11/20,35.0
10/12/20,49.0
10/13/20,50.0
10/14/20,69.0
10/15/20,51.0
10/16/20,41.0
10/17/20,24.0
10/18/20,32.0
10/19/20,22.0
10/20/20,39.0
10/21/20,45.0
10/22/20,42.0
10/23/20,33.0
10/24/20,30.0
10/25/20,84.0
10/26/20,27.0
10/27/20,35.0
10/28/20,24.0
10/29/20,25.0
10/30/20,27.0
10/31/20,16.0
11/1/20,42.0
11/2/20,36.0
11/3/20,59.0
11/4/20,26.0
11/5/20,71.0
11/6/20,39.0
11/7/20,30.0
11/8/20,24.0
11/9/20,23.0
11/10/20,21.0
11/11/20,29.0
11/12/20,26.0
11/13/20,27.0
11/14/20,42.0
11/15/20,50.0
11/16/20,110.0
11/17/20,41.0
11/18/20,29.0
11/19/20,68.0
11/20/20,94.0
11/21/20,32.0
11/22/20,30.0
11/23/20,150.0
11/24/20,52.0
11/25/20,44.0
11/26/20,35.0
11/27/20,44.0
11/28/20,14.0
11/29/20,47.0
11/30/20,17.0
12/1/20,38.0
12/2/20,21.0
12/3/20,36.0
12/4/20,37.0
12/5/20,16.0
12/6/20,39.0
12/7/20,15.0
12/8/20,35.0
12/9/20,26.0
12/10/20,34.0
12/11/20,18.0
12/12/20,22.0
12/13/20,20.0
12/14/20,11.0
12/15/20,13.0
12/16/20,10.0
12/17/20,16.0
12/18/20,26.0
12/19/20,30.0
12/20/20,19.0
12/21/20,8.0
12/22/20,23.0
12/23/20,13.0
12/24/20,21.0
12/25/20,25.0
12/26/20,35.0
12/27/20,26.0
12/28/20,16.0
12/29/20,31.0
12/30/20,47.0
12/31/20,19.0
1/1/21,47.0
1/2/21,30.0
1/3/21,33.0
1/4/21,26.0
1/5/21,37.0
1/6/21,37.0
1/7/21,21.0
1/8/21,52.0
1/9/21,25.0
1/10/21,44.0
1/11/21,50.0
1/12/21,59.0
1/13/21,59.0
1/14/21,48.0
1/15/21,50.0
1/16/21,51.0
1/17/21,87.0
1/18/21,69.0
1/19/21,51.0
1/20/21,79.0
1/21/21,53.0
1/22/21,65.0
1/23/21,55.0
1/24/21,108.0
1/25/21,109.0
1/26/21,145.0
1/27/21,143.0
1/28/21,106.0
1/29/21,118.0
1/30/21,122.0
1/31/21,105.0
2/1/21,215.0
2/2/21,99.0
2/3/21,121.0
2/4/21,134.0
2/5/21,137.0
2/6/21,109.0
2/7/21,127.0
2/8/21,126.0
2/9/21,192.0
2/10/21,100.0
2/11/21,186.0
2/12/21,120.0
2/13/21,209.0
2/14/21,112.0
2/15/21,125.0
2/16/21,129.0
2/17/21,142.0
2/18/21,116.0
2/19/21,127.0
2/20/21,145.0
2/21/21,157.0
2/22/21,161.0
2/23/21,108.0
2/24/21,124.0
2/25/21,184.0
2/26/21,133.0
2/27/21,118.0
2/28/21,196.0
3/1/21,186.0
3/2/21,165.0
3/3/21,136.0
3/4/21,167.0
3/5/21,118.0
3/6/21,98.0
3/7/21,131.0
3/8/21,125.0
3/9/21,115.0
3/10/21,110.0
3/11/21,124.0
3/12/21,114.0
3/13/21,94.0
3/14/21,96.0
3/15/21,94.0
3/16/21,153.0
3/17/21,142.0
3/18/21,186.0
3/19/21,145.0
3/20/21,81.0
3/21/21,140.0
3/22/21,149.0
3/23/21,128.0
3/24/21,139.0
3/25/21,162.0
3/26/21,146.0
3/27/21,166.0
3/28/21,121.0
3/29/21,147.0
3/30/21,167.0
3/31/21,241.0
4/1/21,300.0
4/2/21,169.0
4/3/21,103.0
4/4/21,132.0
4/5/21,125.0
4/6/21,145.0
4/7/21,138.0
4/8/21,113.0
4/9/21,132.0
4/10/21,88.0
4/11/21,93.0
4/12/21,84.0
4/13/21,58.0
4/14/21,85.0
4/15/21,95.0
4/16/21,82.0
4/17/21,124.0
4/18/21,203.0
4/19/21,157.0
4/20/21,162.0
4/21/21,253.0
4/22/21,164.0
4/23/21,319.0
4/24/21,218.0
4/25/21,253.0
4/26/21,328.0
4/27/21,386.0
4/28/21,464.0
4/29/21,318.0
4/30/21,465.0
5/1/21,402.0
5/2/21,508.0
5/3/21,585.0
5/4/21,601.0
5/5/21,734.0
5/6/21,703.0
5/7/21,766.0
5/8/21,590.0
5/9/21,1091.0
5/10/21,1204.0
5/11/21,1501.0
5/12/21,1572.0
5/13/21,1216.0
5/14/21,1467.0
5/15/21,1007.0
5/16/21,741.0
5/17/21,1433.0
5/18/21,1465.0
5/19/21,1187.0
5/20/21,2194.0
5/21/21,1603.0
5/22/21,1960.0
5/23/21,1559.0
5/24/21,1417.0
5/25/21,1004.0
5/26/21,1299.0
5/27/21,1299.0
5/28/21,901.0
5/29/21,1062.0
5/30/21,780.0
5/31/21,710.0
6/1/21,768.0
6/2/21,704.0
6/3/21,648.0
6/4/21,432.0
6/5/21,590.0
6/6/21,412.0
6/7/21,552.0
6/8/21,370.0
6/9/21,341.0
6/10/21,323.0
6/11/21,295.0
6/12/21,246.0
6/13/21,224.0
6/14/21,372.0
6/15/21,224.0
6/16/21,241.0
6/17/21,218.0
6/18/21,142.0
6/19/21,211.0
6/20/21,187.0
6/21/21,253.0
6/22/21,145.0
6/23/21,172.0
6/24/21,212.0
6/25/21,266.0
6/26/21,150.0
6/27/21,233.0
6/28/21,155.0
6/29/21,178.0
6/30/21,138.0
7/1/21,133.0
7/2/21,143.0
7/3/21,150.0
