,Moldova
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,1.0
3/9/20,0.0
3/10/20,2.0
3/11/20,0.0
3/12/20,0.0
3/13/20,3.0
3/14/20,6.0
3/15/20,11.0
3/16/20,0.0
3/17/20,7.0
3/18/20,0.0
3/19/20,19.0
3/20/20,17.0
3/21/20,14.0
3/22/20,14.0
3/23/20,15.0
3/24/20,16.0
3/25/20,24.0
3/26/20,28.0
3/27/20,22.0
3/28/20,32.0
3/29/20,32.0
3/30/20,35.0
3/31/20,55.0
4/1/20,70.0
4/2/20,82.0
4/3/20,86.0
4/4/20,161.0
4/5/20,112.0
4/6/20,101.0
4/7/20,91.0
4/8/20,118.0
4/9/20,115.0
4/10/20,149.0
4/11/20,122.0
4/12/20,102.0
4/13/20,50.0
4/14/20,222.0
4/15/20,115.0
4/16/20,105.0
4/17/20,110.0
4/18/20,114.0
4/19/20,94.0
4/20/20,76.0
4/21/20,66.0
4/22/20,164.0
4/23/20,148.0
4/24/20,184.0
4/25/20,194.0
4/26/20,104.0
4/27/20,73.0
4/28/20,157.0
4/29/20,133.0
4/30/20,126.0
5/1/20,83.0
5/2/20,72.0
5/3/20,69.0
5/4/20,127.0
5/5/20,115.0
5/6/20,113.0
5/7/20,129.0
5/8/20,123.0
5/9/20,139.0
5/10/20,60.0
5/11/20,68.0
5/12/20,159.0
5/13/20,252.0
5/14/20,147.0
5/15/20,192.0
5/16/20,189.0
5/17/20,126.0
5/18/20,78.0
5/19/20,202.0
5/20/20,213.0
5/21/20,151.0
5/22/20,143.0
5/23/20,147.0
5/24/20,99.0
5/25/20,54.0
5/26/20,158.0
5/27/20,232.0
5/28/20,188.0
5/29/20,171.0
5/30/20,202.0
5/31/20,153.0
6/1/20,109.0
6/2/20,188.0
6/3/20,247.0
6/4/20,223.0
6/5/20,229.0
6/6/20,264.0
6/7/20,189.0
6/8/20,107.0
6/9/20,218.0
6/10/20,296.0
6/11/20,406.0
6/12/20,366.0
6/13/20,366.0
6/14/20,281.0
6/15/20,139.0
6/16/20,375.0
6/17/20,478.0
6/18/20,374.0
6/19/20,450.0
6/20/20,397.0
6/21/20,247.0
6/22/20,163.0
6/23/20,351.0
6/24/20,364.0
6/25/20,375.0
6/26/20,323.0
6/27/20,304.0
6/28/20,170.0
6/29/20,107.0
6/30/20,256.0
7/1/20,285.0
7/2/20,252.0
7/3/20,295.0
7/4/20,227.0
7/5/20,142.0
7/6/20,92.0
7/7/20,235.0
7/8/20,330.0
7/9/20,195.0
7/10/20,258.0
7/11/20,284.0
7/12/20,174.0
7/13/20,57.0
7/14/20,269.0
7/15/20,332.0
7/16/20,224.0
7/17/20,230.0
7/18/20,300.0
7/19/20,186.0
7/20/20,135.0
7/21/20,327.0
7/22/20,356.0
7/23/20,307.0
7/24/20,378.0
7/25/20,345.0
7/26/20,206.0
7/27/20,120.0
7/28/20,367.0
7/29/20,426.0
7/30/20,396.0
7/31/20,390.0
8/1/20,380.0
8/2/20,249.0
8/3/20,120.0
8/4/20,332.0
8/5/20,408.0
8/6/20,406.0
8/7/20,362.0
8/8/20,453.0
8/9/20,217.0
8/10/20,181.0
8/11/20,382.0
8/12/20,474.0
8/13/20,390.0
8/14/20,396.0
8/15/20,422.0
8/16/20,278.0
8/17/20,194.0
8/18/20,412.0
8/19/20,626.0
8/20/20,522.0
8/21/20,547.0
8/22/20,588.0
8/23/20,406.0
8/24/20,350.0
8/25/20,530.0
8/26/20,624.0
8/27/20,564.0
8/28/20,358.0
8/29/20,500.0
8/30/20,296.0
8/31/20,220.0
9/1/20,288.0
9/2/20,532.0
9/3/20,632.0
9/4/20,534.0
9/5/20,567.0
9/6/20,324.0
9/7/20,258.0
9/8/20,501.0
9/9/20,588.0
9/10/20,560.0
9/11/20,479.0
9/12/20,531.0
9/13/20,264.0
9/14/20,229.0
9/15/20,527.0
9/16/20,627.0
9/17/20,622.0
9/18/20,665.0
9/19/20,688.0
9/20/20,260.0
9/21/20,200.0
9/22/20,650.0
9/23/20,786.0
9/24/20,721.0
9/25/20,713.0
9/26/20,868.0
9/27/20,341.0
9/28/20,319.0
9/29/20,835.0
9/30/20,1013.0
10/1/20,1022.0
10/2/20,952.0
10/3/20,872.0
10/4/20,691.0
10/5/20,322.0
10/6/20,831.0
10/7/20,1062.0
10/8/20,1121.0
10/9/20,918.0
10/10/20,929.0
10/11/20,389.0
10/12/20,467.0
10/13/20,657.0
10/14/20,1149.0
10/15/20,652.0
10/16/20,784.0
10/17/20,792.0
10/18/20,398.0
10/19/20,252.0
10/20/20,656.0
10/21/20,833.0
10/22/20,777.0
10/23/20,688.0
10/24/20,833.0
10/25/20,414.0
10/26/20,308.0
10/27/20,649.0
10/28/20,861.0
10/29/20,912.0
10/30/20,968.0
10/31/20,839.0
11/1/20,542.0
11/2/20,195.0
11/3/20,710.0
11/4/20,1020.0
11/5/20,1059.0
11/6/20,935.0
11/7/20,1174.0
11/8/20,671.0
11/9/20,331.0
11/10/20,915.0
11/11/20,1115.0
11/12/20,1331.0
11/13/20,1323.0
11/14/20,1411.0
11/15/20,507.0
11/16/20,564.0
11/17/20,1069.0
11/18/20,1607.0
11/19/20,1442.0
11/20/20,1422.0
11/21/20,1306.0
11/22/20,1252.0
11/23/20,477.0
11/24/20,1215.0
11/25/20,1570.0
11/26/20,1691.0
11/27/20,1246.0
11/28/20,1712.0
11/29/20,1165.0
11/30/20,347.0
12/1/20,1499.0
12/2/20,1717.0
12/3/20,1727.0
12/4/20,1522.0
12/5/20,1728.0
12/6/20,808.0
12/7/20,1130.0
12/8/20,1709.0
12/9/20,1766.0
12/10/20,1715.0
12/11/20,1579.0
12/12/20,1459.0
12/13/20,795.0
12/14/20,735.0
12/15/20,1403.0
12/16/20,1673.0
12/17/20,1590.0
12/18/20,1441.0
12/19/20,1218.0
12/20/20,629.0
12/21/20,703.0
12/22/20,1021.0
12/23/20,1282.0
12/24/20,1222.0
12/25/20,815.0
12/26/20,746.0
12/27/20,359.0
12/28/20,569.0
12/29/20,927.0
12/30/20,990.0
12/31/20,977.0
1/1/21,440.0
1/2/21,436.0
1/3/21,179.0
1/4/21,436.0
1/5/21,612.0
1/6/21,950.0
1/7/21,423.0
1/8/21,375.0
1/9/21,424.0
1/10/21,298.0
1/11/21,271.0
1/12/21,476.0
1/13/21,808.0
1/14/21,741.0
1/15/21,576.0
1/16/21,377.0
1/17/21,214.0
1/18/21,258.0
1/19/21,394.0
1/20/21,612.0
1/21/21,670.0
1/22/21,514.0
1/23/21,635.0
1/24/21,265.0
1/25/21,224.0
1/26/21,546.0
1/27/21,654.0
1/28/21,683.0
1/29/21,551.0
1/30/21,653.0
1/31/21,291.0
2/1/21,282.0
2/2/21,639.0
2/3/21,917.0
2/4/21,982.0
2/5/21,776.0
2/6/21,843.0
2/7/21,326.0
2/8/21,289.0
2/9/21,805.0
2/10/21,890.0
2/11/21,993.0
2/12/21,1280.0
2/13/21,979.0
2/14/21,381.0
2/15/21,363.0
2/16/21,965.0
2/17/21,1301.0
2/18/21,1340.0
2/19/21,1028.0
2/20/21,1062.0
2/21/21,507.0
2/22/21,655.0
2/23/21,1133.0
2/24/21,1610.0
2/25/21,1736.0
2/26/21,1452.0
2/27/21,1518.0
2/28/21,597.0
3/1/21,994.0
3/2/21,1400.0
3/3/21,1550.0
3/4/21,1800.0
3/5/21,1788.0
3/6/21,1620.0
3/7/21,647.0
3/8/21,350.0
3/9/21,873.0
3/10/21,1753.0
3/11/21,1896.0
3/12/21,1785.0
3/13/21,1801.0
3/14/21,753.0
3/15/21,861.0
3/16/21,1688.0
3/17/21,1916.0
3/18/21,1797.0
3/19/21,1843.0
3/20/21,1635.0
3/21/21,831.0
3/22/21,1060.0
3/23/21,1621.0
3/24/21,2273.0
3/25/21,2132.0
3/26/21,1866.0
3/27/21,1674.0
3/28/21,861.0
3/29/21,932.0
3/30/21,917.0
3/31/21,1871.0
4/1/21,1515.0
4/2/21,1380.0
4/3/21,1258.0
4/4/21,693.0
4/5/21,703.0
4/6/21,773.0
4/7/21,1155.0
4/8/21,1428.0
4/9/21,910.0
4/10/21,830.0
4/11/21,331.0
4/12/21,603.0
4/13/21,544.0
4/14/21,1001.0
4/15/21,812.0
4/16/21,689.0
4/17/21,628.0
4/18/21,403.0
4/19/21,341.0
4/20/21,453.0
4/21/21,700.0
4/22/21,618.0
4/23/21,509.0
4/24/21,380.0
4/25/21,241.0
4/26/21,246.0
4/27/21,329.0
4/28/21,424.0
4/29/21,370.0
4/30/21,329.0
5/1/21,323.0
5/2/21,175.0
5/3/21,43.0
5/4/21,126.0
5/5/21,316.0
5/6/21,333.0
5/7/21,260.0
5/8/21,191.0
5/9/21,145.0
5/10/21,49.0
5/11/21,151.0
5/12/21,224.0
5/13/21,213.0
5/14/21,181.0
5/15/21,169.0
5/16/21,109.0
5/17/21,109.0
5/18/21,121.0
5/19/21,138.0
5/20/21,166.0
5/21/21,120.0
5/22/21,102.0
5/23/21,75.0
5/24/21,65.0
5/25/21,73.0
5/26/21,94.0
5/27/21,77.0
5/28/21,75.0
5/29/21,45.0
5/30/21,40.0
5/31/21,41.0
6/1/21,55.0
6/2/21,44.0
6/3/21,69.0
6/4/21,48.0
6/5/21,30.0
6/6/21,21.0
6/7/21,48.0
6/8/21,40.0
6/9/21,60.0
6/10/21,60.0
6/11/21,54.0
6/12/21,43.0
6/13/21,39.0
6/14/21,33.0
6/15/21,48.0
6/16/21,59.0
6/17/21,57.0
6/18/21,60.0
6/19/21,49.0
6/20/21,37.0
6/21/21,47.0
6/22/21,45.0
6/23/21,92.0
6/24/21,63.0
6/25/21,88.0
6/26/21,52.0
6/27/21,32.0
