,Morocco
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,1.0
3/3/20,0.0
3/4/20,0.0
3/5/20,1.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,1.0
3/11/20,2.0
3/12/20,1.0
3/13/20,1.0
3/14/20,10.0
3/15/20,11.0
3/16/20,1.0
3/17/20,9.0
3/18/20,11.0
3/19/20,14.0
3/20/20,14.0
3/21/20,19.0
3/22/20,19.0
3/23/20,28.0
3/24/20,27.0
3/25/20,55.0
3/26/20,50.0
3/27/20,70.0
3/28/20,57.0
3/29/20,77.0
3/30/20,77.0
3/31/20,61.0
4/1/20,37.0
4/2/20,54.0
4/3/20,83.0
4/4/20,128.0
4/5/20,102.0
4/6/20,99.0
4/7/20,64.0
4/8/20,91.0
4/9/20,99.0
4/10/20,74.0
4/11/20,97.0
4/12/20,116.0
4/13/20,102.0
4/14/20,125.0
4/15/20,136.0
4/16/20,259.0
4/17/20,281.0
4/18/20,121.0
4/19/20,170.0
4/20/20,191.0
4/21/20,163.0
4/22/20,237.0
4/23/20,122.0
4/24/20,190.0
4/25/20,139.0
4/26/20,168.0
4/27/20,55.0
4/28/20,132.0
4/29/20,69.0
4/30/20,102.0
5/1/20,146.0
5/2/20,160.0
5/3/20,174.0
5/4/20,150.0
5/5/20,166.0
5/6/20,189.0
5/7/20,140.0
5/8/20,163.0
5/9/20,199.0
5/10/20,153.0
5/11/20,218.0
5/12/20,137.0
5/13/20,94.0
5/14/20,95.0
5/15/20,45.0
5/16/20,89.0
5/17/20,129.0
5/18/20,82.0
5/19/20,71.0
5/20/20,110.0
5/21/20,78.0
5/22/20,121.0
5/23/20,74.0
5/24/20,27.0
5/25/20,99.0
5/26/20,45.0
5/27/20,24.0
5/28/20,42.0
5/29/20,71.0
5/30/20,66.0
5/31/20,27.0
6/1/20,26.0
6/2/20,33.0
6/3/20,56.0
6/4/20,81.0
6/5/20,68.0
6/6/20,80.0
6/7/20,73.0
6/8/20,78.0
6/9/20,135.0
6/10/20,71.0
6/11/20,29.0
6/12/20,73.0
6/13/20,82.0
6/14/20,101.0
6/15/20,92.0
6/16/20,46.0
6/17/20,66.0
6/18/20,77.0
6/19/20,539.0
6/20/20,226.0
6/21/20,138.0
6/22/20,195.0
6/23/20,172.0
6/24/20,563.0
6/25/20,431.0
6/26/20,295.0
6/27/20,244.0
6/28/20,175.0
6/29/20,238.0
6/30/20,243.0
7/1/20,103.0
7/2/20,333.0
7/3/20,319.0
7/4/20,534.0
7/5/20,393.0
7/6/20,164.0
7/7/20,228.0
7/8/20,164.0
7/9/20,308.0
7/10/20,249.0
7/11/20,214.0
7/12/20,203.0
7/13/20,191.0
7/14/20,161.0
7/15/20,165.0
7/16/20,283.0
7/17/20,181.0
7/18/20,289.0
7/19/20,221.0
7/20/20,326.0
7/21/20,180.0
7/22/20,220.0
7/23/20,302.0
7/24/20,570.0
7/25/20,811.0
7/26/20,633.0
7/27/20,609.0
7/28/20,500.0
7/29/20,826.0
7/30/20,1046.0
7/31/20,1063.0
8/1/20,693.0
8/2/20,522.0
8/3/20,659.0
8/4/20,1021.0
8/5/20,1283.0
8/6/20,1144.0
8/7/20,1018.0
8/8/20,1345.0
8/9/20,1230.0
8/10/20,826.0
8/11/20,1132.0
8/12/20,1499.0
8/13/20,1241.0
8/14/20,1306.0
8/15/20,1776.0
8/16/20,1472.0
8/17/20,1069.0
8/18/20,1245.0
8/19/20,1510.0
8/20/20,1325.0
8/21/20,1609.0
8/22/20,1565.0
8/23/20,1537.0
8/24/20,903.0
8/25/20,1276.0
8/26/20,1336.0
8/27/20,1221.0
8/28/20,1404.0
8/29/20,1567.0
8/30/20,1343.0
8/31/20,1191.0
9/1/20,1191.0
9/2/20,1672.0
9/3/20,1402.0
9/4/20,1750.0
9/5/20,1555.0
9/6/20,2234.0
9/7/20,1386.0
9/8/20,1941.0
9/9/20,2157.0
9/10/20,1889.0
9/11/20,2430.0
9/12/20,2238.0
9/13/20,2251.0
9/14/20,1517.0
9/15/20,2121.0
9/16/20,1692.0
9/17/20,2488.0
9/18/20,2760.0
9/19/20,2552.0
9/20/20,1927.0
9/21/20,1376.0
9/22/20,2227.0
9/23/20,2397.0
9/24/20,2356.0
9/25/20,2423.0
9/26/20,2719.0
9/27/20,2444.0
9/28/20,1422.0
9/29/20,2076.0
9/30/20,2470.0
10/1/20,2391.0
10/2/20,2521.0
10/3/20,2663.0
10/4/20,2044.0
10/5/20,1423.0
10/6/20,2553.0
10/7/20,2776.0
10/8/20,2929.0
10/9/20,3445.0
10/10/20,3443.0
10/11/20,2563.0
10/12/20,1357.0
10/13/20,3185.0
10/14/20,3387.0
10/15/20,3317.0
10/16/20,3498.0
10/17/20,3763.0
10/18/20,2721.0
10/19/20,2117.0
10/20/20,3254.0
10/21/20,3577.0
10/22/20,4151.0
10/23/20,3685.0
10/24/20,4045.0
10/25/20,3020.0
10/26/20,2264.0
10/27/20,3988.0
10/28/20,3985.0
10/29/20,4320.0
10/30/20,3256.0
10/31/20,3790.0
11/1/20,3460.0
11/2/20,2526.0
11/3/20,4495.0
11/4/20,5745.0
11/5/20,5641.0
11/6/20,5398.0
11/7/20,5836.0
11/8/20,4596.0
11/9/20,3170.0
11/10/20,5214.0
11/11/20,5461.0
11/12/20,6195.0
11/13/20,5515.0
11/14/20,5875.0
11/15/20,4966.0
11/16/20,3012.0
11/17/20,5415.0
11/18/20,5391.0
11/19/20,4559.0
11/20/20,4706.0
11/21/20,4702.0
11/22/20,3979.0
11/23/20,2587.0
11/24/20,3999.0
11/25/20,4979.0
11/26/20,4178.0
11/27/20,4592.0
11/28/20,4412.0
11/29/20,4115.0
11/30/20,2533.0
12/1/20,3508.0
12/2/20,4346.0
12/3/20,4434.0
12/4/20,3996.0
12/5/20,4118.0
12/6/20,2919.0
12/7/20,1531.0
12/8/20,2900.0
12/9/20,4096.0
12/10/20,3345.0
12/11/20,3035.0
12/12/20,3033.0
12/13/20,2012.0
12/14/20,1217.0
12/15/20,2793.0
12/16/20,3351.0
12/17/20,2776.0
12/18/20,2647.0
12/19/20,2833.0
12/20/20,1899.0
12/21/20,877.0
12/22/20,2646.0
12/23/20,2566.0
12/24/20,2650.0
12/25/20,2329.0
12/26/20,2369.0
12/27/20,1517.0
12/28/20,950.0
12/29/20,2160.0
12/30/20,2143.0
12/31/20,1861.0
1/1/21,1777.0
1/2/21,1171.0
1/3/21,1005.0
1/4/21,656.0
1/5/21,1637.0
1/6/21,1642.0
1/7/21,1597.0
1/8/21,1543.0
1/9/21,1416.0
1/10/21,895.0
1/11/21,456.0
1/12/21,801.0
1/13/21,1266.0
1/14/21,1279.0
1/15/21,1291.0
1/16/21,1240.0
1/17/21,806.0
1/18/21,473.0
1/19/21,1246.0
1/20/21,1152.0
1/21/21,1164.0
1/22/21,1138.0
1/23/21,925.0
1/24/21,520.0
1/25/21,337.0
1/26/21,867.0
1/27/21,890.0
1/28/21,756.0
1/29/21,851.0
1/30/21,701.0
1/31/21,466.0
2/1/21,281.0
2/2/21,835.0
2/3/21,774.0
2/4/21,620.0
2/5/21,712.0
2/6/21,587.0
2/7/21,389.0
2/8/21,234.0
2/9/21,536.0
2/10/21,564.0
2/11/21,471.0
2/12/21,496.0
2/13/21,479.0
2/14/21,339.0
2/15/21,121.0
2/16/21,476.0
2/17/21,508.0
2/18/21,477.0
2/19/21,448.0
2/20/21,444.0
2/21/21,207.0
2/22/21,108.0
2/23/21,446.0
2/24/21,419.0
2/25/21,386.0
2/26/21,480.0
2/27/21,416.0
2/28/21,244.0
3/1/21,112.0
3/2/21,393.0
3/3/21,594.0
3/4/21,394.0
3/5/21,420.0
3/6/21,407.0
3/7/21,249.0
3/8/21,102.0
3/9/21,508.0
3/10/21,453.0
3/11/21,464.0
3/12/21,431.0
3/13/21,451.0
3/14/21,305.0
3/15/21,159.0
3/16/21,526.0
3/17/21,466.0
3/18/21,487.0
3/19/21,444.0
3/20/21,444.0
3/21/21,246.0
3/22/21,125.0
3/23/21,569.0
3/24/21,439.0
3/25/21,511.0
3/26/21,514.0
3/27/21,491.0
3/28/21,301.0
3/29/21,97.0
3/30/21,665.0
3/31/21,676.0
4/1/21,579.0
4/2/21,581.0
4/3/21,575.0
4/4/21,365.0
4/5/21,132.0
4/6/21,696.0
4/7/21,663.0
4/8/21,635.0
4/9/21,625.0
4/10/21,740.0
4/11/21,414.0
4/12/21,175.0
4/13/21,684.0
4/14/21,703.0
4/15/21,596.0
4/16/21,587.0
4/17/21,600.0
4/18/21,364.0
4/19/21,138.0
4/20/21,720.0
4/21/21,669.0
4/22/21,600.0
4/23/21,592.0
4/24/21,507.0
4/25/21,326.0
4/26/21,102.0
4/27/21,507.0
4/28/21,493.0
4/29/21,421.0
4/30/21,363.0
5/1/21,313.0
5/2/21,294.0
5/3/21,56.0
5/4/21,373.0
5/5/21,371.0
5/6/21,360.0
5/7/21,298.0
5/8/21,314.0
5/9/21,236.0
5/10/21,58.0
5/11/21,242.0
5/12/21,268.0
5/13/21,238.0
5/14/21,35.0
5/15/21,112.0
5/16/21,127.0
5/17/21,79.0
5/18/21,397.0
5/19/21,338.0
5/20/21,333.0
5/21/21,358.0
5/22/21,363.0
5/23/21,211.0
5/24/21,90.0
5/25/21,310.0
5/26/21,385.0
5/27/21,314.0
5/28/21,336.0
5/29/21,410.0
5/30/21,240.0
5/31/21,108.0
6/1/21,394.0
6/2/21,418.0
6/3/21,395.0
6/4/21,346.0
6/5/21,426.0
6/6/21,231.0
6/7/21,104.0
6/8/21,473.0
6/9/21,386.0
6/10/21,376.0
6/11/21,400.0
6/12/21,455.0
6/13/21,270.0
6/14/21,109.0
6/15/21,476.0
6/16/21,500.0
6/17/21,468.0
6/18/21,481.0
6/19/21,439.0
