,Nepal
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,1.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,0.0
3/16/20,0.0
3/17/20,0.0
3/18/20,0.0
3/19/20,0.0
3/20/20,0.0
3/21/20,0.0
3/22/20,0.0
3/23/20,1.0
3/24/20,0.0
3/25/20,1.0
3/26/20,0.0
3/27/20,1.0
3/28/20,1.0
3/29/20,0.0
3/30/20,0.0
3/31/20,0.0
4/1/20,0.0
4/2/20,1.0
4/3/20,0.0
4/4/20,3.0
4/5/20,0.0
4/6/20,0.0
4/7/20,0.0
4/8/20,0.0
4/9/20,0.0
4/10/20,0.0
4/11/20,0.0
4/12/20,3.0
4/13/20,2.0
4/14/20,2.0
4/15/20,0.0
4/16/20,0.0
4/17/20,14.0
4/18/20,1.0
4/19/20,0.0
4/20/20,0.0
4/21/20,12.0
4/22/20,2.0
4/23/20,3.0
4/24/20,1.0
4/25/20,0.0
4/26/20,3.0
4/27/20,0.0
4/28/20,2.0
4/29/20,3.0
4/30/20,0.0
5/1/20,2.0
5/2/20,0.0
5/3/20,16.0
5/4/20,0.0
5/5/20,7.0
5/6/20,17.0
5/7/20,2.0
5/8/20,1.0
5/9/20,8.0
5/10/20,0.0
5/11/20,24.0
5/12/20,83.0
5/13/20,33.0
5/14/20,-1.0
5/15/20,18.0
5/16/20,24.0
5/17/20,4.0
5/18/20,80.0
5/19/20,27.0
5/20/20,25.0
5/21/20,30.0
5/22/20,59.0
5/23/20,68.0
5/24/20,19.0
5/25/20,79.0
5/26/20,90.0
5/27/20,114.0
5/28/20,156.0
5/29/20,170.0
5/30/20,189.0
5/31/20,171.0
6/1/20,239.0
6/2/20,288.0
6/3/20,201.0
6/4/20,334.0
6/5/20,278.0
6/6/20,323.0
6/7/20,213.0
6/8/20,314.0
6/9/20,324.0
6/10/20,278.0
6/11/20,250.0
6/12/20,448.0
6/13/20,273.0
6/14/20,425.0
6/15/20,451.0
6/16/20,380.0
6/17/20,586.0
6/18/20,671.0
6/19/20,426.0
6/20/20,331.0
6/21/20,421.0
6/22/20,535.0
6/23/20,538.0
6/24/20,629.0
6/25/20,434.0
6/26/20,593.0
6/27/20,554.0
6/28/20,463.0
6/29/20,476.0
6/30/20,316.0
7/1/20,482.0
7/2/20,473.0
7/3/20,740.0
7/4/20,232.0
7/5/20,293.0
7/6/20,180.0
7/7/20,204.0
7/8/20,255.0
7/9/20,108.0
7/10/20,118.0
7/11/20,70.0
7/12/20,82.0
7/13/20,144.0
7/14/20,116.0
7/15/20,116.0
7/16/20,167.0
7/17/20,101.0
7/18/20,57.0
7/19/20,156.0
7/20/20,186.0
7/21/20,150.0
7/22/20,100.0
7/23/20,147.0
7/24/20,133.0
7/25/20,109.0
7/26/20,130.0
7/27/20,139.0
7/28/20,311.0
7/29/20,210.0
7/30/20,274.0
7/31/20,224.0
8/1/20,315.0
8/2/20,246.0
8/3/20,418.0
8/4/20,259.0
8/5/20,381.0
8/6/20,360.0
8/7/20,464.0
8/8/20,378.0
8/9/20,380.0
8/10/20,338.0
8/11/20,638.0
8/12/20,484.0
8/13/20,525.0
8/14/20,594.0
8/15/20,468.0
8/16/20,641.0
8/17/20,581.0
8/18/20,1016.0
8/19/20,681.0
8/20/20,707.0
8/21/20,838.0
8/22/20,634.0
8/23/20,818.0
8/24/20,743.0
8/25/20,855.0
8/26/20,885.0
8/27/20,1111.0
8/28/20,927.0
8/29/20,884.0
8/30/20,1221.0
8/31/20,899.0
9/1/20,1069.0
9/2/20,1120.0
9/3/20,1228.0
9/4/20,1359.0
9/5/20,1041.0
9/6/20,980.0
9/7/20,979.0
9/8/20,902.0
9/9/20,1081.0
9/10/20,1246.0
9/11/20,1454.0
9/12/20,1201.0
9/13/20,1039.0
9/14/20,1170.0
9/15/20,1459.0
9/16/20,1539.0
9/17/20,1246.0
9/18/20,2020.0
9/19/20,1204.0
9/20/20,1325.0
9/21/20,1154.0
9/22/20,1356.0
9/23/20,1172.0
9/24/20,1497.0
9/25/20,1313.0
9/26/20,1207.0
9/27/20,1573.0
9/28/20,1351.0
9/29/20,1513.0
9/30/20,1559.0
10/1/20,1911.0
10/2/20,2722.0
10/3/20,2120.0
10/4/20,2253.0
10/5/20,2440.0
10/6/20,1551.0
10/7/20,3439.0
10/8/20,4364.0
10/9/20,2059.0
10/10/20,5008.0
10/11/20,2071.0
10/12/20,4047.0
10/13/20,3556.0
10/14/20,2638.0
10/15/20,3749.0
10/16/20,4392.0
10/17/20,3167.0
10/18/20,2942.0
10/19/20,3790.0
10/20/20,3093.0
10/21/20,5743.0
10/22/20,3637.0
10/23/20,4499.0
10/24/20,2225.0
10/25/20,2856.0
10/26/20,1741.0
10/27/20,570.0
10/28/20,1954.0
10/29/20,2364.0
10/30/20,3517.0
10/31/20,2508.0
11/1/20,2824.0
11/2/20,2933.0
11/3/20,3114.0
11/4/20,3309.0
11/5/20,3051.0
11/6/20,2909.0
11/7/20,2753.0
11/8/20,2817.0
11/9/20,2571.0
11/10/20,2736.0
11/11/20,2569.0
11/12/20,1913.0
11/13/20,2111.0
11/14/20,1946.0
11/15/20,1477.0
11/16/20,1197.0
11/17/20,502.0
11/18/20,1442.0
11/19/20,2103.0
11/20/20,1945.0
11/21/20,1674.0
11/22/20,1669.0
11/23/20,1980.0
11/24/20,1790.0
11/25/20,1948.0
11/26/20,1614.0
11/27/20,1703.0
11/28/20,1380.0
11/29/20,1255.0
11/30/20,1474.0
12/1/20,0.0
12/2/20,2794.0
12/3/20,1343.0
12/4/20,1272.0
12/5/20,1024.0
12/6/20,1096.0
12/7/20,1014.0
12/8/20,1382.0
12/9/20,1056.0
12/10/20,1217.0
12/11/20,1044.0
12/12/20,899.0
12/13/20,830.0
12/14/20,821.0
12/15/20,936.0
12/16/20,736.0
12/17/20,776.0
12/18/20,782.0
12/19/20,710.0
12/20/20,588.0
12/21/20,742.0
12/22/20,722.0
12/23/20,743.0
12/24/20,613.0
12/25/20,608.0
12/26/20,500.0
12/27/20,481.0
12/28/20,659.0
12/29/20,708.0
12/30/20,511.0
12/31/20,534.0
1/1/21,426.0
1/2/21,419.0
1/3/21,421.0
1/4/21,403.0
1/5/21,522.0
1/6/21,409.0
1/7/21,412.0
1/8/21,554.0
1/9/21,362.0
1/10/21,259.0
1/11/21,488.0
1/12/21,430.0
1/13/21,445.0
1/14/21,403.0
1/15/21,270.0
1/16/21,240.0
1/17/21,266.0
1/18/21,322.0
1/19/21,348.0
1/20/21,318.0
1/21/21,336.0
1/22/21,302.0
1/23/21,232.0
1/24/21,270.0
1/25/21,339.0
1/26/21,303.0
1/27/21,283.0
1/28/21,213.0
1/29/21,157.0
1/30/21,109.0
1/31/21,105.0
2/1/21,159.0
2/2/21,171.0
2/3/21,142.0
2/4/21,171.0
2/5/21,105.0
2/6/21,99.0
2/7/21,119.0
2/8/21,130.0
2/9/21,160.0
2/10/21,134.0
2/11/21,81.0
2/12/21,127.0
2/13/21,57.0
2/14/21,104.0
2/15/21,122.0
2/16/21,105.0
2/17/21,125.0
2/18/21,96.0
2/19/21,97.0
2/20/21,88.0
2/21/21,80.0
2/22/21,125.0
2/23/21,110.0
2/24/21,94.0
2/25/21,112.0
2/26/21,112.0
2/27/21,81.0
2/28/21,78.0
3/1/21,73.0
3/2/21,78.0
3/3/21,87.0
3/4/21,107.0
3/5/21,120.0
3/6/21,47.0
3/7/21,66.0
3/8/21,89.0
3/9/21,59.0
3/10/21,104.0
3/11/21,97.0
3/12/21,48.0
3/13/21,60.0
3/14/21,53.0
3/15/21,79.0
3/16/21,114.0
3/17/21,94.0
3/18/21,107.0
3/19/21,125.0
3/20/21,79.0
3/21/21,77.0
3/22/21,150.0
3/23/21,188.0
3/24/21,145.0
3/25/21,120.0
3/26/21,156.0
3/27/21,85.0
3/28/21,89.0
3/29/21,141.0
3/30/21,167.0
3/31/21,162.0
4/1/21,152.0
4/2/21,179.0
4/3/21,128.0
4/4/21,176.0
4/5/21,266.0
4/6/21,260.0
4/7/21,298.0
4/8/21,332.0
4/9/21,288.0
4/10/21,337.0
4/11/21,303.0
4/12/21,496.0
4/13/21,460.0
4/14/21,580.0
4/15/21,490.0
4/16/21,836.0
4/17/21,768.0
4/18/21,1015.0
4/19/21,1227.0
4/20/21,1667.0
4/21/21,2220.0
4/22/21,2365.0
4/23/21,2449.0
4/24/21,2486.0
4/25/21,3032.0
4/26/21,3442.0
4/27/21,4364.0
4/28/21,4774.0
4/29/21,4831.0
4/30/21,5657.0
5/1/21,5706.0
5/2/21,7137.0
5/3/21,7388.0
5/4/21,7587.0
5/5/21,8605.0
5/6/21,8970.0
5/7/21,9023.0
5/8/21,8287.0
5/9/21,8777.0
5/10/21,9127.0
5/11/21,9317.0
5/12/21,9238.0
5/13/21,8842.0
5/14/21,8467.0
5/15/21,8046.0
5/16/21,7316.0
5/17/21,9198.0
5/18/21,8136.0
5/19/21,8064.0
5/20/21,8227.0
5/21/21,8407.0
5/22/21,8591.0
5/23/21,7598.0
5/24/21,7220.0
5/25/21,8387.0
5/26/21,6677.0
5/27/21,6731.0
5/28/21,6855.0
5/29/21,4311.0
5/30/21,3702.0
5/31/21,4178.0
6/1/21,5285.0
6/2/21,4524.0
6/3/21,5825.0
6/4/21,4624.0
6/5/21,3540.0
6/6/21,3024.0
6/7/21,3370.0
6/8/21,3870.0
6/9/21,3449.0
6/10/21,2874.0
6/11/21,2709.0
6/12/21,2382.0
6/13/21,1694.0
6/14/21,2049.0
6/15/21,1681.0
6/16/21,2014.0
6/17/21,1768.0
6/18/21,1963.0
6/19/21,1688.0
