,Netherlands
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,1.0
2/28/20,5.0
2/29/20,4.0
3/1/20,8.0
3/2/20,6.0
3/3/20,14.0
3/4/20,44.0
3/5/20,46.0
3/6/20,60.0
3/7/20,77.0
3/8/20,56.0
3/9/20,61.0
3/10/20,121.0
3/11/20,100.0
3/12/20,201.0
3/13/20,155.0
3/14/20,176.0
3/15/20,278.0
3/16/20,292.0
3/17/20,346.0
3/18/20,409.0
3/19/20,534.0
3/20/20,637.0
3/21/20,573.0
3/22/20,545.0
3/23/20,811.0
3/24/20,852.0
3/25/20,1019.0
3/26/20,1172.0
3/27/20,1159.0
3/28/20,1104.0
3/29/20,884.0
3/30/20,845.0
3/31/20,1019.0
4/1/20,1083.0
4/2/20,1026.0
4/3/20,904.0
4/4/20,1224.0
4/5/20,952.0
4/6/20,777.0
4/7/20,969.0
4/8/20,1213.0
4/9/20,1335.0
4/10/20,1316.0
4/11/20,1174.0
4/12/20,964.0
4/13/20,868.0
4/14/20,734.0
4/15/20,1061.0
4/16/20,1235.0
4/17/20,1140.0
4/18/20,1066.0
4/19/20,750.0
4/20/20,729.0
4/21/20,708.0
4/22/20,887.0
4/23/20,806.0
4/24/20,655.0
4/25/20,655.0
4/26/20,400.0
4/27/20,171.0
4/28/20,386.0
4/29/20,514.0
4/30/20,475.0
5/1/20,445.0
5/2/20,335.0
5/3/20,199.0
5/4/20,317.0
5/5/20,232.0
5/6/20,455.0
5/7/20,319.0
5/8/20,289.0
5/9/20,245.0
5/10/20,161.0
5/11/20,196.0
5/12/20,227.0
5/13/20,270.0
5/14/20,200.0
5/15/20,189.0
5/16/20,125.0
5/17/20,146.0
5/18/20,108.0
5/19/20,198.0
5/20/20,253.0
5/21/20,188.0
5/22/20,176.0
5/23/20,172.0
5/24/20,209.0
5/25/20,133.0
5/26/20,190.0
5/27/20,182.0
5/28/20,176.0
5/29/20,131.0
5/30/20,185.0
5/31/20,103.0
6/1/20,102.0
6/2/20,86.0
6/3/20,209.0
6/4/20,210.0
6/5/20,183.0
6/6/20,239.0
6/7/20,165.0
6/8/20,164.0
6/9/20,184.0
6/10/20,164.0
6/11/20,210.0
6/12/20,179.0
6/13/20,143.0
6/14/20,165.0
6/15/20,139.0
6/16/20,117.0
6/17/20,115.0
6/18/20,107.0
6/19/20,76.0
6/20/20,91.0
6/21/20,65.0
6/22/20,64.0
6/23/20,82.0
6/24/20,110.0
6/25/20,91.0
6/26/20,69.0
6/27/20,73.0
6/28/20,76.0
6/29/20,50.0
6/30/20,62.0
7/1/20,77.0
7/2/20,75.0
7/3/20,61.0
7/4/20,73.0
7/5/20,36.0
7/6/20,37.0
7/7/20,52.0
7/8/20,52.0
7/9/20,42.0
7/10/20,81.0
7/11/20,101.0
7/12/20,71.0
7/13/20,53.0
7/14/20,106.0
7/15/20,99.0
7/16/20,103.0
7/17/20,127.0
7/18/20,144.0
7/19/20,185.0
7/20/20,163.0
7/21/20,168.0
7/22/20,163.0
7/23/20,191.0
7/24/20,137.0
7/25/20,273.0
7/26/20,146.0
7/27/20,223.0
7/28/20,247.0
7/29/20,342.0
7/30/20,338.0
7/31/20,431.0
8/1/20,366.0
8/2/20,372.0
8/3/20,485.0
8/4/20,426.0
8/5/20,601.0
8/6/20,519.0
8/7/20,486.0
8/8/20,577.0
8/9/20,630.0
8/10/20,230.0
8/11/20,1203.0
8/12/20,577.0
8/13/20,636.0
8/14/20,655.0
8/15/20,507.0
8/16/20,482.0
8/17/20,489.0
8/18/20,552.0
8/19/20,529.0
8/20/20,535.0
8/21/20,508.0
8/22/20,457.0
8/23/20,574.0
8/24/20,415.0
8/25/20,571.0
8/26/20,510.0
8/27/20,507.0
8/28/20,501.0
8/29/20,508.0
8/30/20,527.0
8/31/20,462.0
9/1/20,734.0
9/2/20,601.0
9/3/20,744.0
9/4/20,654.0
9/5/20,925.0
9/6/20,797.0
9/7/20,964.0
9/8/20,1140.0
9/9/20,823.0
9/10/20,1270.0
9/11/20,1231.0
9/12/20,1087.0
9/13/20,1300.0
9/14/20,1379.0
9/15/20,1542.0
9/16/20,1753.0
9/17/20,1974.0
9/18/20,1887.0
9/19/20,1844.0
9/20/20,2217.0
9/21/20,2245.0
9/22/20,2357.0
9/23/20,2544.0
9/24/20,2777.0
9/25/20,2713.0
9/26/20,2995.0
9/27/20,2914.0
9/28/20,3011.0
9/29/20,3294.0
9/30/20,3252.0
10/1/20,3825.0
10/2/20,3967.0
10/3/20,4003.0
10/4/20,4579.0
10/5/20,4528.0
10/6/20,4989.0
10/7/20,5822.0
10/8/20,5971.0
10/9/20,6499.0
10/10/20,6373.0
10/11/20,6845.0
10/12/20,7378.0
10/13/20,7287.0
10/14/20,7791.0
10/15/20,7984.0
10/16/20,8114.0
10/17/20,8182.0
10/18/20,7992.0
10/19/20,8165.0
10/20/20,8743.0
10/21/20,9271.0
10/22/20,9996.0
10/23/20,8651.0
10/24/20,10202.0
10/25/20,10343.0
10/26/20,10292.0
10/27/20,8102.0
10/28/20,10264.0
10/29/20,11119.0
10/30/20,9804.0
10/31/20,8683.0
11/1/20,8286.0
11/2/20,7743.0
11/3/20,7633.0
11/4/20,6965.0
11/5/20,7242.0
11/6/20,6671.0
11/7/20,5664.0
11/8/20,4680.0
11/9/20,4667.0
11/10/20,5407.0
11/11/20,5634.0
11/12/20,6091.0
11/13/20,5914.0
11/14/20,5413.0
11/15/20,4830.0
11/16/20,4302.0
11/17/20,4609.0
11/18/20,5645.0
11/19/20,5933.0
11/20/20,6070.0
11/21/20,5388.0
11/22/20,5170.0
11/23/20,3926.0
11/24/20,4909.0
11/25/20,4470.0
11/26/20,5743.0
11/27/20,4459.0
11/28/20,5585.0
11/29/20,4568.0
11/30/20,4045.0
12/1/20,4921.0
12/2/20,5606.0
12/3/20,5874.0
12/4/20,6521.0
12/5/20,6779.0
12/6/20,7067.0
12/7/20,6146.0
12/8/20,6528.0
12/9/20,8720.0
12/10/20,8838.0
12/11/20,9080.0
12/12/20,9884.0
12/13/20,8457.0
12/14/20,6633.0
12/15/20,11169.0
12/16/20,12779.0
12/17/20,11931.0
12/18/20,12217.0
12/19/20,13032.0
12/20/20,11168.0
12/21/20,9810.0
12/22/20,10388.0
12/23/20,11499.0
12/24/20,11487.0
12/25/20,9848.0
12/26/20,9080.0
12/27/20,7415.0
12/28/20,7502.0
12/29/20,9398.0
12/30/20,9681.0
12/31/20,8183.0
1/1/21,8601.0
1/2/21,7398.0
1/3/21,6563.0
1/4/21,6338.0
1/5/21,7099.0
1/6/21,9627.0
1/7/21,8124.0
1/8/21,7321.0
1/9/21,6612.0
1/10/21,5416.0
1/11/21,4872.0
1/12/21,6086.0
1/13/21,6466.0
1/14/21,6009.0
1/15/21,5260.0
1/16/21,5598.0
1/17/21,4754.0
1/18/21,4272.0
1/19/21,5530.0
1/20/21,5774.0
1/21/21,5744.0
1/22/21,5414.0
1/23/21,4891.0
1/24/21,4017.0
1/25/21,3917.0
1/26/21,4726.0
1/27/21,4659.0
1/28/21,4350.0
1/29/21,4173.0
1/30/21,3700.0
1/31/21,3188.0
2/1/21,3561.0
2/2/21,4013.0
2/3/21,4193.0
2/4/21,4321.0
2/5/21,4075.0
2/6/21,3934.0
2/7/21,2221.0
2/8/21,1744.0
2/9/21,3183.0
2/10/21,4394.0
2/11/21,4341.0
2/12/21,4194.0
2/13/21,3447.0
2/14/21,2810.0
2/15/21,2701.0
2/16/21,3361.0
2/17/21,4518.0
2/18/21,4726.0
2/19/21,4565.0
2/20/21,4674.0
2/21/21,4162.0
2/22/21,3797.0
2/23/21,4362.0
2/24/21,5011.0
2/25/21,5113.0
2/26/21,4937.0
2/27/21,4669.0
2/28/21,3762.0
3/1/21,3981.0
3/2/21,4997.0
3/3/21,4114.0
3/4/21,4669.0
3/5/21,5336.0
3/6/21,4526.0
3/7/21,3834.0
3/8/21,4293.0
3/9/21,5272.0
3/10/21,5322.0
3/11/21,6026.0
3/12/21,6396.0
3/13/21,5974.0
3/14/21,5469.0
3/15/21,4902.0
3/16/21,5924.0
3/17/21,6125.0
3/18/21,7375.0
3/19/21,7593.0
3/20/21,6965.0
3/21/21,6261.0
3/22/21,5560.0
3/23/21,7579.0
3/24/21,7702.0
3/25/21,7562.0
3/26/21,8798.0
3/27/21,7430.0
3/28/21,6718.0
3/29/21,5828.0
3/30/21,7633.0
3/31/21,7827.0
4/1/21,7253.0
4/2/21,7628.0
4/3/21,6822.0
4/4/21,5320.0
4/5/21,5541.0
4/6/21,6346.0
4/7/21,7783.0
4/8/21,7635.0
4/9/21,7676.0
4/10/21,8218.0
4/11/21,6675.0
4/12/21,6685.0
4/13/21,5386.0
4/14/21,8734.0
4/15/21,8898.0
4/16/21,8285.0
4/17/21,8505.0
4/18/21,7117.0
4/19/21,6822.0
4/20/21,8471.0
4/21/21,9611.0
4/22/21,9210.0
4/23/21,8060.0
4/24/21,8013.0
4/25/21,6200.0
4/26/21,5337.0
4/27/21,8649.0
4/28/21,7271.0
4/29/21,7758.0
4/30/21,5755.0
5/1/21,5508.0
5/2/21,9187.0
5/3/21,7725.0
5/4/21,7273.0
5/5/21,6789.0
5/6/21,7481.0
5/7/21,7399.0
5/8/21,6553.0
5/9/21,5858.0
5/10/21,5518.0
5/11/21,6356.0
5/12/21,6013.0
5/13/21,5515.0
5/14/21,4446.0
5/15/21,4436.0
5/16/21,2829.0
5/17/21,5326.0
5/18/21,4549.0
5/19/21,4632.0
5/20/21,4148.0
5/21/21,3162.0
5/22/21,3422.0
5/23/21,2690.0
5/24/21,2462.0
5/25/21,2754.0
5/26/21,3328.0
5/27/21,3852.0
5/28/21,3381.0
5/29/21,2719.0
5/30/21,2042.0
5/31/21,2320.0
6/1/21,2502.0
6/2/21,2735.0
6/3/21,2382.0
6/4/21,2121.0
6/5/21,1530.0
6/6/21,1377.0
