,Oman
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,2.0
2/25/20,0.0
2/26/20,2.0
2/27/20,0.0
2/28/20,0.0
2/29/20,2.0
3/1/20,0.0
3/2/20,0.0
3/3/20,6.0
3/4/20,3.0
3/5/20,1.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,2.0
3/11/20,0.0
3/12/20,0.0
3/13/20,1.0
3/14/20,0.0
3/15/20,3.0
3/16/20,0.0
3/17/20,2.0
3/18/20,15.0
3/19/20,9.0
3/20/20,0.0
3/21/20,4.0
3/22/20,3.0
3/23/20,11.0
3/24/20,18.0
3/25/20,15.0
3/26/20,10.0
3/27/20,22.0
3/28/20,21.0
3/29/20,15.0
3/30/20,12.0
3/31/20,13.0
4/1/20,18.0
4/2/20,21.0
4/3/20,21.0
4/4/20,25.0
4/5/20,21.0
4/6/20,33.0
4/7/20,40.0
4/8/20,48.0
4/9/20,38.0
4/10/20,27.0
4/11/20,62.0
4/12/20,53.0
4/13/20,128.0
4/14/20,86.0
4/15/20,97.0
4/16/20,109.0
4/17/20,50.0
4/18/20,111.0
4/19/20,86.0
4/20/20,144.0
4/21/20,98.0
4/22/20,106.0
4/23/20,102.0
4/24/20,74.0
4/25/20,115.0
4/26/20,93.0
4/27/20,51.0
4/28/20,82.0
4/29/20,143.0
4/30/20,74.0
5/1/20,99.0
5/2/20,36.0
5/3/20,85.0
5/4/20,69.0
5/5/20,98.0
5/6/20,168.0
5/7/20,55.0
5/8/20,154.0
5/9/20,112.0
5/10/20,175.0
5/11/20,174.0
5/12/20,148.0
5/13/20,298.0
5/14/20,322.0
5/15/20,284.0
5/16/20,404.0
5/17/20,157.0
5/18/20,193.0
5/19/20,292.0
5/20/20,372.0
5/21/20,327.0
5/22/20,424.0
5/23/20,463.0
5/24/20,513.0
5/25/20,0.0
5/26/20,348.0
5/27/20,255.0
5/28/20,636.0
5/29/20,811.0
5/30/20,603.0
5/31/20,1014.0
6/1/20,786.0
6/2/20,576.0
6/3/20,738.0
6/4/20,779.0
6/5/20,770.0
6/6/20,930.0
6/7/20,866.0
6/8/20,604.0
6/9/20,712.0
6/10/20,689.0
6/11/20,1067.0
6/12/20,1117.0
6/13/20,1006.0
6/14/20,1404.0
6/15/20,1043.0
6/16/20,745.0
6/17/20,810.0
6/18/20,739.0
6/19/20,852.0
6/20/20,896.0
6/21/20,905.0
6/22/20,1605.0
6/23/20,1318.0
6/24/20,1142.0
6/25/20,1366.0
6/26/20,1132.0
6/27/20,919.0
6/28/20,1197.0
6/29/20,910.0
6/30/20,1010.0
7/1/20,1124.0
7/2/20,1361.0
7/3/20,1374.0
7/4/20,1177.0
7/5/20,1072.0
7/6/20,1557.0
7/7/20,1262.0
7/8/20,1210.0
7/9/20,1518.0
7/10/20,1889.0
7/11/20,1083.0
7/12/20,1318.0
7/13/20,2164.0
7/14/20,1389.0
7/15/20,1679.0
7/16/20,1327.0
7/17/20,1619.0
7/18/20,1311.0
7/19/20,1157.0
7/20/20,1739.0
7/21/20,1487.0
7/22/20,1660.0
7/23/20,1099.0
7/24/20,1145.0
7/25/20,1067.0
7/26/20,1147.0
7/27/20,1053.0
7/28/20,846.0
7/29/20,665.0
7/30/20,590.0
7/31/20,0.0
8/1/20,0.0
8/2/20,0.0
8/3/20,0.0
8/4/20,0.0
8/5/20,1127.0
8/6/20,427.0
8/7/20,354.0
8/8/20,290.0
8/9/20,223.0
8/10/20,207.0
8/11/20,263.0
8/12/20,249.0
8/13/20,232.0
8/14/20,212.0
8/15/20,181.0
8/16/20,162.0
8/17/20,140.0
8/18/20,192.0
8/19/20,188.0
8/20/20,163.0
8/21/20,0.0
8/22/20,0.0
8/23/20,0.0
8/24/20,740.0
8/25/20,143.0
8/26/20,166.0
8/27/20,187.0
8/28/20,0.0
8/29/20,0.0
8/30/20,539.0
8/31/20,178.0
9/1/20,206.0
9/2/20,0.0
9/3/20,452.0
9/4/20,0.0
9/5/20,0.0
9/6/20,692.0
9/7/20,256.0
9/8/20,262.0
9/9/20,349.0
9/10/20,398.0
9/11/20,0.0
9/12/20,0.0
9/13/20,1409.0
9/14/20,476.0
9/15/20,438.0
9/16/20,536.0
9/17/20,557.0
9/18/20,0.0
9/19/20,0.0
9/20/20,1722.0
9/21/20,576.0
9/22/20,660.0
9/23/20,628.0
9/24/20,568.0
9/25/20,0.0
9/26/20,0.0
9/27/20,1543.0
9/28/20,607.0
9/29/20,528.0
9/30/20,0.0
10/1/20,0.0
10/2/20,0.0
10/3/20,0.0
10/4/20,2685.0
10/5/20,544.0
10/6/20,834.0
10/7/20,817.0
10/8/20,664.0
10/9/20,0.0
10/10/20,0.0
10/11/20,1761.0
10/12/20,685.0
10/13/20,638.0
10/14/20,563.0
10/15/20,520.0
10/16/20,0.0
10/17/20,0.0
10/18/20,1657.0
10/19/20,641.0
10/20/20,439.0
10/21/20,451.0
10/22/20,353.0
10/23/20,0.0
10/24/20,0.0
10/25/20,1095.0
10/26/20,422.0
10/27/20,466.0
10/28/20,614.0
10/29/20,0.0
10/30/20,0.0
10/31/20,0.0
11/1/20,1300.0
11/2/20,418.0
11/3/20,376.0
11/4/20,319.0
11/5/20,320.0
11/6/20,0.0
11/7/20,0.0
11/8/20,973.0
11/9/20,363.0
11/10/20,381.0
11/11/20,302.0
11/12/20,256.0
11/13/20,0.0
11/14/20,0.0
11/15/20,947.0
11/16/20,329.0
11/17/20,0.0
11/18/20,411.0
11/19/20,231.0
11/20/20,0.0
11/21/20,0.0
11/22/20,721.0
11/23/20,275.0
11/24/20,223.0
11/25/20,0.0
11/26/20,0.0
11/27/20,0.0
11/28/20,0.0
11/29/20,905.0
11/30/20,215.0
12/1/20,209.0
12/2/20,237.0
12/3/20,184.0
12/4/20,0.0
12/5/20,0.0
12/6/20,557.0
12/7/20,229.0
12/8/20,210.0
12/9/20,165.0
12/10/20,179.0
12/11/20,0.0
12/12/20,0.0
12/13/20,571.0
12/14/20,264.0
12/15/20,215.0
12/16/20,116.0
12/17/20,184.0
12/18/20,0.0
12/19/20,0.0
12/20/20,648.0
12/21/20,264.0
12/22/20,212.0
12/23/20,93.0
12/24/20,54.0
12/25/20,0.0
12/26/20,0.0
12/27/20,182.0
12/28/20,91.0
12/29/20,70.0
12/30/20,86.0
12/31/20,148.0
1/1/21,0.0
1/2/21,0.0
1/3/21,537.0
1/4/21,180.0
1/5/21,190.0
1/6/21,114.0
1/7/21,182.0
1/8/21,0.0
1/9/21,0.0
1/10/21,538.0
1/11/21,172.0
1/12/21,164.0
1/13/21,142.0
1/14/21,178.0
1/15/21,0.0
1/16/21,0.0
1/17/21,526.0
1/18/21,221.0
1/19/21,135.0
1/20/21,171.0
1/21/21,169.0
1/22/21,0.0
1/23/21,0.0
1/24/21,558.0
1/25/21,209.0
1/26/21,154.0
1/27/21,167.0
1/28/21,154.0
1/29/21,0.0
1/30/21,0.0
1/31/21,598.0
2/1/21,198.0
2/2/21,161.0
2/3/21,171.0
2/4/21,185.0
2/5/21,0.0
2/6/21,0.0
2/7/21,633.0
2/8/21,316.0
2/9/21,197.0
2/10/21,190.0
2/11/21,245.0
2/12/21,0.0
2/13/21,0.0
2/14/21,684.0
2/15/21,286.0
2/16/21,337.0
2/17/21,277.0
2/18/21,288.0
2/19/21,0.0
2/20/21,0.0
2/21/21,868.0
2/22/21,330.0
2/23/21,297.0
2/24/21,311.0
2/25/21,288.0
2/26/21,0.0
2/27/21,0.0
2/28/21,908.0
3/1/21,312.0
3/2/21,361.0
3/3/21,358.0
3/4/21,369.0
3/5/21,0.0
3/6/21,0.0
3/7/21,1059.0
3/8/21,449.0
3/9/21,427.0
3/10/21,426.0
3/11/21,0.0
3/12/21,0.0
3/13/21,0.0
3/14/21,1610.0
3/15/21,556.0
3/16/21,587.0
3/17/21,548.0
3/18/21,577.0
3/19/21,0.0
3/20/21,0.0
3/21/21,1665.0
3/22/21,728.0
3/23/21,836.0
3/24/21,741.0
3/25/21,733.0
3/26/21,0.0
3/27/21,0.0
3/28/21,2249.0
3/29/21,796.0
3/30/21,1173.0
3/31/21,1162.0
4/1/21,800.0
4/2/21,0.0
4/3/21,0.0
4/4/21,3139.0
4/5/21,1117.0
4/6/21,1206.0
4/7/21,1205.0
4/8/21,1320.0
4/9/21,0.0
4/10/21,0.0
4/11/21,3544.0
4/12/21,1480.0
4/13/21,1335.0
4/14/21,1269.0
4/15/21,1035.0
4/16/21,0.0
4/17/21,0.0
4/18/21,3363.0
4/19/21,1399.0
4/20/21,1263.0
4/21/21,1077.0
4/22/21,1508.0
4/23/21,0.0
4/24/21,0.0
4/25/21,3538.0
4/26/21,1454.0
4/27/21,1128.0
4/28/21,928.0
4/29/21,927.0
4/30/21,0.0
5/1/21,0.0
5/2/21,2554.0
5/3/21,1093.0
5/4/21,902.0
5/5/21,770.0
5/6/21,772.0
5/7/21,0.0
5/8/21,0.0
5/9/21,2006.0
5/10/21,787.0
5/11/21,576.0
5/12/21,0.0
5/13/21,0.0
5/14/21,0.0
5/15/21,0.0
5/16/21,2798.0
5/17/21,786.0
5/18/21,812.0
5/19/21,696.0
5/20/21,802.0
5/21/21,0.0
5/22/21,0.0
5/23/21,1757.0
5/24/21,857.0
5/25/21,817.0
5/26/21,866.0
5/27/21,880.0
5/28/21,0.0
5/29/21,0.0
5/30/21,2399.0
5/31/21,1041.0
6/1/21,1047.0
6/2/21,1258.0
6/3/21,1173.0
6/4/21,0.0
6/5/21,0.0
6/6/21,3177.0
6/7/21,1216.0
6/8/21,1553.0
6/9/21,1931.0
6/10/21,1640.0
6/11/21,0.0
6/12/21,0.0
6/13/21,4415.0
6/14/21,1806.0
6/15/21,2126.0
6/16/21,2142.0
6/17/21,2015.0
6/18/21,0.0
6/19/21,0.0
6/20/21,5320.0
6/21/21,2529.0
6/22/21,2037.0
6/23/21,2047.0
6/24/21,1886.0
6/25/21,0.0
