,Pakistan
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,2.0
2/26/20,0.0
2/27/20,0.0
2/28/20,2.0
2/29/20,0.0
3/1/20,0.0
3/2/20,1.0
3/3/20,0.0
3/4/20,0.0
3/5/20,1.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,10.0
3/10/20,3.0
3/11/20,1.0
3/12/20,8.0
3/13/20,3.0
3/14/20,22.0
3/15/20,83.0
3/16/20,100.0
3/17/20,63.0
3/18/20,155.0
3/19/20,47.0
3/20/20,229.0
3/21/20,46.0
3/22/20,99.0
3/23/20,97.0
3/24/20,91.0
3/25/20,138.0
3/26/20,172.0
3/27/20,122.0
3/28/20,102.0
3/29/20,120.0
3/30/20,221.0
3/31/20,180.0
4/1/20,303.0
4/2/20,265.0
4/3/20,132.0
4/4/20,339.0
4/5/20,609.0
4/6/20,269.0
4/7/20,228.0
4/8/20,226.0
4/9/20,206.0
4/10/20,316.0
4/11/20,219.0
4/12/20,266.0
4/13/20,341.0
4/14/20,546.0
4/15/20,536.0
4/16/20,106.0
4/17/20,613.0
4/18/20,710.0
4/19/20,70.0
4/20/20,1147.0
4/21/20,511.0
4/22/20,1079.0
4/23/20,785.0
4/24/20,783.0
4/25/20,605.0
4/26/20,587.0
4/27/20,697.0
4/28/20,913.0
4/29/20,1292.0
4/30/20,1297.0
5/1/20,989.0
5/2/20,981.0
5/3/20,857.0
5/4/20,1108.0
5/5/20,2024.0
5/6/20,571.0
5/7/20,1791.0
5/8/20,2301.0
5/9/20,1598.0
5/10/20,1747.0
5/11/20,2255.0
5/12/20,962.0
5/13/20,490.0
5/14/20,3011.0
5/15/20,0.0
5/16/20,1352.0
5/17/20,1974.0
5/18/20,1841.0
5/19/20,1932.0
5/20/20,2193.0
5/21/20,2603.0
5/22/20,1743.0
5/23/20,2164.0
5/24/20,1748.0
5/25/20,1356.0
5/26/20,1446.0
5/27/20,2076.0
5/28/20,2801.0
5/29/20,2429.0
5/30/20,3039.0
5/31/20,2964.0
6/1/20,3938.0
6/2/20,4065.0
6/3/20,4801.0
6/4/20,3985.0
6/5/20,4734.0
6/6/20,4960.0
6/7/20,4728.0
6/8/20,4646.0
6/9/20,5385.0
6/10/20,5834.0
6/11/20,6397.0
6/12/20,0.0
6/13/20,6472.0
6/14/20,12073.0
6/15/20,4443.0
6/16/20,5839.0
6/17/20,5358.0
6/18/20,4944.0
6/19/20,6604.0
6/20/20,4951.0
6/21/20,4471.0
6/22/20,3946.0
6/23/20,3892.0
6/24/20,4044.0
6/25/20,2775.0
6/26/20,3138.0
6/27/20,4072.0
6/28/20,3557.0
6/29/20,2825.0
6/30/20,4133.0
7/1/20,4339.0
7/2/20,4087.0
7/3/20,0.0
7/4/20,3387.0
7/5/20,6535.0
7/6/20,2691.0
7/7/20,2980.0
7/8/20,3359.0
7/9/20,2751.0
7/10/20,2752.0
7/11/20,2521.0
7/12/20,2753.0
7/13/20,1979.0
7/14/20,2165.0
7/15/20,2145.0
7/16/20,0.0
7/17/20,4003.0
7/18/20,1579.0
7/19/20,1587.0
7/20/20,1013.0
7/21/20,1332.0
7/22/20,1763.0
7/23/20,1209.0
7/24/20,1487.0
7/25/20,1226.0
7/26/20,0.0
7/27/20,1176.0
7/28/20,936.0
7/29/20,1063.0
7/30/20,1114.0
7/31/20,903.0
8/1/20,0.0
8/2/20,1394.0
8/3/20,762.0
8/4/20,0.0
8/5/20,675.0
8/6/20,727.0
8/7/20,782.0
8/8/20,842.0
8/9/20,634.0
8/10/20,539.0
8/11/20,531.0
8/12/20,730.0
8/13/20,753.0
8/14/20,626.0
8/15/20,747.0
8/16/20,1168.0
8/17/20,0.0
8/18/20,617.0
8/19/20,613.0
8/20/20,513.0
8/21/20,630.0
8/22/20,586.0
8/23/20,1087.0
8/24/20,0.0
8/25/20,450.0
8/26/20,482.0
8/27/20,445.0
8/28/20,415.0
8/29/20,319.0
8/30/20,264.0
8/31/20,213.0
9/1/20,300.0
9/2/20,865.0
9/3/20,498.0
9/4/20,513.0
9/5/20,0.0
9/6/20,878.0
9/7/20,330.0
9/8/20,426.0
9/9/20,371.0
9/10/20,341.0
9/11/20,584.0
9/12/20,526.0
9/13/20,539.0
9/14/20,404.0
9/15/20,665.0
9/16/20,545.0
9/17/20,752.0
9/18/20,645.0
9/19/20,640.0
9/20/20,633.0
9/21/20,582.0
9/22/20,532.0
9/23/20,799.0
9/24/20,798.0
9/25/20,566.0
9/26/20,694.0
9/27/20,566.0
9/28/20,675.0
9/29/20,747.0
9/30/20,543.0
10/1/20,625.0
10/2/20,553.0
10/3/20,632.0
10/4/20,0.0
10/5/20,1111.0
10/6/20,624.0
10/7/20,583.0
10/8/20,661.0
10/9/20,671.0
10/10/20,666.0
10/11/20,385.0
10/12/20,531.0
10/13/20,615.0
10/14/20,755.0
10/15/20,659.0
10/16/20,575.0
10/17/20,567.0
10/18/20,433.0
10/19/20,582.0
10/20/20,710.0
10/21/20,736.0
10/22/20,736.0
10/23/20,847.0
10/24/20,832.0
10/25/20,707.0
10/26/20,773.0
10/27/20,825.0
10/28/20,908.0
10/29/20,1078.0
10/30/20,807.0
10/31/20,977.0
11/1/20,1123.0
11/2/20,1167.0
11/3/20,1313.0
11/4/20,1302.0
11/5/20,1376.0
11/6/20,1502.0
11/7/20,1436.0
11/8/20,1650.0
11/9/20,1637.0
11/10/20,1708.0
11/11/20,1808.0
11/12/20,2304.0
11/13/20,2165.0
11/14/20,2443.0
11/15/20,2128.0
11/16/20,2050.0
11/17/20,2298.0
11/18/20,2547.0
11/19/20,2738.0
11/20/20,2843.0
11/21/20,2665.0
11/22/20,2756.0
11/23/20,2954.0
11/24/20,3009.0
11/25/20,3306.0
11/26/20,3113.0
11/27/20,3045.0
11/28/20,2829.0
11/29/20,2839.0
11/30/20,2458.0
12/1/20,2829.0
12/2/20,3499.0
12/3/20,3262.0
12/4/20,3119.0
12/5/20,3308.0
12/6/20,3795.0
12/7/20,2885.0
12/8/20,2963.0
12/9/20,3138.0
12/10/20,3047.0
12/11/20,2729.0
12/12/20,3369.0
12/13/20,2362.0
12/14/20,2459.0
12/15/20,2731.0
12/16/20,2545.0
12/17/20,2972.0
12/18/20,3179.0
12/19/20,2615.0
12/20/20,1680.0
12/21/20,1704.0
12/22/20,2142.0
12/23/20,2256.0
12/24/20,2152.0
12/25/20,2260.0
12/26/20,1853.0
12/27/20,1974.0
12/28/20,1776.0
12/29/20,2155.0
12/30/20,2475.0
12/31/20,2463.0
1/1/21,2184.0
1/2/21,2272.0
1/3/21,1895.0
1/4/21,1947.0
1/5/21,2118.0
1/6/21,2481.0
1/7/21,2435.0
1/8/21,2007.0
1/9/21,2899.0
1/10/21,1877.0
1/11/21,2408.0
1/12/21,2123.0
1/13/21,3097.0
1/14/21,2417.0
1/15/21,2432.0
1/16/21,2521.0
1/17/21,1920.0
1/18/21,1800.0
1/19/21,1772.0
1/20/21,2363.0
1/21/21,1745.0
1/22/21,1927.0
1/23/21,1594.0
1/24/21,1629.0
1/25/21,1873.0
1/26/21,1563.0
1/27/21,1910.0
1/28/21,1644.0
1/29/21,2183.0
1/30/21,1599.0
1/31/21,1615.0
2/1/21,1220.0
2/2/21,1384.0
2/3/21,1508.0
2/4/21,1302.0
2/5/21,1286.0
2/6/21,1346.0
2/7/21,1037.0
2/8/21,1008.0
2/9/21,1072.0
2/10/21,1502.0
2/11/21,1270.0
2/12/21,1262.0
2/13/21,1404.0
2/14/21,1048.0
2/15/21,0.0
2/16/21,1912.0
2/17/21,1272.0
2/18/21,1245.0
2/19/21,1340.0
2/20/21,1328.0
2/21/21,1160.0
2/22/21,1050.0
2/23/21,1196.0
2/24/21,1361.0
2/25/21,1541.0
2/26/21,1315.0
2/27/21,1176.0
2/28/21,1392.0
3/1/21,1163.0
3/2/21,1388.0
3/3/21,1519.0
3/4/21,1579.0
3/5/21,1714.0
3/6/21,1780.0
3/7/21,1592.0
3/8/21,1353.0
3/9/21,1786.0
3/10/21,2258.0
3/11/21,2701.0
3/12/21,2338.0
3/13/21,2664.0
3/14/21,2253.0
3/15/21,2511.0
3/16/21,2351.0
3/17/21,3495.0
3/18/21,3449.0
3/19/21,3876.0
3/20/21,3667.0
3/21/21,3669.0
3/22/21,3270.0
3/23/21,3301.0
3/24/21,3946.0
3/25/21,4368.0
3/26/21,4468.0
3/27/21,4767.0
3/28/21,4525.0
3/29/21,4084.0
3/30/21,4757.0
3/31/21,4974.0
4/1/21,5234.0
4/2/21,4723.0
4/3/21,5020.0
4/4/21,4323.0
4/5/21,3953.0
4/6/21,4004.0
4/7/21,5329.0
4/8/21,5312.0
4/9/21,5139.0
4/10/21,5050.0
4/11/21,4584.0
4/12/21,4318.0
4/13/21,4503.0
4/14/21,5395.0
4/15/21,5364.0
4/16/21,4976.0
4/17/21,6127.0
4/18/21,5152.0
4/19/21,5445.0
4/20/21,5499.0
4/21/21,5857.0
4/22/21,5870.0
4/23/21,5908.0
4/24/21,5611.0
4/25/21,4825.0
4/26/21,4487.0
4/27/21,5292.0
4/28/21,5480.0
4/29/21,5112.0
4/30/21,4696.0
5/1/21,4414.0
5/2/21,4213.0
5/3/21,3377.0
5/4/21,0.0
5/5/21,4113.0
5/6/21,8495.0
5/7/21,4109.0
5/8/21,3786.0
5/9/21,3447.0
5/10/21,3084.0
5/11/21,2881.0
5/12/21,3265.0
5/13/21,2517.0
5/14/21,1531.0
5/15/21,2379.0
5/16/21,3232.0
5/17/21,2566.0
5/18/21,3256.0
5/19/21,4207.0
5/20/21,3070.0
5/21/21,4007.0
5/22/21,3084.0
5/23/21,3047.0
5/24/21,2253.0
5/25/21,2724.0
5/26/21,2726.0
5/27/21,2482.0
5/28/21,2455.0
5/29/21,2697.0
5/30/21,2117.0
5/31/21,1771.0
6/1/21,1843.0
6/2/21,2028.0
6/3/21,1893.0
6/4/21,1923.0
6/5/21,1629.0
