,Panama
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,1.0
3/11/20,7.0
3/12/20,3.0
3/13/20,16.0
3/14/20,9.0
3/15/20,7.0
3/16/20,12.0
3/17/20,14.0
3/18/20,17.0
3/19/20,23.0
3/20/20,28.0
3/21/20,63.0
3/22/20,113.0
3/23/20,32.0
3/24/20,0.0
3/25/20,98.0
3/26/20,115.0
3/27/20,116.0
3/28/20,112.0
3/29/20,115.0
3/30/20,88.0
3/31/20,192.0
4/1/20,0.0
4/2/20,136.0
4/3/20,158.0
4/4/20,198.0
4/5/20,128.0
4/6/20,187.0
4/7/20,112.0
4/8/20,149.0
4/9/20,279.0
4/10/20,224.0
4/11/20,222.0
4/12/20,260.0
4/13/20,166.0
4/14/20,72.0
4/15/20,102.0
4/16/20,177.0
4/17/20,265.0
4/18/20,194.0
4/19/20,63.0
4/20/20,194.0
4/21/20,191.0
4/22/20,163.0
4/23/20,345.0
4/24/20,172.0
4/25/20,200.0
4/26/20,241.0
4/27/20,242.0
4/28/20,0.0
4/29/20,357.0
4/30/20,154.0
5/1/20,188.0
5/2/20,370.0
5/3/20,0.0
5/4/20,107.0
5/5/20,326.0
5/6/20,208.0
5/7/20,137.0
5/8/20,202.0
5/9/20,212.0
5/10/20,166.0
5/11/20,168.0
5/12/20,167.0
5/13/20,161.0
5/14/20,174.0
5/15/20,150.0
5/16/20,181.0
5/17/20,157.0
5/18/20,120.0
5/19/20,141.0
5/20/20,110.0
5/21/20,139.0
5/22/20,151.0
5/23/20,310.0
5/24/20,349.0
5/25/20,257.0
5/26/20,264.0
5/27/20,281.0
5/28/20,403.0
5/29/20,400.0
5/30/20,487.0
5/31/20,445.0
6/1/20,374.0
6/2/20,258.0
6/3/20,514.0
6/4/20,435.0
6/5/20,419.0
6/6/20,541.0
6/7/20,421.0
6/8/20,429.0
6/9/20,379.0
6/10/20,656.0
6/11/20,697.0
6/12/20,625.0
6/13/20,848.0
6/14/20,1359.0
6/15/20,4.0
6/16/20,540.0
6/17/20,635.0
6/18/20,754.0
6/19/20,923.0
6/20/20,948.0
6/21/20,808.0
6/22/20,722.0
6/23/20,562.0
6/24/20,716.0
6/25/20,1007.0
6/26/20,868.0
6/27/20,753.0
6/28/20,1028.0
6/29/20,1099.0
6/30/20,765.0
7/1/20,913.0
7/2/20,774.0
7/3/20,758.0
7/4/20,988.0
7/5/20,1166.0
7/6/20,1185.0
7/7/20,957.0
7/8/20,960.0
7/9/20,965.0
7/10/20,1041.0
7/11/20,1075.0
7/12/20,1301.0
7/13/20,1540.0
7/14/20,923.0
7/15/20,1147.0
7/16/20,1130.0
7/17/20,1035.0
7/18/20,853.0
7/19/20,1207.0
7/20/20,958.0
7/21/20,727.0
7/22/20,753.0
7/23/20,911.0
7/24/20,1176.0
7/25/20,871.0
7/26/20,1432.0
7/27/20,1146.0
7/28/20,781.0
7/29/20,1046.0
7/30/20,922.0
7/31/20,1065.0
8/1/20,1127.0
8/2/20,1070.0
8/3/20,1003.0
8/4/20,968.0
8/5/20,807.0
8/6/20,1187.0
8/7/20,1142.0
8/8/20,1091.0
8/9/20,841.0
8/10/20,902.0
8/11/20,1070.0
8/12/20,913.0
8/13/20,1069.0
8/14/20,956.0
8/15/20,1263.0
8/16/20,1275.0
8/17/20,603.0
8/18/20,247.0
8/19/20,964.0
8/20/20,101.0
8/21/20,537.0
8/22/20,1088.0
8/23/20,1420.0
8/24/20,585.0
8/25/20,896.0
8/26/20,701.0
8/27/20,900.0
8/28/20,642.0
8/29/20,713.0
8/30/20,728.0
8/31/20,917.0
9/1/20,570.0
9/2/20,532.0
9/3/20,830.0
9/4/20,682.0
9/5/20,709.0
9/6/20,738.0
9/7/20,535.0
9/8/20,829.0
9/9/20,635.0
9/10/20,673.0
9/11/20,615.0
9/12/20,711.0
9/13/20,704.0
9/14/20,459.0
9/15/20,628.0
9/16/20,634.0
9/17/20,672.0
9/18/20,741.0
9/19/20,722.0
9/20/20,602.0
9/21/20,607.0
9/22/20,474.0
9/23/20,706.0
9/24/20,736.0
9/25/20,705.0
9/26/20,677.0
9/27/20,447.0
9/28/20,722.0
9/29/20,576.0
9/30/20,742.0
10/1/20,747.0
10/2/20,620.0
10/3/20,691.0
10/4/20,633.0
10/5/20,633.0
10/6/20,683.0
10/7/20,698.0
10/8/20,754.0
10/9/20,787.0
10/10/20,825.0
10/11/20,647.0
10/12/20,489.0
10/13/20,494.0
10/14/20,832.0
10/15/20,755.0
10/16/20,615.0
10/17/20,609.0
10/18/20,638.0
10/19/20,436.0
10/20/20,558.0
10/21/20,696.0
10/22/20,792.0
10/23/20,639.0
10/24/20,649.0
10/25/20,685.0
10/26/20,551.0
10/27/20,671.0
10/28/20,825.0
10/29/20,798.0
10/30/20,822.0
10/31/20,731.0
11/1/20,738.0
11/2/20,579.0
11/3/20,677.0
11/4/20,432.0
11/5/20,543.0
11/6/20,1193.0
11/7/20,746.0
11/8/20,1021.0
11/9/20,804.0
11/10/20,971.0
11/11/20,1163.0
11/12/20,887.0
11/13/20,1125.0
11/14/20,832.0
11/15/20,1344.0
11/16/20,1014.0
11/17/20,1054.0
11/18/20,1112.0
11/19/20,1256.0
11/20/20,1200.0
11/21/20,1288.0
11/22/20,1206.0
11/23/20,875.0
11/24/20,1272.0
11/25/20,1602.0
11/26/20,1755.0
11/27/20,1457.0
11/28/20,1709.0
11/29/20,1276.0
11/30/20,1077.0
12/1/20,1505.0
12/2/20,2028.0
12/3/20,1880.0
12/4/20,2388.0
12/5/20,2300.0
12/6/20,1812.0
12/7/20,1511.0
12/8/20,1936.0
12/9/20,1811.0
12/10/20,2447.0
12/11/20,2355.0
12/12/20,2806.0
12/13/20,2422.0
12/14/20,1612.0
12/15/20,2368.0
12/16/20,2960.0
12/17/20,3348.0
12/18/20,3015.0
12/19/20,3274.0
12/20/20,2755.0
12/21/20,1699.0
12/22/20,3164.0
12/23/20,3059.0
12/24/20,3413.0
12/25/20,2986.0
12/26/20,2064.0
12/27/20,2633.0
12/28/20,2348.0
12/29/20,4574.0
12/30/20,4465.0
12/31/20,4046.0
1/1/21,2943.0
1/2/21,2031.0
1/3/21,1972.0
1/4/21,2494.0
1/5/21,3540.0
1/6/21,5186.0
1/7/21,4135.0
1/8/21,3946.0
1/9/21,3735.0
1/10/21,2424.0
1/11/21,2157.0
1/12/21,3740.0
1/13/21,3315.0
1/14/21,2877.0
1/15/21,2307.0
1/16/21,2677.0
1/17/21,1750.0
1/18/21,1342.0
1/19/21,2173.0
1/20/21,2243.0
1/21/21,1975.0
1/22/21,2041.0
1/23/21,2058.0
1/24/21,1393.0
1/25/21,914.0
1/26/21,1676.0
1/27/21,1566.0
1/28/21,1408.0
1/29/21,1445.0
1/30/21,1200.0
1/31/21,926.0
2/1/21,724.0
2/2/21,1098.0
2/3/21,1181.0
2/4/21,1107.0
2/5/21,998.0
2/6/21,977.0
2/7/21,627.0
2/8/21,563.0
2/9/21,822.0
2/10/21,891.0
2/11/21,708.0
2/12/21,910.0
2/13/21,707.0
2/14/21,487.0
2/15/21,500.0
2/16/21,572.0
2/17/21,504.0
2/18/21,708.0
2/19/21,876.0
2/20/21,698.0
2/21/21,484.0
2/22/21,566.0
2/23/21,718.0
2/24/21,896.0
2/25/21,682.0
2/26/21,398.0
2/27/21,664.0
2/28/21,470.0
3/1/21,505.0
3/2/21,599.0
3/3/21,722.0
3/4/21,540.0
3/5/21,462.0
3/6/21,734.0
3/7/21,357.0
3/8/21,402.0
3/9/21,523.0
3/10/21,542.0
3/11/21,474.0
3/12/21,451.0
3/13/21,415.0
3/14/21,278.0
3/15/21,236.0
3/16/21,425.0
3/17/21,440.0
3/18/21,485.0
3/19/21,715.0
3/20/21,445.0
3/21/21,326.0
3/22/21,222.0
3/23/21,454.0
3/24/21,415.0
3/25/21,497.0
3/26/21,438.0
3/27/21,480.0
3/28/21,342.0
3/29/21,246.0
3/30/21,519.0
3/31/21,447.0
4/1/21,448.0
4/2/21,351.0
4/3/21,223.0
4/4/21,304.0
4/5/21,179.0
4/6/21,357.0
4/7/21,364.0
4/8/21,427.0
4/9/21,394.0
4/10/21,279.0
4/11/21,234.0
4/12/21,181.0
4/13/21,329.0
4/14/21,395.0
4/15/21,314.0
4/16/21,419.0
4/17/21,348.0
4/18/21,244.0
4/19/21,203.0
4/20/21,275.0
4/21/21,359.0
4/22/21,314.0
4/23/21,366.0
4/24/21,338.0
4/25/21,271.0
4/26/21,198.0
4/27/21,368.0
4/28/21,362.0
4/29/21,323.0
4/30/21,358.0
5/1/21,268.0
5/2/21,260.0
5/3/21,195.0
5/4/21,320.0
5/5/21,356.0
5/6/21,389.0
5/7/21,398.0
5/8/21,508.0
5/9/21,386.0
5/10/21,252.0
5/11/21,460.0
5/12/21,562.0
5/13/21,525.0
5/14/21,588.0
5/15/21,490.0
5/16/21,344.0
5/17/21,268.0
5/18/21,539.0
5/19/21,537.0
5/20/21,579.0
5/21/21,508.0
5/22/21,466.0
5/23/21,347.0
5/24/21,235.0
5/25/21,581.0
5/26/21,663.0
5/27/21,637.0
5/28/21,617.0
5/29/21,574.0
5/30/21,348.0
5/31/21,321.0
6/1/21,731.0
6/2/21,678.0
6/3/21,701.0
6/4/21,915.0
6/5/21,827.0
6/6/21,526.0
6/7/21,376.0
6/8/21,882.0
6/9/21,779.0
6/10/21,841.0
6/11/21,916.0
6/12/21,858.0
6/13/21,715.0
6/14/21,483.0
6/15/21,848.0
6/16/21,1048.0
6/17/21,969.0
6/18/21,976.0
6/19/21,978.0
6/20/21,583.0
6/21/21,514.0
6/22/21,1208.0
6/23/21,1077.0
