,Paraguay
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,1.0
3/9/20,0.0
3/10/20,4.0
3/11/20,0.0
3/12/20,1.0
3/13/20,1.0
3/14/20,0.0
3/15/20,1.0
3/16/20,1.0
3/17/20,2.0
3/18/20,0.0
3/19/20,2.0
3/20/20,5.0
3/21/20,4.0
3/22/20,0.0
3/23/20,5.0
3/24/20,10.0
3/25/20,4.0
3/26/20,11.0
3/27/20,4.0
3/28/20,3.0
3/29/20,5.0
3/30/20,1.0
3/31/20,4.0
4/1/20,8.0
4/2/20,15.0
4/3/20,4.0
4/4/20,8.0
4/5/20,9.0
4/6/20,2.0
4/7/20,4.0
4/8/20,5.0
4/9/20,5.0
4/10/20,4.0
4/11/20,1.0
4/12/20,13.0
4/13/20,12.0
4/14/20,2.0
4/15/20,13.0
4/16/20,25.0
4/17/20,3.0
4/18/20,4.0
4/19/20,2.0
4/20/20,0.0
4/21/20,5.0
4/22/20,0.0
4/23/20,7.0
4/24/20,3.0
4/25/20,5.0
4/26/20,0.0
4/27/20,2.0
4/28/20,9.0
4/29/20,10.0
4/30/20,17.0
5/1/20,67.0
5/2/20,37.0
5/3/20,26.0
5/4/20,19.0
5/5/20,16.0
5/6/20,9.0
5/7/20,22.0
5/8/20,101.0
5/9/20,126.0
5/10/20,24.0
5/11/20,11.0
5/12/20,13.0
5/13/20,3.0
5/14/20,14.0
5/15/20,5.0
5/16/20,19.0
5/17/20,8.0
5/18/20,2.0
5/19/20,41.0
5/20/20,4.0
5/21/20,3.0
5/22/20,2.0
5/23/20,12.0
5/24/20,12.0
5/25/20,3.0
5/26/20,12.0
5/27/20,7.0
5/28/20,16.0
5/29/20,17.0
5/30/20,47.0
5/31/20,22.0
6/1/20,9.0
6/2/20,18.0
6/3/20,57.0
6/4/20,16.0
6/5/20,1.0
6/6/20,3.0
6/7/20,45.0
6/8/20,10.0
6/9/20,42.0
6/10/20,15.0
6/11/20,28.0
6/12/20,24.0
6/13/20,7.0
6/14/20,28.0
6/15/20,7.0
6/16/20,7.0
6/17/20,5.0
6/18/20,22.0
6/19/20,6.0
6/20/20,26.0
6/21/20,17.0
6/22/20,13.0
6/23/20,30.0
6/24/20,106.0
6/25/20,41.0
6/26/20,142.0
6/27/20,231.0
6/28/20,185.0
6/29/20,64.0
6/30/20,30.0
7/1/20,39.0
7/2/20,43.0
7/3/20,46.0
7/4/20,36.0
7/5/20,42.0
7/6/20,29.0
7/7/20,46.0
7/8/20,52.0
7/9/20,84.0
7/10/20,98.0
7/11/20,84.0
7/12/20,128.0
7/13/20,32.0
7/14/20,94.0
7/15/20,124.0
7/16/20,144.0
7/17/20,115.0
7/18/20,172.0
7/19/20,92.0
7/20/20,27.0
7/21/20,69.0
7/22/20,183.0
7/23/20,113.0
7/24/20,111.0
7/25/20,104.0
7/26/20,116.0
7/27/20,104.0
7/28/20,126.0
7/29/20,192.0
7/30/20,341.0
7/31/20,131.0
8/1/20,147.0
8/2/20,159.0
8/3/20,80.0
8/4/20,128.0
8/5/20,208.0
8/6/20,315.0
8/7/20,133.0
8/8/20,197.0
8/9/20,202.0
8/10/20,327.0
8/11/20,285.0
8/12/20,499.0
8/13/20,371.0
8/14/20,633.0
8/15/20,359.0
8/16/20,410.0
8/17/20,344.0
8/18/20,471.0
8/19/20,527.0
8/20/20,684.0
8/21/20,719.0
8/22/20,438.0
8/23/20,259.0
8/24/20,369.0
8/25/20,626.0
8/26/20,644.0
8/27/20,418.0
8/28/20,583.0
8/29/20,601.0
8/30/20,631.0
8/31/20,557.0
9/1/20,676.0
9/2/20,800.0
9/3/20,821.0
9/4/20,695.0
9/5/20,1217.0
9/6/20,615.0
9/7/20,867.0
9/8/20,861.0
9/9/20,812.0
9/10/20,605.0
9/11/20,881.0
9/12/20,813.0
9/13/20,493.0
9/14/20,669.0
9/15/20,811.0
9/16/20,1121.0
9/17/20,694.0
9/18/20,1014.0
9/19/20,888.0
9/20/20,505.0
9/21/20,740.0
9/22/20,568.0
9/23/20,743.0
9/24/20,833.0
9/25/20,822.0
9/26/20,696.0
9/27/20,762.0
9/28/20,748.0
9/29/20,669.0
9/30/20,657.0
10/1/20,1041.0
10/2/20,885.0
10/3/20,768.0
10/4/20,730.0
10/5/20,533.0
10/6/20,932.0
10/7/20,788.0
10/8/20,881.0
10/9/20,959.0
10/10/20,703.0
10/11/20,697.0
10/12/20,669.0
10/13/20,853.0
10/14/20,648.0
10/15/20,751.0
10/16/20,886.0
10/17/20,533.0
10/18/20,709.0
10/19/20,728.0
10/20/20,621.0
10/21/20,746.0
10/22/20,707.0
10/23/20,733.0
10/24/20,784.0
10/25/20,551.0
10/26/20,515.0
10/27/20,448.0
10/28/20,733.0
10/29/20,760.0
10/30/20,546.0
10/31/20,589.0
11/1/20,546.0
11/2/20,425.0
11/3/20,472.0
11/4/20,630.0
11/5/20,520.0
11/6/20,703.0
11/7/20,460.0
11/8/20,648.0
11/9/20,359.0
11/10/20,549.0
11/11/20,609.0
11/12/20,547.0
11/13/20,739.0
11/14/20,673.0
11/15/20,509.0
11/16/20,525.0
11/17/20,758.0
11/18/20,782.0
11/19/20,856.0
11/20/20,563.0
11/21/20,799.0
11/22/20,619.0
11/23/20,596.0
11/24/20,819.0
11/25/20,987.0
11/26/20,639.0
11/27/20,919.0
11/28/20,695.0
11/29/20,775.0
11/30/20,518.0
12/1/20,1055.0
12/2/20,1003.0
12/3/20,995.0
12/4/20,1022.0
12/5/20,714.0
12/6/20,707.0
12/7/20,803.0
12/8/20,698.0
12/9/20,725.0
12/10/20,812.0
12/11/20,1155.0
12/12/20,800.0
12/13/20,669.0
12/14/20,641.0
12/15/20,1130.0
12/16/20,856.0
12/17/20,819.0
12/18/20,1268.0
12/19/20,861.0
12/20/20,632.0
12/21/20,823.0
12/22/20,932.0
12/23/20,827.0
12/24/20,958.0
12/25/20,559.0
12/26/20,274.0
12/27/20,260.0
12/28/20,952.0
12/29/20,762.0
12/30/20,822.0
12/31/20,974.0
1/1/21,417.0
1/2/21,369.0
1/3/21,355.0
1/4/21,764.0
1/5/21,959.0
1/6/21,898.0
1/7/21,1162.0
1/8/21,1138.0
1/9/21,1032.0
1/10/21,707.0
1/11/21,802.0
1/12/21,1055.0
1/13/21,1002.0
1/14/21,1048.0
1/15/21,1149.0
1/16/21,859.0
1/17/21,512.0
1/18/21,428.0
1/19/21,771.0
1/20/21,1088.0
1/21/21,1071.0
1/22/21,852.0
1/23/21,711.0
1/24/21,571.0
1/25/21,714.0
1/26/21,1028.0
1/27/21,769.0
1/28/21,754.0
1/29/21,969.0
1/30/21,662.0
1/31/21,679.0
2/1/21,554.0
2/2/21,701.0
2/3/21,747.0
2/4/21,794.0
2/5/21,867.0
2/6/21,713.0
2/7/21,515.0
2/8/21,827.0
2/9/21,874.0
2/10/21,978.0
2/11/21,978.0
2/12/21,823.0
2/13/21,845.0
2/14/21,599.0
2/15/21,1053.0
2/16/21,1121.0
2/17/21,1037.0
2/18/21,1369.0
2/19/21,1062.0
2/20/21,1047.0
2/21/21,987.0
2/22/21,940.0
2/23/21,1132.0
2/24/21,1114.0
2/25/21,1285.0
2/26/21,1414.0
2/27/21,934.0
2/28/21,937.0
3/1/21,974.0
3/2/21,1082.0
3/3/21,1341.0
3/4/21,1439.0
3/5/21,1501.0
3/6/21,1158.0
3/7/21,1074.0
3/8/21,1817.0
3/9/21,2125.0
3/10/21,2028.0
3/11/21,1814.0
3/12/21,1766.0
3/13/21,1479.0
3/14/21,942.0
3/15/21,1400.0
3/16/21,1934.0
3/17/21,2540.0
3/18/21,2605.0
3/19/21,2006.0
3/20/21,2100.0
3/21/21,1523.0
3/22/21,1990.0
3/23/21,2023.0
3/24/21,2688.0
3/25/21,1877.0
3/26/21,2004.0
3/27/21,1893.0
3/28/21,2058.0
3/29/21,1770.0
3/30/21,2266.0
3/31/21,1976.0
4/1/21,1611.0
4/2/21,1608.0
4/3/21,1507.0
4/4/21,1814.0
4/5/21,1456.0
4/6/21,2073.0
4/7/21,2380.0
4/8/21,2479.0
4/9/21,2547.0
4/10/21,1603.0
4/11/21,1547.0
4/12/21,2250.0
4/13/21,2599.0
4/14/21,2020.0
4/15/21,2367.0
4/16/21,2278.0
4/17/21,1558.0
4/18/21,1801.0
4/19/21,2278.0
4/20/21,2603.0
4/21/21,2660.0
4/22/21,2676.0
4/23/21,2752.0
4/24/21,2162.0
4/25/21,1786.0
4/26/21,2271.0
4/27/21,2461.0
4/28/21,2356.0
4/29/21,2695.0
4/30/21,2212.0
5/1/21,1946.0
5/2/21,1520.0
5/3/21,1910.0
5/4/21,2214.0
5/5/21,2307.0
5/6/21,2566.0
5/7/21,2693.0
5/8/21,2073.0
5/9/21,1483.0
5/10/21,1895.0
5/11/21,2377.0
5/12/21,2828.0
5/13/21,2568.0
5/14/21,2181.0
5/15/21,2108.0
5/16/21,1781.0
5/17/21,2020.0
5/18/21,2704.0
5/19/21,2781.0
5/20/21,3031.0
5/21/21,3166.0
5/22/21,3228.0
5/23/21,2514.0
5/24/21,2720.0
5/25/21,3223.0
5/26/21,3307.0
5/27/21,3136.0
5/28/21,2827.0
5/29/21,2429.0
5/30/21,2075.0
5/31/21,2696.0
6/1/21,2860.0
6/2/21,3196.0
6/3/21,3262.0
6/4/21,3481.0
6/5/21,2838.0
6/6/21,2144.0
6/7/21,2833.0
6/8/21,3135.0
6/9/21,3098.0
6/10/21,2758.0
6/11/21,2698.0
6/12/21,1963.0
6/13/21,1786.0
6/14/21,2046.0
6/15/21,2667.0
6/16/21,2612.0
6/17/21,2482.0
6/18/21,2149.0
6/19/21,1683.0
6/20/21,1145.0
6/21/21,1501.0
