,Peru
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,0.0
3/8/20,5.0
3/9/20,1.0
3/10/20,4.0
3/11/20,0.0
3/12/20,4.0
3/13/20,13.0
3/14/20,10.0
3/15/20,5.0
3/16/20,43.0
3/17/20,31.0
3/18/20,28.0
3/19/20,89.0
3/20/20,0.0
3/21/20,84.0
3/22/20,45.0
3/23/20,32.0
3/24/20,21.0
3/25/20,64.0
3/26/20,100.0
3/27/20,55.0
3/28/20,36.0
3/29/20,181.0
3/30/20,98.0
3/31/20,115.0
4/1/20,258.0
4/2/20,91.0
4/3/20,181.0
4/4/20,151.0
4/5/20,535.0
4/6/20,280.0
4/7/20,393.0
4/8/20,1388.0
4/9/20,914.0
4/10/20,641.0
4/11/20,951.0
4/12/20,671.0
4/13/20,2265.0
4/14/20,519.0
4/15/20,1172.0
4/16/20,1016.0
4/17/20,998.0
4/18/20,931.0
4/19/20,1208.0
4/20/20,697.0
4/21/20,1512.0
4/22/20,1413.0
4/23/20,1664.0
4/24/20,734.0
4/25/20,3683.0
4/26/20,2186.0
4/27/20,1182.0
4/28/20,2491.0
4/29/20,2741.0
4/30/20,3045.0
5/1/20,3483.0
5/2/20,2075.0
5/3/20,3394.0
5/4/20,1444.0
5/5/20,3817.0
5/6/20,3628.0
5/7/20,3709.0
5/8/20,3321.0
5/9/20,3168.0
5/10/20,2292.0
5/11/20,1515.0
5/12/20,3237.0
5/13/20,4247.0
5/14/20,4298.0
5/15/20,3891.0
5/16/20,4046.0
5/17/20,3732.0
5/18/20,2660.0
5/19/20,4550.0
5/20/20,4537.0
5/21/20,4749.0
5/22/20,2929.0
5/23/20,4056.0
5/24/20,4205.0
5/25/20,4020.0
5/26/20,5772.0
5/27/20,6154.0
5/28/20,5874.0
5/29/20,6506.0
5/30/20,7386.0
5/31/20,8805.0
6/1/20,5563.0
6/2/20,8126.0
6/3/20,749.0
6/4/20,4284.0
6/5/20,4202.0
6/6/20,4358.0
6/7/20,4757.0
6/8/20,3181.0
6/9/20,4040.0
6/10/20,5087.0
6/11/20,5965.0
6/12/20,0.0
6/13/20,5961.0
6/14/20,8987.0
6/15/20,3256.0
6/16/20,4164.0
6/17/20,3752.0
6/18/20,3480.0
6/19/20,3537.0
6/20/20,3413.0
6/21/20,3598.0
6/22/20,2511.0
6/23/20,3363.0
6/24/20,3879.0
6/25/20,3913.0
6/26/20,3762.0
6/27/20,3625.0
6/28/20,3430.0
6/29/20,2946.0
6/30/20,2848.0
7/1/20,3264.0
7/2/20,3527.0
7/3/20,3595.0
7/4/20,3481.0
7/5/20,3638.0
7/6/20,2985.0
7/7/20,3575.0
7/8/20,3633.0
7/9/20,3537.0
7/10/20,3198.0
7/11/20,3064.0
7/12/20,3616.0
7/13/20,3797.0
7/14/20,3744.0
7/15/20,3884.0
7/16/20,3835.0
7/17/20,3951.0
7/18/20,3963.0
7/19/20,4090.0
7/20/20,4091.0
7/21/20,4406.0
7/22/20,4463.0
7/23/20,4546.0
7/24/20,4865.0
7/25/20,0.0
7/26/20,0.0
7/27/20,13756.0
7/28/20,5288.0
7/29/20,5678.0
7/30/20,0.0
7/31/20,6809.0
8/1/20,0.0
8/2/20,21358.0
8/3/20,4250.0
8/4/20,6790.0
8/5/20,7734.0
8/6/20,7785.0
8/7/20,8466.0
8/8/20,0.0
8/9/20,14149.0
8/10/20,5109.0
8/11/20,6547.0
8/12/20,0.0
8/13/20,8875.0
8/14/20,17741.0
8/15/20,0.0
8/16/20,9507.0
8/17/20,10143.0
8/18/20,5547.0
8/19/20,7828.0
8/20/20,9099.0
8/21/20,8639.0
8/22/20,9008.0
8/23/20,9169.0
8/24/20,9090.0
8/25/20,6112.0
8/26/20,6944.0
8/27/20,5996.0
8/28/20,8619.0
8/29/20,7964.0
8/30/20,9474.0
8/31/20,7731.0
9/1/20,4871.0
9/2/20,5092.0
9/3/20,0.0
9/4/20,13016.0
9/5/20,6703.0
9/6/20,6854.0
9/7/20,6275.0
9/8/20,1598.0
9/9/20,4615.0
9/10/20,6586.0
9/11/20,7291.0
9/12/20,6603.0
9/13/20,6162.0
9/14/20,6787.0
9/15/20,4241.0
9/16/20,4160.0
9/17/20,6380.0
9/18/20,5698.0
9/19/20,6314.0
9/20/20,6453.0
9/21/20,6030.0
9/22/20,0.0
9/23/20,7651.0
9/24/20,6149.0
9/25/20,11889.0
9/26/20,0.0
9/27/20,5558.0
9/28/20,5160.0
9/29/20,3412.0
9/30/20,3054.0
10/1/20,3061.0
10/2/20,3468.0
10/3/20,3267.0
10/4/20,0.0
10/5/20,6605.0
10/6/20,1830.0
10/7/20,2930.0
10/8/20,2733.0
10/9/20,2952.0
10/10/20,7474.0
10/11/20,3283.0
10/12/20,1800.0
10/13/20,2803.0
10/14/20,0.0
10/15/20,5766.0
10/16/20,0.0
10/17/20,2677.0
10/18/20,3132.0
10/19/20,3126.0
10/20/20,2201.0
10/21/20,3242.0
10/22/20,5758.0
10/23/20,0.0
10/24/20,3240.0
10/25/20,5599.0
10/26/20,0.0
10/27/20,1859.0
10/28/20,1923.0
10/29/20,2431.0
10/30/20,2666.0
10/31/20,2586.0
11/1/20,2323.0
11/2/20,0.0
11/3/20,0.0
11/4/20,9284.0
11/5/20,2935.0
11/6/20,0.0
11/7/20,2781.0
11/8/20,2507.0
11/9/20,2323.0
11/10/20,1194.0
11/11/20,1904.0
11/12/20,2575.0
11/13/20,2231.0
11/14/20,2413.0
11/15/20,2249.0
11/16/20,2112.0
11/17/20,1257.0
11/18/20,1663.0
11/19/20,0.0
11/20/20,3986.0
11/21/20,4164.0
11/22/20,0.0
11/23/20,1589.0
11/24/20,887.0
11/25/20,1882.0
11/26/20,0.0
11/27/20,3908.0
11/28/20,4021.0
11/29/20,2162.0
11/30/20,0.0
12/1/20,1075.0
12/2/20,0.0
12/3/20,3470.0
12/4/20,0.0
12/5/20,3785.0
12/6/20,1828.0
12/7/20,1224.0
12/8/20,0.0
12/9/20,2709.0
12/10/20,2490.0
12/11/20,0.0
12/12/20,1832.0
12/13/20,0.0
12/14/20,4030.0
12/15/20,1157.0
12/16/20,0.0
12/17/20,3327.0
12/18/20,0.0
12/19/20,0.0
12/20/20,6442.0
12/21/20,1618.0
12/22/20,958.0
12/23/20,1678.0
12/24/20,0.0
12/25/20,3829.0
12/26/20,1564.0
12/27/20,0.0
12/28/20,2111.0
12/29/20,1251.0
12/30/20,1588.0
12/31/20,4641.0
1/1/21,0.0
1/2/21,0.0
1/3/21,2962.0
1/4/21,1376.0
1/5/21,0.0
1/6/21,2543.0
1/7/21,0.0
1/8/21,4162.0
1/9/21,0.0
1/10/21,0.0
1/11/21,9004.0
1/12/21,2166.0
1/13/21,2881.0
1/14/21,0.0
1/15/21,15792.0
1/16/21,0.0
1/17/21,4544.0
1/18/21,0.0
1/19/21,0.0
1/20/21,12647.0
1/21/21,0.0
1/22/21,9693.0
1/23/21,0.0
1/24/21,11031.0
1/25/21,0.0
1/26/21,13301.0
1/27/21,0.0
1/28/21,6731.0
1/29/21,5715.0
1/30/21,13337.0
1/31/21,5217.0
2/1/21,0.0
2/2/21,4477.0
2/3/21,15621.0
2/4/21,0.0
2/5/21,6715.0
2/6/21,7993.0
2/7/21,13653.0
2/8/21,0.0
2/9/21,10080.0
2/10/21,0.0
2/11/21,6724.0
2/12/21,8807.0
2/13/21,8439.0
2/14/21,14550.0
2/15/21,3203.0
2/16/21,0.0
2/17/21,6228.0
2/18/21,7408.0
2/19/21,9667.0
2/20/21,7719.0
2/21/21,13786.0
2/22/21,0.0
2/23/21,3448.0
2/24/21,6740.0
2/25/21,7302.0
2/26/21,15564.0
2/27/21,7500.0
2/28/21,0.0
3/1/21,5942.0
3/2/21,8492.0
3/3/21,0.0
3/4/21,6672.0
3/5/21,4878.0
3/6/21,8447.0
3/7/21,6670.0
3/8/21,6212.0
3/9/21,8847.0
3/10/21,0.0
3/11/21,7434.0
3/12/21,7114.0
3/13/21,8039.0
3/14/21,5353.0
3/15/21,4443.0
3/16/21,6568.0
3/17/21,16624.0
3/18/21,0.0
3/19/21,16047.0
3/20/21,0.0
3/21/21,14681.0
3/22/21,0.0
3/23/21,14933.0
3/24/21,0.0
3/25/21,19206.0
3/26/21,11919.0
3/27/21,8589.0
3/28/21,8909.0
3/29/21,3239.0
3/30/21,0.0
3/31/21,15686.0
4/1/21,12916.0
4/2/21,6622.0
4/3/21,5616.0
4/4/21,8406.0
4/5/21,7842.0
4/6/21,0.0
4/7/21,8384.0
4/8/21,19271.0
4/9/21,10655.0
4/10/21,11248.0
4/11/21,7927.0
4/12/21,5626.0
4/13/21,6387.0
4/14/21,8030.0
4/15/21,0.0
4/16/21,13326.0
4/17/21,16563.0
4/18/21,0.0
4/19/21,10161.0
4/20/21,11301.0
4/21/21,0.0
4/22/21,15518.0
4/23/21,11049.0
4/24/21,8495.0
4/25/21,7425.0
4/26/21,6611.0
4/27/21,0.0
4/28/21,15153.0
4/29/21,0.0
4/30/21,16106.0
5/1/21,0.0
5/2/21,11553.0
5/3/21,3129.0
5/4/21,4562.0
5/5/21,0.0
5/6/21,5768.0
5/7/21,0.0
5/8/21,20599.0
5/9/21,5234.0
5/10/21,0.0
5/11/21,3080.0
5/12/21,12269.0
5/13/21,0.0
5/14/21,13410.0
5/15/21,0.0
5/16/21,10003.0
5/17/21,0.0
5/18/21,4282.0
5/19/21,10281.0
5/20/21,0.0
5/21/21,6745.0
5/22/21,10491.0
5/23/21,4438.0
5/24/21,0.0
5/25/21,6966.0
5/26/21,4990.0
5/27/21,4809.0
5/28/21,0.0
5/29/21,5501.0
5/30/21,0.0
5/31/21,7914.0
6/1/21,0.0
6/2/21,9963.0
