,Philippines
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,1.0
1/31/20,0.0
2/1/20,0.0
2/2/20,1.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,1.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,2.0
3/7/20,1.0
3/8/20,4.0
3/9/20,10.0
3/10/20,13.0
3/11/20,16.0
3/12/20,3.0
3/13/20,12.0
3/14/20,47.0
3/15/20,29.0
3/16/20,2.0
3/17/20,45.0
3/18/20,15.0
3/19/20,15.0
3/20/20,13.0
3/21/20,77.0
3/22/20,73.0
3/23/20,82.0
3/24/20,90.0
3/25/20,84.0
3/26/20,71.0
3/27/20,96.0
3/28/20,272.0
3/29/20,343.0
3/30/20,128.0
3/31/20,538.0
4/1/20,227.0
4/2/20,322.0
4/3/20,385.0
4/4/20,76.0
4/5/20,152.0
4/6/20,414.0
4/7/20,104.0
4/8/20,106.0
4/9/20,206.0
4/10/20,119.0
4/11/20,233.0
4/12/20,220.0
4/13/20,284.0
4/14/20,291.0
4/15/20,230.0
4/16/20,207.0
4/17/20,218.0
4/18/20,209.0
4/19/20,172.0
4/20/20,200.0
4/21/20,140.0
4/22/20,111.0
4/23/20,271.0
4/24/20,211.0
4/25/20,102.0
4/26/20,285.0
4/27/20,198.0
4/28/20,181.0
4/29/20,254.0
4/30/20,276.0
5/1/20,284.0
5/2/20,156.0
5/3/20,295.0
5/4/20,262.0
5/5/20,199.0
5/6/20,320.0
5/7/20,339.0
5/8/20,120.0
5/9/20,147.0
5/10/20,184.0
5/11/20,292.0
5/12/20,264.0
5/13/20,268.0
5/14/20,258.0
5/15/20,215.0
5/16/20,214.0
5/17/20,208.0
5/18/20,205.0
5/19/20,224.0
5/20/20,279.0
5/21/20,213.0
5/22/20,163.0
5/23/20,180.0
5/24/20,258.0
5/25/20,284.0
5/26/20,350.0
5/27/20,380.0
5/28/20,539.0
5/29/20,1046.0
5/30/20,590.0
5/31/20,862.0
6/1/20,552.0
6/2/20,359.0
6/3/20,751.0
6/4/20,634.0
6/5/20,244.0
6/6/20,714.0
6/7/20,555.0
6/8/20,579.0
6/9/20,518.0
6/10/20,740.0
6/11/20,443.0
6/12/20,612.0
6/13/20,605.0
6/14/20,538.0
6/15/20,490.0
6/16/20,361.0
6/17/20,457.0
6/18/20,561.0
6/19/20,660.0
6/20/20,941.0
6/21/20,652.0
6/22/20,630.0
6/23/20,1143.0
6/24/20,470.0
6/25/20,774.0
6/26/20,1004.0
6/27/20,730.0
6/28/20,652.0
6/29/20,983.0
6/30/20,1076.0
7/1/20,997.0
7/2/20,294.0
7/3/20,1531.0
7/4/20,1494.0
7/5/20,2424.0
7/6/20,2079.0
7/7/20,1540.0
7/8/20,2486.0
7/9/20,1395.0
7/10/20,1160.0
7/11/20,1308.0
7/12/20,2037.0
7/13/20,747.0
7/14/20,539.0
7/15/20,1305.0
7/16/20,2416.0
7/17/20,1735.0
7/18/20,2303.0
7/19/20,2152.0
7/20/20,1442.0
7/21/20,1866.0
7/22/20,1505.0
7/23/20,2121.0
7/24/20,2054.0
7/25/20,1968.0
7/26/20,2036.0
7/27/20,1592.0
7/28/20,1633.0
7/29/20,1813.0
7/30/20,3888.0
7/31/20,3980.0
8/1/20,4878.0
8/2/20,4953.0
8/3/20,3145.0
8/4/20,6263.0
8/5/20,3387.0
8/6/20,3480.0
8/7/20,3294.0
8/8/20,4131.0
8/9/20,3028.0
8/10/20,6725.0
8/11/20,2900.0
8/12/20,4211.0
8/13/20,3777.0
8/14/20,6134.0
8/15/20,4258.0
8/16/20,3335.0
8/17/20,3221.0
8/18/20,4739.0
8/19/20,4561.0
8/20/20,4248.0
8/21/20,4343.0
8/22/20,4884.0
8/23/20,2352.0
8/24/20,4651.0
8/25/20,2912.0
8/26/20,5197.0
8/27/20,3220.0
8/28/20,3963.0
8/29/20,3587.0
8/30/20,4265.0
8/31/20,3423.0
9/1/20,3445.0
9/2/20,2176.0
9/3/20,1963.0
9/4/20,3669.0
9/5/20,2498.0
9/6/20,2795.0
9/7/20,1362.0
9/8/20,3260.0
9/9/20,3156.0
9/10/20,3804.0
9/11/20,4017.0
9/12/20,4899.0
9/13/20,3353.0
9/14/20,4672.0
9/15/20,3519.0
9/16/20,3527.0
9/17/20,3355.0
9/18/20,3237.0
9/19/20,3934.0
9/20/20,3283.0
9/21/20,3447.0
9/22/20,1599.0
9/23/20,2802.0
9/24/20,2164.0
9/25/20,2606.0
9/26/20,1895.0
9/27/20,2970.0
9/28/20,3062.0
9/29/20,2015.0
9/30/20,2391.0
10/1/20,2385.0
10/2/20,2599.0
10/3/20,2652.0
10/4/20,3167.0
10/5/20,2265.0
10/6/20,2071.0
10/7/20,2804.0
10/8/20,2232.0
10/9/20,2901.0
10/10/20,2156.0
10/11/20,2415.0
10/12/20,3475.0
10/13/20,1897.0
10/14/20,1823.0
10/15/20,2162.0
10/16/20,3052.0
10/17/20,2588.0
10/18/20,2280.0
10/19/20,2551.0
10/20/20,1606.0
10/21/20,1468.0
10/22/20,1645.0
10/23/20,1911.0
10/24/20,2020.0
10/25/20,2209.0
10/26/20,1602.0
10/27/20,1514.0
10/28/20,2036.0
10/29/20,1755.0
10/30/20,1998.0
10/31/20,1796.0
11/1/20,2384.0
11/2/20,2287.0
11/3/20,1761.0
11/4/20,976.0
11/5/20,1588.0
11/6/20,2084.0
11/7/20,2152.0
11/8/20,2434.0
11/9/20,2054.0
11/10/20,1300.0
11/11/20,1667.0
11/12/20,1404.0
11/13/20,1893.0
11/14/20,1624.0
11/15/20,1501.0
11/16/20,1736.0
11/17/20,1144.0
11/18/20,1379.0
11/19/20,1333.0
11/20/20,1637.0
11/21/20,1785.0
11/22/20,1966.0
11/23/20,1796.0
11/24/20,1108.0
11/25/20,1193.0
11/26/20,1382.0
11/27/20,1621.0
11/28/20,1879.0
11/29/20,2067.0
11/30/20,1766.0
12/1/20,1295.0
12/2/20,1432.0
12/3/20,1056.0
12/4/20,932.0
12/5/20,1724.0
12/6/20,1765.0
12/7/20,1565.0
12/8/20,1386.0
12/9/20,1379.0
12/10/20,1376.0
12/11/20,1499.0
12/12/20,1292.0
12/13/20,1069.0
12/14/20,1333.0
12/15/20,1106.0
12/16/20,1149.0
12/17/20,1459.0
12/18/20,2115.0
12/19/20,1482.0
12/20/20,1745.0
12/21/20,1716.0
12/22/20,1310.0
12/23/20,1189.0
12/24/20,1720.0
12/25/20,1877.0
12/26/20,1404.0
12/27/20,881.0
12/28/20,764.0
12/29/20,876.0
12/30/20,1006.0
12/31/20,1532.0
1/1/21,1756.0
1/2/21,1096.0
1/3/21,891.0
1/4/21,954.0
1/5/21,932.0
1/6/21,1044.0
1/7/21,1346.0
1/8/21,1769.0
1/9/21,1945.0
1/10/21,1893.0
1/11/21,2046.0
1/12/21,1522.0
1/13/21,1442.0
1/14/21,1905.0
1/15/21,2041.0
1/16/21,2045.0
1/17/21,1886.0
1/18/21,2159.0
1/19/21,1348.0
1/20/21,1855.0
1/21/21,1778.0
1/22/21,2170.0
1/23/21,1792.0
1/24/21,1940.0
1/25/21,1377.0
1/26/21,1170.0
1/27/21,2241.0
1/28/21,1168.0
1/29/21,1838.0
1/30/21,2103.0
1/31/21,2102.0
2/1/21,1654.0
2/2/21,1581.0
2/3/21,1265.0
2/4/21,1581.0
2/5/21,1888.0
2/6/21,1934.0
2/7/21,1789.0
2/8/21,1685.0
2/9/21,1232.0
2/10/21,1333.0
2/11/21,1722.0
2/12/21,2018.0
2/13/21,1955.0
2/14/21,1921.0
2/15/21,1684.0
2/16/21,1386.0
2/17/21,1178.0
2/18/21,1739.0
2/19/21,1895.0
2/20/21,2230.0
2/21/21,1881.0
2/22/21,2287.0
2/23/21,1409.0
2/24/21,1555.0
2/25/21,2260.0
2/26/21,2647.0
2/27/21,2920.0
2/28/21,2105.0
3/1/21,2029.0
3/2/21,2061.0
3/3/21,1781.0
3/4/21,2444.0
3/5/21,3037.0
3/6/21,3434.0
3/7/21,3274.0
3/8/21,3351.0
3/9/21,2665.0
3/10/21,2880.0
3/11/21,3740.0
3/12/21,4570.0
3/13/21,4993.0
3/14/21,4887.0
3/15/21,5395.0
3/16/21,4427.0
3/17/21,4378.0
3/18/21,5286.0
3/19/21,7082.0
3/20/21,7990.0
3/21/21,7738.0
3/22/21,7998.0
3/23/21,5861.0
3/24/21,6658.0
3/25/21,8737.0
3/26/21,9808.0
3/27/21,9586.0
3/28/21,9450.0
3/29/21,10002.0
3/30/21,9287.0
3/31/21,6107.0
4/1/21,8911.0
4/2/21,15298.0
4/3/21,12546.0
4/4/21,11008.0
4/5/21,8347.0
4/6/21,9362.0
4/7/21,6404.0
4/8/21,9202.0
4/9/21,12188.0
4/10/21,12655.0
4/11/21,11659.0
4/12/21,11357.0
4/13/21,8558.0
4/14/21,8097.0
4/15/21,11405.0
4/16/21,10686.0
4/17/21,11081.0
4/18/21,10081.0
4/19/21,9612.0
4/20/21,7361.0
4/21/21,9201.0
4/22/21,8742.0
4/23/21,8691.0
4/24/21,9640.0
4/25/21,8143.0
4/26/21,8905.0
4/27/21,7190.0
4/28/21,6877.0
4/29/21,8243.0
4/30/21,8722.0
5/1/21,9193.0
5/2/21,8330.0
5/3/21,7242.0
5/4/21,5667.0
5/5/21,5663.0
5/6/21,6617.0
5/7/21,7713.0
5/8/21,6964.0
5/9/21,7141.0
5/10/21,6836.0
5/11/21,4721.0
5/12/21,4812.0
5/13/21,6365.0
5/14/21,6743.0
5/15/21,6720.0
5/16/21,5776.0
5/17/21,5962.0
5/18/21,4463.0
5/19/21,4683.0
5/20/21,6084.0
5/21/21,6248.0
5/22/21,6814.0
5/23/21,1595.0
5/24/21,4894.0
5/25/21,3966.0
5/26/21,5304.0
5/27/21,6454.0
5/28/21,8724.0
5/29/21,7428.0
5/30/21,7045.0
5/31/21,6674.0
6/1/21,5166.0
6/2/21,5249.0
