,Romania
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,1.0
2/27/20,0.0
2/28/20,2.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,1.0
3/5/20,2.0
3/6/20,3.0
3/7/20,0.0
3/8/20,6.0
3/9/20,0.0
3/10/20,10.0
3/11/20,20.0
3/12/20,4.0
3/13/20,40.0
3/14/20,34.0
3/15/20,8.0
3/16/20,27.0
3/17/20,26.0
3/18/20,76.0
3/19/20,17.0
3/20/20,31.0
3/21/20,59.0
3/22/20,66.0
3/23/20,143.0
3/24/20,218.0
3/25/20,112.0
3/26/20,123.0
3/27/20,263.0
3/28/20,160.0
3/29/20,363.0
3/30/20,294.0
3/31/20,136.0
4/1/20,215.0
4/2/20,278.0
4/3/20,445.0
4/4/20,430.0
4/5/20,251.0
4/6/20,193.0
4/7/20,360.0
4/8/20,344.0
4/9/20,441.0
4/10/20,265.0
4/11/20,523.0
4/12/20,310.0
4/13/20,333.0
4/14/20,246.0
4/15/20,337.0
4/16/20,491.0
4/17/20,360.0
4/18/20,351.0
4/19/20,328.0
4/20/20,190.0
4/21/20,306.0
4/22/20,468.0
4/23/20,386.0
4/24/20,321.0
4/25/20,218.0
4/26/20,401.0
4/27/20,303.0
4/28/20,277.0
4/29/20,362.0
4/30/20,262.0
5/1/20,327.0
5/2/20,165.0
5/3/20,431.0
5/4/20,349.0
5/5/20,325.0
5/6/20,270.0
5/7/20,392.0
5/8/20,312.0
5/9/20,320.0
5/10/20,231.0
5/11/20,226.0
5/12/20,190.0
5/13/20,224.0
5/14/20,245.0
5/15/20,190.0
5/16/20,267.0
5/17/20,167.0
5/18/20,165.0
5/19/20,155.0
5/20/20,196.0
5/21/20,198.0
5/22/20,127.0
5/23/20,145.0
5/24/20,213.0
5/25/20,213.0
5/26/20,146.0
5/27/20,165.0
5/28/20,197.0
5/29/20,191.0
5/30/20,151.0
5/31/20,124.0
6/1/20,141.0
6/2/20,119.0
6/3/20,152.0
6/4/20,238.0
6/5/20,196.0
6/6/20,187.0
6/7/20,189.0
6/8/20,125.0
6/9/20,145.0
6/10/20,196.0
6/11/20,237.0
6/12/20,222.0
6/13/20,275.0
6/14/20,320.0
6/15/20,166.0
6/16/20,250.0
6/17/20,345.0
6/18/20,320.0
6/19/20,320.0
6/20/20,330.0
6/21/20,315.0
6/22/20,246.0
6/23/20,214.0
6/24/20,321.0
6/25/20,460.0
6/26/20,411.0
6/27/20,325.0
6/28/20,291.0
6/29/20,269.0
6/30/20,388.0
7/1/20,326.0
7/2/20,450.0
7/3/20,420.0
7/4/20,416.0
7/5/20,391.0
7/6/20,250.0
7/7/20,397.0
7/8/20,555.0
7/9/20,614.0
7/10/20,592.0
7/11/20,698.0
7/12/20,456.0
7/13/20,413.0
7/14/20,637.0
7/15/20,641.0
7/16/20,777.0
7/17/20,799.0
7/18/20,889.0
7/19/20,767.0
7/20/20,681.0
7/21/20,994.0
7/22/20,1030.0
7/23/20,1112.0
7/24/20,1119.0
7/25/20,1284.0
7/26/20,1120.0
7/27/20,1104.0
7/28/20,1151.0
7/29/20,1182.0
7/30/20,1356.0
7/31/20,1295.0
8/1/20,1225.0
8/2/20,1075.0
8/3/20,823.0
8/4/20,1232.0
8/5/20,1309.0
8/6/20,1345.0
8/7/20,1378.0
8/8/20,1350.0
8/9/20,1145.0
8/10/20,779.0
8/11/20,1215.0
8/12/20,1415.0
8/13/20,1454.0
8/14/20,1415.0
8/15/20,1328.0
8/16/20,1087.0
8/17/20,733.0
8/18/20,1014.0
8/19/20,1409.0
8/20/20,1346.0
8/21/20,1392.0
8/22/20,1189.0
8/23/20,961.0
8/24/20,825.0
8/25/20,1060.0
8/26/20,1256.0
8/27/20,1504.0
8/28/20,1318.0
8/29/20,1365.0
8/30/20,952.0
8/31/20,755.0
9/1/20,1053.0
9/2/20,1298.0
9/3/20,1365.0
9/4/20,1339.0
9/5/20,1269.0
9/6/20,1150.0
9/7/20,883.0
9/8/20,1136.0
9/9/20,1271.0
9/10/20,1380.0
9/11/20,1391.0
9/12/20,1311.0
9/13/20,1109.0
9/14/20,692.0
9/15/20,1111.0
9/16/20,1713.0
9/17/20,1679.0
9/18/20,1527.0
9/19/20,1333.0
9/20/20,1231.0
9/21/20,808.0
9/22/20,1059.0
9/23/20,1767.0
9/24/20,1639.0
9/25/20,1629.0
9/26/20,1552.0
9/27/20,1438.0
9/28/20,1271.0
9/29/20,1470.0
9/30/20,2158.0
10/1/20,2086.0
10/2/20,2343.0
10/3/20,2064.0
10/4/20,1835.0
10/5/20,1591.0
10/6/20,2121.0
10/7/20,2958.0
10/8/20,3130.0
10/9/20,3186.0
10/10/20,3517.0
10/11/20,2880.0
10/12/20,2069.0
10/13/20,3109.0
10/14/20,4016.0
10/15/20,4013.0
10/16/20,4026.0
10/17/20,3952.0
10/18/20,3920.0
10/19/20,2466.0
10/20/20,3400.0
10/21/20,4848.0
10/22/20,4902.0
10/23/20,5028.0
10/24/20,4761.0
10/25/20,3855.0
10/26/20,2844.0
10/27/20,4724.0
10/28/20,5343.0
10/29/20,6481.0
10/30/20,6546.0
10/31/20,5753.0
11/1/20,5324.0
11/2/20,4041.0
11/3/20,7733.0
11/4/20,8651.0
11/5/20,9714.0
11/6/20,10260.0
11/7/20,9937.0
11/8/20,6752.0
11/9/20,3240.0
11/10/20,7304.0
11/11/20,9799.0
11/12/20,10142.0
11/13/20,9489.0
11/14/20,9460.0
11/15/20,7096.0
11/16/20,4931.0
11/17/20,8262.0
11/18/20,10269.0
11/19/20,10108.0
11/20/20,9272.0
11/21/20,9685.0
11/22/20,5837.0
11/23/20,4207.0
11/24/20,7753.0
11/25/20,9739.0
11/26/20,9005.0
11/27/20,8499.0
11/28/20,8134.0
11/29/20,5554.0
11/30/20,3826.0
12/1/20,4272.0
12/2/20,4916.0
12/3/20,7661.0
12/4/20,8062.0
12/5/20,8072.0
12/6/20,5231.0
12/7/20,3660.0
12/8/20,7439.0
12/9/20,7365.0
12/10/20,7067.0
12/11/20,6460.0
12/12/20,6333.0
12/13/20,4435.0
12/14/20,3252.0
12/15/20,6171.0
12/16/20,5991.0
12/17/20,5697.0
12/18/20,5340.0
12/19/20,5158.0
12/20/20,3350.0
12/21/20,2489.0
12/22/20,5009.0
12/23/20,5459.0
12/24/20,4310.0
12/25/20,3812.0
12/26/20,1387.0
12/27/20,2049.0
12/28/20,2620.0
12/29/20,4637.0
12/30/20,4875.0
12/31/20,4322.0
1/1/21,3938.0
1/2/21,1194.0
1/3/21,3034.0
1/4/21,3130.0
1/5/21,4729.0
1/6/21,5719.0
1/7/21,4951.0
1/8/21,4841.0
1/9/21,4403.0
1/10/21,3082.0
1/11/21,1987.0
1/12/21,3697.0
1/13/21,4424.0
1/14/21,3525.0
1/15/21,3353.0
1/16/21,3218.0
1/17/21,2156.0
1/18/21,1509.0
1/19/21,2745.0
1/20/21,3000.0
1/21/21,2878.0
1/22/21,2699.0
1/23/21,2719.0
1/24/21,1816.0
1/25/21,1551.0
1/26/21,2877.0
1/27/21,3174.0
1/28/21,2901.0
1/29/21,2737.0
1/30/21,2668.0
1/31/21,1825.0
2/1/21,1313.0
2/2/21,2676.0
2/3/21,2752.0
2/4/21,2668.0
2/5/21,2580.0
2/6/21,2611.0
2/7/21,1975.0
2/8/21,1319.0
2/9/21,2797.0
2/10/21,3048.0
2/11/21,2644.0
2/12/21,2550.0
2/13/21,2415.0
2/14/21,1872.0
2/15/21,1331.0
2/16/21,2676.0
2/17/21,2815.0
2/18/21,3058.0
2/19/21,2712.0
2/20/21,2721.0
2/21/21,2419.0
2/22/21,1634.0
2/23/21,3382.0
2/24/21,3337.0
2/25/21,3923.0
2/26/21,3761.0
2/27/21,3432.0
2/28/21,2830.0
3/1/21,2096.0
3/2/21,3950.0
3/3/21,4278.0
3/4/21,4271.0
3/5/21,4342.0
3/6/21,4064.0
3/7/21,3288.0
3/8/21,2280.0
3/9/21,4989.0
3/10/21,4564.0
3/11/21,5236.0
3/12/21,5010.0
3/13/21,4964.0
3/14/21,4383.0
3/15/21,2972.0
3/16/21,6118.0
3/17/21,6186.0
3/18/21,6174.0
3/19/21,5593.0
3/20/21,6096.0
3/21/21,4267.0
3/22/21,3743.0
3/23/21,6149.0
3/24/21,6136.0
3/25/21,6651.0
3/26/21,6516.0
3/27/21,5869.0
3/28/21,4439.0
3/29/21,3825.0
3/30/21,6204.0
3/31/21,6156.0
4/1/21,6115.0
4/2/21,5808.0
4/3/21,5498.0
4/4/21,4151.0
4/5/21,3611.0
4/6/21,5231.0
4/7/21,5407.0
4/8/21,4989.0
4/9/21,4942.0
4/10/21,4310.0
4/11/21,3302.0
4/12/21,2323.0
4/13/21,3883.0
4/14/21,4076.0
4/15/21,3852.0
4/16/21,3264.0
4/17/21,3474.0
4/18/21,2265.0
4/19/21,1768.0
4/20/21,2931.0
4/21/21,3006.0
4/22/21,2989.0
4/23/21,2523.0
4/24/21,2201.0
4/25/21,1542.0
4/26/21,1256.0
4/27/21,2019.0
4/28/21,2240.0
4/29/21,1850.0
4/30/21,1636.0
5/1/21,1307.0
5/2/21,1083.0
5/3/21,682.0
5/4/21,994.0
5/5/21,1564.0
5/6/21,1632.0
5/7/21,1422.0
5/8/21,1305.0
5/9/21,857.0
5/10/21,620.0
5/11/21,1156.0
5/12/21,930.0
5/13/21,953.0
5/14/21,835.0
5/15/21,729.0
5/16/21,565.0
5/17/21,392.0
5/18/21,681.0
5/19/21,707.0
5/20/21,618.0
5/21/21,484.0
5/22/21,455.0
5/23/21,307.0
5/24/21,230.0
5/25/21,381.0
5/26/21,379.0
5/27/21,307.0
5/28/21,321.0
5/29/21,265.0
5/30/21,158.0
5/31/21,153.0
6/1/21,241.0
6/2/21,164.0
6/3/21,196.0
6/4/21,225.0
6/5/21,179.0
6/6/21,121.0
6/7/21,89.0
