,Saudi Arabia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,1.0
3/3/20,0.0
3/4/20,0.0
3/5/20,4.0
3/6/20,0.0
3/7/20,0.0
3/8/20,6.0
3/9/20,4.0
3/10/20,5.0
3/11/20,1.0
3/12/20,24.0
3/13/20,41.0
3/14/20,17.0
3/15/20,0.0
3/16/20,15.0
3/17/20,53.0
3/18/20,0.0
3/19/20,103.0
3/20/20,70.0
3/21/20,48.0
3/22/20,119.0
3/23/20,51.0
3/24/20,205.0
3/25/20,133.0
3/26/20,112.0
3/27/20,92.0
3/28/20,99.0
3/29/20,96.0
3/30/20,154.0
3/31/20,110.0
4/1/20,157.0
4/2/20,165.0
4/3/20,154.0
4/4/20,140.0
4/5/20,223.0
4/6/20,203.0
4/7/20,190.0
4/8/20,137.0
4/9/20,355.0
4/10/20,364.0
4/11/20,382.0
4/12/20,429.0
4/13/20,472.0
4/14/20,435.0
4/15/20,493.0
4/16/20,518.0
4/17/20,762.0
4/18/20,1132.0
4/19/20,1088.0
4/20/20,1122.0
4/21/20,1147.0
4/22/20,1141.0
4/23/20,1158.0
4/24/20,1172.0
4/25/20,1197.0
4/26/20,1223.0
4/27/20,1289.0
4/28/20,1266.0
4/29/20,1325.0
4/30/20,1351.0
5/1/20,1344.0
5/2/20,1362.0
5/3/20,1552.0
5/4/20,1645.0
5/5/20,1595.0
5/6/20,1687.0
5/7/20,1793.0
5/8/20,1701.0
5/9/20,1704.0
5/10/20,1912.0
5/11/20,1966.0
5/12/20,1911.0
5/13/20,1905.0
5/14/20,2039.0
5/15/20,2307.0
5/16/20,2840.0
5/17/20,2736.0
5/18/20,2593.0
5/19/20,2509.0
5/20/20,2691.0
5/21/20,2532.0
5/22/20,2642.0
5/23/20,2442.0
5/24/20,2399.0
5/25/20,2235.0
5/26/20,1931.0
5/27/20,1815.0
5/28/20,1644.0
5/29/20,1581.0
5/30/20,1618.0
5/31/20,1877.0
6/1/20,1881.0
6/2/20,1869.0
6/3/20,2171.0
6/4/20,1975.0
6/5/20,2591.0
6/6/20,3121.0
6/7/20,3045.0
6/8/20,3369.0
6/9/20,3288.0
6/10/20,3717.0
6/11/20,3733.0
6/12/20,3921.0
6/13/20,3366.0
6/14/20,4233.0
6/15/20,4507.0
6/16/20,4267.0
6/17/20,4919.0
6/18/20,4757.0
6/19/20,4301.0
6/20/20,3941.0
6/21/20,3379.0
6/22/20,3393.0
6/23/20,3139.0
6/24/20,3123.0
6/25/20,3372.0
6/26/20,3938.0
6/27/20,3927.0
6/28/20,3989.0
6/29/20,3943.0
6/30/20,4387.0
7/1/20,3402.0
7/2/20,3383.0
7/3/20,4193.0
7/4/20,4128.0
7/5/20,3580.0
7/6/20,4207.0
7/7/20,3392.0
7/8/20,3036.0
7/9/20,3183.0
7/10/20,3159.0
7/11/20,2994.0
7/12/20,2779.0
7/13/20,2852.0
7/14/20,2692.0
7/15/20,2671.0
7/16/20,2764.0
7/17/20,2613.0
7/18/20,2565.0
7/19/20,2504.0
7/20/20,2429.0
7/21/20,2476.0
7/22/20,2331.0
7/23/20,2238.0
7/24/20,2378.0
7/25/20,2201.0
7/26/20,1968.0
7/27/20,1993.0
7/28/20,1897.0
7/29/20,1759.0
7/30/20,1629.0
7/31/20,1686.0
8/1/20,1573.0
8/2/20,1357.0
8/3/20,1258.0
8/4/20,1363.0
8/5/20,1368.0
8/6/20,1402.0
8/7/20,1567.0
8/8/20,1469.0
8/9/20,1428.0
8/10/20,1257.0
8/11/20,1521.0
8/12/20,1569.0
8/13/20,1482.0
8/14/20,1383.0
8/15/20,1413.0
8/16/20,1227.0
8/17/20,1372.0
8/18/20,1409.0
8/19/20,1363.0
8/20/20,1287.0
8/21/20,1213.0
8/22/20,1184.0
8/23/20,1109.0
8/24/20,1175.0
8/25/20,1114.0
8/26/20,1068.0
8/27/20,1019.0
8/28/20,1069.0
8/29/20,987.0
8/30/20,910.0
8/31/20,951.0
9/1/20,898.0
9/2/20,816.0
9/3/20,833.0
9/4/20,822.0
9/5/20,791.0
9/6/20,756.0
9/7/20,768.0
9/8/20,781.0
9/9/20,775.0
9/10/20,708.0
9/11/20,687.0
9/12/20,643.0
9/13/20,601.0
9/14/20,607.0
9/15/20,672.0
9/16/20,621.0
9/17/20,593.0
9/18/20,576.0
9/19/20,551.0
9/20/20,483.0
9/21/20,492.0
9/22/20,552.0
9/23/20,561.0
9/24/20,498.0
9/25/20,472.0
9/26/20,461.0
9/27/20,403.0
9/28/20,455.0
9/29/20,539.0
9/30/20,418.0
10/1/20,492.0
10/2/20,481.0
10/3/20,419.0
10/4/20,390.0
10/5/20,379.0
10/6/20,477.0
10/7/20,468.0
10/8/20,421.0
10/9/20,407.0
10/10/20,405.0
10/11/20,323.0
10/12/20,348.0
10/13/20,474.0
10/14/20,501.0
10/15/20,472.0
10/16/20,433.0
10/17/20,359.0
10/18/20,348.0
10/19/20,381.0
10/20/20,385.0
10/21/20,405.0
10/22/20,401.0
10/23/20,383.0
10/24/20,395.0
10/25/20,323.0
10/26/20,357.0
10/27/20,399.0
10/28/20,416.0
10/29/20,435.0
10/30/20,398.0
10/31/20,402.0
11/1/20,374.0
11/2/20,381.0
11/3/20,473.0
11/4/20,426.0
11/5/20,450.0
11/6/20,436.0
11/7/20,407.0
11/8/20,363.0
11/9/20,392.0
11/10/20,471.0
11/11/20,394.0
11/12/20,311.0
11/13/20,441.0
11/14/20,349.0
11/15/20,305.0
11/16/20,301.0
11/17/20,362.0
11/18/20,290.0
11/19/20,319.0
11/20/20,286.0
11/21/20,221.0
11/22/20,224.0
11/23/20,231.0
11/24/20,252.0
11/25/20,326.0
11/26/20,322.0
11/27/20,302.0
11/28/20,220.0
11/29/20,217.0
11/30/20,232.0
12/1/20,263.0
12/2/20,249.0
12/3/20,230.0
12/4/20,234.0
12/5/20,190.0
12/6/20,187.0
12/7/20,209.0
12/8/20,193.0
12/9/20,159.0
12/10/20,141.0
12/11/20,168.0
12/12/20,166.0
12/13/20,139.0
12/14/20,125.0
12/15/20,142.0
12/16/20,180.0
12/17/20,181.0
12/18/20,174.0
12/19/20,158.0
12/20/20,162.0
12/21/20,168.0
12/22/20,181.0
12/23/20,177.0
12/24/20,189.0
12/25/20,178.0
12/26/20,163.0
12/27/20,154.0
12/28/20,119.0
12/29/20,149.0
12/30/20,113.0
12/31/20,140.0
1/1/21,137.0
1/2/21,101.0
1/3/21,82.0
1/4/21,94.0
1/5/21,104.0
1/6/21,118.0
1/7/21,108.0
1/8/21,97.0
1/9/21,110.0
1/10/21,117.0
1/11/21,140.0
1/12/21,147.0
1/13/21,175.0
1/14/21,169.0
1/15/21,173.0
1/16/21,140.0
1/17/21,176.0
1/18/21,170.0
1/19/21,226.0
1/20/21,238.0
1/21/21,212.0
1/22/21,213.0
1/23/21,197.0
1/24/21,186.0
1/25/21,213.0
1/26/21,223.0
1/27/21,216.0
1/28/21,253.0
1/29/21,267.0
1/30/21,270.0
1/31/21,261.0
2/1/21,255.0
2/2/21,310.0
2/3/21,306.0
2/4/21,303.0
2/5/21,327.0
2/6/21,386.0
2/7/21,317.0
2/8/21,356.0
2/9/21,353.0
2/10/21,369.0
2/11/21,364.0
2/12/21,353.0
2/13/21,337.0
2/14/21,322.0
2/15/21,314.0
2/16/21,322.0
2/17/21,334.0
2/18/21,327.0
2/19/21,337.0
2/20/21,325.0
2/21/21,315.0
2/22/21,327.0
2/23/21,335.0
2/24/21,353.0
2/25/21,356.0
2/26/21,346.0
2/27/21,338.0
2/28/21,322.0
3/1/21,317.0
3/2/21,302.0
3/3/21,331.0
3/4/21,375.0
3/5/21,384.0
3/6/21,382.0
3/7/21,357.0
3/8/21,351.0
3/9/21,390.0
3/10/21,386.0
3/11/21,390.0
3/12/21,360.0
3/13/21,351.0
3/14/21,348.0
3/15/21,345.0
3/16/21,354.0
3/17/21,393.0
3/18/21,381.0
3/19/21,391.0
3/20/21,382.0
3/21/21,367.0
3/22/21,404.0
3/23/21,410.0
3/24/21,466.0
3/25/21,482.0
3/26/21,510.0
3/27/21,502.0
3/28/21,531.0
3/29/21,541.0
3/30/21,556.0
3/31/21,585.0
4/1/21,590.0
4/2/21,728.0
4/3/21,684.0
4/4/21,673.0
4/5/21,695.0
4/6/21,792.0
4/7/21,783.0
4/8/21,902.0
4/9/21,904.0
4/10/21,878.0
4/11/21,799.0
4/12/21,842.0
4/13/21,951.0
4/14/21,929.0
4/15/21,985.0
4/16/21,964.0
4/17/21,948.0
4/18/21,916.0
4/19/21,970.0
4/20/21,1070.0
4/21/21,1028.0
4/22/21,1055.0
4/23/21,1098.0
4/24/21,1072.0
4/25/21,953.0
4/26/21,958.0
4/27/21,1045.0
4/28/21,1062.0
4/29/21,1026.0
4/30/21,1056.0
5/1/21,1048.0
5/2/21,937.0
5/3/21,953.0
5/4/21,999.0
5/5/21,1016.0
5/6/21,1090.0
5/7/21,1039.0
5/8/21,997.0
5/9/21,942.0
5/10/21,986.0
5/11/21,999.0
5/12/21,1020.0
5/13/21,1116.0
5/14/21,927.0
5/15/21,837.0
5/16/21,825.0
5/17/21,886.0
5/18/21,1047.0
5/19/21,1212.0
5/20/21,1330.0
5/21/21,1136.0
5/22/21,1142.0
5/23/21,1067.0
5/24/21,1157.0
5/25/21,1389.0
5/26/21,1320.0
5/27/21,1183.0
5/28/21,1215.0
5/29/21,1106.0
5/30/21,907.0
5/31/21,1245.0
6/1/21,1251.0
6/2/21,1269.0
6/3/21,1261.0
6/4/21,1201.0
6/5/21,1144.0
6/6/21,984.0
6/7/21,1161.0
6/8/21,1261.0
6/9/21,1274.0
6/10/21,0.0
6/11/21,2461.0
6/12/21,1077.0
6/13/21,1017.0
6/14/21,1109.0
6/15/21,1269.0
6/16/21,1239.0
6/17/21,1309.0
