,Serbia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,4.0
3/11/20,7.0
3/12/20,7.0
3/13/20,16.0
3/14/20,11.0
3/15/20,2.0
3/16/20,7.0
3/17/20,10.0
3/18/20,18.0
3/19/20,20.0
3/20/20,32.0
3/21/20,36.0
3/22/20,51.0
3/23/20,27.0
3/24/20,54.0
3/25/20,81.0
3/26/20,0.0
3/27/20,73.0
3/28/20,202.0
3/29/20,82.0
3/30/20,44.0
3/31/20,115.0
4/1/20,160.0
4/2/20,111.0
4/3/20,305.0
4/4/20,148.0
4/5/20,284.0
4/6/20,292.0
4/7/20,247.0
4/8/20,219.0
4/9/20,201.0
4/10/20,238.0
4/11/20,275.0
4/12/20,250.0
4/13/20,424.0
4/14/20,411.0
4/15/20,408.0
4/16/20,445.0
4/17/20,372.0
4/18/20,304.0
4/19/20,324.0
4/20/20,312.0
4/21/20,260.0
4/22/20,254.0
4/23/20,132.0
4/24/20,207.0
4/25/20,296.0
4/26/20,263.0
4/27/20,233.0
4/28/20,222.0
4/29/20,227.0
4/30/20,285.0
5/1/20,0.0
5/2/20,353.0
5/3/20,102.0
5/4/20,93.0
5/5/20,120.0
5/6/20,114.0
5/7/20,57.0
5/8/20,95.0
5/9/20,89.0
5/10/20,0.0
5/11/20,144.0
5/12/20,67.0
5/13/20,52.0
5/14/20,79.0
5/15/20,64.0
5/16/20,58.0
5/17/20,114.0
5/18/20,89.0
5/19/20,34.0
5/20/20,100.0
5/21/20,86.0
5/22/20,105.0
5/23/20,68.0
5/24/20,67.0
5/25/20,34.0
5/26/20,34.0
5/27/20,48.0
5/28/20,25.0
5/29/20,54.0
5/30/20,27.0
5/31/20,31.0
6/1/20,18.0
6/2/20,24.0
6/3/20,69.0
6/4/20,48.0
6/5/20,96.0
6/6/20,74.0
6/7/20,82.0
6/8/20,73.0
6/9/20,69.0
6/10/20,66.0
6/11/20,71.0
6/12/20,73.0
6/13/20,76.0
6/14/20,59.0
6/15/20,57.0
6/16/20,59.0
6/17/20,96.0
6/18/20,94.0
6/19/20,93.0
6/20/20,94.0
6/21/20,91.0
6/22/20,96.0
6/23/20,102.0
6/24/20,143.0
6/25/20,137.0
6/26/20,193.0
6/27/20,227.0
6/28/20,254.0
6/29/20,242.0
6/30/20,276.0
7/1/20,272.0
7/2/20,359.0
7/3/20,309.0
7/4/20,325.0
7/5/20,302.0
7/6/20,289.0
7/7/20,299.0
7/8/20,357.0
7/9/20,266.0
7/10/20,386.0
7/11/20,345.0
7/12/20,287.0
7/13/20,279.0
7/14/20,344.0
7/15/20,351.0
7/16/20,383.0
7/17/20,392.0
7/18/20,389.0
7/19/20,396.0
7/20/20,359.0
7/21/20,352.0
7/22/20,426.0
7/23/20,412.0
7/24/20,409.0
7/25/20,0.0
7/26/20,878.0
7/27/20,411.0
7/28/20,379.0
7/29/20,372.0
7/30/20,321.0
7/31/20,339.0
8/1/20,330.0
8/2/20,311.0
8/3/20,258.0
8/4/20,287.0
8/5/20,295.0
8/6/20,299.0
8/7/20,276.0
8/8/20,255.0
8/9/20,236.0
8/10/20,163.0
8/11/20,235.0
8/12/20,254.0
8/13/20,247.0
8/14/20,235.0
8/15/20,238.0
8/16/20,211.0
8/17/20,100.0
8/18/20,108.0
8/19/20,158.0
8/20/20,161.0
8/21/20,169.0
8/22/20,170.0
8/23/20,109.0
8/24/20,57.0
8/25/20,106.0
8/26/20,154.0
8/27/20,125.0
8/28/20,108.0
8/29/20,75.0
8/30/20,83.0
8/31/20,41.0
9/1/20,76.0
9/2/20,99.0
9/3/20,95.0
9/4/20,96.0
9/5/20,77.0
9/6/20,56.0
9/7/20,36.0
9/8/20,53.0
9/9/20,84.0
9/10/20,58.0
9/11/20,92.0
9/12/20,72.0
9/13/20,108.0
9/14/20,29.0
9/15/20,74.0
9/16/20,102.0
9/17/20,82.0
9/18/20,62.0
9/19/20,83.0
9/20/20,68.0
9/21/20,30.0
9/22/20,61.0
9/23/20,81.0
9/24/20,83.0
9/25/20,75.0
9/26/20,74.0
9/27/20,72.0
9/28/20,30.0
9/29/20,65.0
9/30/20,72.0
10/1/20,111.0
10/2/20,73.0
10/3/20,107.0
10/4/20,59.0
10/5/20,51.0
10/6/20,120.0
10/7/20,121.0
10/8/20,151.0
10/9/20,173.0
10/10/20,168.0
10/11/20,102.0
10/12/20,67.0
10/13/20,152.0
10/14/20,245.0
10/15/20,203.0
10/16/20,265.0
10/17/20,227.0
10/18/20,214.0
10/19/20,122.0
10/20/20,326.0
10/21/20,512.0
10/22/20,416.0
10/23/20,579.0
10/24/20,757.0
10/25/20,614.0
10/26/20,341.0
10/27/20,1053.0
10/28/20,1328.0
10/29/20,1384.0
10/30/20,1545.0
10/31/20,1817.0
11/1/20,1449.0
11/2/20,802.0
11/3/20,1878.0
11/4/20,2412.0
11/5/20,2181.0
11/6/20,2282.0
11/7/20,2677.0
11/8/20,2112.0
11/9/20,1318.0
11/10/20,2823.0
11/11/20,3536.0
11/12/20,3341.0
11/13/20,3499.0
11/14/20,3822.0
11/15/20,3482.0
11/16/20,2813.0
11/17/20,4994.0
11/18/20,5613.0
11/19/20,6109.0
11/20/20,6254.0
11/21/20,5774.0
11/22/20,4995.0
11/23/20,5067.0
11/24/20,6842.0
11/25/20,7579.0
11/26/20,7606.0
11/27/20,7780.0
11/28/20,7041.0
11/29/20,6179.0
11/30/20,6224.0
12/1/20,7999.0
12/2/20,7919.0
12/3/20,7802.0
12/4/20,7782.0
12/5/20,6903.0
12/6/20,5809.0
12/7/20,6557.0
12/8/20,7818.0
12/9/20,7804.0
12/10/20,7393.0
12/11/20,6534.0
12/12/20,5679.0
12/13/20,4995.0
12/14/20,4932.0
12/15/20,5884.0
12/16/20,5353.0
12/17/20,5129.0
12/18/20,4910.0
12/19/20,3888.0
12/20/20,3534.0
12/21/20,3685.0
12/22/20,4080.0
12/23/20,4426.0
12/24/20,4091.0
12/25/20,3823.0
12/26/20,3200.0
12/27/20,2693.0
12/28/20,2559.0
12/29/20,3136.0
12/30/20,3236.0
12/31/20,2932.0
1/1/21,2074.0
1/2/21,1907.0
1/3/21,1966.0
1/4/21,2715.0
1/5/21,2653.0
1/6/21,2882.0
1/7/21,1787.0
1/8/21,2218.0
1/9/21,0.0
1/10/21,3564.0
1/11/21,2093.0
1/12/21,2142.0
1/13/21,2267.0
1/14/21,1881.0
1/15/21,1751.0
1/16/21,1393.0
1/17/21,1317.0
1/18/21,1578.0
1/19/21,1688.0
1/20/21,1646.0
1/21/21,1648.0
1/22/21,1709.0
1/23/21,1483.0
1/24/21,1318.0
1/25/21,1523.0
1/26/21,2080.0
1/27/21,1839.0
1/28/21,1592.0
1/29/21,1717.0
1/30/21,1543.0
1/31/21,1366.0
2/1/21,1739.0
2/2/21,1903.0
2/3/21,1932.0
2/4/21,1863.0
2/5/21,1968.0
2/6/21,1684.0
2/7/21,1529.0
2/8/21,1960.0
2/9/21,2014.0
2/10/21,2088.0
2/11/21,2000.0
2/12/21,1928.0
2/13/21,1622.0
2/14/21,1386.0
2/15/21,1331.0
2/16/21,1810.0
2/17/21,2467.0
2/18/21,2561.0
2/19/21,2632.0
2/20/21,2442.0
2/21/21,2518.0
2/22/21,2956.0
2/23/21,3257.0
2/24/21,3460.0
2/25/21,3588.0
2/26/21,3339.0
2/27/21,3210.0
2/28/21,2809.0
3/1/21,3469.0
3/2/21,4157.0
3/3/21,4056.0
3/4/21,3866.0
3/5/21,4071.0
3/6/21,3519.0
3/7/21,3042.0
3/8/21,4091.0
3/9/21,4576.0
3/10/21,4590.0
3/11/21,4595.0
3/12/21,4668.0
3/13/21,4092.0
3/14/21,4226.0
3/15/21,4634.0
3/16/21,5201.0
3/17/21,5446.0
3/18/21,5346.0
3/19/21,5305.0
3/20/21,4687.0
3/21/21,4232.0
3/22/21,4769.0
3/23/21,5475.0
3/24/21,5297.0
3/25/21,5226.0
3/26/21,0.0
3/27/21,9722.0
3/28/21,3889.0
3/29/21,0.0
3/30/21,9983.0
3/31/21,5107.0
4/1/21,4810.0
4/2/21,4826.0
4/3/21,4133.0
4/4/21,3304.0
4/5/21,3706.0
4/6/21,4398.0
4/7/21,3615.0
4/8/21,3625.0
4/9/21,3405.0
4/10/21,3058.0
4/11/21,2732.0
4/12/21,2965.0
4/13/21,3572.0
4/14/21,3154.0
4/15/21,2971.0
4/16/21,2846.0
4/17/21,2583.0
4/18/21,2069.0
4/19/21,2604.0
4/20/21,2965.0
4/21/21,2864.0
4/22/21,2719.0
4/23/21,2384.0
4/24/21,2068.0
4/25/21,1695.0
4/26/21,1987.0
4/27/21,2145.0
4/28/21,2138.0
4/29/21,2007.0
4/30/21,1613.0
5/1/21,1374.0
5/2/21,989.0
5/3/21,1249.0
5/4/21,1304.0
5/5/21,1402.0
5/6/21,1366.0
5/7/21,1277.0
5/8/21,0.0
5/9/21,1890.0
5/10/21,918.0
5/11/21,1125.0
5/12/21,1046.0
5/13/21,0.0
5/14/21,1688.0
5/15/21,705.0
5/16/21,568.0
5/17/21,575.0
5/18/21,686.0
5/19/21,609.0
5/20/21,550.0
5/21/21,391.0
5/22/21,404.0
5/23/21,266.0
5/24/21,376.0
5/25/21,414.0
5/26/21,387.0
5/27/21,326.0
5/28/21,330.0
5/29/21,274.0
5/30/21,178.0
5/31/21,248.0
6/1/21,230.0
6/2/21,287.0
6/3/21,218.0
6/4/21,210.0
6/5/21,145.0
6/6/21,116.0
6/7/21,162.0
6/8/21,214.0
6/9/21,198.0
6/10/21,210.0
6/11/21,172.0
6/12/21,119.0
6/13/21,138.0
6/14/21,124.0
6/15/21,132.0
6/16/21,160.0
