,Singapore
1/22/20,0.0
1/23/20,1.0
1/24/20,2.0
1/25/20,0.0
1/26/20,1.0
1/27/20,1.0
1/28/20,2.0
1/29/20,0.0
1/30/20,3.0
1/31/20,3.0
2/1/20,3.0
2/2/20,2.0
2/3/20,0.0
2/4/20,6.0
2/5/20,4.0
2/6/20,0.0
2/7/20,2.0
2/8/20,3.0
2/9/20,7.0
2/10/20,5.0
2/11/20,2.0
2/12/20,3.0
2/13/20,8.0
2/14/20,9.0
2/15/20,5.0
2/16/20,3.0
2/17/20,2.0
2/18/20,4.0
2/19/20,3.0
2/20/20,0.0
2/21/20,1.0
2/22/20,0.0
2/23/20,4.0
2/24/20,0.0
2/25/20,2.0
2/26/20,2.0
2/27/20,0.0
2/28/20,0.0
2/29/20,9.0
3/1/20,4.0
3/2/20,2.0
3/3/20,2.0
3/4/20,0.0
3/5/20,7.0
3/6/20,13.0
3/7/20,8.0
3/8/20,12.0
3/9/20,0.0
3/10/20,10.0
3/11/20,18.0
3/12/20,0.0
3/13/20,22.0
3/14/20,12.0
3/15/20,14.0
3/16/20,17.0
3/17/20,23.0
3/18/20,47.0
3/19/20,32.0
3/20/20,40.0
3/21/20,47.0
3/22/20,23.0
3/23/20,54.0
3/24/20,49.0
3/25/20,73.0
3/26/20,52.0
3/27/20,49.0
3/28/20,70.0
3/29/20,42.0
3/30/20,35.0
3/31/20,47.0
4/1/20,74.0
4/2/20,49.0
4/3/20,65.0
4/4/20,75.0
4/5/20,120.0
4/6/20,66.0
4/7/20,106.0
4/8/20,142.0
4/9/20,287.0
4/10/20,198.0
4/11/20,191.0
4/12/20,233.0
4/13/20,386.0
4/14/20,334.0
4/15/20,447.0
4/16/20,728.0
4/17/20,623.0
4/18/20,942.0
4/19/20,596.0
4/20/20,1426.0
4/21/20,1111.0
4/22/20,1016.0
4/23/20,1037.0
4/24/20,897.0
4/25/20,618.0
4/26/20,931.0
4/27/20,799.0
4/28/20,528.0
4/29/20,690.0
4/30/20,528.0
5/1/20,932.0
5/2/20,447.0
5/3/20,657.0
5/4/20,573.0
5/5/20,632.0
5/6/20,788.0
5/7/20,741.0
5/8/20,768.0
5/9/20,753.0
5/10/20,876.0
5/11/20,486.0
5/12/20,849.0
5/13/20,675.0
5/14/20,752.0
5/15/20,793.0
5/16/20,465.0
5/17/20,682.0
5/18/20,305.0
5/19/20,451.0
5/20/20,570.0
5/21/20,448.0
5/22/20,614.0
5/23/20,642.0
5/24/20,548.0
5/25/20,344.0
5/26/20,383.0
5/27/20,533.0
5/28/20,373.0
5/29/20,611.0
5/30/20,506.0
5/31/20,518.0
6/1/20,408.0
6/2/20,544.0
6/3/20,569.0
6/4/20,517.0
