,Slovakia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,0.0
3/8/20,2.0
3/9/20,2.0
3/10/20,2.0
3/11/20,0.0
3/12/20,3.0
3/13/20,11.0
3/14/20,11.0
3/15/20,12.0
3/16/20,17.0
3/17/20,11.0
3/18/20,24.0
3/19/20,8.0
3/20/20,19.0
3/21/20,14.0
3/22/20,41.0
3/23/20,7.0
3/24/20,19.0
3/25/20,12.0
3/26/20,10.0
3/27/20,43.0
3/28/20,23.0
3/29/20,22.0
3/30/20,22.0
3/31/20,27.0
4/1/20,37.0
4/2/20,26.0
4/3/20,24.0
4/4/20,21.0
4/5/20,14.0
4/6/20,49.0
4/7/20,47.0
4/8/20,101.0
4/9/20,19.0
4/10/20,14.0
4/11/20,13.0
4/12/20,14.0
4/13/20,27.0
4/14/20,66.0
4/15/20,28.0
4/16/20,114.0
4/17/20,72.0
4/18/20,40.0
4/19/20,72.0
4/20/20,12.0
4/21/20,26.0
4/22/20,45.0
4/23/20,81.0
4/24/20,35.0
4/25/20,13.0
4/26/20,6.0
4/27/20,2.0
4/28/20,3.0
4/29/20,7.0
4/30/20,5.0
5/1/20,7.0
5/2/20,4.0
5/3/20,1.0
5/4/20,5.0
5/5/20,8.0
5/6/20,8.0
5/7/20,16.0
5/8/20,10.0
5/9/20,0.0
5/10/20,2.0
5/11/20,0.0
5/12/20,8.0
5/13/20,4.0
5/14/20,8.0
5/15/20,3.0
5/16/20,13.0
5/17/20,1.0
5/18/20,1.0
5/19/20,0.0
5/20/20,1.0
5/21/20,6.0
5/22/20,1.0
5/23/20,1.0
5/24/20,5.0
5/25/20,2.0
5/26/20,2.0
5/27/20,2.0
5/28/20,5.0
5/29/20,0.0
5/30/20,1.0
5/31/20,0.0
6/1/20,1.0
6/2/20,0.0
6/3/20,3.0
6/4/20,1.0
6/5/20,0.0
6/6/20,2.0
6/7/20,0.0
6/8/20,2.0
6/9/20,1.0
6/10/20,2.0
6/11/20,8.0
6/12/20,1.0
6/13/20,3.0
6/14/20,3.0
6/15/20,4.0
6/16/20,0.0
6/17/20,9.0
6/18/20,1.0
6/19/20,14.0
6/20/20,10.0
6/21/20,1.0
6/22/20,1.0
6/23/20,1.0
6/24/20,18.0
6/25/20,23.0
6/26/20,13.0
6/27/20,14.0
6/28/20,7.0
6/29/20,1.0
6/30/20,2.0
7/1/20,20.0
7/2/20,13.0
7/3/20,20.0
7/4/20,29.0
7/5/20,15.0
7/6/20,1.0
7/7/20,2.0
7/8/20,31.0
7/9/20,53.0
7/10/20,19.0
7/11/20,23.0
7/12/20,8.0
7/13/20,1.0
7/14/20,6.0
7/15/20,19.0
7/16/20,24.0
7/17/20,14.0
7/18/20,11.0
7/19/20,3.0
7/20/20,1.0
7/21/20,41.0
7/22/20,37.0
7/23/20,31.0
7/24/20,29.0
7/25/20,23.0
7/26/20,38.0
7/27/20,2.0
7/28/20,23.0
7/29/20,41.0
7/30/20,20.0
7/31/20,27.0
8/1/20,45.0
8/2/20,7.0
8/3/20,10.0
8/4/20,14.0
8/5/20,49.0
8/6/20,63.0
8/7/20,43.0
8/8/20,43.0
8/9/20,30.0
8/10/20,3.0
8/11/20,16.0
8/12/20,75.0
8/13/20,49.0
8/14/20,62.0
8/15/20,54.0
8/16/20,47.0
8/17/20,5.0
8/18/20,15.0
8/19/20,100.0
8/20/20,80.0
8/21/20,123.0
8/22/20,91.0
8/23/20,40.0
8/24/20,68.0
8/25/20,28.0
8/26/20,84.0
8/27/20,90.0
8/28/20,102.0
8/29/20,114.0
8/30/20,34.0
8/31/20,41.0
9/1/20,72.0
9/2/20,53.0
9/3/20,121.0
9/4/20,137.0
9/5/20,226.0
9/6/20,88.0
9/7/20,22.0
9/8/20,91.0
9/9/20,161.0
9/10/20,178.0
9/11/20,186.0
9/12/20,201.0
9/13/20,79.0
9/14/20,48.0
9/15/20,188.0
9/16/20,92.0
9/17/20,161.0
9/18/20,235.0
9/19/20,290.0
9/20/20,131.0
9/21/20,79.0
9/22/20,175.0
9/23/20,338.0
9/24/20,360.0
9/25/20,419.0
9/26/20,552.0
9/27/20,478.0
9/28/20,265.0
9/29/20,231.0
9/30/20,567.0
10/1/20,797.0
10/2/20,679.0
10/3/20,704.0
10/4/20,818.0
10/5/20,353.0
10/6/20,320.0
10/7/20,877.0
10/8/20,1037.0
10/9/20,1184.0
10/10/20,1887.0
10/11/20,1054.0
10/12/20,504.0
10/13/20,571.0
10/14/20,1494.0
10/15/20,1960.0
10/16/20,2111.0
10/17/20,1995.0
10/18/20,1567.0
10/19/20,860.0
10/20/20,774.0
10/21/20,2240.0
10/22/20,1776.0
10/23/20,2722.0
10/24/20,3009.0
10/25/20,3107.0
10/26/20,1352.0
10/27/20,1132.0
10/28/20,3121.0
10/29/20,3010.0
10/30/20,3602.0
10/31/20,3065.0
11/1/20,3257.0
11/2/20,2259.0
11/3/20,3058.0
11/4/20,3314.0
11/5/20,2044.0
11/6/20,2494.0
11/7/20,2906.0
11/8/20,2267.0
11/9/20,720.0
11/10/20,2205.0
11/11/20,2198.0
11/12/20,2692.0
11/13/20,2197.0
11/14/20,1929.0
11/15/20,1299.0
11/16/20,542.0
11/17/20,1612.0
11/18/20,1535.0
11/19/20,2107.0
11/20/20,2588.0
11/21/20,2472.0
11/22/20,1306.0
11/23/20,288.0
11/24/20,1905.0
11/25/20,2705.0
11/26/20,2686.0
11/27/20,2716.0
11/28/20,2314.0
11/29/20,1533.0
11/30/20,376.0
12/1/20,2971.0
12/2/20,3640.0
12/3/20,3645.0
12/4/20,3458.0
12/5/20,3330.0
12/6/20,1636.0
12/7/20,681.0
12/8/20,4113.0
12/9/20,5524.0
12/10/20,5431.0
12/11/20,5274.0
12/12/20,6267.0
12/13/20,3190.0
12/14/20,604.0
12/15/20,5206.0
12/16/20,7703.0
12/17/20,6596.0
12/18/20,7835.0
12/19/20,6522.0
12/20/20,3082.0
12/21/20,1715.0
12/22/20,9753.0
12/23/20,9215.0
12/24/20,7354.0
12/25/20,5064.0
12/26/20,1182.0
12/27/20,1086.0
12/28/20,873.0
12/29/20,8648.0
12/30/20,9743.0
12/31/20,11915.0
1/1/21,10476.0
1/2/21,2326.0
1/3/21,1745.0
1/4/21,908.0
1/5/21,10347.0
1/6/21,11080.0
1/7/21,3165.0
1/8/21,8291.0
1/9/21,8003.0
1/10/21,4860.0
1/11/21,1785.0
1/12/21,5704.0
1/13/21,6605.0
1/14/21,5553.0
1/15/21,5022.0
1/16/21,4221.0
1/17/21,1701.0
1/18/21,2694.0
1/19/21,5294.0
1/20/21,5154.0
1/21/21,4792.0
1/22/21,4888.0
1/23/21,4392.0
1/24/21,8420.0
1/25/21,4344.0
1/26/21,4328.0
1/27/21,5442.0
1/28/21,3762.0
1/29/21,4671.0
1/30/21,4898.0
1/31/21,6542.0
2/1/21,3309.0
2/2/21,5237.0
2/3/21,6481.0
2/4/21,4650.0
2/5/21,5553.0
2/6/21,5289.0
2/7/21,7040.0
2/8/21,4072.0
2/9/21,5355.0
2/10/21,6216.0
2/11/21,5470.0
2/12/21,4905.0
2/13/21,5673.0
2/14/21,6281.0
2/15/21,3491.0
2/16/21,4725.0
2/17/21,5929.0
2/18/21,5351.0
2/19/21,5130.0
2/20/21,6279.0
2/21/21,6982.0
2/22/21,3538.0
2/23/21,5435.0
2/24/21,6432.0
2/25/21,5448.0
2/26/21,5255.0
2/27/21,6182.0
2/28/21,6947.0
3/1/21,3464.0
3/2/21,5262.0
3/3/21,6103.0
3/4/21,5290.0
3/5/21,4823.0
3/6/21,5365.0
3/7/21,5210.0
3/8/21,2694.0
3/9/21,4818.0
3/10/21,5644.0
3/11/21,3951.0
3/12/21,4162.0
3/13/21,4752.0
3/14/21,4703.0
3/15/21,2302.0
3/16/21,3811.0
3/17/21,4721.0
3/18/21,3591.0
3/19/21,3294.0
3/20/21,3829.0
3/21/21,3616.0
3/22/21,1966.0
3/23/21,3052.0
3/24/21,3493.0
3/25/21,3061.0
3/26/21,2636.0
3/27/21,3195.0
3/28/21,3128.0
3/29/21,1510.0
3/30/21,2694.0
3/31/21,3065.0
4/1/21,2546.0
4/2/21,2628.0
4/3/21,1371.0
4/4/21,2576.0
4/5/21,707.0
4/6/21,972.0
4/7/21,2640.0
4/8/21,2544.0
4/9/21,1729.0
4/10/21,2017.0
4/11/21,1981.0
4/12/21,841.0
4/13/21,1784.0
4/14/21,1762.0
4/15/21,1523.0
4/16/21,1310.0
4/17/21,1586.0
4/18/21,1645.0
4/19/21,728.0
4/20/21,1470.0
4/21/21,1411.0
4/22/21,1335.0
4/23/21,1048.0
4/24/21,1536.0
4/25/21,1369.0
4/26/21,692.0
4/27/21,1190.0
4/28/21,1192.0
4/29/21,1066.0
4/30/21,1003.0
5/1/21,1155.0
5/2/21,1016.0
5/3/21,627.0
5/4/21,930.0
5/5/21,1090.0
5/6/21,715.0
5/7/21,751.0
5/8/21,832.0
5/9/21,352.0
5/10/21,711.0
5/11/21,784.0
5/12/21,673.0
5/13/21,607.0
5/14/21,560.0
5/15/21,611.0
5/16/21,375.0
5/17/21,386.0
5/18/21,551.0
5/19/21,472.0
5/20/21,455.0
5/21/21,310.0
5/22/21,398.0
5/23/21,308.0
5/24/21,208.0
5/25/21,396.0
5/26/21,397.0
5/27/21,310.0
5/28/21,253.0
5/29/21,318.0
5/30/21,222.0
5/31/21,157.0
6/1/21,355.0
6/2/21,258.0
6/3/21,258.0
6/4/21,227.0
6/5/21,252.0
6/6/21,170.0
6/7/21,102.0
6/8/21,243.0
6/9/21,241.0
6/10/21,166.0
6/11/21,156.0
6/12/21,175.0
6/13/21,99.0
6/14/21,69.0
6/15/21,127.0
6/16/21,109.0
