,Switzerland
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,1.0
2/26/20,0.0
2/27/20,7.0
2/28/20,0.0
2/29/20,10.0
3/1/20,9.0
3/2/20,15.0
3/3/20,14.0
3/4/20,34.0
3/5/20,24.0
3/6/20,100.0
3/7/20,54.0
3/8/20,69.0
3/9/20,37.0
3/10/20,117.0
3/11/20,161.0
3/12/20,0.0
3/13/20,487.0
3/14/20,220.0
3/15/20,841.0
3/16/20,0.0
3/17/20,500.0
3/18/20,328.0
3/19/20,1047.0
3/20/20,1219.0
3/21/20,1281.0
3/22/20,899.0
3/23/20,1321.0
3/24/20,1082.0
3/25/20,1020.0
3/26/20,914.0
3/27/20,1117.0
3/28/20,1148.0
3/29/20,753.0
3/30/20,1093.0
3/31/20,683.0
4/1/20,1163.0
4/2/20,1059.0
4/3/20,779.0
4/4/20,899.0
4/5/20,595.0
4/6/20,557.0
4/7/20,596.0
4/8/20,1027.0
4/9/20,771.0
4/10/20,500.0
4/11/20,556.0
4/12/20,308.0
4/13/20,273.0
4/14/20,248.0
4/15/20,400.0
4/16/20,396.0
4/17/20,346.0
4/18/20,326.0
4/19/20,336.0
4/20/20,204.0
4/21/20,119.0
4/22/20,205.0
4/23/20,228.0
4/24/20,181.0
4/25/20,217.0
4/26/20,167.0
4/27/20,103.0
4/28/20,100.0
4/29/20,143.0
4/30/20,179.0
5/1/20,119.0
5/2/20,112.0
5/3/20,88.0
5/4/20,76.0
5/5/20,28.0
5/6/20,51.0
5/7/20,66.0
5/8/20,81.0
5/9/20,44.0
5/10/20,54.0
5/11/20,39.0
5/12/20,36.0
5/13/20,33.0
5/14/20,50.0
5/15/20,51.0
5/16/20,58.0
5/17/20,15.0
5/18/20,10.0
5/19/20,21.0
5/20/20,40.0
5/21/20,36.0
5/22/20,13.0
5/23/20,18.0
5/24/20,11.0
5/25/20,10.0
5/26/20,15.0
5/27/20,15.0
5/28/20,20.0
5/29/20,32.0
5/30/20,17.0
5/31/20,17.0
6/1/20,9.0
6/2/20,3.0
6/3/20,19.0
6/4/20,20.0
6/5/20,23.0
6/6/20,20.0
6/7/20,9.0
6/8/20,7.0
6/9/20,16.0
6/10/20,23.0
6/11/20,33.0
6/12/20,19.0
6/13/20,31.0
6/14/20,23.0
6/15/20,14.0
6/16/20,23.0
6/17/20,33.0
6/18/20,13.0
6/19/20,35.0
6/20/20,8.0
6/21/20,49.0
6/22/20,18.0
6/23/20,22.0
6/24/20,44.0
6/25/20,52.0
6/26/20,58.0
6/27/20,69.0
6/28/20,62.0
6/29/20,35.0
6/30/20,62.0
7/1/20,137.0
7/2/20,116.0
7/3/20,134.0
7/4/20,97.0
7/5/20,70.0
7/6/20,47.0
7/7/20,54.0
7/8/20,129.0
7/9/20,88.0
7/10/20,104.0
7/11/20,127.0
7/12/20,66.0
7/13/20,63.0
7/14/20,70.0
7/15/20,132.0
7/16/20,142.0
7/17/20,92.0
7/18/20,110.0
7/19/20,99.0
7/20/20,43.0
7/21/20,108.0
7/22/20,141.0
7/23/20,117.0
7/24/20,154.0
7/25/20,148.0
7/26/20,110.0
7/27/20,65.0
7/28/20,132.0
7/29/20,193.0
7/30/20,220.0
7/31/20,210.0
8/1/20,180.0
8/2/20,138.0
8/3/20,66.0
8/4/20,130.0
8/5/20,181.0
8/6/20,181.0
8/7/20,161.0
8/8/20,182.0
8/9/20,152.0
8/10/20,105.0
8/11/20,187.0
8/12/20,274.0
8/13/20,234.0
8/14/20,268.0
8/15/20,253.0
8/16/20,200.0
8/17/20,128.0
8/18/20,197.0
8/19/20,311.0
8/20/20,266.0
8/21/20,306.0
8/22/20,295.0
8/23/20,276.0
8/24/20,157.0
8/25/20,202.0
8/26/20,383.0
8/27/20,361.0
8/28/20,340.0
8/29/20,376.0
8/30/20,292.0
8/31/20,163.0
9/1/20,216.0
9/2/20,370.0
9/3/20,364.0
9/4/20,405.0
9/5/20,425.0
9/6/20,444.0
9/7/20,191.0
9/8/20,245.0
9/9/20,469.0
9/10/20,405.0
9/11/20,528.0
9/12/20,465.0
9/13/20,475.0
9/14/20,257.0
9/15/20,315.0
9/16/20,514.0
9/17/20,530.0
9/18/20,488.0
9/19/20,0.0
9/20/20,0.0
9/21/20,1095.0
9/22/20,286.0
9/23/20,437.0
9/24/20,391.0
9/25/20,372.0
9/26/20,0.0
9/27/20,0.0
9/28/20,782.0
9/29/20,225.0
9/30/20,411.0
10/1/20,550.0
10/2/20,552.0
10/3/20,0.0
10/4/20,0.0
10/5/20,1548.0
10/6/20,700.0
10/7/20,1077.0
10/8/20,1172.0
10/9/20,1487.0
10/10/20,0.0
10/11/20,0.0
10/12/20,4068.0
10/13/20,1445.0
10/14/20,2823.0
10/15/20,2613.0
10/16/20,3105.0
10/17/20,0.0
10/18/20,0.0
10/19/20,8737.0
10/20/20,3008.0
10/21/20,5596.0
10/22/20,5256.0
10/23/20,6634.0
10/24/20,0.0
10/25/20,0.0
10/26/20,17440.0
10/27/20,5949.0
10/28/20,8616.0
10/29/20,9386.0
10/30/20,9207.0
10/31/20,0.0
11/1/20,0.0
11/2/20,21926.0
11/3/20,6126.0
11/4/20,10073.0
11/5/20,10128.0
11/6/20,9409.0
11/7/20,0.0
11/8/20,0.0
11/9/20,17309.0
11/10/20,5980.0
11/11/20,8270.0
11/12/20,6924.0
11/13/20,6739.0
11/14/20,0.0
11/15/20,0.0
11/16/20,12839.0
11/17/20,4560.0
11/18/20,6114.0
11/19/20,5007.0
11/20/20,4946.0
11/21/20,0.0
11/22/20,0.0
11/23/20,9751.0
11/24/20,4241.0
11/25/20,4876.0
11/26/20,4509.0
11/27/20,4312.0
11/28/20,0.0
11/29/20,0.0
11/30/20,8782.0
12/1/20,3802.0
12/2/20,4786.0
12/3/20,4455.0
12/4/20,4382.0
12/5/20,0.0
12/6/20,0.0
12/7/20,9809.0
12/8/20,4262.0
12/9/20,5086.0
12/10/20,5041.0
12/11/20,5136.0
12/12/20,0.0
12/13/20,0.0
12/14/20,10726.0
12/15/20,4271.0
12/16/20,5625.0
12/17/20,5058.0
12/18/20,4478.0
12/19/20,0.0
12/20/20,0.0
12/21/20,10002.0
12/22/20,4275.0
12/23/20,5033.0
12/24/20,4898.0
12/25/20,0.0
12/26/20,0.0
12/27/20,0.0
12/28/20,10087.0
12/29/20,4197.0
12/30/20,5424.0
12/31/20,4391.0
1/1/21,0.0
1/2/21,0.0
1/3/21,0.0
1/4/21,9665.0
1/5/21,4020.0
1/6/21,4808.0
1/7/21,3975.0
1/8/21,3219.0
1/9/21,0.0
1/10/21,0.0
1/11/21,6523.0
1/12/21,2851.0
1/13/21,3001.0
1/14/21,2474.0
1/15/21,2396.0
1/16/21,0.0
1/17/21,0.0
1/18/21,4703.0
1/19/21,2260.0
1/20/21,2727.0
1/21/21,2205.0
1/22/21,2156.0
1/23/21,0.0
1/24/21,0.0
1/25/21,4320.0
1/26/21,1884.0
1/27/21,2222.0
1/28/21,1699.0
1/29/21,1916.0
1/30/21,0.0
1/31/21,0.0
2/1/21,3775.0
2/2/21,1633.0
2/3/21,1796.0
2/4/21,1765.0
2/5/21,1584.0
2/6/21,0.0
2/7/21,0.0
2/8/21,3280.0
2/9/21,1363.0
2/10/21,1602.0
2/11/21,1356.0
2/12/21,1253.0
2/13/21,0.0
2/14/21,0.0
2/15/21,2480.0
2/16/21,1075.0
2/17/21,1253.0
2/18/21,1219.0
2/19/21,1021.0
2/20/21,0.0
2/21/21,0.0
2/22/21,2449.0
2/23/21,1131.0
2/24/21,1343.0
2/25/21,1169.0
2/26/21,1065.0
2/27/21,0.0
2/28/21,0.0
3/1/21,2560.0
3/2/21,1130.0
3/3/21,1223.0
3/4/21,1223.0
3/5/21,1222.0
3/6/21,0.0
3/7/21,0.0
3/8/21,2744.0
3/9/21,1378.0
3/10/21,1491.0
3/11/21,1409.0
3/12/21,1333.0
3/13/21,0.0
3/14/21,0.0
3/15/21,3170.0
3/16/21,1438.0
3/17/21,1858.0
3/18/21,1750.0
3/19/21,1748.0
3/20/21,0.0
3/21/21,0.0
3/22/21,3643.0
3/23/21,1844.0
3/24/21,2022.0
3/25/21,2046.0
3/26/21,2053.0
3/27/21,0.0
3/28/21,0.0
3/29/21,4573.0
3/30/21,1923.0
3/31/21,2411.0
4/1/21,1968.0
4/2/21,2250.0
4/3/21,0.0
4/4/21,0.0
4/5/21,0.0
4/6/21,4932.0
4/7/21,2301.0
4/8/21,2449.0
4/9/21,2519.0
4/10/21,0.0
4/11/21,0.0
4/12/21,5583.0
4/13/21,2241.0
4/14/21,2601.0
4/15/21,2226.0
4/16/21,2205.0
4/17/21,0.0
4/18/21,0.0
4/19/21,4905.0
4/20/21,2141.0
4/21/21,2686.0
4/22/21,2265.0
4/23/21,2113.0
4/24/21,0.0
4/25/21,0.0
4/26/21,5313.0
4/27/21,2135.0
4/28/21,2120.0
4/29/21,2066.0
4/30/21,1831.0
5/1/21,0.0
5/2/21,0.0
5/3/21,3978.0
5/4/21,1633.0
5/5/21,1795.0
5/6/21,1687.0
5/7/21,1546.0
5/8/21,0.0
5/9/21,0.0
5/10/21,3683.0
5/11/21,1375.0
5/12/21,1539.0
5/13/21,0.0
5/14/21,2300.0
5/15/21,0.0
5/16/21,0.0
5/17/21,2650.0
5/18/21,1240.0
5/19/21,1554.0
5/20/21,1198.0
5/21/21,0.0
5/22/21,1201.0
5/23/21,0.0
5/24/21,0.0
5/25/21,2770.0
5/26/21,996.0
5/27/21,992.0
5/28/21,912.0
5/29/21,0.0
5/30/21,0.0
5/31/21,1717.0
6/1/21,756.0
6/2/21,717.0
6/3/21,588.0
6/4/21,491.0
6/5/21,0.0
6/6/21,0.0
6/7/21,1077.0
6/8/21,429.0
6/9/21,0.0
6/10/21,899.0
6/11/21,354.0
6/12/21,0.0
6/13/21,0.0
6/14/21,684.0
6/15/21,243.0
6/16/21,282.0
6/17/21,194.0
