,Turkey
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,1.0
3/12/20,0.0
3/13/20,4.0
3/14/20,0.0
3/15/20,1.0
3/16/20,12.0
3/17/20,29.0
3/18/20,51.0
3/19/20,94.0
3/20/20,167.0
3/21/20,311.0
3/22/20,566.0
3/23/20,293.0
3/24/20,343.0
3/25/20,561.0
3/26/20,1196.0
3/27/20,2069.0
3/28/20,1704.0
3/29/20,1815.0
3/30/20,1610.0
3/31/20,2704.0
4/1/20,2148.0
4/2/20,2456.0
4/3/20,2786.0
4/4/20,3013.0
4/5/20,3135.0
4/6/20,3148.0
4/7/20,3892.0
4/8/20,4117.0
4/9/20,4056.0
4/10/20,4747.0
4/11/20,5138.0
4/12/20,4789.0
4/13/20,4093.0
4/14/20,4062.0
4/15/20,4281.0
4/16/20,4801.0
4/17/20,4353.0
4/18/20,3783.0
4/19/20,3977.0
4/20/20,4674.0
4/21/20,4611.0
4/22/20,3083.0
4/23/20,3116.0
4/24/20,3122.0
4/25/20,2861.0
4/26/20,2357.0
4/27/20,2131.0
4/28/20,2392.0
4/29/20,2936.0
4/30/20,2615.0
5/1/20,2188.0
5/2/20,1983.0
5/3/20,1670.0
5/4/20,1614.0
5/5/20,1832.0
5/6/20,2253.0
5/7/20,1977.0
5/8/20,1848.0
5/9/20,1546.0
5/10/20,1542.0
5/11/20,1114.0
5/12/20,1704.0
5/13/20,1639.0
5/14/20,1635.0
5/15/20,1708.0
5/16/20,1610.0
5/17/20,1368.0
5/18/20,1158.0
5/19/20,1022.0
5/20/20,972.0
5/21/20,961.0
5/22/20,952.0
5/23/20,1186.0
5/24/20,1141.0
5/25/20,987.0
5/26/20,948.0
5/27/20,1035.0
5/28/20,1182.0
5/29/20,1141.0
5/30/20,983.0
5/31/20,839.0
6/1/20,827.0
6/2/20,786.0
6/3/20,867.0
6/4/20,988.0
6/5/20,930.0
6/6/20,878.0
6/7/20,914.0
6/8/20,989.0
6/9/20,993.0
6/10/20,922.0
6/11/20,987.0
6/12/20,1195.0
6/13/20,1459.0
6/14/20,1562.0
6/15/20,1592.0
6/16/20,1467.0
6/17/20,1429.0
6/18/20,1304.0
6/19/20,1214.0
6/20/20,1248.0
6/21/20,1192.0
6/22/20,1212.0
6/23/20,1268.0
6/24/20,1492.0
6/25/20,1458.0
6/26/20,1396.0
6/27/20,1372.0
6/28/20,1356.0
6/29/20,1374.0
6/30/20,1293.0
7/1/20,1192.0
7/2/20,1186.0
7/3/20,1172.0
7/4/20,1154.0
7/5/20,1148.0
7/6/20,1086.0
7/7/20,1053.0
7/8/20,1041.0
7/9/20,1024.0
7/10/20,1003.0
7/11/20,1016.0
7/12/20,1012.0
7/13/20,1008.0
7/14/20,992.0
7/15/20,947.0
7/16/20,933.0
7/17/20,926.0
7/18/20,918.0
7/19/20,924.0
7/20/20,931.0
7/21/20,928.0
7/22/20,902.0
7/23/20,913.0
7/24/20,937.0
7/25/20,921.0
7/26/20,927.0
7/27/20,919.0
7/28/20,963.0
7/29/20,942.0
7/30/20,967.0
7/31/20,982.0
8/1/20,996.0
8/2/20,987.0
8/3/20,995.0
8/4/20,1083.0
8/5/20,1178.0
8/6/20,1153.0
8/7/20,1185.0
8/8/20,1172.0
8/9/20,1182.0
8/10/20,1193.0
8/11/20,1183.0
8/12/20,1212.0
8/13/20,1243.0
8/14/20,1226.0
8/15/20,1256.0
8/16/20,1192.0
8/17/20,1233.0
8/18/20,1263.0
8/19/20,1303.0
8/20/20,1412.0
8/21/20,1203.0
8/22/20,1309.0
8/23/20,1217.0
8/24/20,1443.0
8/25/20,1502.0
8/26/20,1313.0
8/27/20,1491.0
8/28/20,1517.0
8/29/20,1549.0
8/30/20,1482.0
8/31/20,1587.0
9/1/20,1572.0
9/2/20,1596.0
9/3/20,1642.0
9/4/20,1612.0
9/5/20,1673.0
9/6/20,1578.0
9/7/20,1703.0
9/8/20,1761.0
9/9/20,1673.0
9/10/20,1512.0
9/11/20,1671.0
9/12/20,1509.0
9/13/20,1527.0
9/14/20,1716.0
9/15/20,1742.0
9/16/20,1771.0
9/17/20,1648.0
9/18/20,1771.0
9/19/20,1538.0
9/20/20,1519.0
9/21/20,1743.0
9/22/20,1692.0
9/23/20,1767.0
9/24/20,1721.0
9/25/20,1665.0
9/26/20,1511.0
9/27/20,1467.0
9/28/20,1412.0
9/29/20,1427.0
9/30/20,1391.0
10/1/20,1407.0
10/2/20,1442.0
10/3/20,1502.0
10/4/20,1429.0
10/5/20,1603.0
10/6/20,1511.0
10/7/20,1581.0
10/8/20,1615.0
10/9/20,1629.0
10/10/20,1649.0
10/11/20,1502.0
10/12/20,1614.0
10/13/20,1632.0
10/14/20,1671.0
10/15/20,1693.0
10/16/20,1812.0
10/17/20,1723.0
10/18/20,1815.0
10/19/20,2026.0
10/20/20,1894.0
10/21/20,2013.0
10/22/20,2102.0
10/23/20,2165.0
10/24/20,2091.0
10/25/20,2017.0
10/26/20,2198.0
10/27/20,2209.0
10/28/20,2305.0
10/29/20,2319.0
10/30/20,2322.0
10/31/20,2213.0
11/1/20,2106.0
11/2/20,2302.0
11/3/20,2343.0
11/4/20,2391.0
11/5/20,2311.0
11/6/20,2436.0
11/7/20,2483.0
11/8/20,2516.0
11/9/20,2576.0
11/10/20,2529.0
11/11/20,2693.0
11/12/20,2841.0
11/13/20,3045.0
11/14/20,3116.0
11/15/20,3223.0
11/16/20,3316.0
11/17/20,3819.0
11/18/20,4215.0
11/19/20,4542.0
11/20/20,5103.0
11/21/20,5532.0
11/22/20,6017.0
11/23/20,6713.0
11/24/20,7381.0
11/25/20,6814.0
11/26/20,36008.0
11/27/20,44506.0
11/28/20,30103.0
11/29/20,29281.0
11/30/20,31219.0
12/1/20,30110.0
12/2/20,31923.0
12/3/20,32381.0
12/4/20,32736.0
12/5/20,31896.0
12/6/20,30402.0
12/7/20,32137.0
12/8/20,33198.0
12/9/20,31712.0
12/10/20,823225.0
12/11/20,32106.0
12/12/20,29136.0
12/13/20,26919.0
12/14/20,29617.0
12/15/20,32102.0
12/16/20,29718.0
12/17/20,27515.0
12/18/20,26410.0
12/19/20,22195.0
12/20/20,20316.0
12/21/20,19103.0
12/22/20,19256.0
12/23/20,19650.0
12/24/20,18102.0
12/25/20,17543.0
12/26/20,15118.0
12/27/20,14205.0
12/28/20,15197.0
12/29/20,15805.0
12/30/20,15692.0
12/31/20,14380.0
1/1/21,12203.0
1/2/21,11180.0
1/3/21,9877.0
1/4/21,13695.0
1/5/21,14494.0
1/6/21,13830.0
1/7/21,12171.0
1/8/21,11479.0
1/9/21,9537.0
1/10/21,9138.0
1/11/21,10220.0
1/12/21,9809.0
1/13/21,9554.0
1/14/21,8962.0
1/15/21,8314.0
1/16/21,7550.0
1/17/21,6436.0
1/18/21,5862.0
1/19/21,6818.0
1/20/21,6435.0
1/21/21,6289.0
1/22/21,5967.0
1/23/21,5856.0
1/24/21,5277.0
1/25/21,5642.0
1/26/21,7103.0
1/27/21,7489.0
1/28/21,7279.0
1/29/21,6912.0
1/30/21,6871.0
1/31/21,6562.0
2/1/21,7719.0
2/2/21,7795.0
2/3/21,8102.0
2/4/21,7909.0
2/5/21,7901.0
2/6/21,7897.0
2/7/21,6670.0
2/8/21,8103.0
2/9/21,8636.0
2/10/21,8642.0
2/11/21,7590.0
2/12/21,7763.0
2/13/21,7706.0
2/14/21,6287.0
2/15/21,7945.0
2/16/21,7906.0
2/17/21,7325.0
2/18/21,7241.0
2/19/21,7419.0
2/20/21,7857.0
2/21/21,6546.0
2/22/21,8104.0
2/23/21,9107.0
2/24/21,9561.0
2/25/21,9572.0
2/26/21,9205.0
2/27/21,9193.0
2/28/21,8424.0
3/1/21,9891.0
3/2/21,11837.0
3/3/21,11520.0
3/4/21,11322.0
3/5/21,11302.0
3/6/21,11770.0
3/7/21,11187.0
3/8/21,13215.0
3/9/21,13755.0
3/10/21,14556.0
3/11/21,14046.0
3/12/21,14941.0
3/13/21,15082.0
3/14/21,13378.0
3/15/21,15503.0
3/16/21,16749.0
3/17/21,18912.0
3/18/21,20049.0
3/19/21,21030.0
3/20/21,21061.0
3/21/21,20428.0
3/22/21,22216.0
3/23/21,26182.0
3/24/21,29762.0
3/25/21,28731.0
3/26/21,29081.0
3/27/21,30021.0
3/28/21,29058.0
3/29/21,32404.0
3/30/21,37303.0
3/31/21,39302.0
4/1/21,40806.0
4/2/21,42308.0
4/3/21,44756.0
4/4/21,41998.0
4/5/21,42551.0
4/6/21,49584.0
4/7/21,54740.0
4/8/21,55941.0
4/9/21,55791.0
4/10/21,52676.0
4/11/21,50678.0
4/12/21,54562.0
4/13/21,59187.0
4/14/21,62797.0
4/15/21,61400.0
4/16/21,63082.0
4/17/21,62606.0
4/18/21,55802.0
4/19/21,55149.0
4/20/21,61028.0
4/21/21,61967.0
4/22/21,54791.0
4/23/21,49438.0
4/24/21,40596.0
4/25/21,38553.0
4/26/21,37312.0
4/27/21,43301.0
4/28/21,40444.0
4/29/21,37674.0
4/30/21,31891.0
5/1/21,28817.0
5/2/21,25980.0
5/3/21,24733.0
5/4/21,28997.0
5/5/21,26476.0
5/6/21,22388.0
5/7/21,20107.0
5/8/21,18052.0
5/9/21,15191.0
5/10/21,13604.0
5/11/21,14497.0
5/12/21,13029.0
5/13/21,11534.0
5/14/21,11394.0
5/15/21,11472.0
5/16/21,10512.0
5/17/21,10174.0
5/18/21,11937.0
5/19/21,11553.0
5/20/21,9385.0
5/21/21,9528.0
5/22/21,8697.0
5/23/21,7839.0
5/24/21,7523.0
5/25/21,9375.0
5/26/21,8738.0
5/27/21,8426.0
