,US
1/22/20,0.0
1/23/20,0.0
1/24/20,1.0
1/25/20,0.0
1/26/20,3.0
1/27/20,0.0
1/28/20,0.0
1/29/20,1.0
1/30/20,0.0
1/31/20,2.0
2/1/20,0.0
2/2/20,0.0
2/3/20,3.0
2/4/20,0.0
2/5/20,0.0
2/6/20,1.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,1.0
2/12/20,0.0
2/13/20,1.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,2.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,1.0
2/28/20,0.0
2/29/20,8.0
3/1/20,7.0
3/2/20,23.0
3/3/20,19.0
3/4/20,33.0
3/5/20,77.0
3/6/20,53.0
3/7/20,166.0
3/8/20,116.0
3/9/20,75.0
3/10/20,188.0
3/11/20,365.0
3/12/20,439.0
3/13/20,633.0
3/14/20,759.0
3/15/20,234.0
3/16/20,1467.0
3/17/20,1833.0
3/18/20,2657.0
3/19/20,4494.0
3/20/20,6367.0
3/21/20,5995.0
3/22/20,8919.0
3/23/20,11152.0
3/24/20,10618.0
3/25/20,12127.0
3/26/20,17821.0
3/27/20,18591.0
3/28/20,22164.0
3/29/20,16127.0
3/30/20,22154.0
3/31/20,26381.0
4/1/20,31463.0
4/2/20,32089.0
4/3/20,32204.0
4/4/20,31891.0
4/5/20,29242.0
4/6/20,31729.0
4/7/20,30065.0
4/8/20,31078.0
4/9/20,35611.0
4/10/20,34339.0
4/11/20,28873.0
4/12/20,26451.0
4/13/20,27042.0
4/14/20,28350.0
4/15/20,25630.0
4/16/20,29669.0
4/17/20,32794.0
4/18/20,27561.0
4/19/20,25641.0
4/20/20,30026.0
4/21/20,25927.0
4/22/20,29385.0
4/23/20,32377.0
4/24/20,31942.0
4/25/20,31065.0
4/26/20,26140.0
4/27/20,24629.0
4/28/20,24441.0
4/29/20,26606.0
4/30/20,29063.0
5/1/20,35273.0
5/2/20,27305.0
5/3/20,23883.0
5/4/20,23880.0
5/5/20,23933.0
5/6/20,24479.0
5/7/20,27500.0
5/8/20,27347.0
5/9/20,24550.0
5/10/20,18717.0
5/11/20,19059.0
5/12/20,23231.0
5/13/20,19963.0
5/14/20,25972.0
5/15/20,24881.0
5/16/20,24129.0
5/17/20,18374.0
5/18/20,22590.0
5/19/20,20551.0
5/20/20,22569.0
5/21/20,25381.0
5/22/20,23914.0
5/23/20,20156.0
5/24/20,20182.0
5/25/20,18921.0
5/26/20,18680.0
5/27/20,18914.0
5/28/20,21068.0
5/29/20,25241.0
5/30/20,23138.0
5/31/20,18288.0
6/1/20,17264.0
6/2/20,21210.0
6/3/20,19299.0
6/4/20,28051.0
6/5/20,26370.0
6/6/20,20340.0
6/7/20,17742.0
6/8/20,16922.0
6/9/20,20287.0
6/10/20,21649.0
6/11/20,22079.0
6/12/20,25786.0
6/13/20,24071.0
6/14/20,19092.0
6/15/20,20952.0
6/16/20,24669.0
6/17/20,27018.0
6/18/20,27780.0
6/19/20,31572.0
6/20/20,31838.0
6/21/20,25915.0
6/22/20,29552.0
6/23/20,38326.0
6/24/20,36350.0
6/25/20,39107.0
6/26/20,49551.0
6/27/20,41268.0
6/28/20,42262.0
6/29/20,41660.0
6/30/20,49381.0
7/1/20,49502.0
7/2/20,54583.0
7/3/20,51991.0
7/4/20,45949.0
7/5/20,53573.0
7/6/20,42983.0
7/7/20,56561.0
7/8/20,61043.0
7/9/20,59384.0
7/10/20,68781.0
7/11/20,60736.0
7/12/20,58821.0
7/13/20,61000.0
7/14/20,65061.0
7/15/20,66334.0
7/16/20,70352.0
7/17/20,66654.0
7/18/20,64716.0
7/19/20,59164.0
7/20/20,61121.0
7/21/20,67170.0
7/22/20,68072.0
7/23/20,67970.0
7/24/20,75412.0
7/25/20,62827.0
7/26/20,56708.0
7/27/20,60299.0
7/28/20,64967.0
7/29/20,64741.0
7/30/20,67704.0
7/31/20,65954.0
8/1/20,57725.0
8/2/20,47411.0
8/3/20,40876.0
8/4/20,61760.0
8/5/20,54666.0
8/6/20,59633.0
8/7/20,61218.0
8/8/20,63729.0
8/9/20,54799.0
8/10/20,51912.0
8/11/20,56244.0
8/12/20,55359.0
8/13/20,51332.0
8/14/20,70733.0
8/15/20,51744.0
8/16/20,35318.0
8/17/20,37974.0
8/18/20,44121.0
8/19/20,46492.0
8/20/20,44112.0
8/21/20,48710.0
8/22/20,44615.0
8/23/20,32971.0
8/24/20,33836.0
8/25/20,41784.0
8/26/20,42615.0
8/27/20,50046.0
8/28/20,46923.0
8/29/20,43194.0
8/30/20,33610.0
8/31/20,33863.0
9/1/20,41608.0
9/2/20,40187.0
9/3/20,45227.0
9/4/20,48265.0
9/5/20,42905.0
9/6/20,30189.0
9/7/20,24863.0
9/8/20,26410.0
9/9/20,33265.0
9/10/20,39178.0
9/11/20,45038.0
9/12/20,45312.0
9/13/20,40008.0
9/14/20,33443.0
9/15/20,36213.0
9/16/20,38969.0
9/17/20,44442.0
9/18/20,51172.0
9/19/20,44619.0
9/20/20,42730.0
9/21/20,32302.0
9/22/20,37167.0
9/23/20,41861.0
9/24/20,48421.0
9/25/20,47500.0
9/26/20,43027.0
9/27/20,34613.0
9/28/20,37646.0
9/29/20,41700.0
9/30/20,38814.0
10/1/20,46300.0
10/2/20,53252.0
10/3/20,49154.0
10/4/20,33054.0
10/5/20,37457.0
10/6/20,44241.0
10/7/20,49360.0
10/8/20,57780.0
10/9/20,55283.0
10/10/20,55095.0
10/11/20,46204.0
10/12/20,43804.0
10/13/20,49581.0
10/14/20,57859.0
10/15/20,64239.0
10/16/20,69229.0
10/17/20,54855.0
10/18/20,52220.0
10/19/20,68636.0
10/20/20,61809.0
10/21/20,60733.0
10/22/20,78495.0
10/23/20,82550.0
10/24/20,77461.0
10/25/20,61718.0
10/26/20,64973.0
10/27/20,76766.0
10/28/20,85810.0
10/29/20,91445.0
10/30/20,99971.0
10/31/20,88661.0
11/1/20,76273.0
11/2/20,82844.0
11/3/20,123530.0
11/4/20,100616.0
11/5/20,128375.0
11/6/20,124960.0
11/7/20,128463.0
11/8/20,117900.0
11/9/20,120563.0
11/10/20,135274.0
11/11/20,146661.0
11/12/20,159292.0
11/13/20,178116.0
11/14/20,165250.0
11/15/20,138939.0
11/16/20,156341.0
11/17/20,162596.0
11/18/20,172202.0
11/19/20,192104.0
11/20/20,200947.0
11/21/20,181159.0
11/22/20,146052.0
11/23/20,183102.0
11/24/20,172634.0
11/25/20,180188.0
11/26/20,116599.0
11/27/20,213588.0
11/28/20,170322.0
11/29/20,138002.0
11/30/20,157370.0
12/1/20,195967.0
12/2/20,197107.0
12/3/20,219574.0
12/4/20,234648.0
12/5/20,223927.0
12/6/20,178283.0
12/7/20,196552.0
12/8/20,224498.0
12/9/20,220613.0
12/10/20,234131.0
12/11/20,240445.0
12/12/20,222438.0
12/13/20,191829.0
12/14/20,212019.0
12/15/20,223183.0
12/16/20,236782.0
12/17/20,238963.0
12/18/20,250482.0
12/19/20,198781.0
12/20/20,193412.0
12/21/20,200899.0
12/22/20,203438.0
12/23/20,222507.0
12/24/20,211510.0
12/25/20,120701.0
12/26/20,226971.0
12/27/20,135767.0
12/28/20,173592.0
12/29/20,202572.0
12/30/20,219895.0
12/31/20,312007.0
1/1/21,172376.0
1/2/21,282367.0
1/3/21,204006.0
1/4/21,185506.0
1/5/21,229801.0
1/6/21,260204.0
1/7/21,287855.0
1/8/21,304487.0
1/9/21,263438.0
1/10/21,212926.0
1/11/21,203619.0
1/12/21,220468.0
1/13/21,229778.0
1/14/21,234435.0
1/15/21,247912.0
1/16/21,215530.0
1/17/21,178527.0
1/18/21,141562.0
1/19/21,154476.0
1/20/21,188529.0
1/21/21,191345.0
1/22/21,193234.0
1/23/21,177834.0
1/24/21,141429.0
1/25/21,129412.0
1/26/21,149846.0
1/27/21,156138.0
1/28/21,164599.0
1/29/21,166993.0
1/30/21,149712.0
1/31/21,113827.0
2/1/21,124882.0
2/2/21,117849.0
2/3/21,122870.0
2/4/21,125304.0
2/5/21,131559.0
2/6/21,116344.0
2/7/21,90476.0
2/8/21,82765.0
2/9/21,94165.0
2/10/21,95987.0
2/11/21,106009.0
2/12/21,100916.0
2/13/21,90917.0
2/14/21,68395.0
2/15/21,55723.0
2/16/21,59025.0
2/17/21,68672.0
2/18/21,72167.0
2/19/21,75512.0
2/20/21,73779.0
2/21/21,55534.0
2/22/21,55339.0
2/23/21,73234.0
2/24/21,74765.0
2/25/21,77597.0
2/26/21,75889.0
2/27/21,71255.0
2/28/21,52026.0
3/1/21,50527.0
3/2/21,57510.0
3/3/21,67337.0
3/4/21,68883.0
3/5/21,68127.0
3/6/21,61140.0
3/7/21,42142.0
3/8/21,43373.0
3/9/21,55485.0
3/10/21,57522.0
3/11/21,61931.0
3/12/21,63063.0
3/13/21,55398.0
3/14/21,38624.0
3/15/21,53153.0
3/16/21,53496.0
3/17/21,60048.0
3/18/21,61641.0
3/19/21,61711.0
3/20/21,58157.0
3/21/21,34620.0
3/22/21,49072.0
3/23/21,53171.0
3/24/21,87474.0
3/25/21,68017.0
3/26/21,76194.0
3/27/21,63343.0
3/28/21,45498.0
3/29/21,67396.0
3/30/21,61365.0
3/31/21,68983.0
4/1/21,77423.0
4/2/21,73002.0
4/3/21,64048.0
4/4/21,37356.0
4/5/21,69429.0
4/6/21,62546.0
4/7/21,75687.0
4/8/21,80458.0
4/9/21,84445.0
4/10/21,69827.0
4/11/21,46785.0
4/12/21,63617.0
4/13/21,81224.0
4/14/21,75024.0
4/15/21,74123.0
4/16/21,80678.0
4/17/21,54869.0
4/18/21,43277.0
4/19/21,62892.0
4/20/21,62136.0
4/21/21,64247.0
4/22/21,66901.0
4/23/21,63191.0
4/24/21,54291.0
4/25/21,34141.0
4/26/21,43132.0
4/27/21,52352.0
4/28/21,55145.0
4/29/21,58863.0
4/30/21,58001.0
5/1/21,48263.0
5/2/21,30068.0
5/3/21,45874.0
5/4/21,42565.0
5/5/21,45778.0
5/6/21,46599.0
5/7/21,48178.0
5/8/21,35155.0
5/9/21,22491.0
5/10/21,33191.0
5/11/21,35204.0
5/12/21,35921.0
5/13/21,38887.0
5/14/21,42047.0
5/15/21,30397.0
5/16/21,17431.0
5/17/21,25821.0
5/18/21,28786.0
5/19/21,29501.0
5/20/21,30099.0
5/21/21,28690.0
5/22/21,20945.0
5/23/21,13530.0
