,Uzbekistan
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,1.0
3/16/20,5.0
3/17/20,4.0
3/18/20,5.0
3/19/20,8.0
3/20/20,10.0
3/21/20,10.0
3/22/20,0.0
3/23/20,3.0
3/24/20,4.0
3/25/20,10.0
3/26/20,15.0
3/27/20,13.0
3/28/20,16.0
3/29/20,40.0
3/30/20,5.0
3/31/20,23.0
4/1/20,9.0
4/2/20,24.0
4/3/20,22.0
4/4/20,39.0
4/5/20,76.0
4/6/20,115.0
4/7/20,63.0
4/8/20,25.0
4/9/20,37.0
4/10/20,42.0
4/11/20,143.0
4/12/20,98.0
4/13/20,133.0
4/14/20,167.0
4/15/20,137.0
4/16/20,47.0
4/17/20,56.0
4/18/20,85.0
4/19/20,75.0
4/20/20,62.0
4/21/20,51.0
4/22/20,38.0
4/23/20,42.0
4/24/20,46.0
4/25/20,58.0
4/26/20,7.0
4/27/20,35.0
4/28/20,35.0
4/29/20,63.0
4/30/20,37.0
5/1/20,47.0
5/2/20,32.0
5/3/20,31.0
5/4/20,40.0
5/5/20,18.0
5/6/20,26.0
5/7/20,65.0
5/8/20,27.0
5/9/20,24.0
5/10/20,69.0
5/11/20,68.0
5/12/20,33.0
5/13/20,93.0
5/14/20,33.0
5/15/20,41.0
5/16/20,52.0
5/17/20,15.0
5/18/20,38.0
5/19/20,64.0
5/20/20,84.0
5/21/20,25.0
5/22/20,64.0
5/23/20,87.0
5/24/20,49.0
5/25/20,25.0
5/26/20,101.0
5/27/20,79.0
5/28/20,75.0
5/29/20,24.0
5/30/20,78.0
5/31/20,77.0
6/1/20,79.0
6/2/20,58.0
6/3/20,83.0
6/4/20,96.0
6/5/20,68.0
6/6/20,87.0
6/7/20,237.0
6/8/20,109.0
6/9/20,80.0
6/10/20,103.0
6/11/20,118.0
6/12/20,128.0
6/13/20,97.0
6/14/20,114.0
6/15/20,183.0
6/16/20,230.0
6/17/20,189.0
6/18/20,85.0
6/19/20,179.0
6/20/20,207.0
6/21/20,162.0
6/22/20,146.0
6/23/20,201.0
6/24/20,328.0
6/25/20,187.0
6/26/20,250.0
6/27/20,255.0
6/28/20,266.0
6/29/20,274.0
6/30/20,281.0
7/1/20,278.0
7/2/20,297.0
7/3/20,318.0
7/4/20,312.0
7/5/20,312.0
7/6/20,342.0
7/7/20,476.0
7/8/20,254.0
7/9/20,472.0
7/10/20,463.0
7/11/20,486.0
7/12/20,484.0
7/13/20,594.0
7/14/20,494.0
7/15/20,496.0
7/16/20,485.0
7/17/20,541.0
7/18/20,579.0
7/19/20,566.0
7/20/20,397.0
7/21/20,732.0
7/22/20,498.0
7/23/20,607.0
7/24/20,374.0
7/25/20,592.0
7/26/20,579.0
7/27/20,678.0
7/28/20,490.0
7/29/20,886.0
7/30/20,686.0
7/31/20,738.0
8/1/20,774.0
8/2/20,553.0
8/3/20,730.0
8/4/20,981.0
8/5/20,746.0
8/6/20,522.0
8/7/20,742.0
8/8/20,595.0
8/9/20,957.0
8/10/20,695.0
8/11/20,443.0
8/12/20,907.0
8/13/20,669.0
8/14/20,498.0
8/15/20,707.0
8/16/20,801.0
8/17/20,373.0
8/18/20,650.0
8/19/20,760.0
8/20/20,435.0
8/21/20,527.0
8/22/20,458.0
8/23/20,414.0
8/24/20,402.0
8/25/20,293.0
8/26/20,323.0
8/27/20,483.0
8/28/20,273.0
8/29/20,347.0
8/30/20,357.0
8/31/20,469.0
9/1/20,234.0
9/2/20,310.0
9/3/20,251.0
9/4/20,310.0
9/5/20,295.0
9/6/20,294.0
9/7/20,306.0
9/8/20,388.0
9/9/20,649.0
9/10/20,543.0
9/11/20,687.0
9/12/20,561.0
9/13/20,566.0
9/14/20,549.0
9/15/20,593.0
9/16/20,586.0
9/17/20,612.0
9/18/20,626.0
9/19/20,739.0
9/20/20,648.0
9/21/20,430.0
9/22/20,615.0
9/23/20,590.0
9/24/20,559.0
9/25/20,558.0
9/26/20,427.0
9/27/20,501.0
9/28/20,456.0
9/29/20,578.0
9/30/20,363.0
10/1/20,473.0
10/2/20,264.0
10/3/20,784.0
10/4/20,374.0
10/5/20,334.0
10/6/20,397.0
10/7/20,236.0
10/8/20,447.0
10/9/20,316.0
10/10/20,434.0
10/11/20,322.0
10/12/20,221.0
10/13/20,323.0
10/14/20,308.0
10/15/20,328.0
10/16/20,310.0
10/17/20,221.0
10/18/20,315.0
10/19/20,399.0
10/20/20,308.0
10/21/20,179.0
10/22/20,429.0
10/23/20,285.0
10/24/20,199.0
10/25/20,384.0
10/26/20,360.0
10/27/20,214.0
10/28/20,260.0
10/29/20,251.0
10/30/20,236.0
10/31/20,304.0
11/1/20,224.0
11/2/20,98.0
11/3/20,299.0
11/4/20,226.0
11/5/20,230.0
11/6/20,130.0
11/7/20,228.0
11/8/20,363.0
11/9/20,297.0
11/10/20,0.0
11/11/20,370.0
11/12/20,163.0
11/13/20,194.0
11/14/20,233.0
11/15/20,256.0
11/16/20,138.0
11/17/20,267.0
11/18/20,210.0
11/19/20,63.0
11/20/20,287.0
11/21/20,223.0
11/22/20,186.0
11/23/20,157.0
11/24/20,211.0
11/25/20,242.0
11/26/20,182.0
11/27/20,104.0
11/28/20,205.0
11/29/20,152.0
11/30/20,224.0
12/1/20,182.0
12/2/20,59.0
12/3/20,96.0
12/4/20,320.0
12/5/20,0.0
12/6/20,302.0
12/7/20,0.0
12/8/20,153.0
12/9/20,146.0
12/10/20,146.0
12/11/20,313.0
12/12/20,0.0
12/13/20,145.0
12/14/20,138.0
12/15/20,147.0
12/16/20,297.0
12/17/20,0.0
12/18/20,137.0
12/19/20,131.0
12/20/20,127.0
12/21/20,115.0
12/22/20,132.0
12/23/20,135.0
12/24/20,141.0
12/25/20,112.0
12/26/20,98.0
12/27/20,85.0
12/28/20,81.0
12/29/20,75.0
12/30/20,78.0
12/31/20,75.0
1/1/21,122.0
1/2/21,0.0
1/3/21,76.0
1/4/21,0.0
1/5/21,37.0
1/6/21,55.0
1/7/21,62.0
1/8/21,73.0
1/9/21,45.0
1/10/21,42.0
1/11/21,39.0
1/12/21,52.0
1/13/21,53.0
1/14/21,61.0
1/15/21,127.0
1/16/21,64.0
1/17/21,0.0
1/18/21,68.0
1/19/21,55.0
1/20/21,72.0
1/21/21,56.0
1/22/21,53.0
1/23/21,45.0
1/24/21,58.0
1/25/21,54.0
1/26/21,42.0
1/27/21,39.0
1/28/21,46.0
1/29/21,46.0
1/30/21,109.0
1/31/21,0.0
2/1/21,44.0
2/2/21,46.0
2/3/21,58.0
2/4/21,57.0
2/5/21,73.0
2/6/21,56.0
2/7/21,53.0
2/8/21,64.0
2/9/21,42.0
2/10/21,33.0
2/11/21,66.0
2/12/21,37.0
2/13/21,41.0
2/14/21,35.0
2/15/21,26.0
2/16/21,19.0
2/17/21,36.0
2/18/21,51.0
2/19/21,50.0
2/20/21,34.0
2/21/21,22.0
2/22/21,27.0
2/23/21,36.0
2/24/21,32.0
2/25/21,24.0
2/26/21,31.0
2/27/21,32.0
2/28/21,90.0
3/1/21,0.0
3/2/21,35.0
3/3/21,74.0
3/4/21,0.0
3/5/21,46.0
3/6/21,44.0
3/7/21,51.0
3/8/21,43.0
3/9/21,28.0
3/10/21,21.0
3/11/21,124.0
3/12/21,0.0
3/13/21,89.0
3/14/21,86.0
3/15/21,111.0
3/16/21,65.0
3/17/21,115.0
3/18/21,113.0
3/19/21,124.0
3/20/21,244.0
3/21/21,0.0
3/22/21,107.0
3/23/21,232.0
3/24/21,0.0
3/25/21,138.0
3/26/21,144.0
3/27/21,186.0
3/28/21,194.0
3/29/21,196.0
3/30/21,146.0
3/31/21,187.0
4/1/21,181.0
4/2/21,189.0
4/3/21,196.0
4/4/21,188.0
4/5/21,179.0
4/6/21,133.0
4/7/21,192.0
4/8/21,195.0
4/9/21,207.0
4/10/21,195.0
4/11/21,198.0
4/12/21,192.0
4/13/21,177.0
4/14/21,212.0
4/15/21,227.0
4/16/21,292.0
4/17/21,316.0
4/18/21,342.0
4/19/21,302.0
4/20/21,243.0
4/21/21,326.0
4/22/21,384.0
4/23/21,345.0
4/24/21,399.0
4/25/21,348.0
4/26/21,328.0
4/27/21,275.0
4/28/21,378.0
4/29/21,398.0
4/30/21,402.0
5/1/21,442.0
5/2/21,393.0
5/3/21,363.0
5/4/21,314.0
5/5/21,404.0
5/6/21,452.0
5/7/21,421.0
5/8/21,381.0
5/9/21,419.0
5/10/21,362.0
5/11/21,313.0
5/12/21,395.0
5/13/21,359.0
5/14/21,291.0
5/15/21,251.0
5/16/21,302.0
5/17/21,223.0
5/18/21,175.0
5/19/21,212.0
5/20/21,263.0
5/21/21,313.0
5/22/21,308.0
5/23/21,287.0
5/24/21,206.0
5/25/21,192.0
5/26/21,215.0
5/27/21,280.0
5/28/21,236.0
5/29/21,264.0
5/30/21,280.0
5/31/21,211.0
6/1/21,160.0
6/2/21,231.0
6/3/21,271.0
6/4/21,201.0
6/5/21,238.0
6/6/21,286.0
6/7/21,242.0
6/8/21,199.0
6/9/21,199.0
6/10/21,243.0
6/11/21,287.0
6/12/21,314.0
6/13/21,304.0
6/14/21,303.0
6/15/21,300.0
6/16/21,350.0
6/17/21,371.0
6/18/21,385.0
6/19/21,391.0
6/20/21,415.0
6/21/21,427.0
6/22/21,395.0
6/23/21,419.0
6/24/21,442.0
6/25/21,476.0
6/26/21,546.0
6/27/21,493.0
6/28/21,469.0
6/29/21,498.0
6/30/21,487.0
7/1/21,476.0
7/2/21,495.0
7/3/21,482.0
7/4/21,467.0
7/5/21,475.0
