,Venezuela
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,2.0
3/15/20,8.0
3/16/20,7.0
3/17/20,16.0
3/18/20,3.0
3/19/20,6.0
3/20/20,0.0
3/21/20,28.0
3/22/20,0.0
3/23/20,7.0
3/24/20,7.0
3/25/20,7.0
3/26/20,16.0
3/27/20,0.0
3/28/20,12.0
3/29/20,0.0
3/30/20,16.0
3/31/20,0.0
4/1/20,8.0
4/2/20,3.0
4/3/20,7.0
4/4/20,2.0
4/5/20,4.0
4/6/20,6.0
4/7/20,0.0
4/8/20,2.0
4/9/20,4.0
4/10/20,0.0
4/11/20,4.0
4/12/20,6.0
4/13/20,8.0
4/14/20,0.0
4/15/20,8.0
4/16/20,7.0
4/17/20,0.0
4/18/20,23.0
4/19/20,29.0
4/20/20,0.0
4/21/20,29.0
4/22/20,3.0
4/23/20,23.0
4/24/20,7.0
4/25/20,5.0
4/26/20,2.0
4/27/20,4.0
4/28/20,0.0
4/29/20,2.0
4/30/20,2.0
5/1/20,2.0
5/2/20,10.0
5/3/20,12.0
5/4/20,0.0
5/5/20,4.0
5/6/20,18.0
5/7/20,2.0
5/8/20,7.0
5/9/20,14.0
5/10/20,12.0
5/11/20,8.0
5/12/20,1.0
5/13/20,0.0
5/14/20,32.0
5/15/20,4.0
5/16/20,45.0
5/17/20,37.0
5/18/20,77.0
5/19/20,131.0
5/20/20,75.0
5/21/20,58.0
5/22/20,62.0
5/23/20,66.0
5/24/20,111.0
5/25/20,56.0
5/26/20,34.0
5/27/20,34.0
5/28/20,80.0
5/29/20,45.0
5/30/20,89.0
5/31/20,51.0
6/1/20,152.0
6/2/20,157.0
6/3/20,133.0
6/4/20,135.0
6/5/20,58.0
6/6/20,171.0
6/7/20,61.0
6/8/20,96.0
6/9/20,159.0
6/10/20,106.0
6/11/20,76.0
6/12/20,65.0
6/13/20,25.0
6/14/20,74.0
6/15/20,84.0
6/16/20,88.0
6/17/20,236.0
6/18/20,97.0
6/19/20,108.0
6/20/20,198.0
6/21/20,128.0
6/22/20,131.0
6/23/20,139.0
6/24/20,179.0
6/25/20,197.0
6/26/20,216.0
6/27/20,351.0
6/28/20,167.0
6/29/20,233.0
6/30/20,302.0
7/1/20,230.0
7/2/20,211.0
7/3/20,264.0
7/4/20,213.0
7/5/20,419.0
7/6/20,242.0
7/7/20,282.0
7/8/20,315.0
7/9/20,364.0
7/10/20,431.0
7/11/20,375.0
7/12/20,287.0
7/13/20,242.0
7/14/20,303.0
7/15/20,418.0
7/16/20,426.0
7/17/20,337.0
7/18/20,292.0
7/19/20,408.0
7/20/20,443.0
7/21/20,440.0
7/22/20,390.0
7/23/20,449.0
7/24/20,650.0
7/25/20,666.0
7/26/20,534.0
7/27/20,525.0
7/28/20,583.0
7/29/20,587.0
7/30/20,701.0
7/31/20,715.0
8/1/20,869.0
8/2/20,763.0
8/3/20,548.0
8/4/20,684.0
8/5/20,861.0
8/6/20,981.0
8/7/20,886.0
8/8/20,795.0
8/9/20,844.0
8/10/20,995.0
8/11/20,1138.0
8/12/20,1150.0
8/13/20,1281.0
8/14/20,1012.0
8/15/20,1226.0
8/16/20,1148.0
8/17/20,1047.0
8/18/20,895.0
8/19/20,1171.0
8/20/20,699.0
8/21/20,652.0
8/22/20,738.0
8/23/20,607.0
8/24/20,774.0
8/25/20,820.0
8/26/20,807.0
8/27/20,933.0
8/28/20,981.0
8/29/20,1067.0
8/30/20,922.0
8/31/20,860.0
9/1/20,1028.0
9/2/20,1127.0
9/3/20,994.0
9/4/20,1096.0
9/5/20,1192.0
9/6/20,1124.0
9/7/20,1061.0
9/8/20,1213.0
9/9/20,1188.0
9/10/20,1072.0
9/11/20,840.0
9/12/20,967.0
9/13/20,910.0
9/14/20,1029.0
9/15/20,1086.0
9/16/20,761.0
9/17/20,868.0
9/18/20,890.0
9/19/20,775.0
9/20/20,707.0
9/21/20,787.0
9/22/20,1010.0
9/23/20,986.0
9/24/20,967.0
9/25/20,867.0
9/26/20,667.0
9/27/20,751.0
9/28/20,837.0
9/29/20,835.0
9/30/20,759.0
10/1/20,907.0
10/2/20,791.0
10/3/20,826.0
10/4/20,788.0
10/5/20,683.0
10/6/20,679.0
10/7/20,608.0
10/8/20,615.0
10/9/20,677.0
10/10/20,757.0
10/11/20,684.0
10/12/20,619.0
10/13/20,635.0
10/14/20,614.0
10/15/20,464.0
10/16/20,289.0
10/17/20,531.0
10/18/20,347.0
10/19/20,0.0
10/20/20,1008.0
10/21/20,391.0
10/22/20,381.0
10/23/20,302.0
10/24/20,424.0
10/25/20,423.0
10/26/20,482.0
10/27/20,353.0
10/28/20,476.0
10/29/20,404.0
10/30/20,309.0
10/31/20,424.0
11/1/20,312.0
11/2/20,380.0
11/3/20,395.0
11/4/20,380.0
11/5/20,441.0
11/6/20,384.0
11/7/20,393.0
11/8/20,185.0
11/9/20,266.0
11/10/20,296.0
11/11/20,305.0
11/12/20,390.0
11/13/20,301.0
11/14/20,492.0
11/15/20,419.0
11/16/20,387.0
11/17/20,311.0
11/18/20,300.0
11/19/20,315.0
11/20/20,352.0
11/21/20,418.0
11/22/20,400.0
11/23/20,308.0
11/24/20,355.0
11/25/20,319.0
11/26/20,398.0
11/27/20,309.0
11/28/20,236.0
11/29/20,280.0
11/30/20,354.0
12/1/20,227.0
12/2/20,446.0
12/3/20,481.0
12/4/20,329.0
12/5/20,300.0
12/6/20,265.0
12/7/20,462.0
12/8/20,480.0
12/9/20,468.0
12/10/20,428.0
12/11/20,435.0
12/12/20,462.0
12/13/20,609.0
12/14/20,339.0
12/15/20,355.0
12/16/20,237.0
12/17/20,364.0
12/18/20,314.0
12/19/20,386.0
12/20/20,294.0
12/21/20,438.0
12/22/20,315.0
12/23/20,196.0
12/24/20,221.0
12/25/20,358.0
12/26/20,348.0
12/27/20,365.0
12/28/20,320.0
12/29/20,225.0
12/30/20,260.0
12/31/20,437.0
1/1/21,326.0
1/2/21,199.0
1/3/21,147.0
1/4/21,177.0
1/5/21,255.0
1/6/21,246.0
1/7/21,414.0
1/8/21,345.0
1/9/21,505.0
1/10/21,438.0
1/11/21,373.0
1/12/21,316.0
1/13/21,512.0
1/14/21,604.0
1/15/21,441.0
1/16/21,450.0
1/17/21,497.0
1/18/21,641.0
1/19/21,673.0
1/20/21,574.0
1/21/21,569.0
1/22/21,535.0
1/23/21,450.0
1/24/21,464.0
1/25/21,403.0
1/26/21,413.0
1/27/21,433.0
1/28/21,406.0
1/29/21,412.0
1/30/21,547.0
1/31/21,604.0
2/1/21,419.0
2/2/21,406.0
2/3/21,563.0
2/4/21,460.0
2/5/21,456.0
2/6/21,412.0
2/7/21,473.0
2/8/21,480.0
2/9/21,500.0
2/10/21,380.0
2/11/21,352.0
2/12/21,431.0
2/13/21,484.0
2/14/21,475.0
2/15/21,359.0
2/16/21,350.0
2/17/21,392.0
2/18/21,462.0
2/19/21,333.0
2/20/21,489.0
2/21/21,465.0
2/22/21,477.0
2/23/21,441.0
2/24/21,459.0
2/25/21,426.0
2/26/21,424.0
2/27/21,444.0
2/28/21,377.0
3/1/21,429.0
3/2/21,389.0
3/3/21,449.0
3/4/21,577.0
3/5/21,396.0
3/6/21,529.0
3/7/21,453.0
3/8/21,436.0
3/9/21,547.0
3/10/21,0.0
3/11/21,956.0
3/12/21,509.0
3/13/21,593.0
3/14/21,0.0
3/15/21,1109.0
3/16/21,540.0
3/17/21,549.0
3/18/21,631.0
3/19/21,937.0
3/20/21,1161.0
3/21/21,817.0
3/22/21,771.0
3/23/21,614.0
3/24/21,807.0
3/25/21,850.0
3/26/21,740.0
3/27/21,758.0
3/28/21,992.0
3/29/21,1288.0
3/30/21,1206.0
3/31/21,1348.0
4/1/21,1254.0
4/2/21,979.0
4/3/21,1607.0
4/4/21,1786.0
4/5/21,1425.0
4/6/21,1526.0
4/7/21,1115.0
4/8/21,1184.0
4/9/21,1088.0
4/10/21,1325.0
4/11/21,1101.0
4/12/21,925.0
4/13/21,1160.0
4/14/21,1122.0
4/15/21,1271.0
4/16/21,1244.0
4/17/21,1294.0
4/18/21,1287.0
4/19/21,1405.0
4/20/21,1141.0
4/21/21,1009.0
4/22/21,1318.0
4/23/21,1318.0
4/24/21,1142.0
4/25/21,995.0
4/26/21,980.0
4/27/21,1223.0
4/28/21,1238.0
4/29/21,1427.0
4/30/21,1297.0
5/1/21,1182.0
5/2/21,1202.0
5/3/21,864.0
5/4/21,876.0
5/5/21,771.0
5/6/21,1479.0
5/7/21,1124.0
5/8/21,1368.0
5/9/21,1321.0
5/10/21,1292.0
5/11/21,954.0
5/12/21,832.0
5/13/21,890.0
5/14/21,1160.0
5/15/21,0.0
5/16/21,2303.0
5/17/21,1114.0
5/18/21,1188.0
5/19/21,1211.0
5/20/21,1050.0
5/21/21,1178.0
5/22/21,1010.0
5/23/21,1293.0
5/24/21,1474.0
5/25/21,1317.0
5/26/21,1271.0
5/27/21,1421.0
5/28/21,1319.0
5/29/21,1296.0
5/30/21,1357.0
5/31/21,1365.0
6/1/21,1402.0
6/2/21,1188.0
6/3/21,1258.0
6/4/21,1239.0
6/5/21,1462.0
6/6/21,1424.0
6/7/21,1483.0
6/8/21,1679.0
6/9/21,1464.0
6/10/21,1083.0
6/11/21,973.0
6/12/21,1489.0
6/13/21,1377.0
6/14/21,1197.0
6/15/21,1233.0
6/16/21,1341.0
6/17/21,1405.0
6/18/21,1278.0
6/19/21,1273.0
6/20/21,1327.0
6/21/21,1298.0
6/22/21,1334.0
6/23/21,0.0
6/24/21,2270.0
6/25/21,1310.0
