,West Bank and Gaza
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,4.0
3/6/20,3.0
3/7/20,9.0
3/8/20,0.0
3/9/20,3.0
3/10/20,7.0
3/11/20,4.0
3/12/20,0.0
3/13/20,1.0
3/14/20,4.0
3/15/20,3.0
3/16/20,0.0
3/17/20,1.0
3/18/20,2.0
3/19/20,3.0
3/20/20,3.0
3/21/20,1.0
3/22/20,4.0
3/23/20,7.0
3/24/20,0.0
3/25/20,0.0
3/26/20,25.0
3/27/20,7.0
3/28/20,7.0
3/29/20,11.0
3/30/20,7.0
3/31/20,3.0
4/1/20,15.0
4/2/20,27.0
4/3/20,33.0
4/4/20,23.0
4/5/20,20.0
4/6/20,17.0
4/7/20,7.0
4/8/20,2.0
4/9/20,0.0
4/10/20,4.0
4/11/20,1.0
4/12/20,3.0
4/13/20,2.0
4/14/20,11.0
4/15/20,7.0
4/16/20,3.0
4/17/20,13.0
4/18/20,6.0
4/19/20,6.0
4/20/20,10.0
4/21/20,0.0
4/22/20,6.0
4/23/20,1.0
4/24/20,4.0
4/25/20,2.0
4/26/20,0.0
4/27/20,0.0
4/28/20,1.0
4/29/20,1.0
4/30/20,0.0
5/1/20,9.0
5/2/20,0.0
5/3/20,0.0
5/4/20,9.0
5/5/20,9.0
5/6/20,3.0
5/7/20,1.0
5/8/20,0.0
5/9/20,0.0
5/10/20,0.0
5/11/20,0.0
5/12/20,0.0
5/13/20,0.0
5/14/20,0.0
5/15/20,0.0
5/16/20,1.0
5/17/20,5.0
5/18/20,7.0
5/19/20,3.0
5/20/20,7.0
5/21/20,25.0
5/22/20,0.0
5/23/20,0.0
5/24/20,0.0
5/25/20,0.0
5/26/20,6.0
5/27/20,5.0
5/28/20,12.0
5/29/20,0.0
5/30/20,1.0
5/31/20,1.0
6/1/20,1.0
6/2/20,2.0
6/3/20,6.0
6/4/20,7.0
6/5/20,0.0
6/6/20,0.0
6/7/20,8.0
6/8/20,1.0
6/9/20,8.0
6/10/20,4.0
6/11/20,2.0
6/12/20,2.0
6/13/20,0.0
6/14/20,3.0
6/15/20,13.0
6/16/20,9.0
6/17/20,41.0
6/18/20,45.0
6/19/20,75.0
6/20/20,109.0
6/21/20,49.0
6/22/20,168.0
6/23/20,168.0
6/24/20,159.0
6/25/20,54.0
6/26/20,175.0
6/27/20,258.0
6/28/20,175.0
6/29/20,195.0
6/30/20,243.0
7/1/20,330.0
7/2/20,322.0
7/3/20,254.0
7/4/20,501.0
7/5/20,442.0
7/6/20,64.0
7/7/20,306.0
7/8/20,382.0
7/9/20,191.0
7/10/20,331.0
7/11/20,380.0
7/12/20,299.0
7/13/20,336.0
7/14/20,198.0
7/15/20,300.0
7/16/20,348.0
7/17/20,352.0
7/18/20,440.0
7/19/20,345.0
7/20/20,367.0
7/21/20,312.0
7/22/20,170.0
7/23/20,346.0
7/24/20,349.0
7/25/20,213.0
7/26/20,163.0
7/27/20,152.0
7/28/20,317.0
7/29/20,346.0
7/30/20,264.0
7/31/20,289.0
8/1/20,323.0
8/2/20,137.0
8/3/20,244.0
8/4/20,229.0
8/5/20,295.0
8/6/20,333.0
8/7/20,324.0
8/8/20,206.0
8/9/20,280.0
8/10/20,302.0
8/11/20,365.0
8/12/20,309.0
8/13/20,307.0
8/14/20,343.0
8/15/20,319.0
8/16/20,381.0
8/17/20,310.0
8/18/20,462.0
8/19/20,300.0
8/20/20,383.0
8/21/20,324.0
8/22/20,163.0
8/23/20,326.0
8/24/20,411.0
8/25/20,465.0
8/26/20,477.0
8/27/20,522.0
8/28/20,574.0
8/29/20,417.0
8/30/20,536.0
8/31/20,525.0
9/1/20,552.0
9/2/20,594.0
9/3/20,596.0
9/4/20,671.0
9/5/20,433.0
9/6/20,552.0
9/7/20,652.0
9/8/20,584.0
9/9/20,556.0
9/10/20,745.0
9/11/20,592.0
9/12/20,650.0
9/13/20,668.0
9/14/20,788.0
9/15/20,888.0
9/16/20,756.0
9/17/20,837.0
9/18/20,558.0
9/19/20,602.0
9/20/20,683.0
9/21/20,465.0
9/22/20,429.0
9/23/20,503.0
9/24/20,508.0
9/25/20,372.0
9/26/20,290.0
9/27/20,450.0
9/28/20,418.0
9/29/20,420.0
9/30/20,358.0
10/1/20,423.0
10/2/20,444.0
10/3/20,312.0
10/4/20,420.0
10/5/20,459.0
10/6/20,475.0
10/7/20,408.0
10/8/20,416.0
10/9/20,408.0
10/10/20,281.0
10/11/20,354.0
10/12/20,385.0
10/13/20,516.0
10/14/20,458.0
10/15/20,442.0
10/16/20,334.0
10/17/20,312.0
10/18/20,389.0
10/19/20,481.0
10/20/20,513.0
10/21/20,499.0
10/22/20,506.0
10/23/20,445.0
10/24/20,410.0
10/25/20,453.0
10/26/20,510.0
10/27/20,576.0
10/28/20,420.0
10/29/20,623.0
10/30/20,504.0
10/31/20,445.0
11/1/20,540.0
11/2/20,715.0
11/3/20,633.0
11/4/20,682.0
11/5/20,582.0
11/6/20,554.0
11/7/20,431.0
11/8/20,501.0
11/9/20,680.0
11/10/20,584.0
11/11/20,643.0
11/12/20,719.0
11/13/20,730.0
11/14/20,653.0
11/15/20,864.0
11/16/20,836.0
11/17/20,1068.0
11/18/20,1251.0
11/19/20,1110.0
11/20/20,1472.0
11/21/20,1486.0
11/22/20,1390.0
11/23/20,1552.0
11/24/20,1811.0
11/25/20,1720.0
11/26/20,1766.0
11/27/20,1936.0
11/28/20,1461.0
11/29/20,1695.0
11/30/20,2062.0
12/1/20,2357.0
12/2/20,2188.0
12/3/20,2516.0
12/4/20,1968.0
12/5/20,1422.0
12/6/20,1940.0
12/7/20,1720.0
12/8/20,1351.0
12/9/20,1883.0
12/10/20,1887.0
12/11/20,1743.0
12/12/20,1477.0
12/13/20,1639.0
12/14/20,1364.0
12/15/20,2307.0
12/16/20,2197.0
12/17/20,2149.0
12/18/20,1857.0
12/19/20,1604.0
12/20/20,1427.0
12/21/20,1302.0
12/22/20,1561.0
12/23/20,1870.0
12/24/20,1704.0
12/25/20,1518.0
12/26/20,1306.0
12/27/20,1189.0
12/28/20,1217.0
12/29/20,1149.0
12/30/20,1277.0
12/31/20,1268.0
1/1/21,1219.0
1/2/21,1064.0
1/3/21,932.0
1/4/21,1009.0
1/5/21,941.0
1/6/21,1088.0
1/7/21,995.0
1/8/21,822.0
1/9/21,627.0
1/10/21,699.0
1/11/21,771.0
1/12/21,797.0
1/13/21,801.0
1/14/21,736.0
1/15/21,637.0
1/16/21,427.0
1/17/21,462.0
1/18/21,524.0
1/19/21,538.0
1/20/21,497.0
1/21/21,473.0
1/22/21,494.0
1/23/21,449.0
1/24/21,408.0
1/25/21,470.0
1/26/21,509.0
1/27/21,603.0
1/28/21,597.0
1/29/21,575.0
1/30/21,391.0
1/31/21,403.0
2/1/21,481.0
2/2/21,513.0
2/3/21,470.0
2/4/21,661.0
2/5/21,472.0
2/6/21,470.0
2/7/21,572.0
2/8/21,612.0
2/9/21,762.0
2/10/21,761.0
2/11/21,799.0
2/12/21,665.0
2/13/21,600.0
2/14/21,804.0
2/15/21,840.0
2/16/21,1043.0
2/17/21,1040.0
2/18/21,627.0
2/19/21,563.0
2/20/21,598.0
2/21/21,1320.0
2/22/21,1334.0
2/23/21,1408.0
2/24/21,1391.0
2/25/21,1525.0
2/26/21,1555.0
2/27/21,1061.0
2/28/21,1703.0
3/1/21,1724.0
3/2/21,1973.0
3/3/21,2017.0
3/4/21,1877.0
3/5/21,1826.0
3/6/21,1519.0
3/7/21,2264.0
3/8/21,1742.0
3/9/21,1828.0
3/10/21,1996.0
3/11/21,1291.0
3/12/21,1983.0
3/13/21,1784.0
3/14/21,1868.0
3/15/21,2298.0
3/16/21,2189.0
3/17/21,2193.0
3/18/21,2077.0
3/19/21,1851.0
3/20/21,1479.0
3/21/21,2247.0
3/22/21,2338.0
3/23/21,2068.0
3/24/21,2032.0
3/25/21,1962.0
3/26/21,1511.0
3/27/21,1199.0
3/28/21,1714.0
3/29/21,1786.0
3/30/21,1817.0
3/31/21,2288.0
4/1/21,2292.0
4/2/21,2248.0
4/3/21,1589.0
4/4/21,2806.0
4/5/21,2634.0
4/6/21,2539.0
4/7/21,2672.0
4/8/21,2884.0
4/9/21,2378.0
4/10/21,1502.0
4/11/21,2235.0
4/12/21,2724.0
4/13/21,1911.0
4/14/21,1923.0
4/15/21,1717.0
4/16/21,1728.0
4/17/21,1618.0
4/18/21,988.0
4/19/21,1529.0
4/20/21,2010.0
4/21/21,1748.0
4/22/21,1652.0
4/23/21,1440.0
4/24/21,1139.0
4/25/21,713.0
4/26/21,1080.0
4/27/21,1414.0
4/28/21,1084.0
4/29/21,1051.0
4/30/21,861.0
5/1/21,0.0
5/2/21,1176.0
5/3/21,565.0
5/4/21,718.0
5/5/21,815.0
5/6/21,651.0
5/7/21,559.0
5/8/21,491.0
5/9/21,314.0
5/10/21,498.0
5/11/21,528.0
5/12/21,493.0
5/13/21,0.0
5/14/21,0.0
5/15/21,388.0
5/16/21,169.0
5/17/21,247.0
5/18/21,0.0
5/19/21,458.0
5/20/21,0.0
5/21/21,436.0
5/22/21,233.0
5/23/21,0.0
5/24/21,576.0
5/25/21,557.0
5/26/21,461.0
5/27/21,0.0
5/28/21,774.0
5/29/21,269.0
5/30/21,210.0
5/31/21,302.0
6/1/21,382.0
6/2/21,304.0
6/3/21,297.0
6/4/21,311.0
6/5/21,209.0
6/6/21,173.0
6/7/21,0.0
6/8/21,518.0
6/9/21,0.0
6/10/21,474.0
6/11/21,0.0
6/12/21,0.0
6/13/21,516.0
6/14/21,156.0
6/15/21,258.0
6/16/21,216.0
6/17/21,170.0
6/18/21,165.0
6/19/21,106.0
6/20/21,68.0
6/21/21,138.0
6/22/21,204.0
6/23/21,0.0
