,total
1/22/20,0.0
1/23/20,3.0
1/24/20,9.0
1/25/20,7.0
1/26/20,10.0
1/27/20,6.0
1/28/20,18.0
1/29/20,10.0
1/30/20,11.0
1/31/20,29.0
2/1/20,19.0
2/2/20,10.0
2/3/20,14.0
2/4/20,19.0
2/5/20,11.0
2/6/20,14.0
2/7/20,68.0
2/8/20,27.0
2/9/20,16.0
2/10/20,83.0
2/11/20,11.0
2/12/20,45.0
2/13/20,16.0
2/14/20,65.0
2/15/20,88.0
2/16/20,83.0
2/17/20,113.0
2/18/20,105.0
2/19/20,92.0
2/20/20,102.0
2/21/20,155.0
2/22/20,310.0
2/23/20,360.0
2/24/20,348.0
2/25/20,339.0
2/26/20,565.0
2/27/20,923.0
2/28/20,1065.0
2/29/20,1451.0
3/1/20,1797.0
3/2/20,1765.0
3/3/20,2470.0
3/4/20,2188.0
3/5/20,2662.0
3/6/20,3756.0
3/7/20,4027.0
3/8/20,3839.0
3/9/20,4122.0
3/10/20,4842.0
3/11/20,7580.0
3/12/20,6051.0
3/13/20,14000.0
3/14/20,10958.0
3/15/20,11249.0
3/16/20,14535.0
3/17/20,15837.0
3/18/20,19245.0
3/19/20,26850.0
3/20/20,30509.0
3/21/20,31190.0
3/22/20,33997.0
3/23/20,42133.0
3/24/20,40010.0
3/25/20,50292.0
3/26/20,61486.0
3/27/20,63698.0
3/28/20,68008.0
3/29/20,55240.0
3/30/20,63476.0
3/31/20,75544.0
4/1/20,80505.0
4/2/20,80639.0
4/3/20,82230.0
4/4/20,57219.0
4/5/20,68631.0
4/6/20,72149.0
4/7/20,67810.0
4/8/20,82016.0
4/9/20,84994.0
4/10/20,83860.0
4/11/20,72347.0
4/12/20,117503.0
4/13/20,69214.0
4/14/20,81870.0
4/15/20,76541.0
4/16/20,92565.0
4/17/20,85178.0
4/18/20,75075.0
4/19/20,74412.0
4/20/20,74149.0
4/21/20,73831.0
4/22/20,79612.0
4/23/20,81271.0
4/24/20,81797.0
4/25/20,81409.0
4/26/20,69272.0
4/27/20,69172.0
4/28/20,74048.0
4/29/20,75683.0
4/30/20,81398.0
5/1/20,86990.0
5/2/20,77448.0
5/3/20,72836.0
5/4/20,75825.0
5/5/20,78222.0
5/6/20,89169.0
5/7/20,87002.0
5/8/20,89315.0
5/9/20,82820.0
5/10/20,73982.0
5/11/20,75238.0
5/12/20,83637.0
5/13/20,83098.0
5/14/20,93954.0
5/15/20,94883.0
5/16/20,92792.0
5/17/20,76817.0
5/18/20,88017.0
5/19/20,95524.0
5/20/20,103620.0
5/21/20,104609.0
5/22/20,106342.0
5/23/20,103062.0
5/24/20,92045.0
5/25/20,86877.0
5/26/20,92100.0
5/27/20,101669.0
5/28/20,118897.0
5/29/20,120607.0
5/30/20,134187.0
5/31/20,101539.0
6/1/20,98422.0
6/2/20,123621.0
6/3/20,110568.0
6/4/20,137489.0
6/5/20,132917.0
6/6/20,129079.0
6/7/20,110406.0
6/8/20,102658.0
6/9/20,125787.0
6/10/20,136081.0
6/11/20,134756.0
6/12/20,127336.0
6/13/20,132967.0
6/14/20,131592.0
6/15/20,124210.0
6/16/20,143973.0
6/17/20,142505.0
6/18/20,142175.0
6/19/20,180663.0
6/20/20,185009.0
6/21/20,92374.0
6/22/20,141384.0
6/23/20,167658.0
6/24/20,170672.0
6/25/20,178506.0
6/26/20,192536.0
6/27/20,175883.0
6/28/20,167357.0
6/29/20,152158.0
6/30/20,182598.0
7/1/20,214718.0
7/2/20,203626.0
7/3/20,202288.0
7/4/20,188872.0
7/5/20,185577.0
7/6/20,167211.0
7/7/20,208290.0
7/8/20,214975.0
7/9/20,222972.0
7/10/20,232296.0
7/11/20,212330.0
7/12/20,191042.0
7/13/20,194807.0
7/14/20,219722.0
7/15/20,228782.0
7/16/20,243384.0
7/17/20,236749.0
7/18/20,234562.0
7/19/20,211429.0
7/20/20,207387.0
7/21/20,240916.0
7/22/20,274780.0
7/23/20,278504.0
7/24/20,282696.0
7/25/20,247398.0
7/26/20,211822.0
7/27/20,233325.0
7/28/20,263577.0
7/29/20,269518.0
7/30/20,278766.0
7/31/20,288042.0
8/1/20,244988.0
8/2/20,230267.0
8/3/20,204491.0
8/4/20,263930.0
8/5/20,274915.0
8/6/20,285127.0
8/7/20,281835.0
8/8/20,263812.0
8/9/20,232687.0
8/10/20,232965.0
8/11/20,264239.0
8/12/20,274163.0
8/13/20,288682.0
8/14/20,306750.0
8/15/20,247007.0
8/16/20,209821.0
8/17/20,213222.0
8/18/20,257556.0
8/19/20,277137.0
8/20/20,269710.0
8/21/20,261537.0
8/22/20,260953.0
8/23/20,202793.0
8/24/20,227641.0
8/25/20,243782.0
8/26/20,280764.0
8/27/20,286011.0
8/28/20,283280.0
8/29/20,259568.0
8/30/20,218086.0
8/31/20,264084.0
9/1/20,265631.0
9/2/20,280939.0
9/3/20,284518.0
9/4/20,300160.0
9/5/20,272044.0
9/6/20,228937.0
9/7/20,217880.0
9/8/20,243935.0
9/9/20,283211.0
9/10/20,302494.0
